proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
P31949,0,2518.5,3532.4,4485.2,2090.2,4969.1,15160,11850,13007,6336.4,3221.3,12172,6149.4,5057.6,8269.5,6380.3,2806.4,7451.3,1482.8,2406.1,5596.9,9051.4,1487.6,0
P32004,116960,27613,33551,26620,27236,48587,99876,33774,47260,26637,29784,50378,33882,41498,75778,38380,47662,64176,83074,61123,34865,53875,110180,44277
P32119,526480,386110,350470,495520,355530,575710,535200,467120,494170,526740,526020,449220,439730,405800,425220,365150,399410,474830,474300,702610,422250,290330,416860,259090
P32121,2915.6,2415.9,0,0,0,0,0,0,0,0,0,0,0,0,3141.1,0,0,0,0,7410.4,0,2238.3,3813.8,836.73
P32189,2375.7,4034.4,3672.1,3820.3,4507.2,6043.6,5858.1,13465,4709.2,7437,8888.7,8273.5,7491.7,6012.8,12923,4026.8,10510,2928.9,2494.9,0,10624,6734,5385.6,2713.3
P32418,14970,3428.9,3192.6,10655,3849.6,14327,4340.6,0,6321.7,6644.4,8457.8,6112.3,6951.5,7860.3,3678.5,4740,1582.4,9695.2,10096,0,7817.7,3288.4,13823,3406.4
P32455,0,935.59,1455.7,3186.7,2021.3,1576.4,1468.2,999.11,2877.2,3392.3,3150.7,824.54,2945.5,493.99,1351.6,943.95,458.24,1926,1056.7,2887.4,2984.2,0,1067.3,423.57
P32856,0,1269.7,873.48,0,0,0,0,1335.4,0,0,0,0,0,0,994.56,0,1701.2,0,0,0,0,0,968.13,0
P32929,2140.2,0,745.78,4940.2,2941,0,0,0,0,1612.1,966.52,0,774.41,4181,2821.2,0,2420.3,946.14,1498.8,8168.6,3055.6,0,0,0
P32969,0,1507.9,0,3976.8,7445.6,1832.4,10648,8530.2,2662.7,7773.1,6919,9957.5,5650.7,8857.4,0,4343.1,4615.1,6846.6,3060.2,7536.9,12133,6280.9,7310.4,4546.4
