,S16,S9,S10,S11,S12,S13,S14,S15,S1,S2,S3,S4,S5,S6,S7,S8
Q13242,-0.562098406,-0.238260397,-0.917455198,-0.778044421,-0.438276916,-0.513299219,-0.507214337,-0.487667624,0.003765155,0.581730557,-0.03136752,-0.165579242,-0.127228722,0.410270248,0.471766225,0.068503782
Q13243,-0.02867392,-0.24140671,-0.14737117,-0.17087248,-0.95754776,-0.53457504,-0.58442242,-0.75273131,0.16114648,0.55105744,0.2369605,0.03031589,-0.33099054,-0.3398408,-0.15597254,-0.37103598
Q13247,-0.27056328,-0.06661055,-0.20209667,-0.08131329,-1.60932846,-0.56486153,-0.99288585,-0.86220597,0.4505402,0.73363721,0.43941541,0.08923224,0.05372214,-0.16043325,-0.26182722,-1.56248156
Q13263,0.8564425,0.9737627,0.9365813,0.7945592,0.5362382,0.3409246,0.6900507,0.4754815,1.5514835,1.9258406,1.1423747,1.2348853,1.182101,1.1015564,1.4510862,0.7957402
Q13283,0.041397175,-0.677572937,-0.569231393,-0.300946534,-0.005006091,-0.219518913,-0.198962773,-0.078480986,0.239918895,0.529334954,-0.534938679,-0.251092481,0.727664177,0.52531659,0.768859757,0.40152392
Q13303,0.67008499,0.56469619,0.67273192,0.89197259,0.56908131,0.5533065,0.33318046,0.6880952,0.07911672,-1.36060447,0.65231611,0.21333183,-1.13687114,0.01058952,-0.38819572,0.44810535
Q13308,-1.91762007,-1.19336961,-0.82466426,-1.49617189,-2.04710226,-1.72471861,-1.77411205,-1.99347504,-0.29260215,-0.0689626,-0.7094291,-0.40931972,0.05699773,-0.36970318,0.04579946,0.12736676
Q13310,0.44903787,0.23783457,0.19549017,0.21946499,-0.02852508,0.14167973,-0.18096998,-0.11077333,0.61733595,0.60620634,-0.11428146,0.45204987,0.11106981,0.44697072,0.13904292,-0.3628018
Q13315,-1.1444107,-1.495138,-1.0551862,-3.1226376,-2.6901351,-1.5763407,-1.2247653,-1.6524627,-0.2217635,0.1091308,-0.5342379,-0.9718618,-0.2207387,-0.8123087,-0.2229694,-1.4309115
Q13325,0.01859205,-0.23852919,-0.31649427,-0.31817487,-0.2062192,-0.23230927,-0.61523761,-0.69757679,0.16565466,0.19032953,0.13575454,0.32837278,0.03428601,-0.16078655,-0.49823396,0.08441953
Q13330,-0.44689465,-1.29935999,-0.52856237,-1.22101485,-0.34255587,-0.18064852,-1.22621024,-1.19049918,-0.1456651,0.58823336,-0.22621224,-0.60962398,-0.08432826,-0.20249402,0.21638984,-0.07499135
Q13332,0.29722011,0.2401428,0.28653688,0.27426262,0.48904162,0.63180053,0.48105007,0.53120217,-0.27096493,-0.6538174,-0.08172608,-0.44637981,-0.02595918,0.28027155,-0.24502747,0.1658567
Q13336,-0.47282776,0.23209062,0.03277124,-0.22162622,-0.54424287,-0.59635197,-0.11682691,-0.11887914,-1.20860205,-1.85634131,0.21422993,0.21089637,-1.12896087,-0.74500749,-1.77422375,-0.67983198
Q13347,0.555572,0.4249541,0.4092111,0.417004,0.1767067,0.2260861,0.2241908,0.3266293,0.6936769,0.747716,0.7636117,0.7663585,0.6515695,0.6839628,0.6936209,0.5556906
Q13362,0.0769695,0.09270496,0.17413651,0.01518988,0.11957044,0.0857072,0.11753748,0.09808473,-0.014816,-0.03562649,-0.48583284,0.34409486,-0.15475526,-0.37199634,-0.27411098,-0.25746698
Q13363,0.9326348,0.9052065,1.0318524,0.9993652,0.9526935,0.8577141,0.959775,0.9930606,0.5344144,0.8851338,0.7234215,0.2639456,0.5351734,0.7505951,0.5978778,0.7246284
Q13367,1.1221292,1.12501204,1.15352852,1.15777549,1.03775457,0.97351779,0.99261748,1.09975565,0.50241238,0.04807383,0.39814794,0.08769701,-0.01649884,0.4088598,0.29897029,0.57017085
Q13404,1.0233922,1.0274872,0.8599637,1.120045,0.909489,0.863202,0.9719189,0.9380786,0.7039397,0.7304155,0.96637,1.1679023,0.8885305,0.7487596,0.7310522,0.9662928
Q13409,1.1429057,1.0418832,1.0885562,1.0671208,0.7668266,0.7491333,0.9542971,0.820062,1.2554499,1.2526052,1.410622,1.4527206,1.1040038,0.8213383,0.995959,0.9308655
Q13418,-0.063117811,-0.319152808,-0.023068022,-0.142802004,-0.093184702,-0.089082919,0.000491006,0.048748928,0.402198338,0.147644156,0.395044615,0.562145295,0.572676917,0.233222838,0.338535744,0.153385574
Q13423,1.6123729,1.5206097,1.5513454,1.5812791,1.3678388,1.3941541,1.4960197,1.4567168,1.0833483,1.355754,1.4783976,1.1833841,0.7135019,1.0716003,0.9091853,1.4103055
Q13424,0.42774318,0.23823342,0.42659978,0.49688658,0.19222902,0.28704215,0.27262118,0.39166185,-0.2002123,-0.04754863,0.76012539,0.49953987,0.60366097,-0.77846079,-0.23556972,0.17331639
Q13425,-0.373809,0.2049687,-0.46313116,-0.36569571,-0.07862893,-0.10472703,-0.25986068,-0.38843177,-0.33316842,-1.97802416,-0.30248832,-0.05137153,0.29030906,-0.39222622,-0.24120134,-0.43626888
Q13427,-1.04642203,-1.0322152,-1.40392231,-1.59862462,-1.00150079,-1.24253513,-1.12958153,-1.36651832,-0.13218631,0.02262559,-0.35098178,-0.42559869,-0.35351295,-0.72542297,-0.3124408,-0.85667613
Q13428,0.17746216,-0.25506211,-0.35034474,0.64762128,-0.42421329,-0.3328348,-0.49701244,-0.4195559,0.48651987,0.68160369,-0.05063044,-0.2570464,0.17501282,-0.12067268,-0.02189551,-0.37717518
Q13435,0.55703178,0.44682153,0.5003323,0.32090963,-0.07472623,0.13205987,0.13933763,0.20195034,1.01003858,1.3164911,0.69133795,0.69500142,0.81275496,0.58161115,0.81939977,0.42166745
Q13439,0.1411678,0.1166273,-0.3114488,-0.1281391,-0.3598384,-0.3486539,-0.6201676,-0.4671279,0.4560467,0.6006728,0.1741936,0.1807742,-0.4303823,-0.2570358,-0.1740761,-0.3245955
Q13442,0.3135031,0.4094906,0.5991375,0.571203,0.4754701,0.4619333,0.5133472,0.3971641,0.6421113,0.6964507,0.9388958,0.8117392,0.7130208,0.5392084,0.573665,0.374651
Q13443,-0.35074909,-0.12793323,-0.31384206,-0.19253337,-0.39990459,-0.38330368,-0.31796627,-0.55782465,0.04668287,-0.06364547,-0.14783816,0.05458012,0.04337792,-0.53644303,0.06272928,-0.43720009
Q13449,1.4623214,1.438738,1.4698522,1.4725903,1.1420771,1.2194137,1.263103,1.0257649,1.1460915,0.9641909,1.4244876,1.1576678,0.7154568,0.9816793,0.6400627,1.1869145
Q13451,-0.07237738,-0.07415628,-0.45395908,-0.18790285,-0.4262074,-0.43730175,-0.88005179,-0.97566941,0.44555318,-0.41478723,0.07250372,0.07116747,0.30363442,0.16042611,0.63107784,-1.63132497
Q13459,-0.7187244,-0.63853549,-1.07605101,-0.90504088,-0.97547755,-0.97316116,-1.14357596,-0.64761424,0.0902544,0.2405477,-0.74568904,-0.29188429,0.31917971,0.09250779,0.19534927,-0.72725969
Q13464,-0.014963465,0.019809602,-0.066778421,-0.009621375,-0.368812696,-0.424714055,-0.718295816,-0.370381534,0.344747455,0.639704141,0.244058195,0.829150529,0.37621198,-0.198197994,-0.085331362,-0.253831907
Q13480,0.21925093,0.2585129,0.24056021,0.20130419,-0.02939701,0.10596418,0.13029738,-0.14747181,0.10067517,0.73921321,0.62511157,0.25597797,0.72163455,0.20949854,0.30928404,0.08722958
Q13485,-0.7720014,-0.7172277,-1.0273288,-1.1708613,-1.115699,-1.0073631,-1.7378765,-1.0577634,-1.5132366,-0.1436611,-0.8487872,-0.7704865,-0.4286423,-0.6119949,-0.1260477,-0.8226876
Q13491,0.5660217,0.4713155,0.4877556,0.5860771,0.9989917,1.2108956,1.2915185,1.2492995,-0.3752197,-0.2168054,0.1804886,0.3622962,0.390738,0.3515912,0.2691344,1.0544784
Q13492,0.794992,0.8186591,0.982603,0.9258148,0.5450586,0.5404245,0.5565072,0.6492957,0.7675069,0.7854427,0.8919062,0.8156027,0.4437303,0.516442,0.531995,0.2643105
Q13496,-0.040786588,0.17882533,0.213200529,0.161934653,0.174116924,0.004297096,0.067059068,0.102450117,-0.086247022,-0.21442866,0.345179143,0.579813999,0.232608874,-0.076480414,-0.014944022,0.249429584
Q13501,-0.08895725,-0.11854048,0.19791548,-0.16624573,0.08579211,0.10017677,0.25553172,0.16297079,0.1017266,-0.62687592,0.18040277,-0.3491418,-0.12430919,0.21036767,0.23572687,-0.3230674
Q13505,-0.3076893,-0.32505576,0.03810205,-0.3076069,0.16425661,0.25310484,-0.10135422,0.14513014,-0.50000316,-0.51472431,-0.17396907,-0.65004691,-0.26948293,-0.22314586,-0.06188163,0.20437104
Q13509,2.289194,2.095995,2.469048,2.271698,2.212284,2.157205,2.162569,2.1453,1.776181,1.586406,2.222174,1.954027,1.70808,1.719788,1.737085,2.114011
Q13510,0.6330191,0.6131384,0.7380532,0.684146,0.7418749,0.5089429,0.7027852,0.6194103,0.9664449,0.7374309,1.2539489,1.2377726,0.8612997,0.8425412,0.7896448,0.883161
Q13522,0.039038,-0.5261165,-1.0861604,-0.1959275,-0.3375658,-0.1670371,-0.2289898,-0.365438,-1.1219602,-0.8746045,-0.390705,-0.7630689,-1.055141,-0.5681299,-0.9429284,-0.4062961
Q13523,-1.5092681,-0.7577191,-1.5500634,-1.0599448,-1.096467,-1.1021381,-1.3672405,-1.2805476,0.2639278,0.6057062,-0.5561881,-0.4539824,0.1020431,-0.1084246,-0.16447,-0.6957067
Q13526,1.136013,1.0771583,1.1559832,0.9873127,0.8691336,1.0040071,0.9479746,0.9911238,0.6539577,0.7610222,1.0436204,0.4474454,0.3811147,0.5054687,0.4305093,0.7724067
Q13530,-1.5054302,-1.3585072,-0.8734661,-0.8877615,-0.7896194,-0.8333302,-0.8779696,-0.6215409,-1.6081319,-1.4535458,-1.0086784,-0.6911034,-0.9428378,-0.8470274,-1.1155222,-1.1032894
Q13541,-0.9582254,-0.8247075,-1.3124431,-1.5694934,-2.1128401,-1.5971835,-1.3332269,-1.3774431,-0.3491204,-0.2108239,-0.4754541,-1.0320107,-0.7892906,-0.6494262,-0.2096462,-1.2741875
Q13542,-0.23158838,-0.41253421,-0.24212783,-0.69291904,-0.13930682,-0.10430804,0.0784847,-0.3567024,-0.40727568,-0.0755584,-0.56876624,-0.23093742,-0.16843726,-0.16172245,-0.01617658,-0.11892444
Q13546,-1.10596492,-1.36095573,-1.70966871,-1.18510714,-1.98164899,-1.37305365,-1.34592586,-1.23261817,-0.20994523,-0.10293457,-0.57829852,-0.19010442,-0.04142645,-0.34300334,-0.10883729,-0.91496961
Q13547,-1.14984426,-2.73237249,-1.33271254,-1.51472014,-1.38625656,-1.75066606,-1.0767828,-1.38296709,0.02523895,0.26473956,-1.25280194,-0.62318258,-0.14980729,-0.6458932,-0.39976257,-1.05881129
Q13554,1.8724224,1.777714,2.0490044,1.8801233,1.9917232,2.0048313,2.1578641,2.1281365,1.010781,0.3708669,1.5837574,0.9225446,0.8818904,1.3664371,1.1571956,1.6665165
Q13555,1.2732732,1.2081634,1.2995066,1.2974175,1.0812184,1.1278067,1.1458472,1.0440953,0.6720998,0.2690764,1.3197611,1.108726,0.3841849,0.6005654,0.5222592,1.1062426
Q13557,1.3105077,1.1647612,1.3911599,1.4164732,1.1455676,1.1969778,1.2968835,1.2950139,0.8777285,1.1407325,1.0425139,1.0434107,1.0531972,0.9964067,1.0170441,0.9475824
Q13561,1.3329126,1.4535267,1.6832492,1.6050131,1.3104734,1.3243801,1.4224387,1.4050855,1.0422397,1.0707431,1.9183759,1.6513159,0.7978574,1.0797229,0.9474352,1.238033
Q13563,-0.777852,-0.8802824,-1.1372343,-1.335934,-0.9437302,-1.3992733,-0.922122,-0.8132324,-0.4790821,-1.0316881,-0.3695511,-0.6290493,-0.3044341,-0.1816539,0.1088801,-0.6043475
Q13564,0.6017388,0.4273594,0.5525171,0.6187625,0.4300034,0.5093961,0.4514617,0.378113,0.6000088,0.8525759,0.5520353,0.9435864,0.7180229,0.4464922,0.5621103,0.4777613
Q13572,-0.07284442,-0.07344072,0.07449929,-0.16261349,-0.03136976,-0.15229054,0.21055093,-0.05027737,-0.06858369,-0.88378347,0.32569648,-0.41280562,-0.04847934,-0.57206344,-0.30334456,-0.14610707
Q13573,-0.57657244,-0.39458073,-0.58101432,-0.69717078,-0.60505001,-0.82937148,-0.88007042,-0.78637178,-0.01649306,0.6239451,-0.23591807,-0.01679339,0.07713007,-0.29220364,-0.13456982,-0.35182454
Q13574,-0.200627308,-0.235492569,-0.233534898,-0.541531301,0.002547773,0.013493695,0.054502133,0.143432156,-1.10031773,-1.602297786,-0.709870962,-0.899050989,-0.319271432,-0.187312912,-0.633893444,-0.653404722
Q13576,-1.38828357,-1.45638807,-1.17462709,-0.78169478,-2.44937679,-2.49618789,-2.62842863,-1.4591705,0.16729443,0.13661725,-0.77997492,0.09203029,0.5903284,-0.01940609,0.50351397,-0.7023636
Q13586,0.43184826,0.50520172,0.15127829,0.46846031,0.13329967,0.21021386,0.18563124,0.15086436,0.12912176,-0.37666848,0.13577831,-0.02174123,-0.1772559,-0.10688114,-0.29664525,-0.23972494
Q13595,-1.1009309,-0.9586991,-0.847704,-0.9835523,-0.7041445,-0.8894863,-0.581189,-0.8674914,-0.5077828,-0.5121273,-0.7235595,-0.629816,-0.1561842,-0.1777478,-0.2900136,-0.3996686
Q13596,0.898996,0.9290443,0.8345917,0.9050679,0.7447758,0.6980725,0.8030908,0.789996,0.9190329,0.9466199,1.0203528,1.0721807,0.728699,0.7620751,0.9583117,0.7520979
Q13610,-1.0141667,-0.8221013,-0.9478022,-1.4278034,-0.7245894,-0.7086284,-1.1224892,-0.8822449,-0.3038111,-0.1630231,-0.8594602,-0.8609627,-0.4356318,-0.5408519,-0.336355,-0.672415
Q13613,0.33975186,0.16740897,0.41733234,0.38096877,0.21815585,0.19995549,0.19397721,0.13064567,0.0117914,0.07464188,0.20839663,0.27970977,-0.07314071,0.03783908,0.01427767,0.23837114
Q13614,0.084125021,0.141547593,0.201657883,0.276847185,0.003234026,0.200359436,0.086448414,0.236969579,-0.261369691,-0.153194302,0.048658244,-0.696785957,-0.922987746,-0.101307864,-0.567283357,-0.122210419
Q13616,0.4280235,0.5315611,0.3791402,0.3703622,0.3164588,0.3621398,0.3201439,0.302181,0.5709996,0.4785842,0.3551046,0.3409107,0.2117187,0.3652163,0.3321284,0.2887516
Q13617,0.59365181,0.67958643,0.68358051,0.62549715,0.68382693,0.69948206,0.715975,0.71767387,0.40547737,0.2915233,0.46044827,0.40580661,0.08445025,0.56297791,0.28762177,0.60530158
Q13618,0.8880396,0.9102411,0.8151974,0.791629,0.7582419,0.8338625,0.7893861,0.803822,0.6859956,0.4724686,0.6133985,0.872082,0.4901963,0.6078709,0.5892375,0.8375077
Q13619,0.33858471,0.25587965,0.31811389,0.34283983,0.18317459,0.15791166,0.03667766,0.28307075,0.4634863,0.54767055,0.12460063,0.34054502,0.56674022,0.33766949,0.40734388,0.3626535
Q13620,0.4498731,0.4775982,0.3783212,0.5608647,0.186779,0.1387317,0.1114039,0.1728021,0.5333225,0.6144039,0.3358321,0.3820367,0.2561174,0.3824272,0.1678051,0.2416633
Q13625,-0.2995016,-0.3592956,-0.3025224,-0.3038941,-0.7229767,-0.5764442,-1.0316069,-1.1256871,-0.2012879,-0.4301834,-0.0480165,-0.1664532,-0.374093,-1.076227,-0.4315327,-0.8550653
