proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
Q9Y426,-2.13E-01,-3.42E-01,-2.30E-01,-5.33E-01,-5.32E-01,-4.57E-01,-1.32E-01,-1.73E-01,-9.07E-02,-1.64E+00,-6.51E-01,-1.97E+00,-1.33E+00,-9.57E-01,-9.36E-01,-5.35E-01,-4.88E-01,-5.67E-01,-8.55E-01,-9.51E-01,-1.85E+00,-1.36E+00,-8.65E-01,-6.22E-01,-2.84E-02,9.15E-02,1.05E-01,-1.63E-01,-4.66E-01,-1.37E-01,-4.95E-01,-3.71E-01,-6.09E-01,-2.45E-01,-3.69E-02,-5.87E-05,-4.88E-01,-4.56E-01,-7.09E-01,-4.06E-01,-2.56E-01,-3.38E-01,-1.02E+00,-1.25E+00,-5.28E-01,-6.12E-01,-3.50E-01,-4.16E-01
Q9Y450,0.132269909,0.23103518,-0.112260258,0.165355844,0.149932408,0.235625672,0.482737644,0.418670982,0.45014233,0.18658373,0.083292442,0.3275663,-0.087307884,0.180686605,0.208272753,0.102839471,-0.027903925,0.050409343,0.183823779,0.126877151,0.084526117,-0.259524562,-0.041632215,0.001115912,0.272762262,0.377452456,0.334218251,0.45652035,0.224026896,0.285348464,0.44850032,0.458515993,0.430045491,0.346373243,0.209138271,0.093536557,-0.134346317,-0.006628773,0.065742923,-0.008369336,0.106477978,0.039009352,0.066957303,0.290517881,0.122866572,0.181480141,0.192584222,0.06281457
Q9Y478,-0.16580118,-0.04202805,-0.03764018,-0.36454742,-0.37964204,-0.37440569,-1.11940895,-0.75640508,-0.52846658,-0.08464106,0.04919613,-0.30888944,-0.28186533,-0.2274053,-0.25544954,-0.43029245,-0.50211019,-0.25048836,-0.29318119,-0.51101733,-0.31969955,-0.34096635,-0.50692016,-0.34453265,-0.04883994,-0.42796969,-0.36487426,-0.31830542,-0.108856,-0.11791554,-0.48796977,-0.60871286,-0.27095121,-0.49881911,-0.23741867,-0.27492244,-0.71850965,-0.79702618,-0.75574238,-0.59240125,-0.58165744,-0.50007546,-0.56704094,-0.59967662,-0.49334318,-0.70778387,-0.48919628,-0.44529811
Q9Y484,-0.776037696,-1.133520648,-0.872760688,-0.536041319,-0.871872647,-0.666340409,-0.600947972,-0.496897533,-1.087010005,-2.418678397,-1.00339052,-0.80410091,-0.901268584,-1.013392179,-0.754405362,0.005861735,-0.052539046,0.022386654,-1.248380472,-0.991213296,-1.357514211,-0.696036188,-0.570276629,-0.871400094,-0.815450643,-1.105988807,-1.478739383,-0.342927898,-1.179788932,-0.678199418,-0.799981155,-0.926640618,-1.167674032,-1.044343187,-0.742937111,-0.770940053,-0.344959541,-0.342860925,-0.528452265,-0.650124875,-0.639889376,-0.435746491,-0.76743636,-0.913214916,-0.467623345,-0.848272773,-0.555974315,-0.674243404
Q9Y485,-0.621221199,-0.390187421,-0.608619077,-0.66873114,-0.556463817,-0.822789151,-0.374596584,-0.48647096,-0.247432862,-0.607533402,-0.455219413,-0.715098708,-0.541094005,-0.423480011,-0.58294956,-0.298862828,-0.389223329,-0.45276326,-0.303094847,-0.546573196,-0.486052031,-0.278195783,-0.233953572,-0.163413182,0.323850348,0.265572887,0.187824419,-0.447424781,-0.095442262,-0.269538744,-0.235515487,-0.515964288,-0.229804832,-0.350035579,-0.163327015,-0.21066695,0.004809383,-0.149061582,-0.006002191,-0.213139481,-0.399181133,-0.293328127,-0.162007538,-0.17951221,-0.334473516,-0.105205749,-0.046650483,-0.144211696
Q9Y490,1.764878,1.785757,1.703868,1.878167,1.819636,1.84656,1.9064,1.920964,1.934543,1.99061,1.971928,2.004213,1.75414,1.72882,1.750726,1.836317,1.809452,1.787624,1.786778,1.805198,1.786134,1.586244,1.623102,1.590527,1.4298,1.42659,1.48103,1.476302,1.48427,1.531735,1.523766,1.551966,1.508017,1.553081,1.582768,1.611099,1.358182,1.385993,1.389476,1.35793,1.347989,1.360319,1.302939,1.340087,1.357209,1.318268,1.35936,1.369516
Q9Y496,0.283485941,0.277949853,1.724400392,0.304857513,0.250795018,0.329162384,0.276064156,0.294910447,0.242708902,0.081605071,0.131638973,-0.011394235,-0.070820567,0.006042312,-0.204564148,0.25881743,0.021682115,0.221591368,-0.019392341,-0.157879923,-0.027901529,0.171271929,0.177810684,0.183895145,0.717628135,0.712144604,0.737896207,0.716160651,0.721822179,0.720559612,0.437508521,0.523424823,0.585882544,0.67869221,0.565694974,0.599791472,0.446760254,0.456453869,0.4228582,0.328995218,0.487082615,0.472977108,0.603156424,0.411586777,0.393627912,0.315255521,0.439058563,0.434756064
Q9Y4A5,-0.53646932,-0.31361831,-0.60424297,0.13715119,0.17434896,0.18290015,-0.45943552,-0.56810877,-0.87003921,-0.76383576,-0.82504171,-1.16925045,-0.62609408,-0.42881658,-0.45850093,-1.12939904,-0.7798615,-1.15421371,-0.21639584,-0.42559473,-0.31166276,-0.87698945,-0.54786402,-1.17767078,-0.49619258,-0.65343976,-0.02934615,-2.35280286,-1.17947309,-1.34758893,-1.3044948,-1.58079453,-0.65889374,-0.52799185,-1.28665836,-1.35160468,-2.08604566,-1.93287562,-1.69713716,-2.05691321,-2.71616924,-1.65939946,-1.77720408,-1.26901052,-2.11248846,-1.5503916,-2.30307386,-1.85961682
Q9Y4C0,-0.84889995,-0.94981528,-0.99139844,-0.877178,-1.95948015,-0.86652325,-0.95927924,-0.88003117,-1.40745639,-1.19427233,-1.30428249,-0.93210293,-2.14978357,-1.6847757,-1.61538925,-0.398713,-0.68142174,-0.37195095,-1.50459343,-1.42422577,-0.85062035,0.22973102,0.22074035,0.25693626,0.30764252,0.19620205,0.27673617,0.12030129,0.24802936,0.38315803,0.07115995,0.07968393,0.01829606,0.36416112,0.28033876,0.20062828,0.44925894,0.47027046,0.36003303,0.429407,0.43682882,0.44769408,0.20456747,0.32555396,0.24368223,0.27185362,0.36081028,0.42326363
Q9Y4C2,-1.1352388,-1.52639714,-0.78125969,-0.09700077,-0.12999272,-0.07537134,-0.5197157,-1.01238205,-1.18483248,-0.66403817,-1.33597605,-0.99419273,-0.49242299,-0.60683243,-0.6289981,-0.50899491,-0.59470908,-0.63576367,-0.47712658,-0.62081603,-0.4641804,-1.1814615,-1.46240481,-0.81106198,-1.29795244,-1.56466373,-0.66356042,-1.23270452,-1.16140867,-1.28111283,-0.71141462,-0.96758531,-1.05789021,-1.40124932,-1.4035202,-1.10880342,-0.86971445,-1.44107989,-1.395973,-1.17876355,-0.93134611,-1.01971389,-1.54949832,-1.76419086,-1.56599163,-0.40564709,-1.08694461,-1.50103092
Q9Y4D1,-0.12743825,-1.32977767,-1.44327185,-1.54266781,-1.56640646,-1.59838074,-0.53737915,-0.55585623,-0.67158012,-1.05319845,-0.86010949,-0.91069348,-0.94780632,-0.71305998,-0.62333445,-0.07747073,-0.58414539,-1.03490551,-1.39967043,-1.04239543,-1.00861152,-0.2829792,-0.29682782,-0.4100174,-0.06816546,-0.08921803,-0.13803071,0.02475797,0.15398903,0.14200035,0.0105144,0.04999632,-0.20918907,0.2321166,-0.36035708,0.07177192,-0.07900186,-0.06670801,-0.25653665,-0.152399,-0.14602028,-0.08467403,-0.29253229,-0.3055674,-0.32792843,0.01092495,-0.30690955,-0.13784127
Q9Y4D7,-0.5227985,-0.5857412,-0.73327161,-1.52008644,-0.904991,-2.84827529,-0.09178373,-1.19331628,-0.71046979,-1.18339163,-0.8213764,-0.9193186,-1.45900133,-1.32942036,-1.17570872,-0.76309486,-1.11416203,-0.76535211,-0.42663695,-0.40993326,-0.66003475,-0.39644015,-0.95949721,-0.5629001,-0.2349447,-0.57303603,-0.26802081,-0.13953895,-0.16106383,-0.12842115,-0.47226892,-0.0964741,-0.16647457,-0.5147218,-0.09529998,0.02160212,-0.72456622,-0.61610966,-0.45942856,-0.2925471,-0.67548513,-0.37024894,-0.28089687,-0.30311685,-0.3679709,-0.36369015,-0.1435965,-0.19361706
Q9Y4D8,-0.224339292,-0.277932735,-0.261376443,-0.227944897,-0.256817056,-0.234109177,-0.182644258,-0.324544538,-0.092865013,-0.30046816,-0.775354308,-0.764490055,-0.46553638,-0.281406657,-0.266247283,-0.036625993,-0.008732959,-0.042670139,-0.44505912,-0.305316488,-0.360460995,0.140228099,0.127449669,0.209204284,-0.018977712,-0.015449855,0.090111786,0.164278875,0.042518598,0.15416866,-0.234967024,-0.071620606,0.028741245,0.166603342,0.173844002,0.249522225,0.363346167,0.362884979,0.356887813,0.373291057,0.362104867,0.433127551,0.313686406,0.31064355,0.388629137,0.43401927,0.372949604,0.207782726
Q9Y4E6,0.05736618,-0.03538963,-0.065959,-0.43521089,-0.41932955,-0.31791975,-0.17504638,-0.03114109,-0.18697112,-0.03776949,-0.21140764,-0.18637778,-0.44317002,-0.41026378,-0.46432825,0.45211614,0.47854332,0.39991808,0.16452602,0.14355973,0.10032443,0.65414133,0.55028386,0.61589465,0.87102627,0.9033592,0.80868367,0.8587347,0.84998342,0.877548,0.86568104,0.87941905,0.95328168,0.96836062,0.98088082,0.87896828,0.99735064,0.95250684,0.90616804,0.91141435,0.91848105,0.91740466,1.00960771,1.06122113,1.03297628,1.00134189,1.01728084,0.99540199
Q9Y4E8,0.1870231,0.17089157,0.21971712,-0.22080868,-0.12923267,-0.25721061,0.51482025,0.43000105,0.58251732,0.34704585,0.47316819,0.45971649,0.04971837,0.17248456,0.0809286,0.36774213,0.27991423,0.32984595,0.16394203,0.12748274,0.07372336,0.16320092,0.14120936,0.22609154,0.41828965,0.3017247,0.43011888,0.3400769,0.4438151,0.43412783,0.33842852,0.40833693,0.40527587,0.50835963,0.49895298,0.41115661,0.24598999,0.27860422,0.25417653,0.36623497,0.32511003,0.27956188,0.29598395,0.24643888,0.24747747,0.35284026,0.25424103,0.39146648
Q9Y4F1,0.4925514,0.3568161,0.4766478,0.3017389,0.248338,0.2753762,0.8292057,0.8306076,0.8844716,1.1424456,1.1646203,1.1284749,0.6781073,0.6804812,0.7207184,0.2592041,0.3764986,0.4441438,0.4615865,0.6296741,0.661636,0.7836946,0.687621,0.7078829,0.4783207,0.5585002,0.5405258,0.4747327,0.5517042,0.512588,0.7005429,0.6588588,0.4554252,0.5583998,0.6510316,0.8764139,0.7029202,0.736359,0.7277963,0.6969658,0.6431971,0.70696,0.696347,0.7113211,0.6720448,0.6209377,0.5489425,0.5636095
Q9Y4F5,1.145720842,1.538101063,1.163956967,-0.52403894,-2.686110096,-2.000295398,0.005332685,-0.03895883,0.193228147,-1.090533717,-0.833931388,-0.207363466,-1.301632734,-1.664762826,-1.043644997,-0.015642463,-0.090586254,-0.06930333,-0.368148482,-0.606409272,-0.346800857,0.415185628,0.271231091,0.235570452,0.643747213,0.551939344,0.724448547,0.796470121,0.694420493,0.722356042,0.770171624,0.750273449,0.82015315,0.659479319,0.698928749,0.682078432,0.794953534,0.81174495,0.742995886,0.940679353,0.910100995,0.881120639,0.867430505,0.834514187,0.843261026,0.795559498,0.764237893,0.690726277
Q9Y4G6,1.0020683,1.0195943,1.0317434,0.5466157,0.7009112,0.7076094,1.3973112,1.392221,1.3928703,1.1550161,1.1216156,1.096853,1.1165372,1.1446218,1.1466485,1.1536676,1.1187313,1.1238895,1.0845172,1.0932997,1.0837046,1.2476926,1.2337585,1.2076246,1.5589002,1.5444456,1.543853,1.4888764,1.5463208,1.5615706,1.5541448,1.5901913,1.5369312,1.647755,1.5392477,1.5503304,1.3829247,1.3765361,1.3429764,1.3592239,1.3948938,1.3269972,1.4686575,1.4582155,1.5096377,1.456539,1.4264609,1.4547414
Q9Y4G8,-0.05479928,-0.02854082,0.26273141,-0.3266061,-0.04796811,0.02957827,-0.20669293,-0.1897683,-0.65603552,-0.43107974,-0.31121997,-0.29410218,-0.18939819,-0.218906,-0.11844957,0.12038844,0.15264064,-0.02756884,-0.23603592,-0.19926019,-0.06190201,0.47538824,0.17616653,0.14154943,0.5354086,0.45588299,0.58696657,0.52005915,0.36673673,0.52306446,0.4774533,0.50868292,0.58584331,0.50673783,0.49961157,0.4000183,0.45774743,0.48094082,0.62164818,0.54806392,0.4610699,0.47849593,0.49258421,0.54276577,0.43683891,0.5883747,0.61535491,0.6407684
