proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
Q9BRX8,13559000,27488000,8940400,10885000,12746000,16471000,16738000,24978000,11067000,13213000,13772000,12884000,21637000,17738000,19041000,14669000
Q9BS26,5389800,10980000,3962200,3976100,5573700,13235000,2660700,10799000,8604300,13023000,6796900,9016900,6699200,5525000,7298000,9222100
Q9BS92,1812000,1298100,862700,1411900,1138800,621390,0,512080,1088000,1760400,1492000,875800,1367500,983920,1291400,1051800
Q9BSA9,0,0,0,0,0,0,0,62621,0,0,0,0,0,81515,0,54361
Q9BSD7,2145900,720120,1123300,1630000,1998200,1439600,442950,1432300,1330900,866680,1814300,1064000,62534,872390,1095900,1399500
Q9BSF4,1284800,2956700,745530,698950,1382100,994000,1103900,1311100,1292200,1026400,517500,1673600,493750,1171000,1439500,2179100
Q9BSH4,2465200,4635100,755620,624620,1821100,2026300,1009100,3678000,2318400,3524900,1726100,4600900,3181000,4757100,2803500,4078100
Q9BSH5,851680,3347000,1282600,975460,2129500,2563200,834440,4327900,2126500,3688000,2701600,6080200,3578300,3429700,4200500,3163000
Q9BSJ8,14277000,25231000,8288200,12163000,10911000,16944000,10022000,17414000,13927000,15961000,12516000,15816000,15653000,20873000,18196000,16028000
Q9BSL1,897190,1031400,610670,407290,1213000,1280400,1269300,1281300,1392500,1355100,904890,1000000,1474100,1088000,1226500,1151200
Q9BST9,276670,1163500,0,300700,133770,2308300,0,442850,595260,332820,522860,0,0,0,0,0
Q9BSU1,1400400,1033700,1488800,1167500,1199500,424700,380710,1624000,1783200,2826400,400520,2169900,2256800,2768200,1061600,3567300
Q9BT09,0,0,649320,0,271910,0,71603,273260,325640,0,311680,289950,406450,337970,345310,392940
Q9BT78,15584000,23173000,9424000,29090000,17304000,12064000,8553500,20897000,15806000,19866000,17805000,18656000,22347000,25362000,18750000,24182000
Q9BT88,7264000,1939200,4477300,1708600,7755100,1945100,7614900,1849100,348120,2302600,9315600,7010100,8039600,8617500,1715900,10848000
Q9BTE1,1738700,343470,1202700,1088600,1544800,3783300,1276800,3136900,1683900,2087900,1438900,2260400,2049600,2392900,1655200,1817800
Q9BTE6,725020,512360,571020,272250,557380,316750,697610,640230,484630,1147500,1254000,678190,841720,0,1516300,1207200
Q9BTT0,3196100,314680,2282500,0,352670,1594700,440300,1669500,1718000,714890,355560,1669900,1428100,1947200,207870,2168500
Q9BTU6,130970,1105400,95373,445800,123690,119920,144130,97403,214110,156950,105020,137130,199400,116790,146090,186590
Q9BTV4,1702300,1915400,1096000,704350,1464600,1583900,1544300,1004200,2311200,1965400,1878500,1450000,4174000,530830,2344300,711850
Q9BTV5,4441500,4895600,2686200,3307800,5096300,5150300,3015600,4798900,3139500,4594500,3921300,4122700,2997100,4892000,6615100,6510100
