proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58
,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Control,Control,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Control,Control
Q8IWX8,-0.8760528,-1.1309378,-0.9266889,1.3896058,-0.8696773,-0.9174026,-0.8622466,-0.8729472,-0.8760256,-0.9841927,-0.9682053,-1.040879,-0.9655854,-0.3534165,-0.8323114,-0.9548531,-0.9755524,-1.0201011,-1.0775152,-0.9365771,-0.8548695,-0.8988028,-0.9675437,-0.9591682,-1.0843788,-1.0666797,-1.0235629,-1.0921074,-0.9560611,-0.9396086,-0.9700385,-1.1437032,-1.019574,-0.9607542,-0.9527915,-0.9271886,-1.031898,-0.7462279,-0.9512365,-0.9977172,-0.8874333,-0.9315075,-0.9295833,-0.9814977,-1.0621879,-0.9384979,-0.8613756,-0.8469623,-0.9345224,-0.881301,-0.8350552,-0.9095715,-0.9729953,-0.9803884,-0.6118546,-0.8832673,-0.8652506,-0.9390485
Q8IWY8,-0.20937818,0.18365521,-0.17185898,-0.21041528,-0.29178737,-0.11743251,-0.19652366,-0.20522362,0.0489147,-0.09818345,-0.16620446,-0.16233124,-0.33765608,-0.22909461,-0.17334469,-0.14050752,-0.27943261,-0.2963667,-0.16339956,-0.04133598,-0.03283597,-0.26841552,-0.17063758,-0.53388746,-0.13492241,-0.47552117,0.01503535,-0.33625862,-0.34306025,-0.25991956,-0.19034078,-0.25555602,-0.22831833,-0.12590532,-0.10570044,-0.27603069,-0.38081288,-0.02623597,-0.01672529,-0.31831563,-0.23683862,-0.27519313,-0.29112118,-0.21252183,-0.42676469,-0.2625275,-0.49345597,-0.25194598,-0.2216186,-0.29322085,0.1230489,-0.5184812,-0.08427078,-0.52486965,-0.18329473,-0.35050026,-0.21119623,-0.12121747
Q8IX01,-0.16199723,-0.568491085,-0.195027178,-0.067701572,-0.308821706,-0.388743372,-1.019539453,-0.208227192,-0.126517689,-0.975320428,-0.163025505,-0.226473319,-0.265432162,-0.404354666,-0.425553272,-0.290333135,-0.106714513,-0.87873377,-0.422139697,-0.403653817,-0.029328728,-0.320387128,-0.550029241,-1.196457322,-0.190351279,-0.060016065,-0.183411129,-0.210762975,-0.143684954,-0.328935297,-0.287824034,-0.008798613,-0.396702144,-0.34096319,-0.151042069,-0.06112822,0.047579267,-0.695799197,-0.009175772,-0.094314473,-0.168032062,-0.102730171,-0.259972462,-0.119819201,-0.342657597,-0.322086206,0.007863597,-0.83696295,-0.241509832,0.139599842,0.083582461,-0.284945258,-0.048497588,-0.082979161,-0.422053711,-0.630715061,-0.423625984,-0.677298396
Q8IXB1,-0.6262055,-0.6265867,-0.42072,-0.3308848,-0.4539345,-0.443354,-0.9488119,-0.5829556,-0.9121972,-0.8582243,-0.3155202,-0.5871472,-0.4879885,-0.7165702,-0.60422,-0.6640243,-0.6152757,-0.6264514,-1.7070253,-0.4798368,-0.5188933,-0.3370943,-0.8742331,-0.5943455,-0.7956668,-0.637859,-0.7776185,-0.5840031,-0.7451675,-0.8938407,-0.8016155,-0.74011,-0.4798308,-0.4019051,-0.8171596,-0.3745188,-0.7364951,-0.4125764,-1.3222485,-0.8473578,-0.7795109,-0.5391217,-0.7093288,-0.4804084,-1.0307469,-0.9041388,-0.5748323,-0.7795106,-0.7624925,-1.030636,-0.597747,-0.6557649,-0.6950433,-0.575255,-0.5504862,-0.110721,-0.9880803,-0.2577946
Q8IXI1,-0.8637084,-1.0148906,-0.888981,-0.6995456,-0.9226722,-0.8863274,-0.7598502,-0.8757079,-0.7470266,-0.9009324,-0.7375875,-0.8418744,-0.7622371,-0.4435912,-0.7794924,-1.2125042,-0.9533729,-0.969253,-0.6227182,-0.7898946,-0.9917846,-0.9245515,-0.9232164,-0.8041134,-1.2549341,-1.5583483,-0.8610699,-1.0695077,-1.0285657,-1.0284312,-0.8805258,-1.2865832,-1.0853115,-0.8013925,-1.1474096,-1.0495267,-1.2826907,-0.8406917,-0.807491,-0.8963639,-0.8074178,-0.4473511,-0.9532414,-0.922744,-0.8740509,-0.9140308,-0.8694269,-1.1533425,-0.9481701,-0.8852204,-0.5314476,-0.7814026,-0.8117437,-0.8837906,-1.5938012,-1.2612001,-0.8525282,-0.9753835
Q8IXI2,0.52305653,0.49165241,0.36471925,0.04451127,0.53672536,0.06821864,-0.1045087,0.20374682,0.45900682,-0.05196026,0.12105167,-0.15498302,0.07318182,0.10208803,-0.03948821,0.09317104,-0.18272539,0.17092288,0.41128163,0.40666856,0.52490215,-0.26371572,0.09346141,-0.13843788,0.39996333,0.1711099,0.42778756,0.2172532,0.29382237,0.264104,0.27079112,0.38288887,0.33072173,0.35593576,0.38161687,0.37503166,0.22948169,0.32601176,0.14167956,0.0477371,0.11595267,0.06090705,0.4224931,0.38914687,0.18326802,-0.09996536,0.53982022,0.49613431,0.23572515,0.34724534,0.44398521,0.18330473,0.43317302,0.22611452,0.30534324,0.42933335,-0.01530682,0.47877467
Q8IXJ6,1.3318932,1.6069708,1.1498531,2.0384458,1.2923347,1.6417551,1.1312077,0.8517542,0.6294862,1.952649,1.4573121,1.2041659,1.5725671,1.4391741,1.0547487,1.2064772,1.1465959,1.2876808,1.23813,0.4572567,0.7860703,1.780365,1.618702,1.8797706,0.6953041,0.9584534,0.4818997,1.0904216,0.7253546,1.1989964,1.3396968,1.1307432,1.2954082,0.9157093,1.0140181,1.1257241,1.184861,0.9437895,1.2227429,1.74487,1.2708573,1.4285776,1.3171709,1.6708041,1.3006582,1.4656837,0.8712335,1.4318433,1.5280734,0.9802654,1.2556322,0.8035709,1.318946,1.4520113,1.8075684,1.6450448,1.689475,0.9084013
Q8IXS8,0.144217605,-0.477631102,0.065781976,0.254494247,0.149522325,-0.545957914,-0.2974765,-0.551822708,0.0542155,-0.121764434,0.378017011,-0.026819248,0.087216943,0.138374125,-0.317154333,0.145762114,-0.126957066,-0.032164964,0.195459112,0.207239858,-0.179272567,-0.537924041,0.301618329,-1.497448173,-0.115626386,0.264958715,-0.074970889,0.113049426,0.004943126,0.192930893,-0.188915969,0.220396371,-0.053349123,-0.044729655,0.139947675,-0.402087805,-0.023236021,0.131181424,0.267737002,-0.517840402,-0.457045135,-0.515896275,-0.588188519,-0.56879255,-0.40889061,-0.463432108,-0.007319047,-0.211416788,-0.039497579,-0.100923106,-0.870353504,0.154477772,-0.172434245,-0.461765111,0.406506935,-0.650264903,-0.301062835,-0.10566851
Q8IY17,0.151790362,0.104864119,0.3874606,0.07302923,-0.113764157,0.099562485,-0.07667422,-0.194953717,0.219950692,-0.139745696,-0.048729066,-0.45280135,0.225466645,-0.087802269,0.129803784,0.058713614,-0.193105701,-0.417412333,-0.036418376,0.139588692,0.244285744,0.037818714,0.063520795,0.008281714,0.088963358,-0.111743737,0.21507973,-0.093096752,0.253159774,0.065496221,0.302841716,-0.309987357,0.228735773,0.179545872,0.242525936,0.272839206,-0.093527254,0.208433782,-0.036737643,0.000121244,-0.155057935,0.162915566,-0.424788271,-0.584507861,0.217070478,-0.089431281,-0.189010045,-0.118081898,-0.160845735,0.032347698,0.186578775,0.142511634,0.20182491,0.284900495,-0.140870913,0.050427866,-0.468960765,0.064069655
Q8IY47,0.58417798,0.34883097,0.50135562,-0.36232056,-0.69557976,0.43926928,0.32804523,0.50869059,0.92629602,0.25290496,0.47365841,0.83206501,0.60407244,0.56688045,0.03718619,0.65739044,0.38208556,0.39993498,0.63972377,0.76000081,0.68484871,-0.49723573,0.38407601,-0.04554936,0.68813633,0.19277067,0.83576398,0.25683449,0.63300351,0.32371814,0.59212402,0.20317926,0.63525573,0.6081091,0.67635609,0.35997403,0.4951977,0.78355083,0.50548574,0.45352815,0.45802653,0.36965052,0.27878026,0.46048531,0.40915756,0.4569593,0.13763855,0.40653405,0.45245337,0.16477157,0.92333734,0.63981508,0.43649927,0.4310135,-1.00536398,0.47158539,0.45162105,0.85114807
