proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
A0FGR8,0.9252423,0.6765101,0.7402344,1.0348432,0.8501804,0.7999221,0.7649945,0.7859124,0.7865336,0.4412358,0.9914772,0.5142899,0.6582682,0.7963541,0.893703,0.8149989,0.6954885,0.4529259,0.5135042,0.8326898,1.0394772,0.9865124
A0MZ66,-1.9848762,-1.6584947,-0.7734918,-1.3188247,-1.7785262,-0.7887092,-1.8998227,-0.4569758,-0.6757979,-0.443976,-1.0299037,-1.4156925,-1.7442966,-1.4852742,-0.557087,-1.6439321,-0.6679043,-0.803239,-1.3269663,-1.9892637,-0.7112188,-1.0534391
A1L0T0,1.1623174,1.3027903,1.0271791,1.2986448,0.7136522,0.8098136,1.0488068,0.8102417,0.782658,1.3426067,1.1512687,1.309824,0.767135,1.2139266,1.1189587,1.5192796,0.7763175,1.029381,0.9609038,1.0612195,1.1863841,1.3550498
A2A3N6,-1.88590098,-1.55951534,-1.67200324,-1.21984442,-0.98058118,-1.87066307,-1.80084577,-0.01783322,-0.10266834,-1.28309122,-0.74248226,-1.31671237,-1.6453178,-1.38629422,-0.37879163,-1.54495267,-0.54814599,-1.67357496,-0.1349349,-1.89028865,-1.63163997,-1.86025222
A2NJV5,0.9942287,1.1799279,1.0255429,0.8791872,0.9428501,0.6944621,0.7862077,-0.3973997,0.6190108,1.5427856,0.730699,0.7962189,1.3190851,1.7592864,1.1789224,1.2177041,0.9925537,1.7882526,1.7574678,1.1184309,1.1588582,0.5754615
A2RRP1,0.54156657,-0.0261502,0.67330157,-1.22897269,0.60325924,0.42605177,0.33860109,0.1151345,0.18037365,-0.59325006,0.08514611,0.35706145,0.1408638,-0.08559668,-0.12093099,0.04560143,0.44282226,0.0216451,-1.23711431,0.23698894,0.61044729,0.5509593
A2RTX5,-1.946296931,-0.446633001,-0.065178965,0.250988142,0.471660128,-0.005515984,-0.027334367,-0.066381955,-1.947268016,-0.239189565,-1.690288498,-1.377111057,0.140838575,-0.283329471,-1.966668113,-0.2871052,-0.234208891,-0.446888773,-0.589415348,-0.207150846,0.415244642,0.263794952
A2RU67,-0.17954281,1.00469238,-0.96476715,0.48927191,-0.9723118,-0.17287474,-0.36985832,-0.04607707,-0.131986,0.84853147,0.10446677,0.43505403,-0.23911144,0.23267278,-0.18513636,0.65641675,-1.13295756,0.34042128,-0.52074707,0.62070936,-0.92440332,-0.44155849
A4D1P6,0.51997241,-0.26808032,0.80005488,0.40599956,0.66677887,0.46607512,0.4298435,0.20671093,-0.14625806,-0.23356943,0.01037506,-0.15671112,-0.03015014,0.03647291,0.04139182,-0.30030319,0.10004113,0.1926483,0.62893305,0.19783616,0.65158551,0.35399692
A5D8V6,-1.6254862,-1.29909556,-1.41158442,-0.9594235,-0.51477676,-1.61024785,-0.84146069,-1.53703871,-1.62645733,-1.02267041,-1.36947127,-1.05629163,-1.38489871,-1.12587365,-1.6458583,-0.09507012,-1.57977378,-1.41315617,-0.24491377,-1.629874,-1.37122075,-1.59983672
