proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
Q9H8S9,27651000,11343000,26011000,16384000,28970000,32462000,21005000,13774000,35301000,5415400,16523000,17632000,13799000,16436000,44315000,11586000,35997000,31838000,8192700,18944000,33198000,56241000
Q9H8Y8,18905000,2870600,12458000,,17236000,6936700,16624000,7306100,29132000,,9722900,,7084100,2936700,19313000,31336000,26287000,15705000,1872600,47928000,10042000,3542700
Q9H920,20419000,,20106000,,15286000,,25845000,,19915000,,14698000,,11625000,,24735000,167350000,12227000,38695000,11629000,104520000,15908000,25174000
Q9H936,353820000,4032600000,71055000,159150000,33821000,219540000,110600000,1280000000,1352800000,3068700000,1319400000,484670000,910730000,603910000,1448600000,1231600000,206640000,950170000,8726600,506790000,389490000,583800000
Q9H993,,,,,,,,,,,,,,,10286000,,10647000,,,,,
Q9H9A5,6811700,,7625500,,7001400,3795800,6347900,,,,,3742200,3688600,,2988000,,4763300,,,,3879400,6021300
Q9H9A6,21153000,6126900,31179000,9893900,12366000,29234000,15418000,18896000,14899000,1782100,4451900,10612000,19872000,6185100,10757000,8215800,51604000,12415000,2107700,47704000,11413000,14358000
Q9H9B4,718390000,4701100000,153680000,269970000,127570000,785500000,528480000,1013700000,1702800000,3211400000,1231200000,813630000,973420000,1321000000,1959300000,4916600000,250220000,2135200000,44101000,1543500000,295050000,901300000
Q9H9G7,48014000,2843900,18844000,2017300,33339000,,,3355000,6386300,1095100,10210000,7795000,24819000,4073400,32003000,3926300,3990900,,7740200,28518000,18611000,3775600
Q9H9J2,2746400,7953700,,,2221500,,6671300,,4759300,7910600,1813300,4051900,1731100,3403100,2967300,59633000,,5826600,,8903600,,3659200
Q9H9P8,6277300,13969000,,3361600,,9034400,3918100,12186000,10022000,14403000,8125800,2828400,9422600,4697000,13271000,16918000,,24991000,,15958000,4164000,3725400
Q9H9Q2,13878000,,,,22018000,70186000,18459000,32785000,,,,,7106400,,14068000,,8756800,,31065000,,10284000,3405100
Q9H9S3,10234000,22218000,,2955200,,,,6244000,11882000,7211800,9186800,1453200,9941700,3512400,,8027700,4252600,,,21018000,,
