proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43
Q8WZ42,13481000,32194000,127260000,13725000,11621000,121850000,62506000,62211000,14974000,181210000,83534000,5785700,22297000,34662000,41756000,121680000,29404000,22653000,26115000,4304600,59513000,45015000,19302000,39244000,8555800,1142900,2816500,1372900,20152000,23813000,55630000,44501000,104620000,38768000,140330000,10446000,82261000,27342000,53108000,41819000,57893000,16538000,25656000
Q8WZA0,0,0,0,5324000,0,13481000,0,8338600,5340300,0,11693000,7955300,1896600,0,6954300,3228900,0,8582900,16434000,6235700,12182000,0,21012000,0,8842600,911930,1432300,607270,0,31019000,0,0,0,10900000,10082000,15229000,8468200,7361000,0,0,8841600,0,10988000
Q8WZA9,0,18166000,10920000,1079800,12331000,1879200,14706000,0,4742500,10974000,25092000,1360100,8396000,2659200,2690700,11568000,5250700,3592000,0,4225300,16774000,8809400,0,0,13561000,1543300,1343500,4662200,0,12800000,0,0,9663900,3648700,0,13386000,2815000,5133100,9298700,0,0,21292000,11803000
Q92499,107140000,220110000,136730000,34474000,36109000,92453000,50079000,55779000,22326000,43797000,26545000,223720000,97499000,146110000,69636000,190680000,91391000,77083000,62005000,58525000,90329000,111260000,151470000,88378000,76452000,7298000,14158000,66987000,84567000,288400000,115240000,62907000,61244000,66998000,59536000,64169000,133630000,122300000,147470000,114370000,76355000,172750000,56179000
Q92504,7221200,13554000,35261000,3970300,0,13070000,11290000,8538600,0,0,0,7296200,6080800,35736000,12864000,25939000,27407000,9976600,6756200,3379300,12259000,18221000,9184800,13993000,6525600,729540,142120,1161100,8981200,21965000,10321000,8396500,0,2977900,9524700,11469000,28554000,13339000,10346000,13397000,16738000,15677000,16000000
Q92522,69475000,151700000,39557000,7416400,4630000,17428000,70187000,103850000,3999200,7507100,14262000,48918000,36118000,51541000,48513000,161730000,28634000,54915000,8493700,17046000,70295000,77122000,16425000,88681000,29398000,4236300,973750,15905000,28112000,110390000,77252000,24584000,38327000,50576000,16696000,34752000,56476000,46180000,130690000,15307000,24361000,154700000,67738000
Q92530,15384000,35086000,30771000,14634000,9733000,32908000,37955000,27192000,8659700,16053000,13439000,43884000,40976000,34314000,34497000,30662000,16868000,20651000,26517000,22016000,41589000,21773000,41176000,18698000,25152000,3698900,3596400,20783000,17495000,64315000,34977000,22427000,426570,16038000,27192000,18452000,22755000,27208000,31534000,19279000,34124000,28709000,17615000
Q92542,0,13611000,6434400,0,0,0,7624700,0,0,0,1154800,8897800,8132100,13165000,5054600,11213000,6595300,13091000,7019700,0,9893500,9788200,8565600,11192000,12812000,285150,386120,5203900,7737700,14533000,2019000,0,0,2667300,2252900,2480100,0,1563700,3923300,2692400,4461900,10215000,0
Q92558,0,0,0,0,36412000,0,0,0,12579000,42831000,51145000,0,0,0,0,0,0,0,0,6021400,0,7402400,0,0,0,0,829230,9871900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q92561,0,0,0,4788200,38413000,0,24765000,0,12407000,61988000,87699000,0,0,0,0,0,0,0,0,2558700,0,0,0,0,0,0,0,20090000,0,0,0,14199000,0,10264000,0,7094500,28352000,5392800,0,0,0,0,0
Q92575,0,0,0,3797700,5702300,0,6013500,0,0,7321700,0,0,0,0,0,0,6305200,4613500,3279100,0,8828500,7104400,0,0,2528900,0,360550,0,0,8561100,0,5591900,6201600,2500900,0,8283100,16143000,0,15759000,0,1309700,3701700,0
Q92581,0,0,4218200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q92597,38642000,48776000,0,14051000,51466000,122820000,0,38059000,81614000,56040000,107540000,20572000,143620000,0,537380000,32909000,69485000,190950000,174600000,81039000,16417000,70289000,124780000,258460000,22245000,9907500,14902000,41993000,19283000,7339900,69692000,28199000,11189000,21488000,321830000,16986000,86855000,20279000,61924000,163210000,66236000,69676000,68619000
Q92598,30801000,3084900,33183000,15518000,91335000,9893500,57144000,3055300,116410000,123130000,172720000,81187000,43119000,51944000,10640000,0,11354000,37849000,7628500,19774000,41561000,0,29172000,40973000,63141000,524360,4536600,64929000,5238600,143500000,4194300,28755000,19924000,39006000,0,81308000,67610000,57114000,19980000,66700000,28590000,23180000,6198100
Q92599,264150000,358790000,214000000,217610000,187480000,98207000,526980000,274270000,327010000,289290000,431620000,86319000,124460000,273340000,248620000,243540000,95678000,159600000,63744000,277880000,437410000,134710000,106180000,209490000,84943000,44027000,41323000,110360000,107200000,157710000,243720000,372390000,317170000,254130000,74992000,73912000,222480000,195270000,227060000,148080000,76955000,282310000,150530000
Q92609,3275000,7370600,7228900,1220600,914180,7120300,3439600,7855200,534530,1746700,2139600,1478900,0,9691300,6471100,7532400,7124400,5102100,4322700,749760,4854200,4368000,6617400,0,0,0,0,59015,3786300,0,4114300,1041200,3301100,1799600,3651700,942340,2091500,1531500,3759400,5021200,6522800,5461300,5848800
Q92614,42995000,19327000,17322000,29226000,7989700,0,26077000,20583000,6069000,10187000,33728000,0,8005100,0,6368700,207010000,7486000,11298000,18983000,14157000,40742000,0,17524000,55239000,33898000,2708000,1450900,8308900,0,0,248780000,24094000,0,0,0,5742200,2665500,0,0,10421000,12287000,0,0
Q92616,1201500,4610300,3358600,0,0,0,1587800,2196800,0,0,0,3328900,962060,6765200,3063700,1153900,0,3452900,0,0,0,968330,4253800,0,0,0,0,0,0,3332400,1298200,0,0,0,0,2552600,0,0,439520,0,0,0,0
Q92619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2817500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q92621,0,0,3082000,0,0,21800000,0,0,0,0,0,0,0,1698200,0,0,0,0,3640600,0,0,0,2367000,0,0,0,0,0,0,0,0,0,0,0,0,0,4184600,0,1545700,0,0,3123800,1475600
Q92633,0,12929000,8770700,1891900,0,0,2551600,0,2369700,2400700,5172700,261750,0,7824800,0,13117000,5379200,2494600,1277800,1851200,4314100,1545600,1375700,0,1301900,0,0,0,568250,0,0,4378400,3164100,0,0,1765000,11680000,7844000,12378000,4746900,2116800,11595000,1709700
Q92637,8997500,0,0,10922000,0,14604000,7150400,0,0,0,4002600,0,1930900,0,2120100,0,1896400,2256300,12367000,3788600,0,5974000,35247000,9838500,0,2303300,212890,0,0,1534100,0,3213700,4459600,1959400,0,0,0,0,0,7252500,37391000,0,47214000
Q92665,295770,0,2477700,0,0,2778600,0,2303600,0,0,0,0,0,0,0,0,814580,183150,0,0,0,0,0,1073200,0,0,0,0,0,0,1221300,0,0,0,0,0,1414200,0,0,0,1264900,0,0
Q92673,0,0,18681000,5994400,7479200,20845000,0,16916000,0,5022800,14537000,13123000,0,21530000,18524000,26420000,11686000,21452000,10058000,8768800,0,11353000,0,43603000,5167600,1342600,1196600,9083700,0,20126000,18706000,0,0,0,0,0,24619000,16452000,0,0,0,0,0
