proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21
P36542,2213900000,3876000000,2685100000,479060000,554830000,2595300000,994580000,2379700000,1236100000,47189000,239970000,166700000,183760000,1083700000,139700000,52263000,33589000,94694000,4413700000,453880000,1394600000
P36543,784730000,276510000,548970000,267350000,219610000,709770000,1010900000,918110000,258700000,16657000,90014000,62364000,98665000,33317000,45521000,25770000,11867000,21235000,995290000,151660000,645060000
P36575,0,0,18150000,11990000,14172000,0,0,58796000,49053000,0,0,0,4532800,0,0,0,0,0,0,7006000,0
P36578,1945500000,4297200000,630380000,362930000,580650000,273300000,1305500000,349190000,1333500000,106170000,252240000,285430000,487470000,1455100000,189720000,68067000,38354000,25808000,1669900000,200380000,719580000
P36639,134090000,279160000,0,292610000,0,9886300,104890000,17597000,95551000,6516500,0,0,0,44886000,0,0,0,0,112730000,0,219920000
P36776,2005500000,3410300000,354530000,505380000,277440000,479970000,776310000,454230000,551460000,26768000,147380000,105230000,93885000,800910000,78488000,45722000,31874000,0,1863000000,35557000,1781900000
P36871,5139600000,7598100000,1847100000,990650000,168930000,1288100000,318990000,1590800000,571220000,49146000,56646000,383960000,1207600000,2787900000,65548000,101940000,28833000,24954000,9010500000,538130000,4133200000
P36873,266680000,199400000,165810000,518330000,408690000,267390000,260620000,176520000,42627000,11953000,0,145460000,0,134310000,22562000,25892000,7907800,0,630140000,39556000,748250000
P36897,0,0,0,9372500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P36915,710240000,529700000,542140000,337770000,94183000,405970000,183570000,216230000,377810000,5704800,29455000,195670000,21044000,248940000,13661000,13940000,6359000,0,879460000,33555000,584520000
P36954,64576000,176190000,16564000,172080000,4940200,22651000,21713000,59996000,12607000,0,0,42936000,5999100,48163000,0,0,0,0,266620000,3244400,282990000
P36955,457850000,961150000,42505000,93018000,565250000,6051900,309900000,29842000,202650000,8218100,0,96540000,214130000,2182700000,42065000,2379300,8001600,21993000,510390000,733360000,4942700
P36957,1484900000,1212500000,1556000000,868150000,388060000,1192600000,530460000,1007900000,776240000,29414000,94591000,167970000,243060000,660260000,99795000,36173000,47905000,15378000,1641700000,276160000,872840000
P36959,224570000,64398000,4333500,23542000,59247000,5997300,40486000,0,54971000,0,17252000,1493200,233960000,0,0,0,0,0,131350000,33660000,71607000
P36969,446770000,687340000,559180000,568030000,16067000,147290000,290430000,431660000,365690000,12661000,0,215160000,113600000,185780000,35938000,9781500,9385100,0,875730000,15365000,522940000
P36980,0,0,0,0,0,0,224570000,0,0,0,0,0,0,0,0,0,0,0,0,28701000,0
P37059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P37108,1941300000,2440800000,20632000,370720000,1049700000,93607000,313430000,76346000,631220000,46246000,140050000,175110000,204240000,861490000,163570000,52188000,47215000,114020000,720710000,228970000,752990000
P37198,262510000,553510000,65008000,149940000,151120000,15122000,54192000,62177000,290120000,4792300,192350000,109600000,41220000,169320000,14279000,5842700,4530400,0,401550000,115780000,300520000
P37235,1598100000,171080000,2815800000,2085200000,396910000,2912500000,390260000,3791300000,173480000,13036000,230920000,451380000,22530000,38581000,34384000,68528000,14459000,15097000,1562300000,0,8753800000
P37268,65347000,0,0,0,0,0,0,0,23552000,0,0,0,0,0,0,0,0,0,0,0,0
P37275,0,202340000,0,18563000,0,0,0,0,0,0,0,0,0,22168000,0,0,0,0,404040000,0,25755000
P37802,5737400000,2664700000,293120000,903380000,1225500000,725590000,1157000000,238790000,2654600000,89748000,968450000,1050900000,1726700000,766650000,326800000,121270000,53237000,78192000,2782600000,891020000,2250900000
P37837,9299600000,7059500000,5017300000,2077600000,1325900000,2832500000,2052200000,5150500000,3195000000,125840000,685730000,1392200000,1363600000,3171500000,407930000,93162000,78224000,58953000,13652000000,1181900000,4501800000
P37840,4153500000,251850000,6483000000,686810000,574800000,6111000000,345320000,3666800000,155080000,0,1219100000,785380000,188190000,148150000,12684000,34679000,4042000,0,3618400000,803700000,309070000
P38117,1507200000,3367400000,1530600000,492580000,526700000,982890000,990260000,1143300000,798510000,22120000,168970000,180430000,400940000,743780000,87470000,10820000,9230500,0,2823800000,291710000,1095400000
P38159,3583500000,11515000000,479710000,3317400000,1127900000,895930000,2098700000,457790000,2954000000,242590000,339680000,2353900000,302610000,2260400000,912790000,318470000,210520000,505300000,6952600000,408260000,5887700000
P38432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6412100,0,0,0,0,0,25737000
P38571,0,30954000,0,2747800,0,0,4814800,0,2110700,2975800,14052000,0,0,0,3779000,0,0,0,23877000,0,3316900
P38606,5057000000,1182600000,3436500000,860510000,673890000,3180700000,945990000,3494100000,639730000,44305000,129060000,334500000,248440000,335250000,139210000,184650000,51074000,10271000,5925200000,1046200000,3966000000
P38646,14777000000,14237000000,4240900000,3910200000,4458300000,3563300000,4976900000,2837900000,4576000000,303240000,1420300000,2638600000,1418100000,5046600000,622790000,236700000,210060000,434310000,10498000000,1320800000,5746300000
P38919,1376800000,2462500000,496600000,2094300000,412330000,271860000,1094300000,330100000,1569200000,64973000,210260000,439990000,231350000,1682300000,195670000,99812000,37849000,55988000,3780000000,40828000,2332900000
P39019,2808700000,4151900000,564730000,1904600000,427870000,301850000,1724200000,359050000,1757000000,83938000,102180000,648820000,233840000,1175900000,117170000,49863000,28382000,31439000,3669200000,272930000,2823300000
P39023,1272600000,2252900000,307810000,7237500,111510000,123430000,469610000,240600000,599930000,37472000,57823000,47626000,120640000,893700000,106960000,51824000,12425000,0,1718100000,0,344080000
P39059,0,60901000,0,0,20830000,0,0,3311400,4983200,4636000,0,0,57308000,0,17572000,0,0,14573000,27251000,458660000,0
