SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
P0C0L4,C4A,0.495,,0.452,0.357,0.418,,0.942,0.811,,,0.821,0.897,,0.907,0.831,2.745,4,0.0,0,0,1
P43220,GLP1R,0.686,0.001,0.44,0.548,0.38,0.14,0.909,1.038,0.018,0.071,0.917,0.83,-0.011,0.858,0.836,2.743,5,0.0,0,0,1
P35222,CTNNB1,0.77,,0.393,0.789,0.544,,0.852,1.271,,,0.854,1.036,,0.854,1.037,2.742,4,0.0,0,0,1
P13798,APEH,0.549,0.034,0.473,0.552,0.278,0.166,0.958,1.049,0.14,0.167,0.958,0.683,0.102,0.693,0.682,2.741,5,0.0,0,0,0
Q09472,EP300,0.655,,0.516,0.694,0.405,,1.002,1.154,,,1.001,0.863,,0.875,0.864,2.74,4,0.0,0,0,1
Q8WUY3,PRUNE2,0.454,0.078,0.53,0.402,0.139,0.268,0.938,0.885,0.28,0.264,0.869,0.421,0.411,0.422,0.427,2.739,5,0.0,0,0,0
P30542,ADORA1,0.59,,0.419,0.458,0.468,,0.885,0.935,,,0.907,0.948,,0.904,0.955,2.737,4,0.0,0,0,1
P07910,HNRNPC,0.53,0.028,0.331,0.657,0.38,0.144,0.768,1.018,0.084,0.194,0.761,0.838,0.095,0.808,0.829,2.736,5,0.0,0,0,1
Q99466,NOTCH4,0.61,0.048,0.44,0.231,0.241,0.224,0.91,0.602,0.175,0.174,0.615,0.618,0.171,0.633,0.721,2.731,5,0.0,0,0,0
P05112,IL4,0.732,0.038,0.208,0.792,0.544,0.248,0.575,1.234,0.136,0.273,0.587,1.034,0.177,0.56,1.037,2.731,5,0.0,0,0,1
Q15700,DLG2,0.549,,0.524,0.562,0.392,,1.02,1.047,,,1.019,0.853,,0.857,0.852,2.73,4,0.0,0,0,1
O94817,ATG12,0.56,,0.458,0.607,0.418,,0.938,1.055,,,0.933,0.886,,0.905,0.882,2.729,4,0.0,0,0,1
P23470,PTPRG,0.645,0.069,0.513,0.482,0.127,0.286,0.998,0.961,0.251,0.245,0.975,0.411,0.389,0.393,0.391,2.727,5,0.0,0,0,0
Q14832,GRM3,0.53,,0.479,0.369,0.405,,0.969,0.823,,,0.832,0.873,,0.883,0.854,2.725,4,0.0,0,0,1
P07333,CSF1R,0.699,,0.417,0.62,0.468,,0.879,1.118,,,0.879,0.944,,0.901,0.946,2.724,4,0.0,0,0,1
O60674,JAK2,0.666,0.05,0.24,0.697,0.392,0.251,0.621,1.166,0.183,0.262,0.624,0.846,0.175,0.646,0.847,2.723,5,0.0,0,0,1
P08865,RPSA,0.637,0.025,0.503,0.543,0.278,0.178,0.986,1.033,0.124,0.14,0.996,0.681,0.062,0.688,0.683,2.719,5,0.0,0,0,0
O75436,VPS26A,0.428,,0.623,0.579,0.43,,0.894,0.897,,,1.075,0.927,,0.897,0.901,2.718,4,0.0,0,0,1
Q99700,ATXN2,0.644,,0.455,0.177,0.418,,0.928,0.508,,,0.504,0.88,,0.906,0.511,2.715,4,0.0,0,0,1
Q16653,MOG,0.606,,0.426,0.55,0.43,,0.892,1.044,,,0.898,0.898,,0.924,0.904,2.714,4,0.0,0,0,1
O94925,GLS,0.64,0.071,0.377,0.618,0.177,0.29,0.825,1.116,0.242,0.284,0.826,0.508,0.323,0.522,0.506,2.712,5,0.0,0,0,0
Q06787,FMR1,0.621,,0.411,0.501,0.468,,0.872,0.985,,,0.886,0.946,,0.894,0.961,2.712,4,0.0,0,0,1
Q9NPP4,NLRC4,0.625,,0.483,0.428,0.405,,0.963,0.894,,,0.913,0.864,,0.882,0.897,2.709,4,0.0,0,0,1
P29966,MARCKS,0.621,0.019,0.423,0.603,0.329,0.155,0.887,1.102,0.075,0.148,0.888,0.758,0.045,0.788,0.758,2.709,5,0.0,0,0,0
O14862,AIM2,0.625,,0.447,0.395,0.418,,0.919,0.851,,,0.877,0.881,,0.908,0.887,2.708,4,0.0,0,0,1
P16050,ALOX15,0.663,,0.513,0.55,0.392,,0.997,1.041,,,1.006,0.846,,0.859,0.853,2.702,4,0.0,0,0,1
Q96TC7,RMDN3,0.656,,0.637,0.02,0.342,,1.136,0.172,,,0.164,0.776,,0.776,0.051,2.688,4,0.0,0,0,0
Q8NFF2,SLC24A4,0.497,,0.662,0.537,0.392,,0.979,0.99,,,1.026,0.861,,0.846,0.855,2.687,4,0.0,0,0,1
Q13127,REST,0.636,,0.495,0.402,0.392,,0.978,0.86,,,0.876,0.847,,0.862,0.889,2.686,4,0.0,0,0,1
P02778,CXCL10,0.628,0.001,0.36,0.662,0.468,0.11,0.802,1.126,-0.023,0.127,0.802,0.945,0.031,0.821,0.944,2.686,5,0.0,0,0,1
Q9NX09,DDIT4,0.629,0.03,0.442,0.648,0.278,0.186,0.912,1.127,0.118,0.194,0.911,0.681,0.083,0.7,0.681,2.68,5,0.0,0,0,0
O43184,ADAM12,0.606,0.037,0.514,0.394,0.228,0.195,1.002,0.85,0.163,0.129,0.86,0.596,0.122,0.598,0.622,2.678,5,0.0,0,0,0
O76096,CST7,0.484,,0.414,0.319,0.405,,0.894,0.755,,,0.774,0.882,,0.902,0.777,2.678,4,0.0,0,0,1
Q92736,RYR2,0.568,0.009,0.462,0.422,0.342,0.102,0.943,0.891,0.054,0.036,0.91,0.779,0.002,0.796,0.808,2.676,5,0.0,0,0,0
O75891,ALDH1L1,0.56,,0.436,0.531,0.405,,0.91,1.027,,,0.914,0.869,,0.894,0.873,2.674,4,0.0,0,0,1
P04839,CYBB,0.674,,0.384,0.704,0.506,,0.835,1.174,,,0.836,0.99,,0.848,0.99,2.672,4,0.0,0,0,1
P02751,FN1,0.712,0.051,0.172,0.731,0.494,0.27,0.509,1.212,0.23,0.277,0.513,0.975,0.198,0.49,0.975,2.672,5,0.0,0,0,1
P13639,EEF2,0.621,0.007,0.399,0.573,0.367,0.123,0.856,1.069,0.02,0.1,0.86,0.812,0.006,0.853,0.815,2.671,5,0.0,0,0,0
Q9H3Z4,DNAJC5,0.515,,0.49,0.199,0.38,,0.984,0.545,,,0.547,0.841,,0.845,0.57,2.67,4,0.0,0,0,1
A4D1B5,GSAP,0.478,,0.715,0.366,0.392,,0.956,0.828,,,0.812,0.866,,0.848,0.854,2.669,4,0.0,0,0,1
Q13356,PPIL2,0.269,0.084,0.59,0.308,0.152,0.307,0.665,0.741,0.307,0.293,0.727,0.514,0.416,0.453,0.49,2.663,5,0.0,0,0,0
P17252,PRKCA,0.686,,0.434,0.203,0.405,,0.901,0.56,,,0.561,0.863,,0.895,0.568,2.66,4,0.0,0,0,1
Q9UHD2,TBK1,0.655,,0.434,0.546,0.405,,0.901,1.037,,,0.909,0.863,,0.895,0.871,2.659,4,0.0,0,0,1
Q9NY59,SMPD3,0.56,,0.575,0.487,0.354,,1.058,0.974,,,0.972,0.798,,0.797,0.809,2.653,4,0.0,0,0,0
Q14721,KCNB1,0.504,0.014,0.445,0.487,0.329,0.089,0.931,0.983,0.064,0.081,0.934,0.768,0.02,0.781,0.771,2.653,5,0.0,0,0,0
P62837,UBE2D2,0.394,0.047,0.501,0.466,0.241,0.164,0.862,0.87,0.188,0.179,0.957,0.646,0.168,0.622,0.628,2.652,5,0.0,0,0,0
O95185,UNC5C,0.637,,0.658,0.542,0.329,,1.136,1.032,,,1.031,0.758,,0.758,0.763,2.652,4,0.0,0,0,0
P47972,NPTX2,0.485,,0.564,0.352,0.38,,0.971,0.806,,,0.794,0.846,,0.834,0.839,2.651,4,0.0,0,0,1
O75807,PPP1R15A,0.598,,0.525,0.701,0.367,,1.016,1.094,,,1.012,0.813,,0.821,0.813,2.65,4,0.0,0,0,0
P26992,CNTFR,0.47,0.045,0.53,0.365,0.215,0.175,0.957,0.828,0.192,0.154,0.817,0.58,0.169,0.574,0.608,2.647,5,0.0,0,0,0
P21399,ACO1,0.553,,0.572,0.214,0.354,,1.05,0.572,,,0.572,0.799,,0.797,0.611,2.647,4,0.0,0,0,0
Q9BYF1,ACE2,0.629,,0.454,0.582,0.392,,0.928,1.078,,,0.931,0.847,,0.872,0.85,2.646,4,0.0,0,0,1
P34947,GRK5,0.567,0.036,0.531,0.638,0.215,0.18,1.026,1.06,0.168,0.207,1.02,0.573,0.124,0.574,0.576,2.644,5,0.0,0,0,0
P35613,BSG,0.632,0.017,0.451,0.552,0.304,0.155,0.923,1.045,0.078,0.12,0.93,0.72,0.028,0.74,0.723,2.643,5,0.0,0,0,0
