SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
Q86VX2,COMMD7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q86VR7,VSIG10L,,,,0.533,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q86V21,AACS,,,,0.433,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q86U38,NOP9,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q86UY8,NT5DC3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q86UW8,HAPLN4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q86UP8,GTF2IRD2,,,,0.527,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q86UE3,ZNF546,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q86UB9,TMEM135,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q86UB2,BIVM,,,,0.527,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q86UA1,PRPF39,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6ZMV9,KIF6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6ZMR3,LDHAL6A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6ZMD2,SPNS3,,,,0.551,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q63HM1,AFMID,,,,0.483,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6DHY5,TBC1D3G,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6B0K9,HBM,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6AZW8,ZNF660,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6A555,TXNDC8,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6A1A2,PDPK2P,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q69YU5,UQCC6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q69YN2,CWF19L1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q68DY1,ZNF626,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q68DH5,LMBRD2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q68D51,DENND2C,,,,0.5,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q68BL8,OLFML2B,,,,0.458,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q68BL7,OLFML2A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q66LE6,PPP2R2D,,,,0.498,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q66K66,TMEM198,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q66K41,ZNF385C,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q66K14,TBC1D9B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q658Y4,FAM91A1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6DWJ6,GPR139,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6ECI4,ZNF470,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6EKJ0,GTF2IRD2B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6ISS4,LAIR2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NSZ9,ZSCAN25,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NSX1,CCDC70,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6N063,OGFOD2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92538,GBF1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6MZT1,RGS7BP,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6JEL2,KLHL10,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6IV72,ZNF425,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6IQ32,ADNP2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6GPH6,ITPRIPL1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6IPT4,CYB5RL,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6IPR3,TYW3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6IPR1,ETFRF1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6IMI4,SULT6B1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6IFH4,OR6B2,,,0.486,,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6IEE7,TMEM132E,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6H9L7,ISM2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q641Q3,METRNL,,,,0.435,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q63HK3,ZKSCAN2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NUJ1,PSAPL1,,,,0.599,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q5XX13,FBXW10,,,,0.541,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q5VTQ0,TTC39B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VTH9,DNAI4,,,,0.529,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q5VTE0,EEF1A1P5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VT97,SYDE2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5U623,ATF7IP2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5TYW1,ZNF658,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5TYM5,FAM72A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5TID7,CCDC181,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5TH74,STPG1,,,,0.549,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q5TH69,ARFGEF3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5TEC6,H3-7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5TDP6,LGSN,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5TC79,ZBTB37,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5TBC7,BCL2L15,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5TAH2,SLC9C2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5T9C9,PIP5KL1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5T9C2,EEIG1,,,,0.465,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q5VTT2,CFAP95,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VU97,CACHD1,,,,0.489,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q5VUJ9,EFCAB2,,,,0.498,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q5VXT5,SYPL2,,,,0.533,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q5XG92,CES4A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5W0U4,BSPRY,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VZP5,STYXL2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VZB9,DMRTA1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VYY2,LIPM,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VYS4,MEDAG,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VXU1,NKAIN2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VXJ0,LIPK,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VUM1,SDHAF4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VXH4,PRAMEF6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VWW1,C1QL3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VVW2,GARNL3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VVH5,IRAK1BP1,,,,0.494,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q5VV63,ATRNL1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VV52,ZNF691,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q5VV17,OTUD1,,,,0.481,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6NT32,CES5A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NUK4,REEP3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6YI46,TMEM64,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6QEF8,CORO6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UX07,DHRS13,,,,,0.108,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6UWW9,TMEM207,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UWV2,MPZL3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UWT4,C5orf46,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UWQ7,IGFL2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UWM7,LCTL,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UWM5,GLIPR1L1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UWL2,SUSD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UWJ1,TMCO3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UWD8,C16orf54,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UW49,SPESP1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UW32,IGFL1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6TDU7,DNAI7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6T4P5,PLPPR3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6T310,RASL11A,,,,0.454,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6SJ96,TBPL2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6RSH7,VHLL,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UX53,TMT1B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UX73,C16orf89,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UXA7,C6orf15,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UY11,DLK2,,,,0.533,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6YFQ2,COX6B2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6XPR3,RPTN,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6X784,ZPBP2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6WBX8,RAD9B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6W3E5,GDPD4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6VUC0,TFAP2E,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6V1P9,DCHS2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UXX5,ITIH6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UXC1,MAMDC4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UXU4,GSG1L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UXS9,CASP12,,,0.567,,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6UXN2,TREML4,,,,0.563,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6UXM1,LRIG3,,,,0.474,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6UXK5,LRRN1,,,,0.502,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6UXI7,VIT,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6UXH9,PAMR1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6R2W3,SCAND3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6Q8B3,CD200R1L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NUM6,TYW1B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6Q0C1,SLC25A47,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P499,NIPAL3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P444,MTFR2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P3S6,FBXO42,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P1S2,C3orf33,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P1R4,DUS1L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P1L8,MRPL14,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P1K8,GTF2H2C;,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NZ67,MZT2B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NY19,KANK3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NXT1,ANKRD54,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NXR4,TTI2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NXR0,IRGC,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NXE6,ARMC6,,,,0.527,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6NW34,NEPRO,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NVV7,CDPF1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NUS8,UGT3A1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6NUM9,RETSAT,,,,0.402,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6P4D5,PABIR3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P4E1,GOLM2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P4F7,ARHGAP11A,,,,0.428,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6PF04,ZNF613,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PKH6,DHRS4L2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PK18,OGFOD3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PJQ5,FOXR2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PJG2,MIDEAS,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PJ21,SPSB3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PII3,CCDC174,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PI73,LILRA6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PEY0,GJB7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P582,MZT2A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PDA7,SPAG11A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6PCB8,EMB,,,,0.445,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q6PB30,CSAG1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P9H5,GIMAP6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P9G4,TMEM154,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P996,PDXDC1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q6P5S2,LEG1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8IW93,ARHGEF19,,,,0.47,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8IWF6,DENND6A,,,,0.569,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q969I3,GLYATL1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NI29,FBXO27,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NHU2,CFAP61,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NHR7,TERB2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NHQ8,RASSF8,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NHP7,EXD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NHP1,AKR7L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NHM4,PRSS3P2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NHK3,KIR2DL5B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NHC8,OR2T6,,,,0.677,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NH94,OR1L1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH92,OR1S1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH87,OR9G1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH85,OR8U3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH69,OR5W2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH59,OR51Q1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH48,OR5B3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH43,OR4L1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH19,OR10AG1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NHY6,ZFP28,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NI32,LYPD6B,,,,0.527,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8IWP9,CCDC28A,,,,,0.046,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NI99,ANGPTL6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TBH0,ARRDC2,,,,0.435,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8TBF5,PIGX,,,,0.529,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8TBF4,ZCRB1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TBE7,SLC35G2,,,,0.498,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8TBB5,KLHDC4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TB96,ITFG1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TB52,FBXO30,,,,0.431,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8TB03,CXorf38,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TAV4,STOML3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TAQ9,SUN3,,,,0.59,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8TAQ5,ZNF420,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TAL6,FIBIN,,,,0.461,0.031,,,,,,,,,,0.127,0.0,2,0.0,0,0,0
Q8TAK5,GABPB2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TAG6,VXN,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TAE6,PPP1R14C,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TAA5,GRPEL2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TAA3,PSMA8,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH10,OR8U1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGY3,OR6K3,,,,,0.2,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NGY0,OR10X1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGX3,OR10T2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGA4,GPR32P1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGA0,OR7G1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG68,TTL,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG48,LINS1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG04,SLC26A10P,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFU0,BEST4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFN8,GPR156,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFK1,GJC3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFJ8,BHLHE22,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFI3,ENGASE,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NF86,PRSS33,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEX9,SDR9C7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEW7,TMIE,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NET1,DEFB108B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEP9,ZNF555,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEN0,ARMC2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEG0,GARIN6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGC8,OR11H7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGD0,OR4M1,,,,,0.046,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NGE3,OR10P1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGR2,OR1L6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGW6,OR6K6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGW1,OR6B3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGV6,OR5H6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGT0,OR13C9,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGS8,OR13C5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGS2,OR1J2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGR6,OR1B1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGQ1,OR9G4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGG2,OR5T2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGN3,OR10G4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGM9,OR8D4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGK2,OR52B4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGJ2,OR52H1,,,,,0.138,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NGI8,OR5AN1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGI2,OR52N4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGH7,OR52L1,,,,0.677,0.108,,,,,,,,,,0.379,0.0,2,0.0,0,0,0
Q8TBP0,TBC1D16,,,,0.47,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8TBQ9,TMEM167A,,,,0.533,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8TBY0,RBM46,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WVE0,EEF1AKMT1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WYQ4,C22orf15,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WYN3,CSRNP3,,,,0.511,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8WY22,BRI3BP,,,,0.481,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8WXQ8,CPA5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WXH6,RAB40A,,,,0.687,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8WXH4,ASB11,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WXD9,CASKIN1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WXB4,ZNF606,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WXA2,PATE1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WX77,IGFBPL1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WWY7,WFDC12,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WWW8,GAB3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WWG1,NRG4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WW27,APOBEC4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WVZ7,RNF133,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WVL7,ANKRD49,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WVI0,UQCC5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WYQ9,ZCCHC14,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WZ60,KLHL6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WZ64,ARAP2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92771,DDX12P,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q969E1,LEAP2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q93073,SECISBP2L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92928,RAB1C,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92914,FGF11,,,,0.502,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q92901,RPL3L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92828,CORO2A,,,,0.452,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q92806,KCNJ9,,,,0.543,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q92747,ARPC1A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WZ79,DNASE2B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92664,GTF3A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92617,NPIPB3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92610,ZNF592,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92561,PHYHIP,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q92478,CLEC2B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WZ94,OR5P3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WZ84,OR8D1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WVH0,CPLX3,,,,0.557,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8WV60,PTCD2,,,,,0.231,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8TBZ0,CCDC110,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8WV48,CCDC107,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8TDN6,BRIX1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
