SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
P12644,BMP4,0.595,,0.305,0.354,0.031,,0.722,0.795,,,0.776,0.175,,0.09,0.098,0.987,4,0.0,0,0,0
Q13231,CHIT1,0.545,,0.484,0.529,,,0.972,1.027,,,0.975,,,,,0.972,3,0.0,0,0,0
P40925,MDH1,0.479,,0.513,0.377,,,0.971,0.844,,,0.837,,,,,0.971,3,0.0,0,0,0
P10826,RARB,0.611,,0.479,0.352,,,0.96,0.791,,,0.807,,,,,0.96,3,0.0,0,0,0
P13569,CFTR,0.628,,0.201,,0.046,,0.55,,,,,0.227,,0.181,,0.957,3,0.0,0,0,0
P25713,MT3,0.512,,0.455,0.4,,,0.941,0.869,,,0.882,,,,,0.941,3,0.0,0,0,0
O14672,ADAM10,0.611,,0.45,,,,0.923,,,,,,,,,0.923,2,0.0,0,0,0
P51151,RAB9A,0.429,,0.541,,,,0.904,,,,,,,,,0.904,2,0.0,0,0,0
P04839,CYBB,0.628,,0.432,,,,0.899,,,,,,,,,0.899,2,0.0,0,0,0
O14530,TXNDC9,,0.429,,,0.615,,,,,,,,0.896,,,0.896,2,0.0,0,0,1
P78509,RELN,0.562,,0.424,,,,0.894,,,,,,,,,0.894,2,0.0,0,0,0
P09923,ALPI,0.578,,0.422,,,,0.889,,,,,,,,,0.889,2,0.0,0,0,0
Q9NZD4,AHSP,0.413,,0.521,0.539,,,0.885,0.883,,,1.018,,,,,0.885,3,0.0,0,0,0
Q13148,TARDBP,,,0.562,0.39,0.415,,,,,,0.848,,,0.883,0.88,0.883,3,0.0,0,0,0
P00441,SOD1,,,0.387,0.159,0.4,,,,,,0.477,,,0.882,0.474,0.882,3,0.0,0,0,0
P49768,PSEN1,,,0.548,0.397,0.4,,,,,,0.86,,,0.864,0.896,0.864,3,0.0,0,0,0
Q9NP58,ABCB6,0.628,,0.389,0.414,,,0.842,0.876,,,0.879,,,,,0.842,3,0.0,0,0,0
O60260,PRKN,0.611,,0.381,,,,0.832,,,,,,,,,0.832,2,0.0,0,0,0
P30536,TSPO,0.628,,0.381,0.362,,,0.832,0.805,,,0.853,,,,,0.832,3,0.0,0,0,0
