proteinid,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
Q9NYF8,4039200,4544800,479110,189770,1534700,1373900,3012300,2008100,3627100,4167000,2879300,3433800,4093900,4141400,2661100,2518900,1579800,1352400,2185500,1751500,3406700,2934700,1268000,669910
Q9NYK5,0,0,0,0,0,0,0,0,451870,441030,175630,232050,0,0,0,0,0,0,0,0,0,0,0,0
Q9NYL9,2132200,1857400,1805300,439520,299250,258840,94953,401320,5947200,5548800,2231000,1287000,1519200,1654600,2188100,1791300,1001000,1746200,971670,561270,3775400,3007200,5347100,5444300
Q9NYU2,6200800,6230800,5814300,5463600,4268100,4196000,9430700,12675000,17465000,14967000,9539400,8382800,5432100,6423300,10925000,12061000,9287500,7602800,3334300,2879700,4817600,5624100,6538300,3511700
Q9NZ01,1174000,2045800,2166600,2310900,2668000,2120100,1168000,3473900,6857900,3760600,4621500,3263200,1571300,1319900,2576700,2811300,3968600,3261100,1264700,1548900,4144600,3028600,2079700,3694700
Q9NZ08,3087500,6138500,1953400,2314200,140210,640070,0,0,6083800,6440300,10363000,9253600,3067500,3314300,6248100,6092700,4205200,3033400,1673700,521940,6747100,6454400,2197700,1670600
Q9NZ45,137990,581490,604990,2157400,1242400,1062200,1030700,758770,4532300,3723300,1274000,1200000,1690600,1466700,356980,600910,1024700,1604400,2095600,2279700,1855400,1338100,2795600,2160600
Q9NZ52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q9NZB2,8219700,6383600,1610300,1296300,4570200,2179000,1624700,1811300,17547000,15264000,10311000,15501000,4260700,2611800,11966000,11784000,5482300,3350900,499540,179020,13994000,7760800,6680100,5082100
Q9NZD2,486080,462150,0,0,0,0,0,0,616850,708960,393300,469660,207330,0,875840,1065300,347400,0,0,0,657030,187730,504130,419120
Q9NZD4,0,114510,1001200,887040,0,0,0,0,0,0,32353,0,0,0,0,0,49350,0,2101000,2481400,0,0,0,0
Q9NZJ7,0,0,0,0,0,0,0,0,625150,0,0,0,0,0,0,0,226310,341610,226530,1226900,0,0,305090,212320
Q9NZJ9,568320,156000,0,201550,1172800,886050,2861800,3782700,892780,1303600,754970,820810,1009800,925050,1327200,1295100,555020,167380,0,0,162850,0,1356000,443850
Q9NZL9,2236900,2097100,488130,755770,1460200,1826800,1808400,2243100,1982600,2295900,3389100,1797900,2148000,1163000,1255800,1363800,1098100,238130,492920,523040,4695300,4377400,1380400,1089000
Q9NZM1,2973900,3474100,10639000,9580900,298730,0,385570,777210,9694700,8482400,184210,290590,2808400,3069400,7270600,7107300,8181600,7652100,412290,480670,281020,245000,19095000,15261000
Q9NZN3,0,0,198510,203950,91450,0,80637,0,438450,355870,251140,0,0,154600,441000,604980,168700,157830,0,0,0,44845,407210,987020
Q9NZN4,5098900,6226000,16287000,10863000,2961600,3563600,3447900,2186800,40301000,39752000,28873000,28147000,5479700,5701800,6846200,6355200,5790100,4236800,1079700,1535100,5662500,4136300,162040000,221260000
Q9NZT2,629980,471160,0,91643,1180000,373370,645570,1034700,2642100,1750700,1189000,1284000,643400,505180,733590,652360,296540,186800,55000,0,907940,561370,788720,415760
Q9NZW5,697910,1163600,1619800,1984200,9289600,8569600,6889800,7964500,13337000,12631000,40165000,33869000,2217600,1883000,12490000,12068000,4131300,3308700,607980,275640,15357000,8299800,6642700,5850600
Q9NZZ3,666960,710830,158330,0,234580,246730,78511,0,922520,547490,638480,212550,395000,514380,375860,0,401220,182940,1125900,727630,1034100,731820,1203800,622990
Q9P000,814790,1373400,0,0,0,0,466580,367770,1010400,1302400,1309700,1298500,847640,762410,1269100,1215500,0,0,287890,266650,529840,1123000,882300,905030
Q9P016,0,317030,0,243630,175120,165420,818300,1198600,1046600,1512900,209170,800750,392940,513170,176560,298180,461560,300570,282620,249760,521300,280840,354910,656090
Q9P035,291150,566670,1291200,1059100,875280,1541300,693870,652940,8468200,3722500,3947200,3222400,422550,461460,4496000,5525700,7015100,1688100,0,0,2154600,2112900,463050,308490
Q9P0J0,680320,482750,447960,380580,709230,416370,1070900,1332100,1491300,1433900,457460,393500,519860,912830,713710,647880,992740,1104800,1484500,1674700,522480,539010,828180,1571100
Q9P0J1,1783700,701900,0,875920,873450,572110,228740,0,6568600,6955800,3679200,1537100,890780,535460,764640,1111800,477340,828300,0,0,321510,533720,704150,441810
Q9P0K7,0,0,0,0,101470,0,92103,140720,1660400,1823100,768970,293150,0,126430,192110,424940,547950,479380,0,0,0,0,257770,268650
Q9P0L0,4650900,1967400,2726000,2367100,3376200,1809300,6506800,4874100,11502000,9514100,6050900,5842100,3848600,2107200,8644900,8432900,9457500,5293200,2123300,2705600,8116400,5124600,6284000,2897200
Q9P0M6,253140,561920,1148300,911980,1048700,672160,10284000,7802300,4297900,4323900,1723600,1668200,0,78635,0,101690,616610,721300,7795200,6583000,1739400,1601600,8182900,8242200
Q9P0V3,0,0,700320,755580,1623100,1557900,732150,1090300,494850,327980,0,595550,0,0,3088200,1429900,3179400,1594300,0,0,991010,857640,0,985270
Q9P0V9,2568300,2674500,0,93370,964750,702600,1087600,460400,4661100,3131900,2155300,2896400,594130,381840,1426400,1630800,1216900,1060400,111920,0,3596200,1753300,1029600,244460
Q9P1F3,3660000,3074800,662730,678850,0,783400,1324000,1488700,62152,0,1700600,782520,1631500,1544000,2644500,2079100,1157100,290250,3680400,3929800,2167600,3986900,0,0
Q9P1Z2,0,0,0,264500,191500,365970,0,120730,2537000,1545500,2349600,953510,0,0,605040,128210,0,0,0,0,0,0,0,68892
