proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
O00468,0.09987928,0.26870616,-0.46783614,-0.23877701,0.11362712,-0.03748278,-1.02389828,-0.52034946,-0.47608456,-0.29534472,-1.29745913,-0.54315744,-1.36993452,-1.05350839,-0.4148341,-0.45975868,-0.20052529,-0.20614252,-0.42025494,-0.87232678,-0.1869973,-0.48115437,0.06274292,-0.37235002
O00483,-0.280433656,-0.269138446,0.624393453,0.723890134,-0.541206048,-0.32670477,0.403494679,0.430242079,-0.140612771,-0.30975671,-0.512825831,-0.615037508,0.431408399,0.282096091,0.307439858,0.000620462,0.227862176,-1.370431735,0.596032918,0.402789252,-0.272349261,-0.321615097,-0.157835275,-1.137038457
O00487,0.129208,0.19914848,-0.29606988,-0.12637125,0.0380481,0.31152757,0.15937135,0.10299263,-0.56704705,-0.88496974,-0.19091359,-0.25469784,-0.03016692,0.0373725,-0.0198175,-0.03325083,-0.35995328,-0.11808434,-0.28982838,-0.29991578,-0.05422906,-0.06892495,-0.44102499,-0.31028678
O00499,-0.09795677,-0.12339039,-0.17296199,-0.13369394,-0.05765159,-0.05290786,-0.08172788,-0.09317853,-0.81015356,-1.05335063,-0.07408594,-0.18114329,-0.07509635,0.10912817,0.10927093,0.09108546,-0.57747556,-0.39005362,0.16309577,0.15243375,0.01697159,0.11803911,-0.73741589,-0.28732374
O00505,-0.43934477,-0.47361153,-0.20000071,-0.07189953,-0.45369903,-0.649726,-0.41491735,-0.40843312,-0.84939988,-0.99268312,-0.71582914,-0.69791838,-0.58771999,-0.61353273,-0.71632909,-0.87479909,-0.54646173,-0.74125504,-0.176561,-0.11515474,-0.24321693,-0.41327144,-0.85175887,-0.65985912
O00534,-0.909829,-1.0885372,-0.4594094,-0.3759254,-0.4032073,-0.7199506,-0.6237154,-0.5256647,-0.6505933,-0.558958,-0.7807306,-0.6108638,-0.4885854,-0.6329347,-0.217312,-0.1471594,-0.9990444,-0.4330041,-0.3255816,-0.4482212,-0.6645425,-0.7519875,-0.1312322,-0.411085
O00560,-0.68528526,-0.85692107,-0.37862145,-1.07578274,-0.5238742,-0.56132713,-0.79185623,-0.7488894,0.21289791,0.1422664,0.01726551,-0.07111805,-0.11138485,0.01356706,-0.53177234,-0.49475063,-0.15393385,-0.0798029,-0.01886472,0.04180116,-0.14843304,-0.09207368,-0.28002336,-0.07313835
O00567,-0.16122088,-0.52569052,0.15223454,0.18343263,0.28472042,-0.16990162,0.86164901,0.80628102,0.04176414,0.06216948,0.5187819,0.50203483,0.15546173,0.10090688,-0.22613599,-0.17110688,0.19372078,0.11637635,-0.45849434,-0.73296281,-0.56453477,-0.65531685,0.26157029,0.08745302
O00571,-0.14983269,0.05288426,-0.32315366,-0.06777738,-0.29270689,-0.42473716,0.27006587,0.11649663,0.41681487,0.36293873,0.50132082,0.5566194,-0.05448778,0.05591576,0.46969484,0.52248995,0.3649498,0.37545465,0.83535862,0.33327806,-0.58535338,-0.87574129,0.30774778,0.2828794
O00584,-0.140614435,-0.130902975,0.034810774,0.050784373,-0.358432972,-0.317101747,-0.070573908,-0.35772931,-0.824238577,-0.51187784,-0.509390894,-0.466281039,0.131257526,0.178287433,-0.092421208,-0.095125739,0.006663199,-0.008523076,-0.074615636,-0.016321611,-0.882130002,-0.529282506,-0.289197676,-0.163499002
O00592,0.4907076,0.57900021,0.4016195,0.29572619,0.50335415,0.30400986,-0.30631094,-0.39560631,0.54534802,0.29061977,-0.97863465,-0.62834835,0.12516783,-0.05732841,-0.35606074,-0.34423471,0.07319484,0.18515542,0.76482075,0.68328052,0.42147246,0.29478458,0.09307371,-0.0790697
O00629,0.305306396,0.213419327,-0.451263596,-0.52910991,-0.102315151,-0.04271781,-0.028896395,-0.17399613,0.037672904,0.159332251,0.363137951,0.407601817,-0.213460564,0.265956553,0.246452393,0.215165676,0.004367605,-0.22053393,-0.405136865,-0.205987266,-0.059622112,-0.043305716,0.077693876,0.042206767
O00754,0.24457428,-0.04581423,-0.16013237,0.04121538,-0.52900786,-0.1700109,-0.76700577,-0.21017951,-0.24793017,-0.22097481,-0.0350859,-0.51840672,0.22756491,0.18615604,0.05065414,-0.08385134,-0.16576658,-0.16014722,0.46559972,0.34344776,-0.06874845,-0.01481548,-0.13039768,-0.05615578
O00763,-0.6034897,-0.4734896,0.207824,0.2597122,0.6727438,0.4578513,0.2531308,0.2593538,-1.3182408,-1.0469534,-0.9528532,-0.6170272,-0.5782522,-0.326891,-0.5981701,-0.6739383,-0.6996987,-0.6976611,-0.6920474,-0.5771521,-0.3370828,-0.3491468,-0.1093587,-0.2130524
O00764,0.79103351,0.97734045,0.60022991,0.57474465,0.76962351,0.8095205,0.7348954,-0.00659368,0.37342583,0.57034877,0.58604164,0.61433874,0.74349144,0.46102305,0.81072621,0.69719111,0.62008084,0.4184369,1.21337471,1.25021924,0.40685684,0.31637896,0.23317998,0.22420621
O14494,-0.8929147,-1.0367313,-0.6356653,-0.5193322,-0.8137061,-0.7160325,-0.7887401,-0.841705,-0.3081738,-0.2490536,-0.7536312,-1.0489933,-1.0607252,-1.1717934,-0.7054564,-1.257182,-0.7008473,-0.7140662,-0.3469385,-0.3868857,-0.7057424,-0.7906072,-0.4050489,-0.8831387
O14498,0.16581327,0.20808194,0.28003414,0.27882206,0.36734634,0.50073793,0.15555136,0.16111211,0.16027327,0.16473783,-0.08661158,-0.03782305,0.34216492,0.2615137,-0.0635187,-0.03424499,-0.20044821,-0.22613473,-1.20620509,0.2710841,0.5778495,0.6409864,0.81793584,0.77264434
O14558,-0.592404588,-0.342295551,0.765665134,0.689433168,0.115184458,-0.073153372,1.299262677,1.438082297,-0.21748249,-0.174477548,-0.181473888,-0.227963015,0.461857447,0.350313837,0.036984535,0.079694527,0.000329554,0.190879609,-0.169987754,-0.127897978,0.134870203,0.05921519,-0.192793002,-0.521181667
O14561,-0.21067776,-0.2245542,-0.54479435,-0.48716395,-0.48040616,-0.39862018,-0.08174891,0.11611824,-0.01739461,-0.2515692,-0.18669661,-0.2705051,-0.2742569,-0.10412933,-0.3991261,-0.30657023,-0.28175749,-0.17660986,-0.44685293,-0.23383054,-0.18197866,-0.16144699,-0.31875498,-0.14922097
O14576,-1.57226303,-0.97999428,-1.01697272,-1.12692993,-0.240235,-0.56852663,-0.5342585,-0.20431324,-1.56164494,-1.74350386,-1.02104236,-1.32768137,-1.65375928,-1.86462439,-0.96341892,-1.35682437,-0.37229017,-0.61670542,-0.47606556,-0.40161247,0.07173688,0.08271303,-0.31848442,-0.46072141
