Protein_Id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65
E9PRG8,0.08748366,-1.35997062,-0.5786024,-0.1418172,-0.38533433,-0.82733934,-1.02232742,-0.39225798,-1.22655377,-0.54449762,-0.3976949,-0.74167419,-0.05537028,-1.10310058,-0.31360421,-1.77371424,-0.15628831,-1.21386641,-0.89677187,-0.34397061,-0.38523155,-1.39678121,-0.54031663,-0.31262226,-0.36116755,-0.83692686,-1.11596213,-0.55863872,-0.62246505,1.08538659,-0.34464833,-1.05792924,-0.30310787,-0.50931436,-1.37580344,-0.19419559,-0.40291209,-0.01601474,-1.47498231,-0.67162685,-0.38290776,-0.23999114,-0.30905388,-1.37289525,-1.42579669,0.11680042,-0.03628498,-0.52122156,-0.31438693,-0.27440929,-0.47008697,-1.03282467,-0.98519081,-0.03305604,-0.15208544,0.10270123,0.31258236,-0.08408178,0.18743641,0.47862294,-1.13914917,-0.58769077,-0.06792973,-1.31228515,-0.83808132
F8WCM5,-1.43688745,-1.18318116,-0.40181288,0.03497232,-0.20854481,-0.65054982,-0.84553791,-0.21546846,-1.04976428,-0.36770811,-0.22090538,-0.56488467,0.12141924,-0.92631108,-0.13681469,-1.59692509,0.02050121,-1.03707692,-0.71998236,-0.16718109,-0.20844203,0.91064054,-0.36352711,-0.13583274,-0.18437803,-0.66013734,-0.93917263,-0.3818492,-0.44567554,-0.23847066,-0.16785881,-0.88113973,-0.12631835,-0.33252485,0.47023862,-0.01740607,-0.22612257,-0.13122852,-1.29819288,-1.2646764,-0.20611824,-1.12821096,-1.15225789,-1.19610579,0.13600854,-1.36588763,-0.88968248,-0.34443204,-1.40662651,-1.25351205,-0.29329745,0.08168447,-0.8084013,-0.55523652,-1.29652521,-1.23473958,-0.46582554,-1.23167216,0.14221385,-0.51845261,0.42072894,-0.41090125,0.10885979,-1.13549568,-0.66129181
L0R6Q1,-1.544932948,-0.283814598,-0.509858478,-0.073073272,-0.316590407,0.545637721,-0.953583503,-0.323514055,-1.157809862,0.523005012,0.37001903,-0.672930266,0.013373646,-1.034356669,-0.244860289,-0.311305013,-0.087544387,-0.080595095,-0.103121095,0.513498505,-0.316487623,0.065425104,0.418213533,-0.243878333,0.630674488,0.375230726,0.232516894,0.332461785,0.841647033,-0.346516257,0.940385338,-0.989185322,-0.234363942,0.622719929,0.060762196,-0.125451669,-0.334168167,-1.32034391,-1.406238429,-1.372721957,-0.314163834,-1.236256535,-1.260303459,0.299508266,-1.357052807,-1.473933162,-0.997728064,-0.452477635,-1.514672028,-1.361557606,-0.401343048,-0.96408075,-0.916446893,-0.663282115,0.184968476,-1.342785136,0.803135924,-1.339717715,-0.664801744,-0.626498205,-1.070405253,1.036885199,0.000814194,0.116624224,-0.769337397
O00115,-1.030080374,0.821490208,0.004994306,0.441779513,1.958893113,1.849942825,1.02886844,1.297971068,1.590189945,1.622115873,1.412881148,0.91414526,0.528226431,0.881303055,1.045890821,1.077727091,0.427308398,1.402554939,0.755145938,0.938596105,1.327195639,0.51811626,1.511665011,1.850841524,0.999555284,1.172206302,0.47960127,0.865777016,1.003278035,1.54217025,1.212414094,0.999254771,0.280488843,0.074282344,0.843669989,0.389401116,0.180684618,0.400088213,0.505357038,-0.857869267,0.200688951,-0.7214038,-0.74545073,-0.789298635,-0.842200111,-0.959080529,-0.482875295,1.059822668,0.211437108,-0.846704911,0.113509736,0.921138404,-0.401594119,-0.148429333,-0.889718084,0.720505142,1.387508471,-0.824865011,1.194562791,-0.111645422,-0.555552492,-0.004094064,0.515666979,0.342038124,-0.254484617
O00116,-1.17623206,-0.92252571,-0.1411574,0.2956278,0.05211067,-0.38989434,-0.58488244,0.04518702,0.06478965,-0.10705263,0.0397501,-0.30422919,0.38207472,-0.66565561,0.12384079,-1.33626982,0.28115669,-0.77642145,-0.45932688,0.09347439,0.05221345,-0.95933631,-0.10287163,0.12482274,0.07627745,-0.39948187,-0.67851716,-0.12119372,-0.18502006,0.02218482,0.09279667,-0.62048426,0.13433713,-0.07186937,-0.93835853,0.24324941,0.03453291,-0.9516429,-1.03753745,-0.30505098,0.05453724,-0.86755551,-0.89160244,-0.93545034,-0.98835181,-1.10523222,-0.629027,-0.08377656,-1.14597112,-0.02893552,-0.03264197,-0.59537969,-0.54774583,-0.29458104,-1.03586978,-0.97408414,-0.20517006,0.15348675,-0.29610067,-0.25779713,-0.7017042,-0.15024577,0.36951527,-0.87484022,-0.40063633
O00139,-0.30448145,-0.49683675,-1.51055607,-1.07377103,-1.31728811,-1.75929258,-1.95427977,-1.32421176,-0.42391096,0.55942535,-1.32964867,-1.67362763,-0.98732412,0.0559809,-1.24555802,-2.70561992,-1.08824215,-2.14581661,-1.82872488,-1.2759244,-1.31718533,-0.39407165,-1.47227033,-1.24457606,-1.29312134,-1.76888008,-2.04791366,-1.4905924,0.45689691,1.23490944,1.04686421,-1.98988132,0.58956417,-1.44126808,-2.30774959,-1.12614942,-1.33486587,-2.32103347,-0.47824375,-0.68549099,-1.31486154,-0.28073771,-0.27092959,-2.3048415,-0.42718762,-0.66964457,-1.99842399,-1.45317527,-0.45678924,0.08587553,0.69483814,-1.96477694,0.02414225,-0.96500988,-2.40525642,-0.82639632,-1.57456865,-2.3404065,-1.66549913,-0.63797854,-2.07110044,0.83978812,-0.99988357,-2.24423326,-0.4621441
O00148,1.5478983,1.3035484,0.885229,1.8227368,1.077826,1.6715343,1.062761,1.1902246,1.141279,1.4043652,1.5038051,1.0001439,0.2760584,1.0199349,2.3302078,1.241551,1.2326467,1.0293129,0.8734525,1.2726373,0.8922391,1.4310305,1.6595437,1.1546036,0.6692311,1.8216902,1.2956286,1.4573276,1.6840168,1.8531091,1.8841955,0.8725289,2.0905364,2.1326389,0.8643062,1.1448557,1.7780705,1.3207049,1.2991525,1.1875253,1.2813444,1.3020742,1.4284768,1.0513752,1.1115937,1.2027847,1.1878015,1.4787285,0.7589071,1.1309184,1.979887,1.2757471,1.2826522,1.172198,1.4805221,0.7943186,1.2440311,1.1590622,1.3161351,1.8047307,1.1244361,2.2408288,0.2634989,1.3547402,1.0237759
O00151,1.4611251,1.62093817,0.64381773,1.91679655,1.38024394,1.80828102,1.41078707,2.05072832,1.66637958,1.10584967,2.14118081,0.04845942,1.88838326,1.45302336,2.72720394,1.38522502,2.36379068,0.42621478,1.88059514,1.42909435,0.04743915,1.88158663,2.42354754,2.59870018,1.64889772,1.55210084,1.20966308,1.71913122,2.00802167,2.44534782,1.94480016,1.9954391,2.01630929,2.15652747,2.01986162,1.48021021,1.99178493,-0.04608437,1.78968972,1.48928501,1.77549683,1.21239155,2.01211893,0.76542137,1.97586632,1.34305482,1.43959279,2.29773096,1.74530678,1.27460391,1.75978714,2.15589589,1.38699729,1.08702974,1.98076177,1.46268726,2.17176954,2.0765022,1.90100228,1.40431892,1.63677586,2.9851803,2.23486189,1.46466487,1.21544753
O00154,-1.826703,-1.5729972,-0.7916291,-0.3548439,-0.5983611,-1.040366,-1.2353541,-0.6052847,0.6699647,-0.7575243,-0.6107216,-0.9547009,-0.268397,-1.3161273,-0.5266309,-1.9867398,-0.369315,-1.4268931,-1.1097986,-0.5569973,-0.5982583,-1.6098077,-0.7533434,-0.525649,-0.5741943,0.8954145,-1.3289888,-0.7716654,-0.8354918,-0.6282869,-0.5576751,-1.2709559,-0.5161346,-0.7223411,-1.58883,-0.4072223,-0.6159388,-1.6021143,-1.6880088,-1.6544923,-0.5959345,-1.518027,-1.5420739,-1.5859218,-1.6388232,-1.7557034,-1.2794987,-0.7342483,-1.7964421,0.137253,-0.6831137,-1.2458514,-1.1982175,-0.2460828,-1.6863411,-1.6245555,-0.8556418,-0.2931341,-0.9465724,-0.9082688,-1.3521758,-0.8007175,-0.2809565,0.8114334,-1.051108
O00159,1.16806229,-1.84735332,-1.06598591,-0.62920072,1.17445004,-1.31472279,-1.50971077,-0.8796415,-1.71393685,-1.03188114,0.78887526,0.16797531,-0.54275381,0.26299735,-0.80098774,-0.26900361,-0.64367184,-1.70124951,0.07028601,-0.83135413,-0.87261507,-1.88416375,-1.02770014,-0.80000578,-0.84855107,-1.32431031,-1.60334539,-1.04602223,0.76046149,-0.9026437,-0.83203185,0.2909869,-0.79049139,-0.99669788,-1.86318607,-0.68157912,-0.89029561,0.30421845,0.99345647,0.42689139,1.80836181,0.20409609,0.36348127,0.81846185,0.03325948,0.42094027,-0.55182521,-1.00860507,0.28030821,-0.41895244,-0.95747049,0.65387585,0.86647471,-1.21940952,-1.96069675,0.68346168,-0.43102858,-0.19624846,-1.22092915,-1.18262562,0.62447841,0.79131932,-0.55531326,-1.79966801,-0.53448825
