proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35
O43169,1365.4,1696.8,4485.6,,2174.5,1384.3,,2816.1,9266.1,16001,5419.3,,2285,1863.9,3158.9,6358.7,2475.9,6571.9,4056.9,10145,8211.9,9109.8,12897,8378.8,6363.2,6419.1,6481,6369.4,11465,12573,10210,6396.3,9417.8,6026.2,13976
O43175,936.56,267.62,3347.2,313.6,696.75,,,3610.3,13020,11074,8766.3,13169,14842,5147,831.84,7964.7,792.37,14060,18214,15359,8670.6,22928,17761,11918,20655,21524,17772,41524,18372,32998,18998,36526,32418,21403,6795.5
O43181,,,,,,,,,,,,,189.85,,,,417.99,,4350.4,5938,3380.1,4193,6854.8,5066.6,5435.6,5410,1851.1,9204.2,4471.5,10235,5187.7,9135.8,3212.3,10687,12211
O43187,,,,,,,,,,3453,3700.3,,,,,,,,1479.9,,,987.8,2421.2,,1875.2,1727.1,3430.1,2194.2,2120,,4408.3,4488.1,4147.5,3312.4,
O43237,,,,,620.75,1667.7,1369,1986.4,6554.6,4226.2,3200.8,1091.4,,1709.5,347.82,2565.2,176.23,8705.4,4944.4,9112.8,12059,4104.8,8889.2,1287.9,7265.2,4672.7,11350,10699,11266,6835.7,3470.1,2730.6,9630.9,8735.7,4554.2
O43242,1449,,2972.6,655.28,,536.46,,,23823,19904,6973.5,3726,11704,3156.5,3992,4943.2,2038.8,356250,11063,13661,20248,15196,10360,14022,12090,8599.4,17621,20192,19303,37358,7586.1,8894.8,21743,18414,13979
O43264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O43272,,,,,,,,,,,,,,,,,,,,,,,,213.2,308.32,507,,326.3,,223.6,486.82,872.44,,,
O43295,,,,,,,,,1402.8,1111.4,1191,,,,,,,6317.6,1479.9,278.93,5114.6,1419.9,3159.4,9287.4,5411.2,1242.4,6090.8,,,2470.1,,1832.9,6973.8,,
O43298,,,3577.6,,4023,4211,,5801,7678.1,6771.5,11947,,3270.2,3989.8,,5195.4,5384,,,,,,3161.5,,,2073.3,,4012,8517,,,3406.3,,,
O43301,3121.6,1253.6,8377.9,1241.9,4772.9,290.64,,11541,102960,84949,43802,14885,14579,9192.2,2787.9,7766.5,13814,127200,31628,55867,147760,78142,97581,93128,133830,88483,125740,117800,110220,154240,65381,63971,148180,96556,104320
O43307,,,,,42.038,,,,,,,,,,,136.62,,252.62,,,1035.8,704.07,,684.29,558.17,439.03,625.9,750.71,,,,,,,
O43324,5133.5,2516,1972.1,970.99,,4056.3,1353.1,1894.1,10168,9533.9,,3998.7,6430.5,,1823.6,4190.7,2180.8,,3090,3086.9,8854,4392.6,6054,1123.5,2517,,1128.2,3637.2,5495.6,9762.9,1937,1924.3,1355.2,2783.7,1367.9
O43390,3294.9,5795.2,15693,,6458.9,525.48,,5883.3,105770,85816,22860,13751,29813,12971,19426,17252,11253,16795,7711.8,9517.5,25544,30541,19870,13843,22900,1683.5,9109.3,19665,5526.8,36061,10875,12295,16666,24999,12011
O43396,,,,,,,,,,,,,,,,,,901.42,1011.8,1058.9,,2117.5,2176.5,,,578.84,,,250.28,3958.2,1257.2,1647,291.2,4359.2,
O43399,,,,,,,,,1974.4,,,1461,,,,,,1479.9,,,10648,1449.3,2585.9,1451.5,3239,,3935.2,3792.7,4989.4,3091,7960.6,2349.2,,1583.9,1273.8
O43426,1407.4,1679.1,2348.8,1638,3657.9,,1166.3,6211.9,38065,49854,29556,8535.9,12327,10419,5025.3,12166,3797.2,101850,82940,69903,131560,88850,82063,89068,80419,57753,75909,124940,77145,126990,53092,54224,74506,79852,35476
O43432,737.16,552.32,1592.8,391.1,,,,732.12,4678.5,3284.3,3070.6,,6491.1,,649.6,824.3,109.78,2313.8,2861.4,1652,2223,2133.7,3249.9,4804.8,1480.3,636.11,2758.2,2797.9,992.9,6482.2,2954.9,1900.3,2362.6,7927.5,
O43488,,,,,,,,,,,,,,,,,,,,,,3691.7,4339.7,,,,,,,1040.4,,1574.1,1530.4,1898.5,
O43491,,,,,,,,320.73,,1343.6,973.3,357.5,513.5,,572.85,,,10320,4124.5,9996.6,6992.2,3762.5,6394.1,896.04,1527.2,1217.8,2165.2,2116.8,6892.4,8727.5,2391.3,8807.7,7432.1,7493.1,1320.1
O43493,46.8,,,,,129.82,69.147,,430.3,,117.45,,,,91.001,100.11,,2538.2,1227.7,1993.2,2870.8,2609.5,1186.4,2318.8,2316.7,1738.4,1532.5,1855.3,1607.1,1112.1,341.1,1690,641.61,2342.6,1305.5
O43505,806.07,,940.41,,,647.05,710.11,,1915.1,1834.4,1063.2,681.52,1071,,699.14,945.94,,1381.8,,1316,1835.6,1867.1,,1224.2,,,1210.4,1887.5,1397.9,1489.2,,,,1218.7,
O43548,,,,,,,,614.98,,,,,,341.28,,589.87,,,,,,,,,,,,,,,,,,,
O43566,,,,,,,,,5111.9,1204.1,1448.1,,801.03,,515.72,,801.03,12366,1398.6,,10306,3685.5,1400.9,14062,5054.6,1860,6088.1,486.77,2366.9,11425,3500.9,4081.2,3492.3,7898.5,4409.1
