proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
Q9UKM7,0,0,0,0,0,0,0,19320000,0,0,0,0,14395000,43019000,17019000,14106000,0,27504000,18593000,11816000,16253000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9915500,10715000,0,0,0,0,0,0,3566400,2664900,0,0
Q9UKM9,1666400000,1412800000,1444200000,8727500000,8376300000,5740200000,244490000,348380000,483700000,1353800000,1129200000,1164900000,5570200000,5894900000,5627100000,1543400000,1343900000,1777400000,798050000,972310000,1290500000,586400000,667640000,662390000,602850000,589260000,609810000,400760000,536440000,533940000,180780000,179520000,186280000,630870000,478000000,545470000,935810000,1099000000,942590000,445420000,564650000,541210000,180760000,194720000,152860000,485040000,294080000,483680000
Q9UKN8,124210000,131700000,116360000,500600000,496690000,452840000,0,0,0,962360,0,0,418750000,388630000,509890000,261590000,228300000,297400000,89991000,120950000,139970000,0,78403000,73099000,0,0,15569000,2191400,3688700,0,0,0,0,10331000,0,0,14453000,7952300,21973000,8369700,4890600,4908500,0,0,0,0,7155300,0
Q9UKP4,0,0,0,0,0,0,0,14688000,0,0,0,0,0,0,0,851030,1938800,3018400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28378000,0,0,0,0,0,0,0,0
Q9UKR5,0,6018400,0,0,0,0,0,0,0,0,0,0,30955000,19502000,22084000,100030000,50573000,0,29780000,27680000,24315000,80048000,77096000,82960000,0,0,0,0,0,0,0,0,0,0,0,0,41215000,30300000,0,35229000,0,26010000,0,0,0,0,0,0
Q9UKS6,73703000,0,0,0,3013300,0,29407000,32941000,24499000,0,0,0,732990000,562270000,688710000,27654000,0,0,10702000,6832200,7073700,159240000,149080000,178780000,92292000,190820000,161730000,39572000,19292000,25348000,20659000,15200000,14264000,66792000,47403000,52611000,198120000,252210000,251990000,261320000,300370000,232310000,34718000,57549000,51054000,114450000,145930000,176920000
Q9UKT5,0,0,10472000,0,0,0,0,0,0,0,0,0,148800000,188330000,92855000,9172500,0,0,20269000,8024700,10144000,0,0,0,0,6346600,0,763150,0,0,3620600,0,0,0,0,0,0,28443000,20381000,0,0,0,0,0,0,0,0,0
Q9UKT7,6703200,28029000,14879000,3946600,3418200,2740200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q9UKT8,0,0,0,0,0,26641000,0,0,0,0,4439300,0,59210000,67176000,76333000,0,0,14567000,0,0,0,0,0,0,0,0,19362000,15864000,0,0,0,0,0,0,0,0,0,6722800,4892900,0,0,0,0,0,0,0,0,0
Q9UKU0,423500000,482680000,542550000,71639000,55569000,59177000,671600000,490650000,609650000,850610000,971470000,626880000,276640000,325180000,380750000,887410000,472220000,682540000,142960000,172410000,188890000,2452500000,3243400000,3217600000,1042700000,906950000,817050000,1019800000,900420000,1017900000,538190000,474080000,467100000,1370100000,1055100000,1258800000,1775200000,2035000000,1546800000,1667500000,1844700000,1334100000,719510000,539740000,688740000,1120200000,1146800000,1680000000
Q9UKU6,0,6400500,0,0,0,0,0,0,0,0,0,0,0,0,0,5828600,0,0,0,0,3069700,6501200,0,4171000,12590000,5999400,2998500,0,0,0,0,0,0,0,7954700,7794600,58563000,5153500,0,131600000,6315500,85731000,0,0,0,18556000,2259100,28640000
Q9UKU7,212520000,266840000,265010000,536130000,829910000,695500000,121920000,85308000,115660000,301380000,301220000,175940000,1842200000,1416200000,1169700000,751790000,974460000,791430000,286090000,331780000,284790000,955770000,1053000000,956310000,156410000,89440000,182820000,329080000,324220000,306470000,48739000,91312000,78084000,222830000,186140000,120850000,804310000,776990000,816050000,1077200000,925920000,769060000,277120000,391770000,218400000,632950000,447370000,542380000
Q9UKU9,26449000,26643000,25868000,14127000,13512000,27181000,0,0,0,0,0,6914000,63321000,178320000,150440000,89909000,87292000,91280000,68295000,26299000,25643000,5794300,6588500,0,0,0,653430,5212300,0,0,0,15147000,0,0,0,0,2583300,2136300,3573400,3448600,3108700,2633000,0,0,1620900,0,0,0
Q9UKV3,2045900000,1008300000,1055000000,2661600000,3480700000,3883700000,182930000,162720000,111590000,412010000,451630000,512340000,3283300000,2856100000,2322600000,1054000000,1122700000,1274100000,580310000,523890000,571340000,500990000,757330000,346910000,446620000,522100000,621010000,386860000,224480000,286960000,91718000,44081000,53331000,340880000,197770000,208360000,309680000,343920000,372580000,283920000,298950000,329330000,69294000,60420000,92493000,150000000,234780000,265590000
Q9UKV5,13292000,11273000,0,5967200,28658000,8038100,0,0,0,3017500,12887000,0,235750000,272440000,93612000,64733000,30110000,44756000,47991000,69629000,34020000,3701800,38782000,55308000,0,0,0,0,0,0,0,0,0,0,0,0,35286000,8539600,15172000,67445000,41133000,79824000,0,8626000,0,0,0,22263000
