proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Q330K2,38450000,0,56746000,45580000,27917000,48757000,0,32876000,24900000,25060000,0,15857000,0,14001000,0,0,0,0,31783000,32701000
Q3KQU3,38967000,18307000,46087000,43428000,58600000,60358000,15376000,14208000,107720000,142700000,102420000,62546000,0,15893000,0,0,0,93035000,0,85048000
Q3KQV9,40025000,66192000,54968000,56724000,70786000,74652000,69409000,19736000,47794000,64618000,68144000,86440000,17002000,23518000,8953000,16025000,101130000,69030000,40108000,24451000
Q3LXA3,1134900000,1136600000,1163300000,958470000,1199100000,1438300000,1178900000,1266200000,1117200000,1428700000,1444800000,1136000000,876770000,666000000,1062300000,1036500000,727290000,904050000,1110500000,594150000
Q3MHD2,65280000,93333000,53828000,88859000,66192000,49956000,54523000,76192000,69120000,52246000,81265000,70958000,48728000,49230000,43038000,82679000,19677000,95892000,42016000,92237000
Q3SXM5,96941000,129930000,140400000,146120000,118830000,276440000,110160000,211170000,77057000,167450000,89289000,152080000,97900000,94094000,139920000,178480000,28721000,194140000,342070000,221970000
Q3SY69,18860000,38485000,21361000,18396000,80619000,36270000,54052000,62441000,15186000,110970000,8830600,22485000,9631400,31339000,64895000,47070000,0,35800000,27999000,0
Q3SYG4,0,0,0,0,0,28552000,0,35121000,0,0,0,0,0,22290000,0,0,0,0,0,0
Q3V6T2,302840000,439500000,740880000,303900000,484470000,492350000,403310000,473600000,358500000,384640000,340450000,210670000,364430000,92047000,329540000,201360000,39527000,409840000,131750000,105670000
Q3YEC7,407840000,374990000,486050000,438590000,324450000,682170000,316300000,542400000,399150000,602690000,652880000,297730000,350110000,166350000,311470000,357870000,140720000,407460000,523130000,438860000
Q3ZCM7,10571000000,14519000000,19493000000,16443000000,15973000000,16685000000,10978000000,20670000000,11431000000,18315000000,21297000000,11420000000,9439500000,4725900000,17067000000,13456000000,11650000000,17891000000,19042000000,20339000000
Q3ZCQ8,356450000,303680000,478200000,407250000,435450000,624220000,474110000,334620000,419180000,561490000,600250000,390440000,357720000,212180000,371660000,430960000,172490000,403800000,638460000,575200000
Q3ZCW2,846780000,801810000,1035300000,985610000,729750000,971830000,787440000,616960000,741590000,747730000,816090000,803100000,585920000,358570000,800100000,862000000,254620000,692870000,1106000000,1402800000
Q460N5,0,0,0,16937000,34651000,23890000,37449000,19834000,26862000,50435000,36452000,22169000,0,0,35876000,0,12040000,23313000,20693000,0
Q49A26,22645000,19058000,36618000,90907000,19891000,24191000,46517000,29626000,43736000,18095000,19769000,70345000,38746000,0,26616000,42403000,0,21029000,0,0
Q4G0A6,0,0,1364700,0,3256000,0,0,3351400,0,8848600,0,0,0,0,0,0,0,4449900,7097900,0
Q4G0F5,1258700000,1031000000,925130000,1325100000,964810000,1876400000,1152900000,1296500000,1073100000,980890000,1002800000,1241700000,541280000,536760000,953330000,970110000,555750000,1448100000,1367900000,1246200000
Q4G0N4,1590600000,1784600000,1928200000,1574000000,1815600000,2127000000,2250100000,1957700000,1543600000,2204800000,1875400000,1631000000,1707900000,970750000,1807300000,1412200000,828130000,1680100000,2231300000,1304900000
