proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58
Q5T9L3,0,0,0,0,0,0,0,0,2771200,0,0,0,2353300,0,0,0,0,0,0,2761700,1940200,0,0,0,2823200,0,2141700,0,3237300,0,2951700,0,0,2798200,0,12595000,0,4795000,0,0,0,0,0,0,0,0,0,0,2013600,0,2304800,0,0,0,0,0,0,1948900
Q5TA50,5042300,0,2675400,0,0,1744400,0,0,1991300,0,0,0,0,0,0,1281700,1810700,1850300,2403400,2006700,531490,0,2157000,63105,1440900,0,2068000,514580,2340200,1442200,1632500,5839400,2976100,1376500,1807400,0,182950,2302800,328830,1634500,2089300,1730200,2151700,1342900,13865000,21162000,1614600,209750,6599700,2517300,897420,925760,7580000,7830700,0,1551300,480610,1535500
Q5TBA9,14344000,21748000,9650800,0,2490900,3976300,89339,0,12085000,5386200,0,39969000,15676000,2894200,125360,2412500,7846100,3041600,4975000,8453000,0,2810400,7195700,440370,2922200,413410,4208200,5412400,10399000,6839400,8834800,7160800,1831400,3755700,11836000,0,9000000,0,10300000,6022400,5406700,8787800,6290800,4943000,5315100,18556000,127880000,0,2101000,2998000,6405000,1338600,7569900,4046400,0,11733000,3017300,3082200
Q5TC12,108790000,149380000,56490000,0,16042000,21496000,5778600,22689000,47049000,18052000,43757000,11230000,37169000,18180000,2673000,38695000,56286000,41083000,55954000,40353000,21388000,10538000,41291000,10068000,31138000,16083000,53477000,60801000,49828000,42528000,39573000,40801000,37254000,75805000,53101000,8388800,31166000,10594000,0,30818000,30908000,19893000,61570000,27614000,104870000,93178000,65986000,29942000,50177000,7037200,25587000,5711300,28782000,6013900,3450000,28878000,37958000,42522000
Q5TC84,18871000,67657000,16572000,0,3657000,0,380610,7008500,0,9687000,4934500,0,6401800,4447500,1138300,3765300,35483000,7627300,7022700,0,5365900,0,11769000,2442100,0,1188900,0,11628000,6720300,4279900,0,37468000,0,0,0,0,11654000,24984000,33857000,0,19743000,33545000,17169000,1384900,37089000,24070000,34988000,0,14329000,14828000,0,0,0,0,0,0,16600000,0
Q5TCY1,1803600,0,6561600,0,23061000,22046000,1472400,7053200,5143900,26668000,20993000,0,11806000,27133000,0,6008900,11876000,32450000,29994000,7013000,692670,14246000,2678900,0,6762600,0,11154000,2651500,9108400,5678100,7294700,20125000,7849600,7410500,6242000,0,0,1554200,4772100,7061900,9343900,3367200,8462800,4238800,10059000,1996600,13486000,141120,4308900,26943000,2267100,273990,3469600,0,0,7063600,0,3172600
Q5TCZ1,37359000,12614000,13368000,0,931680,0,0,1889500,19138000,0,0,2778600,13434000,4091600,0,10225000,9207600,0,21255000,29064000,5219900,0,5427600,518070,16305000,2617500,14665000,8483000,25506000,14955000,18256000,10530000,5820100,19143000,21867000,1161500,5844800,0,9634800,11709000,0,0,0,10448000,0,10377000,0,3429500,4389100,10009000,9240600,0,4701400,0,0,0,0,12467000
Q5TDH0,21484000,22160000,20952000,0,8588400,26838000,2681900,3429800,15423000,11413000,10074000,10602000,16554000,18397000,1339400,11747000,22433000,6302300,17158000,24806000,0,2663900,9792000,21139000,10548000,5498300,15123000,10619000,19906000,9062800,14121000,37170000,18026000,15737000,13986000,0,6041400,13179000,5942100,26579000,30394000,11958000,22630000,7324100,29449000,27660000,25092000,6264800,31504000,6966300,0,5333500,5438800,7610400,1060600,12013000,16554000,13418000
Q5TEC6,2783200000,5199900000,1809900000,65313,295010000,707290000,10786000,145700000,831610000,926660000,736770000,430720,1304300000,366340000,9096500,236560000,768500000,516540000,1085700000,724150000,395140000,470160000,761260000,52368000,866560000,0,1046500000,276700000,1067100000,659290000,1390400000,833050000,1350700000,1027700000,988170000,1440000000,23849000,0,1416800000,356850000,1040100000,17820000,868090000,0,1221400000,1157900000,0,466040000,1476600000,430490000,480050000,8438100,600820000,1189700,2262100,14989000,17076000,770940000
Q5TEU4,10988000,0,10361000,0,8202700,2835900,0,10042000,10164000,0,17015000,7071700,10094000,4144100,612030,7866300,11374000,8726300,10120000,9021800,1925000,0,0,0,6823700,2127700,9047100,14412000,8025200,1732600,7455100,5132900,7343900,2843800,3002800,3820500,14015000,6728400,0,2568700,16784000,5713000,14494000,2522900,18824000,21236000,16035000,3547800,10388000,10779000,2315800,2249800,3206200,6736500,0,17077000,13310000,3293100
