proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
P48059,0,36565000,30857000,66391000,322760000,266410000,75720000,292530000,79711000,453120000,18722000,517400000,553480000,525490000,589200000,362150000,282220000,533250000,208120000,89619000,0,0,922890,19384000,20761000,610280000,273050000,184740000,82607000
P48061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77626000,0,0,0,0,0,0,0,0,0,0,0,0
P48147,0,5729800,16816000,0,19305000,177910000,18247000,113190000,23576000,97089000,53076000,25544000,178460000,445890000,143720000,96994000,45099000,347090000,64256000,68850000,0,6209000,936540,0,2998800,0,0,16514000,7716400
P48163,4786600,0,0,0,32067000,489550000,13683000,277780000,20668000,456130000,5495400,840620000,517290000,230720000,35150000,87500000,52003000,1130100000,814500000,502790000,0,20919000,1856100,0,64524000,29389000,20115000,41110000,2147400
P48304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26295000,0,62099000
P48357,0,0,0,0,31766000,292720000,0,0,0,22246000,0,178420000,13493000,48063000,193210000,34934000,37944000,184660000,34994000,11046000,0,0,0,1584700,0,61599000,0,2059400,0
P48444,4338500,17897000,8516900,17539000,334530000,476970000,36519000,205520000,193510000,334890000,306260000,351550000,178540000,858480000,876780000,453000000,220440000,673510000,229710000,157820000,9478200,217960000,1186600,79871000,55581000,79400000,118040000,55794000,12056000
P48449,0,0,0,10632000,56281000,76840000,0,39085000,41377000,98068000,0,29521000,376330000,102970000,224400000,17920000,77100000,214600000,19173000,0,0,9460400,0,19421000,16103000,0,0,0,0
P48506,22249000,27686000,19146000,16945000,30865000,89712000,228280000,87023000,32161000,717720000,24710000,163520000,1405900000,284440000,30731000,65134000,106840000,122020000,238250000,114260000,0,11194000,0,18397000,26605000,8048500,0,0,62281000
P48507,0,0,0,0,5896800,0,22103000,0,4574300,5642200,13382000,26873000,0,18447000,13056000,1640400,15680000,43245000,0,41003000,0,0,0,0,0,1932300,0,0,0
P48509,0,0,0,0,35673000,20069000,0,0,0,8701600,0,11933000,0,0,39916000,0,0,51378000,0,5878500,0,0,0,0,0,0,0,0,0
P48553,0,0,0,0,0,0,0,19812000,0,0,0,0,16920000,4039400,13389000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
