proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65
P0DOX8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744000,0,4471900,0,0,0,2166800,0,0,2211600,8727800,3511000,0,0,0,0,0,3907700,2647100,0,0,4329300,600600,3570300,0,14284000,0,0
P0DOY2,345050000,151770000,184940000,118750000,23400000,517180000,460100000,644570000,157270000,358810000,15556000,87372000,55339000,84586000,89860000,466520000,198460000,248570000,234030000,5630900,102020000,552280000,599300000,236920000,117530000,230260000,234740000,200560000,604000000,36851000,847700000,292240000,155130000,96413000,935120000,166800000,80100000,315590000,881140000,183620000,78031000,36618000,161110000,346090000,580600000,737980000,124060000,1139600000,352460000,389990000,55257000,410520000,183040000,27906000,385530000,201400000,263090000,36454000,414400000,113860000,506690000,210900000,4050200000,410010000,176630000
P0DP25,4128200000,3256900000,1091400000,167050000,1805000000,3248400000,1290200000,484010000,1393400000,1071200000,593690000,1209200000,50080000,1331700000,706050000,7154500000,657480000,1819800000,1662300000,349070000,770900000,2935500000,1233500000,1352800000,765550000,1177900000,2215400000,689880000,835350000,830860000,930090000,1176500000,732510000,1117800000,2101300000,1027000000,945310000,1654600000,3520600000,1206400000,138770000,1209900000,1599800000,1760700000,2059500000,2504700000,1471600000,1158700000,2777600000,1205000000,751100000,1701600000,852540000,284230000,2608900000,1084300000,518320000,2038200000,1130600000,753630000,2373900000,2860700000,24669000,2226800000,984240000
P0DSN7,0,0,0,0,0,2555100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10109,12415000,1487000,13250000,0,6459500,0,6671000,0,3190300,443920,418090,768500,0,4279900,0,2543500,0,1489400,354980,0,0,1851200,0,6721500,0,3074500,0,0,0,0,0,1396600,0,6062000,0,0,0,19776000,17118000,27093000,598110,3294700,396780,1730900,17278000,3955400,11749000,0,18397000,2500900,3538400,4368500,4511400,786630,16516000,9468300,10426000,0,0,0,0,0,0,161480,9538600
P10153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2914900,0,0,18924000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10155,14056000,6811600,5061300,0,7019700,12283000,9028800,0,8769500,0,3045600,4433000,0,27081000,0,49928000,0,1412200,5252400,0,0,27140000,9041300,6514900,2303100,7861600,25483000,4182600,6674500,13816000,0,5670700,0,0,8553800,0,0,17892000,10954000,7533600,0,6381800,1199800,18227000,10680000,17377000,10308000,0,24901000,4482900,0,4251200,0,2522600,9065700,0,1119100,10778000,3630500,13087000,8012500,0,0,0,2836600
P10253,7974100,41941000,26152000,3947600,25473000,43962000,41231000,8957400,63990000,16687000,5290200,14173000,0,15813000,16203000,80377000,15072000,35870000,11136000,8340800,3170500,24402000,13521000,33395000,11353000,3670400,37270000,972340,17203000,9254700,9343700,26286000,22351000,10195000,31198000,0,22723000,23902000,41104000,5441400,0,7185400,16793000,15374000,57005000,12832000,25296000,4497500,16603000,57569000,3095300,38780000,3227400,309630,20484000,485020,21660000,44803000,20360000,2106600,14014000,14772000,0,2991600,6265800
P10321,0,0,0,0,0,0,5719500,0,22459000,4477400,0,0,0,0,0,8933100,0,0,0,0,0,0,0,4444100,0,0,14844000,38541000,0,0,0,0,0,181680000,0,0,0,0,2503500,7267900,0,1176600,0,4455200,2721900,4102000,0,42596000,0,39979000,0,4037000,1449800,0,11395000,10828000,1548900,10922000,0,0,0,0,0,0,4002700
P10412,933120000,592460000,478840000,122040000,858000000,829520000,573130000,847290000,370670000,826630000,124190000,480080000,13572000,2119300000,232010000,2859100000,948000000,654930000,317990000,416280000,546400000,959340000,1712200000,223190000,129840000,326140000,477930000,179940000,470720000,996330000,562500000,502020000,374940000,202820000,1262400000,348360000,294270000,406990000,679110000,1568800000,588240000,1032000000,484440000,1191000000,1114300000,2579800000,504650000,193860000,1300200000,422700000,595910000,548170000,273090000,308420000,631690000,617840000,1954800000,908000000,464410000,144010000,1120500000,879090000,86227000,640820000,578580000
P10451,0,5824900,6328200,0,0,0,0,0,6692500,7292000,0,0,0,0,0,3470200,0,0,0,36465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227900,0,0,0,0,15576000,294390000,19304000,0,1283100,0,0,77852000,0,31334000,2846700,0,0,1248600,0,21480000,0,2614300,4282800,0,0,0,0
P10599,189600000,103520000,13382000,16435000,44648000,51534000,24422000,1333800,46735000,2678300,43583000,24606000,0,56377000,17842000,164740000,2095300,60743000,54906000,17355000,2871100,73508000,54273000,0,18301000,102610000,74065000,58135000,42613000,68482000,9719300,67005000,43384000,15002000,26933000,11347000,29985000,68572000,46695000,121300000,18771000,64490000,85328000,135250000,93955000,52586000,19146000,53556000,60192000,87915000,14758000,49731000,32045000,9689900,516110000,126100000,4768500,138940000,22355000,76990000,45378000,150040000,0,265760000,12706000
P10606,124140000,150510000,16514000,0,39646000,216750000,142170000,54631000,163070000,123340000,51877000,111860000,0,164630000,39346000,411930000,7730400,143260000,79155000,31906000,34044000,150360000,140250000,77558000,29971000,163570000,56906000,54739000,44989000,65915000,44353000,95078000,139000000,120380000,226740000,37353000,69309000,274440000,140200000,315390000,10304000,118990000,270750000,184160000,151110000,459560000,33305000,183610000,153060000,230670000,22958000,130780000,63817000,100010000,221640000,156140000,156690000,188260000,20051000,82965000,314190000,152650000,1453700,157610000,27741000
P10636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27854000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2046800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5426100,0,0,7792800,4801300,2865700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P10644,11602000,23270000,2394100,0,6704400,14773000,0,15639000,6689400,20031000,4521200,0,0,12618000,3805100,43341000,9408700,970740,0,0,3849200,16244000,0,0,0,0,11707000,4754700,0,6813100,13025000,13237000,10086000,3369300,18628000,14750000,8396700,14679000,14993000,1434100,3399900,11531000,12009000,0,2619700,36553000,9781700,17078000,13046000,22461000,7759700,0,6415100,877880,1225900,21276000,0,0,5080200,0,12259000,19410000,0,18279000,6979600
P10768,3716900,3861300,3828900,0,0,0,0,0,9252600,0,2188500,0,0,12269000,0,37011000,0,5526400,1652700,0,0,4207400,6558300,0,0,3303100,0,1622300,0,13732000,1459200,6289100,0,3256400,8968800,0,0,4006800,9974400,7152200,591250,5995900,1086900,0,0,10459000,5685600,0,14664000,4146600,0,2427000,0,4222200,5605100,6736000,6435800,8391300,0,1778900,0,2600700,0,0,3142800
P10809,38921000,35110000,12619000,6548600,0,67622000,7310800,15636000,96156000,19443000,8773300,10272000,0,75742000,852420,54981000,391460,42539000,12962000,5522300,8625800,18601000,5401700,25942000,8380800,112440000,0,15108000,31713000,0,0,12383000,14954000,14415000,19516000,4771800,13264000,119440000,13466000,114110000,16193000,33611000,30394000,1213900,29544000,163760000,6984100,13384000,49122000,95159000,63334000,0,21540000,21867000,34115000,29763000,72297000,35494000,23298000,43527000,16125000,24993000,127370,47452000,10351000
P10909,668410000,607460000,216610000,104690000,125700000,375210000,516310000,95315000,586290000,1299700000,191460000,112520000,138070000,234370000,132090000,849480000,605870000,222160000,183860000,68370000,19482000,152580000,764300000,122250000,107090000,152030000,273320000,306730000,1011300000,711880000,528820000,320560000,256300000,75432000,255380000,220840000,830340000,179910000,289200000,1350900000,65921000,132460000,1120900000,838750000,1124000000,889750000,135870000,894100000,371530000,222830000,1810100000,187200000,482220000,29725000,6035200000,393770000,565730000,1491000000,254230000,501530000,680940000,259550000,86735000,1206400000,131430000
P10915,0,152200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33063000,0,0,0,0,37057000,0,0,0,0,0,0,0,0,0,0
P10916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702960,0,0,0,0,1565500,0,0,0,0,0,296970000,0,0,0,536990,30193000,1213900,1351000,776660000,2157700,0,0,310760,0,370730,0,524680,5422000
P11021,868080000,978720000,318880000,50740000,266760000,668530000,626090000,165330000,906560000,723780000,66036000,202400000,0,565750000,224300000,1113700000,366390000,433520000,208430000,84270000,97739000,526590000,504390000,263080000,108390000,394640000,495940000,112780000,318570000,604820000,272830000,302190000,163340000,368880000,588670000,328110000,170030000,902990000,350420000,666580000,94727000,301830000,575860000,400250000,829880000,757480000,230470000,207430000,745070000,818580000,317580000,274100000,238750000,229070000,1051000000,418040000,389110000,974100000,176940000,251370000,622070000,448630000,125400000,866410000,172710000
P11047,191980000,215930000,157280000,33258000,72035000,183120000,367620000,53792000,243250000,152590000,28684000,45880000,0,160630000,35380000,307500000,133700000,91532000,139030000,20946000,13890000,141770000,220280000,299690000,68129000,188860000,208350000,172940000,683210000,193010000,416360000,155990000,129960000,103620000,349730000,44921000,268400000,87099000,214970000,234360000,36567000,156570000,204090000,88469000,253330000,158470000,55954000,186350000,105750000,227110000,108320000,195990000,79476000,60437000,290540000,185470000,466780000,328620000,111560000,140870000,297620000,99743000,6337900,213110000,74065000
P11055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18626000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486600,0,0,0,0,0,28130000,0,0,0,0,2613000,0,0,62431000,0,0,0,0,0,0,0,0,0
P11117,10069000,34703000,12960000,0,7804300,16434000,7271500,6872200,46050000,10998000,1605800,13596000,0,14069000,9330100,40537000,8203400,27438000,9659700,3819500,13422000,40947000,9852400,0,7274500,9581600,14943000,6428400,8411300,37367000,7808600,14208000,14005000,12923000,15207000,12147000,13787000,0,16188000,9877700,0,10765000,23818000,10317000,11176000,7739500,14330000,6994800,24596000,15524000,7222900,0,5222800,9698700,24453000,21292000,0,13711000,12948000,0,9295700,0,0,24520000,7428200
P11137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109070,0,0,0,3492100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4634600,3819400,0,0,0,0,0,0,0,0,0,22071000,2191500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11142,912360000,736910000,454970000,72539000,587670000,662170000,866680000,329690000,675320000,694110000,159770000,293870000,74596000,676920000,196780000,1641600000,275710000,168800000,259910000,116410000,143900000,763980000,696520000,309980000,237900000,489110000,573160000,179200000,467220000,187010000,109940000,475420000,385040000,389840000,913510000,454200000,308120000,588400000,499500000,712520000,145190000,531720000,430760000,620400000,752870000,872450000,452720000,203440000,910440000,756950000,336320000,281850000,348340000,221220000,613670000,632890000,415820000,778350000,190070000,294860000,644050000,608310000,82593000,814900000,341370000
P11166,20431000,0,0,0,0,0,5404000,1300200,0,0,0,0,34804000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218000,0,0,0,0,0,0,0,0,8854500,0,8663800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14422000,0,0,0
P11171,11945000,2739400,0,0,0,0,0,9005500,0,10304000,0,0,115780000,0,0,12756000,0,0,0,0,0,0,0,0,1407800,0,0,0,0,0,0,0,0,0,9287100,0,0,2642700,6948200,8777700,3821800,3612700,2128100,0,6268400,1137300,1686000,0,3741200,0,0,0,0,1600700,0,3200900,0,0,0,0,0,4165900,1776600,1416300,0
P11177,23273000,10118000,0,825990,0,3007500,6665400,0,22922000,0,3718400,0,0,27220000,0,8932800,529570,15256000,573130,852880,313230,5232300,20721000,0,1332900,20698000,3966700,0,2145700,0,10870000,0,5482200,10861000,21409000,1416900,18480000,29022000,5234100,0,2311500,12672000,17163000,11010000,9054200,38382000,3912500,13665000,6512400,19532000,0,9460000,4118900,864040,12580000,4576900,0,1880200,0,0,12096000,26457000,0,2366400,0
P11215,0,5768300,4083800,0,0,0,4006800,7539400,286990000,0,3858800,786770,509360,0,6070500,53584000,23334000,3941100,16307000,0,0,47768000,0,2308000,0,115370,4472800,0,4763800,0,3376800,26974000,0,0,79343000,0,0,19819000,43759000,11682000,4592000,49796000,6389500,18505000,112620000,1209000,13447000,72667000,11887000,16536000,2063100,30505000,1155200,3853500,39592000,469060,28807000,25183000,5493100,11681000,5112800,4509200,870090,0,15614000
P11216,61750000,2248700,6501000,0,53674000,0,50104000,0,7517500,0,0,0,0,47401000,0,44970000,0,0,5690900,3318800,2304300,4115200,0,0,0,7676300,20106000,3203600,5142600,4144600,0,2334900,0,0,2078100,231360000,0,24294000,26090000,14732000,5515700,30642000,1128400,63071000,18610000,12959000,7544900,3084000,74999000,11143000,12035000,8995400,11487000,16119000,36730000,8219900,10422000,28844000,4762800,617850,0,0,0,50251000,0
P11217,0,0,0,0,0,0,8737700,0,11727000,0,3262900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9847900,0,8058400,226170,8132500,0,6907000,4033600,10078000,2662200,0,2487600,206120000,13442000,0,0,1429800,3375600,3419100,9718700,10411000,0,6619900,3591800,5178300,0,0,0,0,3666200
P11274,5430200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5143800,0,0,0,0,0,0,0,0,0,0,0,0,3055600,0,0,0,0,0,5286200,0,0,3190200,0,2897900,0,1988800,2624700,5163300,0,0,0,0,0,0,0,0,0,0,0,3191800,0,0,2830200,0,0,6391500,0,18301000,0
P11277,122610000,3887900,0,0,0,5006700,44142000,15027000,0,92258000,3961900,611600,894310000,1953500,0,58205000,44296000,5861300,1186900,634320,0,0,74935000,10278000,0,3180400,3185400,1650500,53734000,4983400,56043000,2119700,27644000,2459300,92650000,0,6647400,16318000,38146000,17015000,50236000,11771000,29947000,8921600,37272000,81913000,904870,19010000,23036000,9778600,10246000,16763000,21140000,125140,30402000,47131000,16818000,10727000,5520300,2938900,2730700,88164000,55892000,0,0
P11279,4691000,22785000,49732000,5412800,44523000,64041000,74379000,18199000,71926000,41002000,9039700,16543000,0,0,2406200,105980000,0,22148000,0,7615200,17664000,24682000,16108000,29451000,9209700,15709000,0,13044000,49785000,0,0,25802000,16201000,16404000,35281000,7018000,30423000,18771000,0,51422000,5580600,0,20445000,0,0,45232000,20220000,19597000,23610000,29007000,27298000,0,14910000,0,7104600,42389000,48867000,34530000,11924000,23636000,55514000,0,0,6127400,0
