"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","t_test_p_value"
"Q9UL25",0.369777017,-0.053407053,0.328240276,0.003018882,-0.16926543,0.22717194,-0.158401192,0.087685763,0.193060708,-0.212343745,0.209881584,0.117646731,0.445548436,-0.076014088,-0.101853094,0.066930616,-0.148188862,0.018483406,0.15006262,-0.559160067,-0.132156432,0.522441159503396
"Q9UL46",-0.15089037,0.04171509,0.23058236,0.37018694,0.25207838,-0.81274493,0.39423738,-0.09819931,0.6155395,0.30330679,0.43809423,0.32632162,0.37579303,0.47586118,0.20943248,0.0572625,0.15324373,0.10095263,0.03697812,0.24308399,0.43955364,0.952654120377814
"Q9ULA0",0.089537864,0.252830879,0.290758561,-0.333175529,-0.003780653,-0.078684726,0.087580219,-0.054145028,0.203687558,-0.568545233,-0.26165885,0.139690286,0.594654604,0.418895886,-0.253796565,-0.018495264,-0.377819552,-0.611936932,-0.049719629,0.216229791,0.169551056,0.689757953796446
"Q9ULB1",-0.4414525,-0.59859697,0.19842167,-1.14084462,-0.42095505,-0.27262713,-1.11127132,0.03275153,-1.39586624,-0.71026283,-0.17047766,-1.33906127,-0.61739304,-0.55560955,-0.29661714,-0.42748668,-0.15466601,0.04338869,-0.53063387,-0.86263005,-1.1412453,0.875552605647715
"Q9ULC3",-0.42564044,-0.99023919,0.23489276,-0.45934402,-0.25708939,-0.39252943,0.02266975,0.27478232,-0.36659422,0.11668434,-1.10502635,-0.833269,-0.55311109,-0.6827697,-0.06199746,0.28732122,-0.06666538,-0.15798884,-0.26687724,-0.72339988,-0.12524272,0.776370089562119
"Q9ULC4",-0.49971015,0.21535383,-0.52866289,-0.13210655,-0.71432503,-0.08538433,-0.26590317,0.1604391,0.10689285,-0.80688254,-0.03951908,0.2142878,0.06546955,0.34586766,-0.47345831,-0.28238226,0.19657101,-0.37555001,-0.14781442,-0.5939183,-0.06010252,0.957016277344812
"Q9ULF5",-1.3230116,-1.0793983,-0.6950508,-0.8557311,-0.2408185,-1.1075756,-1.0898167,-1.4735224,-1.4109987,-0.4215042,0.1989877,-0.5207237,-0.6696763,-1.2743816,-0.8717172,-0.5673957,-0.3890226,1.0947344,-0.3915825,0.8356235,0.3960519,0.0733679697909423
"Q9ULM3",-0.93953457,-0.94211498,-0.19477687,-0.81649976,-0.79496289,-0.98941139,-0.55252643,-0.61300202,-0.3540399,-0.21781034,0.07120012,-0.09829754,-0.99728261,-0.18574387,-0.33718295,-0.22455026,-0.28983775,1.09473436,-0.85580571,-0.34131232,-0.41105081,0.337985720300109
"Q9ULP0",0.50346763,-0.77160604,0.77873526,-0.08180656,-0.23993495,0.94570131,-0.52777855,0.83894155,-0.75467977,-0.1935598,-0.22253301,-0.7394792,-1.00667062,-0.33046139,-0.73486814,0.07004477,-0.97649371,-0.32222066,0.27381078,-1.01755137,-0.80508534,0.564020336308786
"Q9ULP9",0.250454561,0.109959933,0.179271699,0.172793557,0.007299757,0.134920831,0.131491459,0.200651475,-0.525701494,-0.052295411,-0.323472209,0.27497579,-0.803966996,-0.002990334,0.367451259,0.425727115,-0.034321255,-0.075776253,0.487092555,-1.184724823,0.539851207,0.134894681105139
"Q9ULR0",-0.612216887,-0.77331153,0.149634568,-0.58124784,-0.830314941,0.012808556,-0.079301543,-0.380545792,-0.116628795,-0.920941971,-0.422304454,0.001678912,-0.240869372,0.074124444,-0.74249415,-0.025331236,-0.001610322,1.094734356,-1.024394575,-0.356136707,-0.69849291,0.706667125366653
"Q9ULR3",0.40492434,0.008984656,0.510587206,-0.128507855,0.594693391,0.611784287,0.252661479,0.675106523,0.239178277,1.419712274,0.622535128,0.138536519,0.959525802,0.27600185,0.163807414,-0.317435948,0.578048377,-0.420928083,0.148835359,0.997026103,-0.1908036,0.310607662533946
"Q9ULU4",-0.74701501,-0.14297776,-1.44911147,-0.94759261,-0.34911632,-0.41345206,-0.56083611,-0.38951039,-1.27743794,0.15527758,-0.07951286,-0.73147448,-0.03103364,-0.28820177,-0.28104382,-0.2860657,-0.30046366,1.09473436,-0.19210284,0.58796278,0.13933742,0.218605909108396
"Q9ULU8",-0.17093748,-0.5423705,0.66836859,1.25193636,0.71162021,0.83176567,0.3554215,0.73338413,-1.00821283,-0.41576058,-0.25166554,0.59121745,-0.25396829,-0.38351375,0.5609793,1.39277868,0.51834301,-0.55165211,0.32986336,-0.04409973,1.33234422,0.749901813695093
"Q9ULV4",0.690722,0.557628,0.7703118,0.8092753,0.9950579,0.5343199,0.8909863,0.7167509,0.970222,0.8030537,0.2492058,0.951875,0.3467611,0.6374864,0.4874053,0.9174022,0.4493951,-0.5859292,0.7706883,0.5705616,0.8619331,0.474718889961302
"Q9ULX6",-1.244783575,-0.631233863,-0.718711993,-1.330352961,-0.525169388,-0.572024235,-0.480597137,-0.942164089,-1.029016244,-0.489692546,-0.164559492,-0.831000042,0.142937828,-0.719353076,-0.708913065,-0.31576372,-0.702138297,1.094734356,-0.691700903,-0.008370964,-0.614091611,0.161810513619556
"Q9UM54",-0.17234675,0.027219277,0.032081542,0.381466626,0.196522839,0.176782604,-0.006268276,0.371032446,0.204228022,-0.611647387,-0.157474552,-0.057935407,-0.045039336,-0.206260296,-0.214505822,0.698493718,-0.212300055,-0.611750066,-0.285587801,-1.169220764,0.377044867,0.182302921797608
"Q9UMR2",-0.368008824,-0.591504125,-0.541881307,0.008558986,-0.311025447,-0.482011223,-0.221861822,-0.375430038,-0.20376419,0.047313659,-0.963260034,-0.680262717,-0.365313636,-0.306870276,-0.293699955,-0.310824803,-0.016960932,-0.14137743,-0.390861549,0.016114066,-0.065575169,0.733910493355155
