"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","t_test_p_value"
"O75534",0.6286534,0.6858086,0.6715108,0.6295255,0.6442508,0.6647166,0.7235366,0.7171004,0.6812774,0.6967082,0.6029359,0.6828615,0.6413733,0.5854913,0.6451175,0.7514726,0.3995353,0.6680135,0.6568513,0.6635229,0.183070212975689
"O75569",0.5157212,0.3960969,0.5337665,0.315026,0.3966398,0.5067801,0.3626652,0.6558728,0.5458431,0.4899865,0.3683918,0.4940898,0.4790273,0.514005,0.4365916,0.4622219,0.3542266,0.1929142,0.5129845,0.369516,0.446360395789047
"O75582",-0.9836418,-0.6321897,-0.7395598,-0.9288142,-0.7170092,-0.4033837,-0.364346,-0.8195187,-0.7900357,-1.127591,-1.0838304,-0.2873401,-0.9580838,-0.9825058,-0.9360149,-0.7138116,-1.0155174,-1.1670145,-0.7719871,-1.5619461,0.0258133250757604
"O75592",-0.059359457,0.008975045,-1.461760116,0.095965925,0.059820242,0.108134103,0.096616624,-0.112023796,0.154523566,0.038149465,0.077524548,-0.121971465,-0.020935753,-0.152795121,0.011595401,0.257458569,-0.044306786,0.206122139,0.027879234,0.067734626,0.43148879853385
"O75600",-0.12370377,-0.71810943,-0.70658277,-0.92461149,-0.81182716,-0.59368531,-0.73091876,-1.3984871,-0.55031186,-0.33987243,-0.14136413,-1.20185746,-0.03533481,-0.39057714,-0.56291576,-0.63906181,-0.71356693,-1.11703413,-1.09449304,-0.85756512,0.310146074078934
"O75608",0.08493897,0.05137598,0.0114755,-0.22790629,0.03493206,0.15533492,-0.01037077,-0.30155515,0.03156247,-0.02739473,0.14238423,0.07927166,0.08035175,0.08945729,0.13065889,0.27197153,0.15884867,-0.22909723,0.04713399,0.07915113,0.129603056089218
"O75643",0.57233302,0.60864352,0.37822989,0.34435368,0.54285293,0.09115492,0.37668756,-0.06721834,0.08144352,0.20655585,0.24785931,0.50003017,0.32507773,0.22330306,-0.16888341,0.45548116,0.27339407,0.35397102,0.20019616,-0.09099122,0.542691074442394
"O75663",0.24195467,0.0750183,0.2809152,0.1565302,0.21061426,0.12336387,0.21927398,0.098092,0.22718345,0.19083311,0.15370033,0.38577958,0.16066315,0.25151458,0.28140962,0.24805853,0.23042163,-0.06996427,0.13972298,0.48530161,0.335857996571528
"O75688",0.29439705,0.176506165,0.160607963,0.169159735,0.140500648,0.133712662,0.156656431,0.098755688,0.289597277,0.266390506,0.295942256,0.208191495,0.081804264,0.07839676,0.280265288,0.009246825,0.159027444,-0.279231208,-0.178489301,-0.097913286,0.166593064776168
"O75689",0.05348481,-0.10276879,-0.08964519,-0.13303438,-0.75985214,-0.32175841,-0.04596265,0.28662302,-0.12620738,-0.38781014,-0.16126247,0.08812232,0.03141021,-0.04384281,-0.27333159,-0.19650832,0.07419472,-0.59829679,0.10352649,0.15616837,0.688953499449032
"O75694",-0.3977007,-0.25689123,-0.49928538,-0.17844662,-0.29920385,-0.29800631,-0.36884026,-0.87044373,-0.3678863,-0.29457918,-0.46675951,-0.22088821,-0.05652167,-0.27204624,-0.53368316,-0.73022642,-0.37531359,-0.35510055,-0.2778269,-0.24880549,0.643930748112213
"O75695",-0.197970989,-0.282526629,-0.046244285,0.001090781,0.028723047,-0.462529359,-0.061602806,-0.186904865,-0.235103008,-0.173083789,0.364389711,0.182688287,0.059319732,0.243782579,0.449958875,0.436153348,0.226960447,-0.924351683,0.073651776,-1.111884674,0.425946171565759
"O75746",1.4231901,1.3517885,1.3234267,1.344832,1.106877,1.2839607,1.3851347,1.5074997,1.1283816,1.0604854,1.2604484,1.3417738,1.3407941,1.246457,0.8477114,1.4083106,1.1085521,1.0586394,1.025222,1.383801,0.127817172960582
"O75781",1.0822027,1.0043052,0.9434652,1.0737385,1.1045355,1.0672205,0.9495844,1.3755731,1.1562066,1.1148193,1.1058647,0.7358534,0.7678044,1.179394,1.2258257,0.926985,0.7340981,0.5351447,1.0890356,0.8301232,0.0861720749931278
"O75787",-0.8502041,-1.1518121,-0.9845824,-1.2248114,-1.3439267,-0.920506,-1.2260031,-1.098737,-0.8507703,-1.1920297,-1.6467305,-0.1957713,-0.821675,-1.187134,-1.1727554,-0.9966649,-0.3118355,-0.6480834,-0.9947513,-1.0656917,0.243644306314877
"O75821",0.123628802,0.177133091,0.329237119,0.230638554,0.300952301,0.217176541,0.226020976,0.03018155,0.211134476,0.172224525,0.199881617,0.190677754,0.224105249,0.261004742,0.365181372,0.211550266,0.098738134,0.279836922,0.071601452,0.006441117,0.560924167206923
"O75822",0.083,0.226,-0.11,0.186,0.213,-0.0766,-0.0873,0.274,0.192,0.129,0.0603,0.0101,0.0751,0.0656,0.0872,-0.205,-0.0311,0.0762,0.222,1.13e-09,0.399971038194685
"O75828",0.7270564,0.7428779,0.8208828,0.8784917,0.9130359,0.9101242,0.8305856,0.7696162,0.8381766,0.8547168,0.8901777,0.8084246,0.7831597,0.8583943,0.8265849,0.9234721,0.835775,1.002409,0.8436672,0.937981,0.294426973217999
"O75832",0.14352632,0.07772328,0.05961489,0.34741805,0.09155987,0.49351611,0.35410859,-0.35665756,0.27499221,0.32229826,0.33804455,0.06478823,0.08910454,0.27594799,0.20291352,0.28719761,0.2631555,0.24492837,0.19694491,0.2309299,0.545793990076038
"O75844",-1.2676546,-1.1097006,-1.0049358,-1.0255256,-1.0776425,-0.9821849,-0.9892983,-1.1497001,-1.1993324,-1.2274975,-1.2137408,-1.0352132,-1.3284033,-0.9427078,-0.7727419,-0.7630248,-0.7509955,-0.8188801,-1.0126036,-1.0037965,0.26004835099657
"O75874",0.9895483,1.0211574,1.0553152,1.1825269,1.059444,1.0250542,1.1053671,0.8427675,1.0554782,1.096632,1.1771184,1.0395494,0.9866907,1.1011648,1.09681,1.1532864,1.1765779,1.1563138,1.0811855,1.0562553,0.157451559579821
"O75880",-0.2934875,-1.1391655,-0.5523301,-0.5320189,-0.8144369,-0.5704306,-0.7274993,-0.7119761,-0.6442977,-0.7153892,-0.5540694,-0.9658969,-0.2843997,-0.2616296,-0.7855185,-0.8872622,-0.558407,-0.6704249,-0.1931625,-0.4412883,0.208672321331429
"O75884",0.03120046,0.41857396,0.55517294,0.36895886,0.29713682,0.39954996,0.39788135,0.1984708,0.3919412,0.37659441,0.45129742,0.33890291,0.32966149,0.34836097,0.55719798,0.1101693,0.20493982,0.27552202,0.17911415,0.2634654,0.224604675278957
"O75886",-0.7961215,-0.5489513,-0.8578865,-0.7235591,-0.5211156,-0.6243658,-0.9023487,-0.8019419,-0.7269432,-0.7255698,-0.7708348,-0.4845957,-0.7519105,-0.6049778,-0.4117951,-0.70906,-1.2745137,-0.4828432,-0.6706845,-0.5471808,0.667211100733087
"O75891",1.360996,1.388658,1.750156,1.458924,1.443226,1.72912,1.505734,1.442018,1.361937,1.339173,1.507558,1.43457,1.370126,1.421873,1.449918,1.48871,1.467811,1.405686,1.449415,1.431162,0.196382169492383
"O75914",0.07538616,0.15270595,-0.0975641,0.12440968,0.01598228,0.13557203,0.20937378,0.46155907,0.18605025,0.20462952,0.1617855,0.20715789,0.15438544,0.18322155,0.16109465,0.14297205,0.15069006,-0.50178411,0.15264107,0.32752512,0.763393524995045
"O75915",0.273102706,0.18307036,-0.039481809,0.233594642,0.087005762,0.120242314,-0.017748175,0.440865016,-0.073814365,-0.032855207,0.019604392,-0.087261934,0.009223175,0.09146525,0.17785351,-0.186081317,0.029014696,0.204553834,0.381675998,0.126844323,0.521891085937932
"O75934",-0.6372201,-0.6680021,-1.3807145,-1.3320316,-0.8794642,-0.4793186,-0.8669596,-0.2870155,-0.5268054,-0.7777779,-0.1815488,-0.6129702,-0.679133,-0.8919003,-0.741684,-1.3599893,-0.6933524,-0.5463589,-1.1147287,-1.0608078,0.92945955984172
"O75935",0.534898,0.5554537,0.5680504,0.4964696,0.5776531,0.6557999,0.5812096,0.57665,0.6047256,0.5780415,0.5509491,0.5279046,0.5081137,0.5941437,0.6355075,0.6940601,0.6883759,0.5331292,0.567445,0.5887823,0.663323943446904
"O75936",0.4915596,0.4821215,0.8278525,0.7600325,0.4431578,0.7653004,0.5617326,0.3759617,0.7715318,0.6066447,0.8324545,0.2830497,0.5325558,0.4136001,0.65902,0.541618,0.3911889,0.5826138,0.5297496,0.2992604,0.195452679437786
"O75937",-0.38615031,-0.28418214,-0.5291958,-0.5145626,-0.04761061,-0.33325767,-0.59815439,-0.54999829,-0.37762023,-0.82872107,-0.427463,-0.55171954,-0.75295123,-0.60006996,-1.15153883,0.23429007,-0.24125442,-1.67278512,-0.71578252,-0.66410174,0.119196415321347
"O75947",1.381929,1.321503,1.4329,1.231596,1.352873,1.423356,1.377578,1.42315,1.284006,1.275913,1.163739,1.361994,1.332315,1.197346,1.213103,1.437999,1.292789,1.214525,1.260421,1.490149,0.147173628386482
"O75955",0.9672139,0.832876,0.9685931,0.818931,0.9531593,0.7740866,0.9967965,1.4402875,0.767872,0.7593644,0.6270094,0.9267149,0.8072541,1.0699671,0.8120613,0.7212062,0.7740764,1.0772941,0.7668947,1.2491252,0.46491749853201
"O75962",-0.037364437,0.143373246,-0.274600112,-0.264410274,0.048142004,0.227820081,-0.029553055,0.050643474,0.024213888,-0.248877633,-0.12729417,-0.182335603,-0.377553021,-0.130624402,-0.33193256,-0.327189828,-0.514032979,-0.47760465,-0.126874381,-0.001827362,0.00726036424348394
"O75964",0.6258703,0.7592192,0.6361047,0.1599261,0.655577,0.5572906,0.7879935,0.7109118,0.6742465,0.5657507,0.8028834,0.9200691,0.609882,0.3554763,0.5362778,0.6331498,0.7848701,0.5455358,0.7757263,0.9842593,0.478848805774507
"O75970",-0.7087654,-0.707898,-0.7774909,-0.7177821,-0.7402694,-0.5006097,-0.9230904,-0.8979002,-0.9672778,-1.5423877,-0.9683944,-0.9277415,-1.0294984,-1.0973729,-0.8101775,-1.0262486,-0.8830191,-0.3971534,-0.8405016,-0.8535364,0.111517383475714
"O76003",0.1947157,0.08383413,0.2243405,0.2030547,0.35436381,0.02443193,0.34471745,0.13448376,0.18946802,0.22657096,0.07370451,0.31725129,0.33771115,0.05429725,-0.03145487,0.27100101,0.31797509,0.48029697,0.15631846,0.40820043,0.507647729474168
"O76024",-0.7154442,-1.0134412,-0.4336223,-0.6538535,-0.6041713,-0.138922,-0.5638518,-1.062574,-0.7420453,-1.2823868,-0.4644493,-0.775731,-0.6848092,-0.8132215,-0.9778156,-0.5755509,-1.1962551,-0.3212149,-0.6634739,-1.0277614,0.307924121059366
"O76038",1.2875025,1.2800055,1.2459634,1.015663,1.1228838,1.2943312,1.2181375,-0.0710167,1.4136712,1.2256122,1.3945166,1.1557137,1.1772817,1.1721,1.0346226,0.9574144,1.2191353,0.1743515,1.1111479,-0.1513307,0.617862595700114
"O76041",0.2184192,0.4417383,0.3028466,0.6028481,0.456908,0.5993567,0.3455513,0.7022334,0.6967929,0.753158,0.7022699,0.4132374,0.4008302,0.6436455,0.612221,-0.2114655,0.1240786,0.5138937,0.7936691,0.1120716,0.494232922406407
"O76054",0.9816838,1.0046845,1.1890119,1.0657515,0.8871825,1.2244043,1.1073253,0.8047331,1.1078395,1.0225751,1.1642398,0.9951697,1.0012551,1.0079537,1.2074715,1.1113583,1.0817771,0.9163113,0.8898869,0.8698387,0.69287431615533
"O76070",1.1585947,1.1433044,0.8695572,1.0757235,1.0653061,1.0182554,0.9792039,1.6662602,1.2667284,1.1409796,1.0423865,1.2317989,1.1068708,1.1552289,1.2295282,0.8908316,1.0460684,1.1627446,1.2707904,1.2173505,0.997241724491098
"O76071",-0.085744753,-0.193627482,-0.058604159,-0.088255286,-0.637213571,-0.249584791,-0.335243242,-0.330551334,-0.112088743,-0.064345055,0.05816444,-0.021970749,0.003516937,-0.493044658,0.039056347,-0.88890078,-0.218698073,-0.372403692,-0.410254715,-0.650755234,0.839527343614812
"O76081",-1.1663528,-1.1148701,-1.0062519,-0.8298198,-0.758464,-1.0036885,-0.7674867,-1.0928702,-0.7966588,-0.8678456,-0.6538966,-1.1686975,-1.1779579,-1.1346406,-1.1742458,-1.0042902,-0.9490686,-0.7208664,-0.8323522,-0.9684646,0.547713845528355
"O76094",1.34294151,0.21293861,0.25176899,0.26172902,0.40441047,0.3015487,1.72552114,-0.10247899,1.66440391,0.03547291,1.43675952,0.28519603,1.30716607,0.05770638,-0.13373257,0.64649938,0.20975873,-0.13317771,-0.01780635,0.24025987,0.448041218230908
"O94760",2.178303,2.175995,2.234198,2.230965,2.185056,2.258204,2.172517,2.145743,2.252454,2.222813,2.285702,2.117434,2.153661,2.160331,2.282059,2.220894,2.160965,2.042035,2.203283,2.128998,0.321203302326981
"O94772",-0.153870005,0.10145232,0.103882143,0.048222556,0.000638302,0.028357974,0.287645008,0.585848603,0.148844431,0.123089701,-0.237824674,0.266777062,0.15535958,0.304375166,0.187111631,-0.074867329,0.10294807,0.079835002,0.210320923,0.793388951,0.91951757836991
"O94788",-1.0634557,-1.02687,-0.8958417,-0.5980016,-0.7104012,-0.7504632,-0.7646276,-0.8990225,-0.9879373,-0.9596968,-1.1395912,-1.045362,-1.6934291,-1.6527348,-1.1409463,-0.74449,-1.0815878,0.5261202,-0.8850171,-1.2666771,0.352315127727709
"O94805",0.104392044,0.092526178,-0.062605882,0.051268079,-0.056780221,-0.157682715,-0.532719742,-0.052573263,0.057321838,0.140547414,0.059398292,0.045107264,0.15957652,0.125489061,-0.064289529,-0.761211236,-0.036218149,-0.90425402,0.001442096,-0.306818244,0.667344726313057
"O94811",1.519837,1.511984,1.479063,1.393311,1.457529,1.454448,1.49558,1.998096,1.51393,1.408965,1.354848,1.515041,1.398188,1.467603,1.427889,1.401159,1.66675,1.351715,1.518661,1.811688,0.508900966055894
"O94812",-1.0580386,-0.9592638,-1.1474708,-1.1271864,-0.9650246,-1.1409053,-1.0613045,-0.7922776,-1.090363,-1.1635958,-0.9257554,-1.2516141,-1.2338329,-1.5309245,-1.2329701,-0.9525338,-1.1222325,-0.2799577,-1.1590092,-0.7620895,0.852719190900324
"O94818",-0.63605,-0.8703017,-0.7923875,-0.7366741,-0.7898332,-0.7855064,-0.808303,-0.2979462,-0.6408084,-0.5328274,-0.8658831,-0.2365496,-0.841679,-0.5024825,-0.2236134,-0.5597071,-0.7255084,-0.6577809,-0.1486488,-0.8742365,0.149401850033459
"O94819",1.356618,1.450534,1.489704,1.437323,1.428276,1.454694,1.457626,1.418383,1.482969,1.432649,1.391884,1.331663,1.389458,1.39232,1.491456,1.429086,1.325146,1.288262,1.309328,1.474253,0.010509276419219
"O94826",0.9105737,0.9096932,0.9637383,1.0489201,0.5984019,1.0857815,1.0016703,1.3845048,0.9445806,0.7704033,0.9214743,1.0774598,1.0395729,1.0593833,0.8277541,0.9643139,0.8096717,0.8428888,1.0341407,1.235233,0.738418840193183
"O94830",-0.224094319,-0.225407637,-0.464094238,-0.207587058,-0.06324223,-0.240252311,-0.193139088,-0.216012366,-0.126013826,-0.410121103,-0.086299429,-0.034568064,-0.172003276,-0.010352066,-0.267635324,0.023696889,0.007867993,-0.42178332,-0.376551272,0.046520729,0.378813389069889
"O94832",-0.9313492,-1.0717979,-0.8417698,-0.9351882,-1.0654645,-0.954518,-1.1250938,-1.0179383,-0.7705059,-0.6983653,-0.8419786,-0.8540667,-0.9882208,-0.6651653,-0.5630741,-0.8361025,-0.7899657,-0.4280758,-0.1570926,-0.7538191,0.00338334855216949
"O94856",1.498174,1.51794,1.446076,1.414832,1.427625,1.383663,1.58238,1.724057,1.451995,1.475465,1.292536,1.495276,1.451714,1.468238,1.382934,1.448475,1.472196,1.38991,1.476222,1.708074,0.514529191946567
"O94874",0.41653169,0.3673651,0.38612668,0.50490396,0.37101937,0.43375116,0.50188892,0.06879658,0.50847051,0.46643312,0.36493667,0.51260854,0.48990884,0.5330294,0.30877118,0.46673134,0.3542418,0.70882702,0.36523277,0.61443315,0.230942282149221
"O94875",0.005268155,0.215871824,-0.313311651,-0.270475445,0.341147981,-0.9453042,0.167829793,0.607419943,0.112711003,0.199337181,-0.088543439,-0.468616828,0.105675918,0.23628705,-0.120511106,-0.262178409,-0.749284434,1.221909137,-0.19690956,0.307940261,0.906868892351745
"O94888",-0.1413331,-0.18672572,-0.31337765,-0.19209746,-0.7619327,-0.11488858,-0.16959284,-0.02047321,0.01160664,-0.02772903,-0.13221981,-0.4848785,-0.37891142,-0.24497138,-0.10769858,0.27113552,-0.13962584,-0.34737222,-0.15212049,-0.24903862,0.728667773664095
"O94903",0.656149,0.6633502,0.6614161,0.5638631,0.5774065,0.6180606,0.6214109,0.6689059,0.7803535,0.6407496,0.7229141,0.5128524,0.5416351,0.6052845,0.6198944,0.5246328,0.5323202,0.7261865,0.7116082,0.4417335,0.234722518827204
"O94905",1.1016542,0.9965055,1.1443049,1.0208821,1.0741427,1.114192,1.1736403,0.7583036,1.0889397,1.0140819,1.0012485,1.0356051,1.0893726,0.9529764,0.9980824,1.067389,1.1022832,1.3926793,1.0714109,0.9521676,0.799576710580086
"O94906",0.8335215,0.5365822,0.5719787,0.5702239,0.3323871,0.6314266,0.5301413,0.7102422,0.739938,0.7110949,0.7450521,0.6771106,0.8556668,0.7839724,0.7846938,0.9502158,0.7324148,0.5835996,0.5623793,0.7894587,0.0102351468727587
"O94910",-0.23453041,-0.40794501,-0.41719886,-0.41623652,-0.24107439,-0.49502596,-0.18675366,0.29577712,-0.27469892,-0.1655602,-0.33675389,-0.02699689,-0.25095779,-0.32207202,-0.07748536,-0.20512437,0.05782436,-0.06341146,-0.28832945,0.23217335,0.212069002019355
"O94919",0.2207394,0.3664254,0.4955392,0.4884598,0.3817522,0.5058157,0.5333614,0.5181623,0.517551,0.4524971,0.5673574,0.4545887,0.4568863,0.5566147,0.4037017,0.3911979,0.3715075,0.6122809,0.4994461,0.4076481,0.868795616919773
"O94921",-0.9494424,-1.0149906,-0.7839868,-0.7345766,-0.9497153,-0.7580584,-0.9007396,-0.6656092,-0.9670932,-1.0039118,-0.9652203,-0.7683563,-0.7173617,-1.2127067,-1.1300759,-0.6620928,-0.835115,-0.7126887,-0.9528526,-0.9088938,0.481282726366874
"O94925",1.3782663,1.2618691,1.1772712,1.1889134,1.2014727,1.3009901,1.4107607,1.5871242,1.2064348,1.1202787,1.0052615,1.2976824,1.2255764,1.2044256,0.9753234,1.2346315,1.2404945,0.8402796,1.079224,1.6819498,0.170091645257044
"O94952",-0.5345698,-0.5541817,-0.6510606,-0.6699856,-0.9852507,-0.8140146,-0.6682437,-0.509753,-0.3078516,-0.6112796,-0.898432,-0.8316839,-0.7192076,-0.8050625,-0.9883906,-0.5952451,-0.876904,-0.3772591,-0.9609759,-0.7277924,0.211292020775385
"O94967",0.532,0.6,0.363,0.419,0.424,0.508,0.545,0.749,0.557,0.651,0.494,0.573,0.607,0.558,0.583,0.482,0.582,1.13e-09,0.566,0.776,0.858147790860755
"O94973",1.276155,1.307378,1.234161,1.294242,1.242791,1.263394,1.365478,1.751109,1.334205,1.284153,1.174801,1.26563,1.279316,1.296097,1.174981,1.339746,1.306775,1.178559,1.305811,1.624494,0.445862184789471
"O94979",0.35902622,0.4241288,0.33373049,0.46907859,0.57610719,0.52127082,0.48998321,0.38312875,0.46299542,0.47610414,0.4701098,0.44030243,0.37489195,0.49222047,0.44123282,0.32939076,0.38692303,-0.06020115,0.49520747,0.39484048,0.206737167116391
"O94985",-0.228209794,-0.247644497,-0.595188873,-0.190347298,-0.273828572,-0.485941613,-0.351019534,0.155035864,-0.109612659,-0.208423067,-0.231055008,0.066085791,-0.030203762,0.004690763,-0.087848818,0.043171998,-0.106264421,0.415839652,-0.143861292,0.261922195,0.0216841456287419
"O95057",-0.78563218,-0.50412045,-0.25370989,-0.10760679,-0.55385308,-0.19817228,-0.26083565,0.01602495,-0.17589223,-0.44215807,-0.07257428,-0.12939458,-0.20317835,-0.1270067,-0.11589968,-0.04366396,-0.80490526,-1.08724228,-0.21186367,-0.69604741,0.426212284799812
"O95081",-0.4222324,-0.7672786,-0.6001299,-0.1299603,-0.7429453,-0.2798749,-1.1391249,-0.4696126,-0.1553572,-0.1587457,-0.2869079,-0.6033402,-0.5563833,-0.3225262,-0.1600834,-0.8000357,-0.6236157,-0.8493055,-0.4771533,-0.9345766,0.943010343609441
"O95104",-1.1230675,-1.1285618,-1.0785112,-0.8415879,-1.0617867,-0.9134654,-0.9839229,-0.8951944,-1.0242639,-0.9529118,-1.122359,-1.0279448,-0.9597082,-1.0706652,-1.0631319,-0.9017428,-0.9722791,-0.8778892,-1.0166039,-0.9579866,0.960702553734694
"O95139",-0.6506478,-0.7559691,-0.8324774,-0.7077078,-0.8998053,-0.7850081,-1.1467977,-0.57225,-0.8004806,-0.6705833,-1.3444011,-0.6945266,-0.7458928,-0.8359015,-0.8271558,-0.7007848,-0.6813077,-1.0902365,-0.7421865,-0.4979423,0.915884037351127
"O95140",0.4890939,0.5244262,0.3461294,0.2684237,0.2617101,0.2320055,0.2289128,0.5085167,0.5104416,0.4243053,0.3177456,0.3656301,0.4168511,0.4055008,0.388012,0.3945961,0.2818369,0.1932046,0.3775105,0.3982422,0.996350666183863
"O95154",0.098094965,-0.294627344,0.226411916,-0.105767261,0.027655229,0.010842649,-0.192413,-0.617538379,0.238698992,-0.575705903,-0.000649995,-0.16669239,-0.153994452,-0.340588727,-0.26655246,-0.149078525,-0.0152504,0.084714086,0.186520516,-0.356317385,0.564483307054646
"O95163",-0.55554811,-0.10487761,-0.34848919,-0.30918452,-0.24865919,-0.47992697,-0.4617503,-0.58673677,-0.20588259,-0.35025578,-0.07318883,-0.31339188,-0.41577009,-0.21872489,-0.99041112,-0.16444772,-0.28293773,-0.40049529,-0.42409493,-0.35844968,0.830272351632133
"O95166",-0.8865474,-0.6654599,-0.657996,-0.6717839,-1.231349,-0.6339782,-0.8445842,-0.685087,-1.0241299,-1.0342431,-0.9528385,-0.5279545,-0.6748373,-0.9081729,-0.9368436,-0.6030906,-0.7717015,-0.5440168,-0.5738587,-0.9031425,0.717440786100171
"O95167",-0.12256866,-0.26935651,-0.50517371,-0.39108609,-0.33986822,-0.58599203,-0.36920433,-0.69375306,-0.39580077,-0.54620824,-0.04394625,-0.13103767,-0.51988653,-0.56074346,-0.48226343,-0.42819861,-0.29994865,-0.16216263,-0.19121373,-0.58668906,0.293051234783837
"O95168",0.31898234,0.09225515,0.28169568,0.13481529,0.11185603,0.25545213,0.25247052,0.34474942,0.2498967,0.1903129,0.24216032,0.28134302,0.02545406,0.09089563,0.12104099,0.23388322,0.21264357,-0.73246318,0.04837056,0.17904918,0.164184582720569
"O95169",-0.02869376,-0.16413163,-0.10391521,-0.19668115,-0.3782957,-0.13321484,-0.01067125,0.1336065,-0.27235478,-0.47682404,-0.26148051,-0.13057269,-0.09309263,-0.19165736,-0.23164428,-0.13751528,-0.24963121,-0.21516505,-0.06800469,0.13490224,0.642405530168946
"O95182",0.63535581,0.53012066,0.5324788,0.42573897,0.06772052,0.3732066,0.45945095,0.75684882,0.52320799,0.53938369,0.50781492,0.60253612,0.49269423,0.54579048,0.62116023,0.53247228,0.5023094,-0.20504194,0.52908562,0.56911452,0.859623437451379
"O95196",-0.221324738,-0.192979653,-0.401879408,-0.144076868,-0.176160318,-0.432922993,-0.171560342,-0.254903462,-0.311358614,-0.195039353,-0.121069788,-0.541498516,-0.358831737,-0.158947745,-0.214556647,0.006314706,-0.069982016,-0.705766664,-0.329843729,-0.473753424,0.730045760896372
"O95197",0.9578766,0.9353568,0.9265707,1.0034362,0.9842134,0.9232553,0.9740882,1.2765448,1.0112717,0.9620063,0.8591976,1.030627,1.0459056,0.9928606,1.0355314,0.9631918,0.9934723,0.6654714,1.0835091,1.1600608,0.685388380528661
"O95199",-0.5433881,-0.8230155,-0.6242477,-0.4860785,-0.6262341,-0.3061706,-0.399764,-0.8198915,-0.4166705,-0.4488255,-0.4657049,-0.4299791,-0.4640335,-0.4566778,-0.4746154,-0.245792,-0.4192172,-0.2314919,-0.4032122,-0.3838538,0.0553132828111477
"O95202",0.8014892,0.657804,0.7511816,0.5946335,0.3047859,0.6622733,0.6693615,0.8493457,0.5445177,0.5374376,0.6907081,0.7112214,0.7682128,0.7063926,0.395767,0.7321778,0.526316,0.2868088,0.6850921,0.8363697,0.957718497580013
"O95208",-0.8210992,-0.9692328,-1.033862,-0.5127862,-0.7816631,-0.9296445,-0.8639474,-1.295616,-0.91396,-0.5899783,-0.885717,-0.5616754,-0.4684023,-0.3900128,-0.4103234,-0.5386644,-0.8207637,-0.4029321,-0.5907333,-0.4026225,0.00205762482321846
"O95218",-0.7157196,-0.711934,-0.7835092,-0.5854282,-0.4869866,-0.7397522,-0.7441279,-0.6237719,-0.4019854,-0.3313626,-0.6355471,-0.6914334,-0.7623367,-0.5132653,-0.4866068,-0.6088474,-0.7145498,-0.7682844,-0.8106577,-0.8108973,0.837936514575477
"O95219",-0.05214745,0.03365785,0.07972357,0.11492105,-0.02565508,0.22677923,0.22032442,0.53989851,-0.01291233,0.13046489,-0.01221868,0.0089065,-0.06399917,-0.01285033,-0.04268256,0.10823838,-0.0647241,0.08069261,0.04351919,0.37394825,0.224650504935005
"O95232",-0.768042,-0.6731316,-0.653596,-0.8307111,-0.8132674,-0.4129432,-0.6980652,-1.0859993,-0.4428126,-1.2146476,-1.0092061,-0.4651273,-1.1955533,-1.1109065,-1.1282304,-0.6801746,-0.7040695,-1.4889661,-1.174393,-1.1417765,0.0127284862483638
"O95248",0.07344146,-0.20021011,0.03627825,-0.15463952,0.03454957,-0.34389598,0.13141166,0.43652836,-0.21365613,-0.28638443,-0.1885104,0.02151748,0.08607152,-0.16131192,-0.07362812,0.04463452,0.05914614,-0.49083307,-0.08693801,0.45736459,0.849073962659275
"O95260",-0.29348747,-0.04034183,-0.08974378,-0.10125696,-0.11458951,-0.13343192,-0.08603595,-0.68097851,-0.04255608,0.3743603,-0.06184574,-0.13394614,-0.10810686,-0.08848555,0.2880291,-0.39516601,-0.15718379,0.6817484,-0.14745256,-0.25490467,0.202324536265892
"O95278",0.25821846,0.02509314,0.09442324,0.16933585,0.21039097,0.32740121,0.70290294,0.08060562,0.3625972,0.64187567,0.33888621,0.29644044,0.38491763,0.50008854,0.18149775,0.42619883,0.21632472,0.64689552,0.20644699,0.57854193,0.120077750503041
"O95292",0.4636055,0.5825578,0.4876324,0.5350345,0.3766475,0.4892794,0.5564376,0.8160192,0.5320683,0.5371775,0.6080908,0.5332478,0.5572574,0.5868579,0.5637974,0.3861706,0.4529815,0.2194415,0.5991371,0.6446518,0.613215940443719
"O95294",-0.913265,-0.9775822,-0.6259119,-0.8252572,-0.7473615,-0.7019301,-0.8282393,0.3450357,-1.1925131,-0.654032,-0.8078524,-0.2783303,-0.4133604,-0.4951102,-0.7200244,-1.2508919,-0.7605439,-0.5596697,-0.3874194,0.3996452,0.455793931350014
"O95295",-0.7856009,-0.9809155,-0.9640611,-1.0179757,-0.8513317,-0.7773734,-0.9551595,-1.1051911,-0.7656574,-0.9927402,-1.2640374,-0.6548957,-0.7858409,-0.9837739,-0.7721898,-2.1632438,-0.1548209,-0.6708493,-1.141854,-0.9650199,0.841465401850126
"O95298",-0.853413,-0.5058569,-0.7150881,-1.0078542,-0.9204045,-0.9202069,-0.8712736,-0.3776453,-1.2288049,-0.9000913,-0.48327,-0.4839096,-0.6033457,-0.7555318,-0.6527815,-0.9293742,-0.8793573,-0.7675323,-0.7714936,-0.3396617,0.272182111002621
