"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","t_test_p_value"
"Q9GZT3",0.029142908,-0.013820216,-0.315727254,-0.541660716,0.002753502,-0.015856375,0.046997891,-0.4177734,0.178269506,0.12134199,-0.027394831,-0.201289418,-0.342165392,-0.375175709,-0.260189344,-0.30643674,-0.068088258,-0.033873908,-0.187465831,0.197763226,0.998434775197183
"Q9GZT4",0.51669,0.4925128,0.6175471,0.624163,0.6446814,0.8364517,0.679475,0.5616327,0.7073579,0.5521392,0.7628767,0.5566391,0.5425799,0.4734163,0.6050483,0.7109068,0.3451777,0.5342043,0.8752485,0.6684855,0.459353457922276
"Q9GZT6",-0.02143044,-0.23789972,-0.39461659,-0.45251297,-0.42938893,-0.41565338,0.07583871,-0.52705523,-0.68621077,-0.47425624,-0.21970525,-0.6017187,-0.20043981,-0.41307211,-0.35223963,-0.38410878,-0.360914,-0.40197857,-0.41087434,0.21250315,0.592458962134041
"Q9GZT8",0.6637061,0.624015,0.4336041,0.5638252,0.2524068,0.5660047,0.3477181,0.7615436,0.8208395,0.3509041,0.5225994,0.3259969,0.4547753,0.3376012,0.3980685,0.1945258,0.3154057,0.4606582,0.3809956,0.2983852,0.0386251376262127
"Q9GZT9",-0.8129407,-0.3214265,-0.381448,-0.2499931,-0.4439834,-0.2049992,-0.5446775,-0.8777298,-0.3532334,-0.2728183,-0.2034256,-0.248414,-0.1293048,-0.4229433,-0.1848025,-0.794456,-0.3560882,-0.8636989,-0.4722312,-0.547598,0.899640488008885
"Q9GZV7",0.6762804,0.8083876,0.452772,0.3904915,0.5021008,0.4512113,0.9724552,0.8057533,0.7093415,0.9654171,0.5555685,0.9773466,0.9704534,0.6909505,0.781612,0.9152086,1.0829854,0.8630101,1.0851745,0.8200972,0.0179638357908997
"Q9GZY8",-0.082652199,-0.044425525,0.098725065,0.154372899,0.137315958,0.370850349,0.041529115,0.332341226,0.2005447,0.221101101,0.100950593,0.068217191,0.013726092,-0.012738992,-0.029433184,-0.009818807,0.084841194,0.121452236,0.168465187,0.113452759,0.151199757953402
"Q9GZZ1",-0.272207,-0.3565792,-0.6395859,-0.8808156,-0.3749671,-0.5079537,-0.5589502,-0.5890771,-0.5764244,-0.4111595,-0.3256148,-0.5793603,-0.5995743,-0.9037769,-0.5599837,-0.167227,-0.4582187,-0.749453,-0.5550671,-0.2988996,0.56225333528745
"Q9GZZ9",-0.008651466,-0.017079321,0.010928416,0.033228525,-0.214193822,0.079161284,0.117394679,-0.080671443,0.090058984,0.016706258,0.190359983,-0.021469928,0.004243591,-0.049909378,-0.101990797,-0.882276749,-0.143841519,-0.109263111,-0.122128413,-0.081315568,0.201321456460456
"Q9H000",-0.66411,-0.6718407,-0.5228894,-0.8161882,-0.4611772,-0.6659249,-0.4280567,-0.5332812,-0.5745043,-0.746559,-0.7556325,-0.8289398,-0.8426986,-0.8060124,-0.7911492,-0.6615443,-0.7577581,-0.3049784,-0.7896522,-0.6301754,0.0511060997727831
"Q9H008",1.213595,1.305043,1.512459,1.312171,1.30547,1.295526,1.445835,1.266208,1.403571,1.28444,1.425307,1.395272,1.312357,1.369413,1.567949,1.386938,1.25087,1.327852,1.258442,1.284496,0.913987497405781
"Q9H019",-0.08526594,-0.23520223,0.01256759,-0.36173476,-0.10571265,-0.03800638,-0.20558891,0.06448108,-0.0847619,-0.06139236,-0.27466476,-0.15428423,-0.26637494,-0.05013682,-0.07293507,-0.09727982,-0.3639228,-0.55571105,-0.26251978,-0.13251762,0.210893690740196
"Q9H061",-0.37966787,-0.24982425,-0.32100202,-0.21585743,-0.44101357,-0.13980244,-0.12705442,0.06398157,-0.43229549,-0.13464289,-0.18451869,0.02537902,-0.07779193,-0.07174797,-0.42851306,-0.15406183,-0.28386183,-0.66040938,-0.10285284,0.01712116,0.598546054249935
"Q9H074",0.09343216,0.1270252,-0.03237349,0.11926337,0.2680704,0.2063773,0.23469954,0.22483546,0.01816433,0.18206095,0.20840583,0.18436204,0.13541619,0.25676093,0.13894996,0.11428444,0.2019384,0.13449554,0.19979109,0.17521421,0.478316789907081
"Q9H078",0.069685952,0.001179847,-0.101862185,-0.273458739,-0.318718477,-0.022511799,-0.230379914,-0.000688263,-0.087786049,-0.123204169,-0.07815623,-0.152889537,-0.353632579,-0.176605071,-0.260475381,-0.269339391,0.156050151,-0.269098094,-0.11939426,0.031565841,0.784977345391719
"Q9H0A8",-0.5635101,-0.41188385,-1.28889849,-0.28011485,-0.44846446,-0.23841655,-0.47305156,-0.35793484,-0.38855031,-0.30029854,-0.19226096,-0.12319987,-0.14287537,-0.42881586,-0.14327875,-0.04240099,-0.61252733,-0.19036441,-0.31088322,-0.14152633,0.0842656616847492
"Q9H0B6",-0.080959605,-0.223453583,-0.284244714,0.087120232,-0.008226047,0.198271826,0.046641639,-0.025395639,-0.022831091,0.13818452,0.285819894,0.089459803,0.262641149,0.219276298,0.275808939,0.395797716,0.307342527,-0.69684886,0.145731193,-0.268502799,0.245246985859832
"Q9H0C8",-1.0329335,-0.8602454,-1.0402876,-0.9509714,-0.8714166,-1.1454297,-1.12573,-1.7218371,-1.6071258,-0.7524247,-0.8847819,-1.1524755,-1.2533923,-1.1937209,-1.289462,-0.8460789,-1.1528541,-0.1446425,-1.3489161,-1.0092691,0.310273959590355
"Q9H0D6",-0.9482722,-1.1142466,-1.0066263,-1.199471,-1.5550522,-0.9212214,-1.5523073,-0.8251219,-1.3379929,-1.484637,-1.2757966,-1.1591246,-1.3372904,-1.3519894,-1.3239379,-1.0009774,-1.0628132,-0.8432708,-1.6557971,-1.0554949,0.726776115847523
"Q9H0E2",0.5632771,0.3354997,0.2872029,0.62814,0.6968934,0.6306563,0.2814809,0.9307275,0.6911914,0.6481684,0.5781362,0.4977227,0.6251866,0.6395743,0.7391603,0.3187018,0.7076642,0.2633718,0.4095856,0.740906,0.995815880628354
"Q9H0F7",-1.0871424,-0.7901327,-0.9231694,-1.1983199,-0.974114,-1.2512545,-0.919598,-0.8659945,-0.9899289,-0.9374787,-0.5266296,-0.5952197,-0.8879772,-0.7754784,-0.8142641,-0.580471,-0.8499907,-1.0820136,-0.9472009,-0.7604398,0.0227329642947823
"Q9H0Q0",0.3641571,0.5353832,0.427138,0.4308987,0.4243364,0.500123,0.5105316,0.571865,0.5367472,0.5193566,0.3465349,0.4520166,0.3928136,0.4337715,0.4940777,0.5335761,0.5157015,0.4143399,0.5194482,0.5545714,0.46216822551316
"Q9H0Q3",0.30913506,0.24401768,0.30298239,0.04153135,0.26223896,0.30221612,0.43296401,0.82860678,0.46854968,0.47878637,0.46885383,0.3711374,0.31685312,0.42474912,0.49420585,-0.06370873,0.25170816,-0.31581312,0.58576432,0.32286343,0.623605885798727
"Q9H0R4",0.8311319,0.7919991,1.0083557,0.8460529,0.7642464,0.8832348,0.9375215,0.5776323,0.8849259,0.9223549,0.8408977,0.8443166,0.8830914,0.7041551,0.9749454,0.9023361,0.9372462,0.8818441,0.8874396,0.8549778,0.458446540939605
"Q9H0U4",1.0090857,0.9671787,1.0545095,1.05469,0.9534861,1.0659533,1.0833364,1.263927,1.0198273,0.997633,1.0485866,0.9647005,1.0080791,1.04616,1.0244442,1.0299911,1.0110126,0.8928675,1.0530831,0.98971,0.187993846392117
"Q9H0W8",-1.0321227,-0.8803661,-0.6359314,-0.7729239,-0.9194729,-0.9255386,-0.8576493,-0.983243,-0.8073034,-0.8388592,-0.7348349,-0.5421713,-0.5583326,-0.7364834,-1.2424634,-0.9557683,-0.3792876,-0.6550678,-0.7687615,-1.1783145,0.460795480926883
"Q9H0W9",0.4532591,0.4878651,0.7204823,0.6508407,0.7024092,0.5702997,0.6766146,0.3853328,0.7206089,0.6053863,0.817414,0.4254556,0.5041388,0.6326714,0.6784,0.6578161,0.6428179,0.6570733,0.7233582,0.5262466,0.852211826594981
