"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","t_test_p_value"
"Q02878",0.3530726,1.06000384,-0.55232022,0.77254345,0.88635816,0.69687651,0.59229891,-0.31541513,-1.62282225,0.31418504,-0.57768373,-1.80898157,0.39970648,0.35874688,0.43306352,0.1871027,1.3328555,1.05167018,0.87968141,0.5229773,1.11952478,0.96974329,-0.69363315,0.00173774,-0.133672,0.724614405313609
"Q02880",-0.71666637,-0.9402092,-1.82398711,0.05060624,-0.43217969,-1.04401485,-0.23827063,-0.19518199,-0.43961823,-0.94413074,-0.13270501,-0.95928392,-1.43474339,-0.30168309,-0.0236885,0.05727145,-0.41215202,-0.2329645,-0.31827737,-0.76023702,-0.4656374,-0.96960646,-0.12557969,-0.12634611,-0.52470852,0.513954002026959
"Q02952",0.39849719,0.51569079,0.13342579,1.30401238,-0.2505092,0.74753264,1.53881444,1.69735749,0.88610973,2.08954111,1.38956948,0.08346777,2.48981563,1.52542319,1.00116434,2.49678052,2.02527118,2.38609484,1.55244336,1.68806526,2.1086239,1.80792449,2.13356481,1.67239317,1.9252929,0.0957883954131254
"Q02978",0.32375872,0.32320932,1.13684033,-0.50966018,-0.23778188,-1.78174154,-0.75068531,0.61204254,0.30603578,0.16276168,0.5940655,1.04745292,0.14943696,-0.38280261,0.19886436,0.14449208,-0.90124624,-0.99332446,-0.19066941,-0.5220154,0.04477697,-0.89979757,-0.22857612,-0.87527298,0.37410081,0.394706656602394
"Q03001",-1.53209607,-0.93717556,-0.20869688,-0.3030718,-1.22539509,-0.46453763,-0.62077422,-0.9109537,-1.82222665,-1.47031787,-1.23464974,-0.06275155,-0.24786115,-1.00437765,-0.22591415,0.15736022,0.13219446,0.03645624,-0.61661032,-1.60606399,-0.68160223,-1.36581764,-1.25811363,-1.6363872,-1.44663807,0.261717111243908
"Q03135",1.1404219,1.7894678,-0.5620655,1.4041655,0.4777059,0.1888907,-0.0898299,0.2417023,1.4669907,1.0831887,0.9461078,0.7375677,1.0723539,0.4738422,0.5690335,0.9194953,0.9681744,-0.2956499,1.530676,0.3897081,0.7971463,0.1678784,0.6844802,1.1468277,0.8886937,0.816589977034638
"Q03154",0.13674075,0.11770137,0.09129284,-1.28120323,0.35743048,-0.55887073,-0.30262917,-0.34405301,-1.19216555,-0.47288191,-0.44457348,0.13330443,-1.46501949,0.45257247,0.64413741,-0.82047584,-0.82320345,-0.78189917,-0.48901258,0.09614627,-0.06342859,-0.36788974,-0.80803769,-0.36910765,-0.65682872,0.944838800873173
"Q03252",0.57481753,0.98448883,-1.03303242,1.4407731,-0.49744166,-0.91230213,-0.55247727,1.29531588,1.76169277,1.75502417,0.95370971,0.85453121,-0.41551741,-0.19041521,1.09451108,0.2931887,-0.66249821,-0.3173983,0.33220453,0.03167729,-0.95522303,-0.51403439,1.38571941,2.06152473,1.26821762,0.927526624295524
"Q03591",-0.37170623,0.13358082,-0.35005185,-0.44765961,-0.58106947,0.06177647,-0.57643713,-0.71149603,-0.50336725,-0.24126595,-0.47025039,-0.43741924,-0.36218033,-0.58894724,-0.58062459,-0.366186,-0.47746426,-0.90944317,-0.13812107,-0.27635674,-0.77867177,-1.33460857,-1.61809931,-0.28130138,-1.73448831,0.141011893346731
"Q04446",-1.33625868,-0.45514448,-0.11638922,0.41764626,0.66280588,0.6033024,0.22942425,-0.03742291,-0.13339636,-0.11954677,0.33370908,0.13275914,0.25774754,0.18767449,0.55459388,-0.66669909,0.44758862,-0.52218933,-0.66371086,-0.79186332,0.41828344,0.3797085,-0.08871863,-0.52592795,0.09276319,0.772768418113009
"Q04637",-1.55416159,-0.79415511,-1.48038481,0.19401312,0.70880351,0.61420454,0.45481615,0.5820464,0.05019648,0.38015191,0.04362406,0.38461185,0.05185302,0.61322182,0.09812408,0.15264156,0.02279641,-0.05790982,0.03724325,-0.11480784,0.84117126,0.59594505,0.48465743,0.28417626,0.96651271,0.164220573565028
"Q04695",-0.64982205,-0.08121064,-1.10820131,-1.06104922,-0.42350987,-0.09904071,-0.49255032,-0.73149355,0.86304343,-0.74216073,-0.49776394,-0.11455216,-0.45883205,-0.169728,-0.32609286,-0.23088423,0.11967109,0.61276724,-0.59256503,-0.61560697,0.13031786,-0.46738991,-0.38531004,-1.02653839,-0.70297023,0.311002857048709
"Q04760",1.0910405,0.8599723,1.0332632,-0.8550303,0.8821322,1.2246451,1.2551639,0.9126521,1.3381193,1.4405753,0.970283,0.7315989,1.173114,1.254493,0.8265879,1.2676975,1.0859618,1.274758,1.0319501,0.7956105,0.4655858,0.7189955,1.0653689,0.6795238,1.172819,0.375711404851675
"Q04828",-0.01641292,0.47878962,-0.56332493,0.04186796,0.48589431,0.61661471,-0.86786829,0.13468719,-0.83095954,-1.85111623,0.93974325,0.32228842,0.11913254,0.48731437,1.34115628,-0.0526396,0.0774013,0.58171463,0.02751262,0.25340917,-0.84659983,-1.06896959,0.13664841,0.08583185,0.01783781,0.95805220820635
"Q04837",0.515356037,0.416689894,-0.245042615,-0.392524338,-0.013722446,0.254170103,0.256005709,0.477398193,0.192111174,0.11729575,0.395547419,0.504119142,-0.007896947,0.08707293,0.072745786,0.182077288,-0.130404283,0.293854728,0.188669508,-0.768084369,0.370967313,-0.142543534,-0.127140255,0.004377182,0.075431972,0.543290898371348
"Q04917",0.8849984,1.1992046,1.1681551,0.2466871,1.0378026,1.1253755,0.9253128,1.1779107,1.6789496,1.5487075,1.0876894,1.3194152,1.0238433,0.6604283,1.0656995,1.0683442,1.6250264,1.6278532,1.758689,1.0868715,1.4883722,1.1853929,0.9320188,0.718389,1.2454149,0.393354043561113
