"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","t_test_p_value"
"P61421",-0.49927065,-0.2724937,0.26125386,-0.6094375,-0.38607546,-0.69502658,-0.79672081,-0.63962088,-0.38315244,-1.03644838,0.15023073,-0.28286092,-0.17708599,-0.458003,-0.04510159,-1.02824768,-0.62061028,-0.44874512,-0.68122387,-0.40007705,-0.60477296,-0.19613566,-0.10933445,-0.3270171,-0.45060464,-0.31160798,-0.05557763,-0.31460576,-0.46456476,0.736376876984462
"P61457",0.14295799,-0.51696209,-0.8672568,0.22319996,-0.58430989,0.29724245,-0.66511196,-0.18115449,-0.2214676,-0.54690775,-0.39217986,-0.47735838,-0.3650242,-0.26477014,0.05943091,0.04576649,-0.04890236,-0.69940483,-0.4882229,-0.41191578,-1.9368247,-0.21343234,-0.60943869,-0.27073442,0.31072435,-0.3497871,-0.07842115,-0.14130093,-0.03256094,0.865032909276681
"P61586",0.349227536,-0.113415386,0.096228243,-0.298230003,-0.330796621,-0.082683956,-0.007071568,0.305063763,0.074701909,0.217617873,-0.189681548,0.031148792,0.262665447,0.154138506,0.101668193,0.255222523,0.074078825,0.139480312,0.191640925,-0.05863356,0.177547452,0.261871334,0.010853184,0.468811874,0.109950714,-0.142625682,0.13748099,-0.029177644,-0.57509238,0.1839368925984
"P61604",1.32578931,1.22336038,1.17155301,1.25640894,0.70278718,1.09527746,1.27155767,1.19562987,1.24866994,1.02613445,-0.02542773,0.73738966,0.73291877,0.57297466,1.16229877,0.66497677,0.80288504,0.89513901,0.69044165,1.00784179,0.654008,0.72931318,0.48771201,0.13362866,0.52894539,1.22917127,-0.52042394,1.25602901,1.53213651,0.00182220302317935
"P61619",-0.1161598,0.12064422,0.501946119,0.229583076,0.260513706,0.418120718,0.034023564,-0.004724803,-0.114506476,-0.036307432,0.403908354,-0.499720011,0.306260017,-0.043863024,-0.233199546,-0.038545724,-0.269658723,0.00562445,0.063741274,0.080533406,0.26339156,-0.086408766,0.238169139,0.362132853,-0.47767626,0.264760287,-0.60156922,-0.226592304,0.001753665,0.0519792398406275
"P61626",0.37128877,-0.20832177,0.44168126,0.10217238,0.33603263,1.23063598,1.13965497,1.25055675,-0.11344985,-0.56649593,0.44604748,-0.34532567,-0.5684278,-0.20480402,1.71364113,-1.25300238,-0.23533608,-0.90685951,-0.33416892,-0.8359799,-0.02744697,-0.51375914,0.05463108,-0.3078097,-0.21766981,-0.60027321,1.81969432,-1.31051589,-0.34737688,0.0155017883296112
"P61758",0.03208802,-0.22553875,-0.54626515,-0.14211572,-0.06934344,0.54596651,0.20496441,-0.3120931,-0.43393176,-0.73954033,-0.77409305,-0.25954568,-0.14470955,-0.54376877,-0.04777559,-0.51676701,-0.26764667,0.20620997,-0.7641069,-0.57878134,-0.67755484,-0.63496432,-0.48667067,-0.27291615,-0.12625802,-0.54162215,0.69760759,-0.49781086,-0.1348447,0.143073240564281
"P61764",0.8932007,1.06114878,1.86888607,0.8611712,-0.25789937,-0.98464006,0.61544785,-0.02290813,-0.92211832,-1.15581216,-0.48234989,-0.03293199,-1.71793033,0.03027843,-0.89011687,-0.18786586,-0.29935788,-0.92257185,-1.12748499,-1.36536194,-1.58666819,-0.78392063,-0.53921891,-0.61114325,-0.4850153,-0.16811142,0.05141493,-0.30083783,0.14331368,0.0407233933152474
"P61769",-0.50522025,-0.02664733,-1.29703059,-0.1832247,0.63263536,0.83361328,0.59102001,0.97539015,0.21908079,0.35860612,0.81133271,0.58356035,0.88101933,0.78099439,0.74832815,0.28078484,0.71473327,0.71222724,0.12319391,0.29775801,0.22582475,0.36330599,0.39246447,-0.21242081,-2.03465744,0.55134041,0.04868413,-0.33858511,-0.98542808,0.992386442123421
"P61803",-0.28832564,-0.7698677,-0.47344481,-0.28891112,-0.4781675,-0.51100579,-0.49725934,-1.171046,-0.04934644,-0.65267683,1.7744338,-0.58768108,-0.39270825,-0.51871575,0.12001821,-0.53381539,-0.44757453,-0.30607386,-0.72220288,-0.16116255,-0.49473318,-0.75030042,-0.5664478,-0.76004847,0.14060328,-0.1781879,-0.59882043,-0.52608229,-0.64667679,0.281216174380439
"P61916",-0.15555361,-0.35891215,-0.237702,-0.44674525,-0.58345289,-0.03063644,-0.29193208,0.23468356,-0.02253168,-0.63310604,-0.62582132,-0.82145173,0.04842196,-0.80541622,0.93484335,-0.61648399,-0.74710599,-2.01062592,-0.04075483,-0.23481945,0.05437005,-0.71159496,-0.66915026,-0.47555589,-0.17893594,-0.05921492,-0.01077104,-0.13838352,-0.49172486,0.228684776204011
"P61923",-0.58800484,-0.48681566,-1.34185615,-0.58640395,-0.4011164,-0.39388405,-0.47279389,-0.27584207,-0.18267514,-0.41053943,1.7744338,-0.28895423,-0.51408737,-0.12973134,-0.32882465,-0.26158404,-0.39759746,-0.24097024,-0.295501,-0.23058122,-0.23167772,-0.16757016,0.13904962,-0.39078149,-0.47176046,-0.09855214,0.21738199,-0.28844476,-0.90343571,0.0596958427576638
"P61956",0.247890732,0.131995169,-0.077760518,0.133567819,0.704498297,0.09303954,0.413193759,-0.102516928,0.031699022,0.171936296,-0.934468143,0.320325412,0.29088802,0.431875832,0.548235175,0.710422832,0.525790909,0.523678131,0.354308329,0.767203913,0.29078092,0.585754783,0.119243275,0.405642584,-0.000994088,0.637775952,0.054003926,0.890705735,0.757283987,0.12804576157873
"P61960",0.156127845,-0.720912765,0.367760855,-1.099529647,-0.342499079,0.055477374,0.088182167,0.180805323,0.074558127,0.176561988,-0.40093402,0.120402505,0.280933484,0.284620651,-0.820126692,-0.328687632,0.210257409,-0.1573029,0.177503066,0.115416252,-0.438223682,0.020368978,0.065274774,0.293051077,-0.507753294,-0.378056706,-0.198115838,0.002466677,-0.454399196,0.696020343526442
"P61966",-0.33932025,-0.25988608,-0.20010496,-0.63937581,-0.90952434,-0.70734589,-0.46847851,-0.45519878,-0.84232385,-0.77630667,-0.01096294,-0.59720409,-0.27544992,-0.59768042,-0.91173514,-0.67036885,-0.5381985,-0.70776167,-0.98492336,-0.66740666,-0.15151506,-0.69233211,-1.57415611,-0.74608565,-0.38422298,-0.23676291,-0.45517981,-0.40349072,-0.13988052,0.897478623737921
"P61970",0.54355246,0.1154485,0.10118726,0.09669965,0.68250419,0.10673584,0.66894813,0.00859248,0.44187701,0.42693339,0.21848021,0.14879447,-0.16993616,0.07538266,0.12366436,0.42579721,0.36015006,0.01069886,0.74839586,0.45754581,0.06766345,0.62780606,-0.15633157,0.18319817,0.35455725,0.68433331,0.06262901,0.16959534,0.67296127,0.978729163875647
"P61978",1.2224114,1.1857577,0.9334353,0.9105578,1.5591494,1.3114428,1.3827042,1.0242387,1.58109,1.5304093,1.3265118,1.2565793,1.5182279,1.5232723,1.34426,1.4444346,1.3769882,1.660759,1.4565137,1.4608199,1.5540366,1.4542064,1.4008964,1.3429972,0.9439427,1.6269556,0.684698,1.5496114,1.5087065,0.156887576118391
"P61981",0.8468848,1.161315,1.0550361,1.0043671,1.0185381,0.7366128,0.8709618,0.6488372,0.5978911,0.7580592,1.0090132,0.9865019,0.9378936,0.8702687,0.9742341,0.9138084,1.0577444,0.9027054,0.6998176,0.40054,1.0636242,0.9003354,0.5654053,1.1186253,0.4495289,0.971631,0.2075868,1.0957237,0.9028996,0.613831931464068
"P62070",-0.4924659,-0.6996527,-0.8379298,-0.850676,-1.305201,-0.8550988,-0.2883597,-0.2930393,-0.6611896,-0.4046743,-0.1598441,-1.9279734,-0.4312668,-1.4752143,-0.5058791,-1.2720605,-1.2440018,-1.0876705,-0.4435934,-0.9963073,-0.7578394,-1.1622741,-0.7355474,-0.8236968,-0.2001517,-0.1006592,1.8196943,-0.9916586,-0.6650468,0.825743789437993
"P62081",0.04041485,-0.37012152,0.32648387,-0.96315735,0.56783266,0.45030883,0.47162358,0.44527679,0.75351644,0.51847505,0.56746774,0.46851847,0.72571663,0.09690455,0.22006072,0.65624067,0.48257823,1.05688452,0.57818134,0.6511869,0.72760945,0.61517982,0.40727644,0.64372828,0.26375409,0.59833038,-0.31264416,-0.04555369,0.36026485,0.269746266718685
"P62136",-0.4912469,-0.4881462,-0.3041238,-0.2140627,-0.5467072,-0.2464545,-0.1880742,-0.4547494,-0.4648825,-0.7288286,-0.292078,-0.7885985,-0.1296102,-1.0498013,-0.4982427,-0.4488192,-0.5681035,-0.1948674,-0.45178,-0.2010413,-0.1957817,-0.2192733,-1.0557514,-0.1603566,1.2305223,-0.2111057,-0.5203592,-0.529422,-0.4504978,0.933346229625387
"P62140",0.40875094,0.63207638,-0.03949602,0.40891025,0.84374311,0.60310736,0.72684745,0.62022733,0.76029987,0.84036685,0.42181311,0.80301147,0.76755609,0.53925701,0.5778415,0.8371541,0.77443782,0.74281548,0.76650271,0.75442119,0.75118067,0.8339562,0.74402911,0.513896,0.19972423,0.71098322,0.20339808,0.63392942,0.85558479,0.402880419616061
"P62191",0.0887313,-0.240532722,0.051287242,-0.167781641,0.178424777,-0.59090373,-0.303554561,-0.32267986,0.154314217,-0.138959439,-0.082445891,0.188203329,0.046568506,0.165286278,-0.039234086,-0.012017315,-0.18809732,0.316970301,-0.137415679,0.458442676,-0.392879727,-0.008429256,-0.012473864,-0.532473482,-0.637003504,0.264945861,0.185430783,0.469938981,0.282259994,0.174626855774803
"P62195",0.07195203,0.07805883,-0.27570346,0.04965133,0.50555877,0.09256279,0.54150933,0.72468074,0.41265826,0.32169862,0.25521349,0.45232841,0.05890213,0.35613484,-0.13217641,0.4042897,0.34148939,0.33571323,0.48703746,0.5187229,0.62189068,0.36454607,0.29233605,0.91504244,0.41064343,0.45400061,0.20130076,0.4661983,0.25764637,0.43517816762956
"P62241",-0.2334732,0.214586,-0.1341079,-0.3619382,0.7297099,0.5476637,0.6886387,0.3448573,0.8836762,0.6629443,0.7234046,0.4389694,0.4274766,0.3688313,0.8515425,0.2293362,0.7275505,0.6070845,0.3750089,0.6622924,0.8522277,0.6209988,0.2063908,0.8264973,0.3087868,0.4668401,0.6041644,0.4252342,0.6878462,0.272453006688353
"P62244",0.62410082,0.77399991,0.43579938,-0.93455149,0.69265441,0.30032203,0.5965532,-0.97183069,0.71751373,0.27658065,0.17175291,0.43470943,0.4739911,0.03091543,0.88492699,0.45187146,0.26613249,0.46219506,0.42999501,0.26881442,0.32677677,0.40963627,-0.04523691,0.26586874,0.73199814,0.9424718,0.46137738,0.65847102,0.9940434,0.38609453354747
"P62249",0.2227423,0.4662375,0.2757249,0.5261128,0.6583089,0.8336681,0.5080545,0.7329613,0.6952938,0.8097117,0.3508248,0.4003747,0.9135349,0.4547273,0.3780185,0.5349445,0.5814624,0.5061851,0.6488054,0.6852588,0.4943931,0.5968415,0.5553921,0.7647365,-0.4374269,1.2080429,0.357481,0.8370487,1.1214986,0.991622037701904
"P62258",1.243933,1.141575,1.165727,1.177901,1.497359,1.459847,1.547032,1.360862,1.448322,1.339611,1.307095,1.503682,1.397062,1.404652,1.364871,1.491195,1.491477,1.754856,1.317049,1.511414,1.552785,1.355109,1.271436,1.465258,1.183077,1.756822,1.111985,1.449051,1.421509,0.306655320935852
"P62263",-0.50029868,0.32857804,-1.18020155,-0.02350777,0.67040573,0.65867686,-0.04945966,0.55294189,0.59919923,0.73971052,0.22340187,0.21215806,0.99761203,0.31366677,0.53766669,0.55448069,0.4423521,0.6685353,0.7869893,0.7429191,0.70126049,0.65078946,0.16888449,0.78464777,0.65844908,0.88942348,0.20112501,0.47821486,0.40294256,0.150826793026501
"P62266",-0.2451589,-0.13974019,-0.86009444,-1.47140288,-0.32052505,-0.14811025,-0.72294132,-1.41119056,-0.72937738,0.29994625,-0.85064696,-0.86952936,-0.3190921,-0.22648013,-0.79811888,0.07841213,-0.04395896,-0.98295466,-0.19349334,0.24319324,-0.35827149,-0.3565225,-0.67862691,-0.01781296,-0.51633189,0.20707076,-0.27574981,-0.28796636,-0.30841412,0.0681738538305756
"P62269",0.23477356,0.20273659,-0.18842048,0.28772961,0.74615353,0.51709663,0.19692767,-1.64253248,0.98752937,0.78456776,0.27428716,0.45939845,0.81186434,0.26490102,0.92403853,0.38672197,0.56486639,0.48763161,0.3833324,0.71069631,-0.09839476,0.62062171,0.56485093,0.31226498,0.71375288,1.04255985,-0.48322014,0.79410462,0.70383357,0.242429073082453
"P62277",0.41233963,0.70226274,0.41824273,0.324274,0.40254228,0.56293362,0.02688338,0.75051187,0.61175153,0.42410619,0.30054546,0.3559122,0.90321266,0.37225581,0.67627098,0.46824481,0.46173138,0.78516685,0.60837729,0.63604373,0.69566069,0.70579401,0.42835899,0.74779365,0.49264352,1.14305771,-0.12846035,0.8303864,1.04006209,0.260247598589993
"P62280",0.36326842,-0.17252208,0.26987107,0.31789312,0.3430237,0.69699529,0.59046556,0.33348868,0.82758285,0.62940114,-0.4196158,0.38402574,0.85665795,0.30375542,0.32306106,0.4137693,0.49328253,0.77078628,0.33645337,0.49074711,0.1224707,0.49960586,0.3257148,-0.02759421,0.57658217,0.78628701,0.09327673,0.2552628,0.42618284,0.885014560112501
"P62306",0.039471652,0.29622143,0.755453,0.301071142,0.051807045,-0.399415825,-0.731517174,-0.400416954,-0.146936046,-0.52702062,0.009746993,-1.336324403,-1.01090029,-1.004921622,-0.447003083,-0.679992553,-1.302484374,0.162983528,-0.191817567,-0.277379856,0.508597506,-0.922289573,-0.535667961,-0.282892449,-0.186037783,-0.450097427,-0.033650528,-0.20262337,-0.001290536,0.0684302455463807
"P62310",-0.34455787,-0.38045592,-0.10424206,-0.35490451,-0.09135682,-0.14189148,-0.5215268,-0.15836442,-1.48033273,-0.3622804,-0.22030302,-0.64317575,0.20803145,-0.23527765,-0.40077282,-0.35703831,-0.42049171,-0.2630552,-0.24204274,-0.05014685,0.05683639,-1.08779468,-1.66572979,-0.29452621,-0.69405203,-0.02831934,1.81969432,-0.31739219,-0.28818907,0.557494650916923
"P62314",-0.31886438,-0.420626213,0.330333204,-0.239353261,-0.832987416,-0.507100668,-0.117789199,0.023711254,-0.743598284,0.311910968,0.053256327,0.002215651,0.212463772,0.139417232,0.007387026,0.194655873,0.275385884,0.382051628,0.272203379,-0.129672885,0.33372858,0.334626588,0.163643759,0.344086994,-0.297043783,-0.517274104,0.349430114,-0.058274105,0.161003279,0.0155658976472329
"P62316",-0.19961158,-0.51527194,-0.10751315,-0.09925185,-0.38139187,-0.28187213,-0.28238907,-1.01165943,-0.24035888,-0.25189717,-0.31988726,-0.15230178,0.3659527,0.06878249,-0.15533582,-0.64991668,-0.92342418,-0.24876452,-0.10545346,0.23748895,-0.06085251,0.10135,-0.22065916,-0.61392702,-0.37226731,-0.52876377,-0.73873502,-0.09741266,-0.52065377,0.422193490735475
"P62318",-0.01624516,0.11945152,-0.23900379,-0.10520111,-0.07749238,0.25095908,0.08223332,0.11501089,0.12533979,0.16754294,-0.05847202,-0.15570803,0.0756998,0.09862902,0.35346104,-0.11070555,-0.01553017,0.39798458,0.12626613,0.36238667,-1.0615495,0.22681226,0.19928507,0.4525456,0.06414701,0.1275425,-0.05151195,0.34795487,0.14948095,0.582225895875705
"P62328",1.2587942,1.2565624,0.8337747,1.4301972,2.0321476,1.8589882,1.8103905,2.0031575,1.9389435,1.8650209,1.1263541,1.6138815,1.6443725,1.4244693,1.4978665,1.9097576,1.5892246,1.7294351,1.7525319,1.9043342,2.2433453,1.7341624,1.3310368,0.5272217,1.5532887,1.7217498,1.272523,1.9686868,1.4274817,0.761091744835439
"P62330",-0.42943213,-0.16730744,-0.2479584,-0.98300886,-0.35987318,-0.54129295,-0.59189442,-1.29667022,-0.25614347,-0.25208243,-0.71462023,-0.66954471,-0.05951313,-1.50503294,0.03611235,-0.31783669,-0.71048053,-0.24058223,-0.02559148,-0.31884144,-0.35430326,-0.406198,-0.60187558,-0.56995186,-0.23339387,-0.22515064,0.29315187,-0.08511989,-0.96272426,0.355995815680669
"P62333",-0.43186881,-0.35774564,-0.23895904,-0.24981144,-0.0821258,0.21689277,0.21403044,0.49642793,0.43394123,0.30365996,0.89405727,0.46807398,-0.23874105,0.32887926,0.34657061,0.33196223,0.41461783,0.62560325,0.25520125,0.33179087,0.20805686,0.50311466,0.32889778,0.3307449,0.09447469,-0.01340228,-0.06698697,0.46709328,0.45408222,0.0665589982849207
"P62424",0.2108405,0.4787005,-0.3949552,0.3394135,0.4616523,0.5784745,0.5525458,0.0525254,0.9508448,0.9319196,0.0929775,0.5575627,0.5395542,0.47358,0.8030447,0.2592525,0.7838087,0.6425735,0.6851779,1.0215199,0.7205417,0.7949823,-0.1026931,0.9397902,0.4628835,0.6395238,0.1538306,0.735113,0.5332961,0.215972319486877
"P62495",-0.558103407,-0.550596698,-0.548021296,-0.510943688,-0.243081291,0.187140691,-0.304468316,-0.17592795,0.126719315,0.194802535,-0.36760203,-0.008425115,-0.088364032,-0.027422201,-0.000327136,0.180447518,-0.105893017,0.477254959,0.112392408,0.06841555,0.127548203,-0.163098796,0.062521762,0.179617502,0.265085497,-0.045125428,0.294980656,0.01984345,0.071404717,0.0184034978958468
"P62633",0.137589341,0.149335623,0.268954582,0.023894201,0.349936214,0.139780851,0.245247162,0.147922299,0.25122423,0.273732625,0.083997267,0.212993295,0.17268009,-0.017205068,-0.256123572,0.34363752,0.581721807,0.493702036,-0.183865656,0.625877866,0.411345644,-0.005420497,-0.281972176,-0.902027746,0.265682961,-0.063559418,-0.027176835,0.401635463,0.40874944,0.436035328858576
"P62701",0.6058133,0.8063301,0.2257178,0.4423191,0.6300248,0.3468722,0.5274996,0.5925131,0.7751129,0.6069517,-0.2671014,0.8132607,0.3487822,0.5844565,0.7750406,0.6490292,0.794125,0.8455372,0.6286326,0.9674918,0.5123554,0.6425219,0.5561509,0.5876357,0.8581983,1.2162049,-1.0218408,0.8354948,1.1305799,0.650184475281269
"P62736",1.38576573,1.75553759,2.13578909,2.14519304,1.94275486,1.7239455,1.36163999,1.28344902,0.5471102,0.17471068,1.08163211,0.30584713,0.59877922,0.56350275,0.40435446,0.10626363,0.80618949,0.23511464,-0.06790813,-0.27574107,0.05440488,0.21427516,0.09667939,0.71039457,0.42585717,0.18356129,-0.08735037,0.55200525,0.98499792,0.000130253262706827
"P62750",0.01247185,0.12840785,-0.60992991,-0.36784879,0.42855903,-0.02824548,0.45655811,-0.85971084,0.74052409,0.45405477,0.0874913,-0.1332687,0.25125456,0.38875021,0.79364633,0.23285009,0.37443409,0.51418487,0.13904469,0.56685772,0.28668755,0.02181938,0.26951873,0.3013082,0.6642841,0.42614138,-0.62230584,0.14865428,0.55999319,0.187654386903965
"P62753",0.5671763,0.3996508,-0.8691876,-0.1375404,0.3281154,0.4536343,0.2184692,0.4737228,0.9143649,0.494614,0.1129773,0.1194678,-0.2065096,0.4135936,0.8990296,-0.1267568,0.3579959,0.5837665,0.5432781,0.5135699,0.6217178,0.5951377,0.4361702,0.58651,0.8201762,0.3144301,0.4077297,0.4479498,0.4640148,0.343851053436749
"P62805",2.387768,2.414589,1.82431,2.316248,2.408379,2.278371,2.452918,2.361895,2.299473,1.993141,2.032945,1.891005,1.79161,1.569076,2.145175,1.737635,2.07217,1.795247,1.766232,2.190815,2.099284,1.776724,1.82092,2.148721,1.177358,2.440055,1.202329,2.313084,2.239277,0.00113181820497661
"P62820",0.8045162,0.81714984,0.70527948,0.66226656,0.52644582,0.46119292,0.64183995,0.60946192,0.90634741,0.52591438,0.3953422,0.9148343,0.91209917,0.92478673,1.05772261,0.78528928,0.87452787,0.94562896,0.82271333,0.7656265,0.43171141,0.74572391,0.95748381,1.0949196,0.50403444,1.42180249,0.03545368,0.70650507,0.96221943,0.158440790132362
"P62826",1.3260066,0.9915201,0.9582741,0.9165828,1.1955675,1.3284326,1.3886739,1.3631651,1.324218,0.8368329,1.3882824,0.9878285,1.0904501,1.2041542,1.3810446,1.1589026,1.0938481,0.8903458,0.7867959,1.0850234,1.119917,0.9893704,1.0733657,1.0681995,1.2302228,1.2392905,0.7959362,1.2175289,1.2289251,0.283583409044665
"P62829",0.2990263,0.35031664,-0.14820181,0.28345408,0.4391479,0.36787251,0.10326125,0.29830906,0.28425064,0.42315317,-0.12703092,0.1375316,0.63561796,0.07247705,0.11521945,0.24877685,0.35518155,0.37728172,0.40092892,0.29607689,0.24025318,0.2636603,0.20910589,0.7574746,0.03362098,0.35198716,0.28166121,0.26543275,0.30653023,0.666660137970106
"P62834",-0.08228485,0.11497707,0.51961508,0.28349573,-0.86987287,-0.37841312,-0.75023125,-0.07974067,-0.84429971,-0.35227651,-0.0703762,-0.21272404,-0.64588109,-0.4178343,-0.01746493,-0.45227818,-0.79763505,-0.7806681,0.09154951,-0.42166591,-0.17997783,-0.16254882,-0.8066321,-0.59837482,1.23052229,-0.31953415,0.05800836,-0.19027168,-0.34470614,0.931413538505717
"P62841",-0.002840661,0.174898562,0.447433455,0.241067953,-1.684281481,-1.076303948,-1.758119338,-1.525172739,-1.321795705,0.009208999,-0.46975602,-0.336770082,-1.344851078,-0.763125718,-1.636173215,-0.453784596,-0.245134104,-0.403864134,0.208842155,-0.239237388,-0.22485758,0.221232978,-0.973106332,0.11159579,-0.372267308,-0.193825015,0.405070972,-0.013204308,-0.302127196,0.221540157781933
"P62847",-0.53530765,-0.32672058,-0.3755184,-0.638853,0.11941034,-0.13328542,-0.59361851,-0.50923735,-0.36701942,-0.32004182,-0.86814551,-0.77824833,-0.07842323,-0.89014527,-0.81026977,-0.59708665,-0.68011869,-0.44087494,-0.22574676,-0.33575352,-0.29189357,-0.3106815,-0.56271922,0.10158377,-0.34936336,-0.38714157,0.25209329,-0.14371533,-0.23387657,0.698335933831217
"P62851",0.474443999,0.697352805,0.11558672,0.428564145,0.404562726,-0.088205899,0.232829981,0.005907435,0.165584179,0.30691398,-0.461327991,0.187561446,0.579428187,-0.057691312,0.210433733,0.282888704,0.169878729,0.31766798,0.366649918,0.452100322,0.223116898,0.314200767,-0.031552587,0.221302543,0.769992542,0.980958286,0.890274749,0.727457155,0.845524582,0.333247742371013
"P62854",-0.096868591,-0.191932503,-0.194160879,-0.10717909,0.179341333,0.042874706,0.545096256,0.409835279,0.283380189,-0.009355526,0.088464654,-0.601843513,-0.077746723,-0.20468574,0.294958151,-0.236525476,-0.163667522,0.162539206,0.240493678,-0.030248455,-0.096040636,0.458100159,-0.471956842,0.055351921,-0.129782291,0.704411169,0.014902192,0.428542743,0.587194317,0.578794912036376
"P62857",-0.438842022,0.216189265,-0.257563606,0.289611202,0.268126258,0.771084945,-0.047780068,0.190152155,0.581260232,-0.008402922,-0.336172392,0.221942072,0.675931176,0.20487118,0.411138123,0.270966356,-1.283800447,0.745186375,0.347593763,0.448591478,0.802168484,0.363069383,0.250731619,0.540859638,-0.026889412,0.386655281,-0.249331935,0.360339164,0.368472287,0.864281978671123
"P62861",-0.61007614,-0.07771558,-0.75815538,-0.37436568,-0.48094062,-0.30599837,-0.10637647,-0.14273323,0.25189392,-0.15149134,0.14595337,-0.40053304,0.1454989,-0.2737144,-0.48981682,-0.1167842,-0.49114395,-0.05810021,-0.23295714,-0.22694124,0.07990557,-0.08784611,-0.48866678,-0.27705581,-0.72468725,0.11788916,-0.66604536,-0.0814833,-0.075437,0.800011833397909
"P62873",0.8657471,1.22354418,1.48836093,1.34772488,1.26983318,0.91177579,1.24072145,0.98206711,1.10694204,1.08409436,0.77223747,1.15753156,0.77645036,1.06922564,0.98523531,1.26744518,1.15182726,0.99594711,0.88791828,1.09976348,1.1509211,1.0406006,0.98772382,1.35443271,0.65867206,1.12392863,0.09575292,1.07910844,1.01200132,0.0316888967456124
"P62879",0.416934,0.6379765,0.5276158,0.8131349,1.0373102,0.9944904,0.7863313,1.0527249,0.7349272,0.6826584,0.5757618,0.5199664,0.9365362,0.893414,0.3895056,0.8270572,0.9244739,0.751591,0.951096,0.9256202,0.8957973,0.5852366,0.9627909,0.999534,0.7620223,0.4945312,0.2145292,0.541311,0.6672649,0.261783507453968
"P62888",0.8872742,-0.2440577,0.8764846,0.8382284,0.8607657,0.365721,1.0337345,0.7337935,1.0420193,1.0974101,0.3894555,0.7149136,0.7529551,0.6973649,0.2104381,0.7076628,0.912531,0.8400316,0.7916687,0.7950383,0.5984323,0.7330183,0.3386264,0.8443455,-0.2426071,0.7871241,0.3892365,0.6785611,0.7275036,0.769564609551157
"P62899",-0.296295234,-0.48173653,-0.474518191,0.080222033,0.004497338,0.197415112,-0.112013399,0.188196615,-0.2667876,0.289416941,-0.150747815,-0.237902581,0.379726912,-0.851301819,0.029551666,-0.102427003,0.030577082,-1.227328749,-0.150247759,-0.027245216,-1.09435287,-0.032057887,-0.589277238,0.294244474,-0.953503223,0.609306193,0.097164827,0.365136874,0.010360128,0.707032555206361
"P62906",0.44997381,0.58750733,-0.27808058,0.04351141,0.92583727,0.90933355,0.88773444,0.75940516,0.9345985,0.56924765,0.2123253,0.51266665,0.7123971,0.48628305,0.62197424,0.49431892,0.38056436,0.67502235,0.6592218,0.49072422,0.87404891,0.66044291,0.62240309,0.64062337,-0.33631644,0.87785785,-0.70782775,0.4838886,0.74389202,0.554776076841861
"P62910",-0.0884369,-0.01903184,-0.13739524,0.01223084,-0.4057719,-0.66595632,-0.21213413,-1.15357622,0.33962598,0.51686137,0.2451462,-0.68155345,0.62332801,0.63895567,0.34839115,0.29630383,0.42928767,0.57612717,0.59789644,0.51848674,0.25061138,0.62467752,0.14897868,0.27489704,0.27742283,0.33824451,0.26479796,0.32608358,0.57023674,0.00508839851646262
"P62913",-0.21698147,0.5669847,-0.65476398,-0.76667755,0.59647867,0.64221707,0.71808676,0.35171714,0.71089987,0.59644332,0.38032651,0.56854868,0.82542264,0.47357082,0.83548987,0.07588891,0.57068294,0.27027963,0.36251639,0.63590719,0.86304992,0.53562655,0.39325758,0.43333128,0.42737286,0.79218798,-0.5761073,0.26634214,-0.16823337,0.514110265836255
"P62917",-0.017410753,0.12993502,0.115215216,-0.223367784,0.20827457,0.107022107,0.197270783,0.005831549,0.543921671,0.365583184,-0.090182639,0.026397011,0.107777297,-0.101410158,0.650244428,-0.378559076,0.380596062,-0.258112283,0.543306297,0.384175192,-0.557917678,0.481692873,-0.705279102,0.401579778,-0.309134991,0.5499207,-0.305738713,0.194792539,0.070123226,0.59540570673908
"P62937",1.362149,1.501647,1.561105,1.681316,2.077976,1.989252,1.956982,2.02924,2.068447,1.661844,2.118684,2.177917,1.735648,1.811259,2.143375,2.015552,2.127482,1.83072,1.747073,2.091768,2.055084,1.717944,2.106652,1.999396,1.629239,1.785219,1.53271,1.669531,1.621385,0.834071456430591
"P62942",0.0525996,0.05638198,0.18140121,0.27224166,0.65705668,0.0603233,0.70061982,0.61592797,0.17638711,0.62462795,0.16977084,0.24254177,0.47936012,0.45767275,-0.4756451,0.60198689,0.55904797,0.43654798,0.69428818,0.32552933,0.33652696,0.43187177,-0.23854816,0.47473356,0.10440117,0.61037344,-0.54724027,0.65862444,0.28021394,0.821674098059756
"P62979",1.4685484,1.156517,1.3367946,1.3593619,1.0658169,0.8804994,1.1030909,1.3181993,1.0546669,1.3031894,1.2405516,1.3047288,1.0491051,0.9664187,1.3174844,1.2307134,1.3011188,1.048016,0.9374117,1.2167403,1.0833734,0.9379434,1.4369859,1.7152287,1.4208925,1.3349265,0.5043088,1.399743,1.5175749,0.525412346117657
