"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","t_test_p_value"
"O00567",-0.15331245,0.10883377,-0.09460841,-0.31110531,0.01956331,-0.24248575,-0.15345011,-0.66394046,-0.07228377,0.09678815,-0.65708906,-0.73898728,0.58423266,-0.31961968,0.72333284,-0.30921222,-0.28397127,-0.02452739,0.19773446,-0.21044904,0.13675116,0.1382521,-0.50967085,-0.16418196,0.73662035,-0.66034019,-0.17654712,-0.14021164,-0.65714223,0.626398511096114
"O00571",-0.3882724,0.07622466,-1.04557084,-1.0836666,0.30295713,-0.57948978,-0.21111408,0.08131427,0.30468548,0.4159206,0.10222542,0.36254839,0.49402379,0.49035071,0.21881688,0.46657353,0.51120136,0.5603719,0.33445741,0.54024492,0.58094883,0.36112157,0.42079856,0.32164416,-0.29063656,0.78317834,-0.10780984,0.21520382,0.38433326,0.0166359449886724
"O00584",-0.158390047,-0.725096614,-0.564813815,0.205036273,0.043815253,-0.75300647,-0.405629242,-0.295279816,-0.577937386,-0.822894501,-0.336139364,-0.67602959,-0.785341821,-0.740931731,-0.005321549,-0.686685571,-0.908284021,-0.085385623,-0.521729252,-0.423478366,0.224021392,-0.549610831,-0.855874743,0.033424365,0.025553782,0.023838976,-0.133362851,-0.434120844,-1.299830875,0.684077725468256
"O00592",0.28087154,-0.18684251,-0.39372352,-0.23711784,-0.32830315,0.38180864,-0.05955201,0.41584809,0.30499013,-1.33934326,0.40353383,-0.61046607,-0.56571855,0.47793158,-0.06298155,-1.28699999,-0.69926202,-1.12513193,-1.42893859,-0.63943886,-0.54491774,-0.97642662,-0.93911174,-0.18681811,-0.58067108,0.12377078,0.0782013,-0.81186362,-0.1450579,0.0055157205586036
"O00625",-0.4955187,-0.2280436,-0.029198,-0.5028475,-0.7007975,-0.9031832,-0.725171,-0.2222949,-1.5791407,-0.9123422,-0.5612684,-0.5338744,-0.7136236,-1.3685038,-1.7737728,-0.5258728,-1.2504606,-0.8666735,-1.0481759,-0.6719774,-1.3353229,-0.7513653,-0.5090252,-0.9059552,-0.0146919,-0.6567023,-0.4551798,-0.6473654,-0.4668055,0.359366990372558
"O00629",-0.160430138,-0.178618732,-0.285939685,-0.261439086,-0.611074894,-0.684780106,0.102835165,-1.540835653,0.356283621,0.271351861,0.181262324,0.081149206,0.077588035,-0.130653763,-0.07675817,-0.143173838,-0.070451187,0.27561736,0.004709973,-0.854385177,-0.35023091,0.029097812,0.347831427,0.238493223,0.003200738,0.008830886,-0.036789181,-0.035118737,-0.025315192,0.112109357734429
"O00743",1.4773682,-0.9995896,-0.9910061,-0.922032,-0.5574802,-0.8010891,-0.5343548,-0.2014994,-0.4671093,-0.7834279,-0.7828253,-0.7903343,-0.2289406,-0.8404695,-0.8397122,-0.4437225,-0.7645524,-0.6286202,-0.9915778,-0.5214167,-0.6602184,-0.6237603,-0.7106142,-1.1363511,-0.1612856,-0.4462357,-0.3556979,-0.4483576,-0.4850255,0.661782421579339
"O00754",-0.29953671,-0.26789102,-0.54631582,-0.23525063,-0.24090128,0.30663135,-0.06231664,0.12279344,-0.5132206,-0.86477804,0.2809565,-0.19326374,-0.46827364,-0.69134122,-0.20702874,-0.2969024,0.32686142,-0.5423342,-0.11843673,-0.34053381,-0.65885878,0.14250829,-0.25789416,-1.67080778,-0.0103641,-0.52408467,-0.37345054,0.15262706,-1.29599268,0.201215653648948
"O00764",0.1425383,0.42007994,0.2848584,0.65031744,0.36936034,0.09564933,0.54592691,-0.4469078,0.58303879,0.2314307,0.30042033,0.82525996,0.67882293,0.62120702,0.75313652,0.86189405,1.25740796,0.84208837,1.17406734,0.97081388,-0.37171288,0.73138414,0.51431807,0.86582135,0.29745129,0.62205449,0.07743818,0.64826282,0.78138998,0.0525380616068314
"O14495",1.4773682,-0.1722649,-0.2145564,-0.2851438,-0.5084575,-0.2699366,-0.5074454,-0.3029944,-0.6966926,-1.0400725,-0.638023,-0.9974502,-0.4246978,-1.0071116,-1.1284911,-0.3471225,-1.5119912,-0.6516929,-0.9021581,-1.4646093,-0.8680881,-0.5576508,-0.7958619,-0.5513276,-0.0146919,-0.4980772,-0.4551798,-0.6213642,-0.6229283,0.00110808478251916
