"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","t_test_p_value"
"P61313",1.240554,1.06988,1.031285,1.14526,1.242128,1.197912,0.0415624231534471
"P61353",1.369751,1.286779,1.144295,1.315633,1.341996,1.313504,0.272692273812083
"P61421",-0.8003543,-0.2940487,-0.5243013,-0.5027813,0.2365266,-0.3607041,0.417056924592141
"P61513",-0.3840639,-0.4451469,-0.8779947,-0.5021411,-0.396111,-0.3170757,0.199223459837047
"P61604",-0.7145356,-0.4418061,-0.2377399,-0.2216962,-0.2140061,-0.2345633,0.395184678734714
"P61626",-0.17961739,-0.26212311,-0.1219502,0.09194002,-0.11504157,-0.40067212,0.456822152441253
"P61764",1.550511,1.419637,1.312619,1.360007,1.515431,1.422561,0.207590952569118
"P61960",-0.7563123,-0.8766781,-0.7719934,-0.9193134,-1.1851017,-1.0064174,0.17854637601562
"P61978",-0.03137885,-0.41760677,-0.54403874,-0.66902778,-0.43813435,-0.33119296,0.176320429797746
"P61981",0.9780615,0.9880723,0.9970537,0.8946694,1.0076235,1.094705,0.229307564587585
"P62140",-0.15321921,-0.0976986,0.04730154,-0.06690665,-0.14038451,-0.16291489,0.118055734009632
"P62241",1.0921574,1.0176071,0.8962378,1.0454724,1.1472959,1.0365918,0.264061819127433
"P62249",0.1819123,0.2504361,0.2136112,0.1111463,-0.2393145,0.1039204,0.361525929065155
"P62258",1.395331,1.377414,1.430416,1.298919,1.328994,1.375216,0.732001964579371
"P62266",0.5011175,0.4157494,0.3605203,0.4992828,0.6131085,0.4300912,0.471654490384179
"P62269",-0.5014464,-0.4861662,-0.4637683,-0.4121217,-0.3308143,-0.4817278,0.639894164872624
"P62277",-0.2192473,-0.12366979,-0.20346562,-0.01984318,0.14251938,0.03045279,0.0929611626058485
"P62280",-0.113529954,-0.010357617,-0.000205676,-0.008223134,-0.175230795,-0.148062507,0.0452579034449034
"P62304",-0.60937658,-0.6468026,-0.50062782,-0.05057881,-0.45756198,-0.69523227,0.471137950615228
"P62316",-0.689422,-0.6936566,-0.6586494,-0.6070346,-0.6315599,-0.932015,0.547259200012351
"P62318",0.05701054,0.17593245,0.3461371,0.32002837,-0.08318646,-0.10008522,0.0176290327158334
"P62424",1.1645837,1.0329086,0.9896376,1.137194,1.2370052,1.0741156,0.407714982725832
"P62491",0.027722653,0.007296436,0.056249186,-0.063900078,-0.021149083,0.034457205,0.889085917516874
"P62701",0.2966733,0.4028239,0.2557471,0.4151633,0.6227558,0.6047146,0.0345020329592494
"P62736",0.9707472,0.543869,0.8435671,1.0179743,0.8685939,0.686397,0.892730079693433
"P62745",-0.1468911,-0.1204656,-0.1081542,-0.3509738,-0.5166343,-0.3094848,0.225305348412073
"P62750",1.157419,1.15738,1.053736,1.18382,1.159568,1.113611,0.921156049756517
"P62753",1.2270642,1.0224198,0.9177256,1.1483249,1.1028163,1.0685976,0.491386450126091
"P62760",0.6913577,0.602829,0.7030652,0.5044031,0.7227254,0.6574087,0.283558134401962
"P62805",1.81097,1.962668,1.827897,1.969648,1.962994,1.647555,0.59717868688451
"P62826",0.5032392,0.7699092,0.7156464,0.6970065,0.8641762,0.6432989,0.852152639605345
"P62834",0.2485217,0.2970812,0.3527038,0.29328,0.1061917,0.1364628,0.00440875420713271
"P62841",-1.4085595,-1.0238458,-0.8827808,-1.3742764,-0.4267682,-1.469868,0.82826633341465
"P62847",0.05346198,-0.23409338,-0.15719755,0.05606064,0.22859981,0.09653255,0.0869483570103915
"P62851",-0.5465221,-0.2043177,-0.490645,-0.2826172,-0.1599515,-0.3996341,0.783712723943881
"P62854",0.3061375,0.3427508,0.3764907,0.3892826,0.5875311,0.4380835,0.297820646196031
"P62861",-0.10248228,-0.10502922,-0.32879276,-0.10765573,-0.02768745,-0.14521441,0.394332964070136
"P62873",1.681559,1.674894,1.703991,1.587337,1.432112,1.550177,0.159036780040261
"P62879",0.7206865,0.771075,0.7677059,0.6261243,0.551189,0.6645734,0.247027857929381
"P62906",0.1831883,0.1550266,-0.1798713,0.2885245,0.3948227,0.2419634,0.246841209013782
"P62910",0.9844649,0.6999402,0.7415326,0.9801324,0.9420204,0.9741,0.223494397018083
"P62913",-0.27887045,-0.08889553,-0.15179224,-0.15279298,-0.50748128,-0.42108682,0.0411011342305633
"P62917",1.1550609,0.9574944,0.9392554,1.0927725,1.0962757,1.0781398,0.198732396087434
"P62937",1.263686,1.217387,1.319606,1.199458,1.170118,1.154511,0.151539711164822
"P62942",-0.93622,-0.5541149,-0.1708533,-0.2801601,-0.2213533,-0.2560276,0.48794044446208
"P62979",2.294234,2.442027,2.485561,2.338529,2.132788,2.203573,0.0210459897416646
"P63000",0.7941877,0.8674072,0.7268397,0.730857,0.7282002,0.6604816,0.25376147442959
"P63010",0.1748211,0.2165756,0.220228,0.2214894,0.3636652,0.3232394,0.101342368731736
"P63027",0.5895387,0.4941971,0.5886269,0.7030623,0.7977648,0.7865655,0.0813692456566189
"P63092",0.4732238,0.4779513,0.5629245,0.4585567,0.3718921,0.3678843,0.0552830696458651
"P63096",0.574363,0.6440304,0.6245023,0.4912375,0.3590111,0.375616,0.0413216639067682
"P63098",-0.6146993,-0.344942,-0.5463686,-0.7367816,-0.5004048,-0.5475783,0.885244384655353
"P63104",1.281995,1.240807,1.298418,1.265154,1.349937,1.369842,0.0189363349238117
"P63151",-0.36909618,-0.56069594,-0.03789897,-0.23786139,-0.39244602,-0.41609615,0.496939814420064
"P63241",-0.3496147,-0.1990547,-0.1372366,-0.2781574,-0.1180446,-0.160307,0.254015888617484
"P63261",-0.7685429,-0.68214,-0.4337871,-0.3016417,-0.148544,-0.2214839,0.113131209221992
"P67775",0.07135793,0.12982039,0.21093828,0.0513255,0.07341309,0.08663179,0.38623328157224
"P67936",-0.4799068,-0.07837549,-0.46499426,-1.02021317,-0.63827741,-0.18509593,0.778388133447522
"P68032",1.743678,1.54861,1.582972,1.788869,1.495417,1.600869,0.389592519112604
"P68363",2.217168,2.340456,2.324873,2.17463,2.248826,2.214167,0.461903069540405
"P68366",0.8754357,0.9993306,1.0461594,0.6110302,0.9384832,0.5907608,0.63582202324203
"P68371",1.860985,1.944832,1.920867,1.824798,1.854654,1.830479,0.27535345478852
"P68402",-0.5539027,-0.5951858,-0.4277609,-0.362916,-0.1944626,-0.4516507,0.462846217725618
"P68871",2.128415,2.025507,2.230656,2.002494,1.911148,1.93473,0.150038251568906
"P69905",1.800232,1.704813,1.882301,1.69379,1.554185,1.566565,0.0805695170537851
"P78324",0.06016008,-0.02441509,0.07387015,-0.00728509,0.24702688,0.094229,0.257628371057813
"P78352",-0.07827973,-0.30621002,-0.67202865,-0.54257492,-0.24301414,-0.22455313,0.124403777736929
"P78357",1.1524805,1.2071129,1.0286145,0.9913899,0.7695582,0.7000628,0.0228464846279503
"P78371",-0.56958729,-0.20477262,-0.01357285,-0.17944125,-0.30633851,-0.21638255,0.184602645351196
"P78417",-0.12020143,0.01190328,0.18121664,-0.05367821,-0.03964325,-0.1501478,0.212042956048216
"P78527",-1.0654784,-0.2282423,-0.4056363,-0.2014688,-1.0285316,-0.9576702,0.00273106331676989
"P78559",0.3235552,0.7023654,0.2022504,0.1518599,0.4340267,0.3501795,0.843692002837035
"P80404",0.03338668,0.12897693,0.21799206,0.52406958,0.3241745,0.35971989,0.709678752596966
"P80723",0.5489488,0.4530129,0.8743937,0.6684434,0.8974446,0.887342,0.202705340226114
"P83731",0.8901968,0.8016256,0.7064793,0.8642711,0.9416068,0.8602414,0.175030232319048
"P84095",1.2974834,1.3113299,1.4561236,1.3238287,0.3769394,1.025675,0.284688493634773
"P84098",0.594856,0.4617707,0.387204,0.5185677,0.5427528,0.4286165,0.707955831710935
"P98160",1.728496,1.869974,1.741363,2.38343,1.954021,1.922693,0.789237094634547
"P99999",0.007457587,-0.079441409,0.268989185,0.186332616,0.142224756,0.093707437,0.951507184067936
"Q00325",0.4021581,0.4025338,0.3824622,0.3768792,0.5693269,0.4978962,0.138763492611962
"Q00577",-0.49865366,-0.57841349,-0.45873754,-0.89665653,0.04197359,-0.34762017,0.177002559080753
"Q00610",1.175615,1.232126,1.228738,1.254728,1.391643,1.281634,0.320270502381447
"Q00839",0.7941103,0.6963967,0.3278504,0.4309193,0.4889357,0.2034678,0.516171857763679
"Q01082",1.097096,1.241858,1.23889,1.20484,1.427846,1.290504,0.300978378596162
"Q01469",0.14062309,0.07553749,-0.29320794,0.22742818,0.12743231,0.06345748,0.614259056075683
"Q01484",0.114985752,0.110200059,-0.003473745,0.038810839,0.42787546,0.414253935,0.00613708785117505
"Q01518",0.02952639,0.09807406,0.12787684,0.08195741,-0.2183527,0.11408338,0.522115819253211
"Q01813",0.3436979,0.4908068,0.2703462,0.1143774,0.4654021,0.3215122,0.493986601625117
"Q01814",-0.1176468,-0.2032629,-0.2635155,-0.6154813,-0.0656406,-0.1941751,0.213727395883762
"Q01995",-0.1955164,-0.5423932,-0.8946049,0.1285265,0.3232415,0.164257,0.144715380494268
"Q02252",-0.5647868,-0.5936732,-1.07542,-0.6217556,-0.4015084,-0.2723343,0.0989768559289203
"Q02413",0.2344724,0.1710777,0.3432194,0.213654,0.2020894,0.4117088,0.653072598165843
"Q02543",0.5161479,0.5279981,0.4986598,0.681229,0.7288467,0.6601765,0.15665505688561
"Q02750",-0.7131649,-0.7312659,-0.7975519,-0.7333272,-0.6305175,-0.7488261,0.462040640907409
"Q02790",-0.4429615,-0.6450128,-0.6144461,-1.209571,-0.7140657,-0.495379,0.400872036241665
"Q02878",1.0593275,0.9975373,0.9044252,0.9730061,1.1231243,0.7160789,0.880526852933862
"Q02880",-0.8459745,-0.8209152,-1.206182,-0.9491001,-0.8277561,-1.0092707,0.647714165475415
"Q02978",0.3676556,0.3374749,0.2869068,0.3353923,0.565045,0.4244561,0.228726621990951
"Q03001",0.39484643,0.17244747,0.23374568,-0.02485672,-0.15060807,-0.09326458,0.0732732638793546
"Q03135",0.9458398,0.8801625,0.893904,0.8267066,0.9895179,0.7523164,0.978653451308441
"Q04609",-1.7482946,-1.0371504,-0.7327277,-1.9758216,-0.5750584,-0.6594016,0.232474958861327
"Q04695",-0.745545701,-1.14308216,-0.000130836,-0.300743182,-0.454393668,1.042822453,0.477490147532876
"Q04760",0.3877713,0.5905135,0.5728889,0.3920228,0.3775662,0.3862051,0.163557181169267
"Q04837",0.6108215,0.4833741,0.4846428,0.4089269,0.5589437,0.3614234,0.992315382724419
"Q04917",0.6296432,0.4919596,0.3228725,0.4368499,0.4335053,0.5509152,0.419382644036237
"Q05193",0.9592531,0.943195,0.894739,0.8032339,0.9685412,0.92443,0.255597078212654
"Q05469",0.2350755,0.2720987,0.341817,0.2363756,-0.4721942,-0.3478937,0.0232110358682828
"Q05639",-0.1294034,-0.4038298,-0.2111829,-0.4047445,-0.2991072,-0.3476823,0.828438320177296
"Q06830",1.207971,1.298512,1.240914,1.129665,1.127057,1.204306,0.429214366725098
"Q07002",0.04295171,0.10117012,-0.04635834,0.0663037,-0.33700959,-0.52370458,0.0774505393521368
"Q07020",1.401681,1.270322,1.161594,1.367114,1.374689,1.304073,0.369547858800966
"Q07021",-0.8223656,-1.1787057,-0.8188467,-1.3398105,-0.3434646,-0.5188105,0.033008259034286
"Q07955",-0.968355,-1.2736679,-0.2602512,-1.3839512,-1.2242146,-0.5586094,0.87928962407104
"Q07960",-0.8641597,-0.949675,-0.7876735,-1.3606183,-0.5108592,-0.4762281,0.0856943659106936
"Q08188",-0.4452157,-1.2368367,-1.0703656,-0.5555136,-0.3943721,-0.1469179,0.0664115144061498
"Q08209",1.581744,1.640795,1.752483,1.545075,1.196738,1.353655,0.0575471619071877
"Q08211",-0.4383116,-0.9222587,-1.1027613,-1.1371303,-0.8753505,-0.7677341,0.0742316374098164
"Q08380",0.8490139,0.7737676,0.8487378,0.6287536,0.4949648,0.3880822,0.0360380972901005
"Q08431",-0.15406539,-1.02627844,-0.57446078,-0.23187727,0.59807448,0.05335637,0.10165083896557
"Q08554",-0.660687883,0.134221886,0.406477483,-0.007387467,-0.053393451,0.224342499,0.658884435322412
"Q08945",-1.434378,-1.528196,-1.325439,-1.526082,-1.543259,-1.180977,0.68599553496981
"Q12765",-0.339674217,0.008493174,0.060142175,0.063610022,-0.014236136,0.054081493,0.60981849112996
"Q12846",-0.9326926,-0.8869523,-0.9445159,-1.0779897,-0.9401957,-1.022783,0.878286342413748
"Q12860",1.518441,1.504528,1.430069,1.356988,1.330356,1.313884,0.121214023451657
"Q12979",-0.7874639,-0.611694,-1.047377,-0.9736579,-0.8281582,-1.0195711,0.797519728652199
"Q13011",0.3849021,0.402425,-1.0670794,-0.1846458,0.2664913,-1.0081829,0.919835771495504
"Q13098",-0.8313475,-0.5304509,-0.6086351,-0.7171683,-0.734358,-0.5990211,0.630565954127947
"Q13129",0.206217185,-0.695494845,-0.008613157,-0.144754811,-1.077062676,-0.068205428,0.66967719588285
"Q13148",-0.23518983,-0.09564947,-1.32761199,-1.01421144,-0.86913349,-1.27019321,0.586084539644499
"Q13162",0.32591158,0.6935484,0.31835836,0.21229779,0.20003032,0.01474122,0.18129245826482
"Q13228",0.13546486,0.08448478,0.14206941,0.07975265,0.08033053,0.12818947,0.950378743031801
"Q13303",-0.1277304,-0.168574,-1.0657609,-0.546073,-0.4764838,-0.4350118,0.649727786859132
"Q13423",-0.687911,-1.0738302,-0.8441177,-1.1320319,-0.770754,-0.7878796,0.112791259555814
"Q13491",-0.5096743,-0.5808151,-0.7179917,-0.5217975,-0.4433849,-0.5815284,0.391726957015116
"Q13509",0.6586725,0.8188581,0.7098667,0.580739,0.6893731,0.6112948,0.553755522017665
"Q13510",0.5071772,0.5844967,0.5014098,0.4395037,0.4281983,0.3941386,0.135941129131953
"Q13554",2.159025,2.030088,1.715448,1.881169,2.056803,1.691935,0.995985643861357
"Q13555",1.643398,1.490896,1.186733,1.430201,1.661158,1.225141,0.795946834706942
"Q13557",1.486492,1.454592,1.093051,1.294225,1.424515,1.116651,0.962036541200721
"Q13561",-1.0238565,-0.9564849,-0.9550616,-0.8321351,-0.4965391,-0.8467765,0.388755751249999
"Q13813",1.156177,1.273858,1.258638,1.237824,1.381439,1.406004,0.00811212584681006
"Q13867",1.1326703,1.0760223,1.0474691,0.8538271,0.9135919,0.8238641,0.233409366584938
"Q13875",1.457555,1.549723,1.66269,1.588797,1.368708,1.325646,0.00783228781568203
"Q13885",1.326177,1.455877,1.388964,1.261183,1.361618,1.289616,0.569410272501275
"Q14103",0.8101008,0.6595156,0.8297697,1.0656118,1.0183238,0.7410533,0.889659790792488
"Q14112",-0.8591394,-0.4485743,-0.3390817,0.1321914,-0.7170887,-0.3767921,0.282299130408467
"Q14141",0.17823207,0.17353032,0.02310796,0.23150485,0.3955191,0.26853863,0.135569813802699
"Q14194",1.573635,1.551914,1.513043,1.622926,1.518087,1.551386,0.500797768550722
"Q14195",1.373809,1.521539,1.242939,1.353503,1.316806,1.180509,0.328226349851383
"Q14203",-0.460033,-0.7863073,-0.5306332,-0.6200736,-0.3395457,-0.3938584,0.0531196667460459
"Q14204",1.72615,1.76307,1.592611,1.658206,1.649313,1.600897,0.469312411460656
"Q14254",1.861483,1.720841,1.678345,1.919244,1.940968,1.775999,0.507224340789835
"Q14344",0.2341916,0.21707617,0.40775929,0.05654357,-0.46113997,-0.08821507,0.171627674351728
"Q14498",-1.034511,-1.44059,-1.363574,-1.38397,-1.185246,-1.439949,0.629925378959469
"Q14677",-0.4226519,-0.7189656,-1.1828294,-0.8309059,-0.9698869,-0.9958509,0.658373888573675
"Q14764",1.960934,1.712093,1.127096,1.941848,1.346799,1.619241,0.718357583937441
"Q14894",-0.1559466,-0.20942257,-0.19234478,-0.2006077,-0.05074269,-0.08150284,0.0513041253663834
"Q14974",-1.922041,-1.294745,-1.549114,-1.708111,-1.640312,-1.628664,0.433117408320984
"Q14982",-0.452345,-0.6247418,-0.4077944,-0.5226738,-0.6478181,-0.6151488,0.208236479750505
"Q14CZ8",-0.46239808,-1.07562593,-0.92178212,-0.47652638,-0.02379915,-0.27416709,0.053900036307098
"Q15019",0.4039036,0.813809,0.5059546,0.4512219,0.3716248,0.2944037,0.140794019766401
"Q15056",-0.7091196,-0.7698506,-0.9151247,-0.9860316,-0.8355788,-0.8720127,0.629665696878236
"Q15111",-0.3798576,-0.2123113,-0.5397725,-0.1493501,-0.85794,-0.6780331,0.0534408871795568
"Q15121",-0.25399605,-0.09885909,-0.065927,-0.19736316,-0.24203822,-0.18547225,0.151306276761681
"Q15126",-0.5675658,-0.3874695,-0.3334027,-0.5480925,-1.0764715,-0.7588335,0.158758687236488
"Q15149",0.1629099,1.2691701,0.3642551,0.4616168,0.6770771,0.5675939,0.817504591837032
"Q15233",-0.3097871,-0.8520211,-1.2635843,-0.7946061,-1.0213774,-0.5400605,0.579244871144969
"Q15257",-0.2383052,-0.3074172,-0.1818995,-0.2677777,-0.6193115,-0.3503507,0.318688653615311
"Q15274",-0.2907328,-0.3373445,-0.181459,-1.1676872,-0.5346505,-0.545084,0.948564537755327
"Q15334",0.544961639,0.621471511,0.730733677,0.481203351,-0.003886226,0.360937357,0.219687418038223
"Q15365",-0.07227475,-0.13185962,-0.27813462,-0.31421305,-0.11525685,-0.34728471,0.946577164668732
"Q15366",0.09117599,-0.10421903,-0.19224285,-0.19443338,0.02842084,0.0145901,0.0204539433196649
"Q15382",-0.9553708,-0.9019633,-0.9899059,-0.895255,-0.7980795,-0.6530709,0.177782107924777
"Q15435",-1.0018641,-0.8735988,-0.7858136,-0.890716,-0.7532371,-0.9855894,0.895796898582769
"Q15517",-0.8368922,-0.7183237,-0.7278033,-0.8037146,-0.8813286,-0.6035682,0.965818321963255
"Q15555",0.09423023,0.16918885,0.09171344,-0.04031372,0.1541929,-0.04447656,0.889166820492911
"Q15631",-0.6180845,-0.6991081,-0.4580658,-0.9150645,-0.9973635,-0.8533929,0.220857207313691
"Q15843",-0.4924723,-0.9274533,-0.5661256,-0.7183811,-0.7988612,-0.7974727,0.620015644126497
"Q16143",-0.1971565,-0.2590343,-0.6713788,-0.2103133,-0.267964,-0.4016704,0.797896233295148
"Q16181",0.866271,0.9785215,0.8244508,0.8491838,0.7712659,0.8015083,0.170189294748897
"Q16352",1.3069302,1.5150661,1.1140038,0.8808735,1.0277352,0.6984338,0.307776095934895
"Q16555",2.893687,3.02181,2.931912,2.857981,2.840707,2.748618,0.12914956901657
"Q16563",-0.7217086,-0.5979,-0.6326416,-0.7131496,-0.8268895,-0.7829073,0.0309895134985182
"Q16623",1.0309863,0.9859196,0.948039,1.0546017,1.0707753,0.9877716,0.586095170845868
"Q16653",1.0032869,1.1397564,0.9488919,0.8828352,0.7133177,0.5885781,0.0427930944541962
"Q16658",1.411813,1.364267,1.680517,1.307509,1.114602,1.324933,0.242072243770188
"Q16666",-0.7384548,-0.9089059,-1.2144989,-1.1064008,-1.1713992,-1.2131608,0.324585472978461
"Q16698",0.6896551,0.6349729,0.6454992,0.5252032,0.5569852,0.4082119,0.322409729120596
"Q16718",-1.0250794,-0.835035,-0.6029757,-0.4523059,-0.6250441,-0.6786986,0.865195911665988
"Q16795",-0.9952317,-1.0066468,-1.8234544,-0.5372333,-0.1095826,-0.435103,0.142000881555283
"Q16799",0.3300986,0.4715636,0.4701899,0.5233972,0.7234693,0.7317428,0.00371576625476255
"Q16853",0.14029196,-0.05379711,-0.73067579,-0.13810606,0.56425214,0.22696544,0.0821975841933758
"Q27J81",-0.8769158,-0.8581512,-0.1828387,-0.241006,-1.1299744,-0.6899241,0.227796457495719
"Q2LD37",-0.9453323,-0.7704605,-1.0048135,-0.7707192,-0.5367293,-0.7822982,0.333774491514802
"Q2M389",-0.580724,-0.561096,-0.6954424,-0.6244866,-0.6515739,-0.5856585,0.879872021312998
"Q2NKX8",0.187750064,0.051726445,0.118176847,0.002673337,-0.117467051,-0.342050562,0.214672682784333
"Q2Y0W8",-0.6527852,-0.800707,-1.1809673,-0.9135326,-1.122581,-0.8451712,0.924801414274663
"Q32P44",-1.0294558,-1.09422,-0.999149,-1.0199131,-0.7991528,-0.8621478,0.0251431903926041
"Q3KQU3",-0.22166119,-0.79534146,-0.96519608,-0.07630244,-0.26361347,-0.1646486,0.279884901440741
"Q4KMP7",-1.0158903,1.32405414,0.03455354,-0.02154048,1.33357795,0.35796072,0.593715577610094
"Q53GQ0",-0.49065486,0.30037895,-0.35730151,0.08312914,0.23503241,0.06213868,0.561784111825538
"Q5BJF6",0.05212553,-0.1149027,0.48872873,-0.12293254,-0.25368502,-0.21686976,0.255469630057761
"Q5D862",-0.06996749,-0.36090523,-0.05931638,-0.12592306,-0.1589638,-0.06468612,0.547012222995113
"Q5HYW3",0.934209,1.2047003,1.0137445,1.035327,0.7587708,-0.4822867,0.367579009245296
"Q5JXC2",-1.003002,-0.767355,-1.101895,-1.094747,-1.325615,-1.611085,0.107542898952142
"Q5SQI0",-0.5694681,-0.4240784,-0.4590604,-0.5146983,-1.2314561,-0.5896981,0.396752074238036
"Q5SSJ5",-0.151372511,-0.007383628,-0.079783742,0.013261037,-0.369386132,-0.198306291,0.17491885105965
"Q5T4T6",1.045077,1.0025126,1.2217571,0.74596,0.7012524,0.6883235,0.164527507846206
"Q5T749",-0.12224962,-0.13997915,-0.38108307,-0.23297483,-0.60711258,-0.05372087,0.823779103894046
"Q5VTE0",1.244366,1.26465,1.299005,1.179605,1.125976,1.105351,0.0561692963194224
"Q5VWN6",-0.31605742,-0.42356781,-0.07589071,-0.25919865,-0.48281948,0.042524,0.922682541741511
"Q66PJ3",-0.0854817,-0.49725295,-0.22478185,-0.08099836,-0.10916789,-0.8780832,0.661524867632959
"Q69YW2",-0.15949018,-0.12583135,-0.04970069,0.23819601,0.08539235,0.18267666,0.427116256906325
"Q6DN90",-0.01553497,-0.67387595,-0.94926559,-0.65768573,-0.23587618,-0.4083657,0.0459814065055303
"Q6IQ22",-0.9453677,-1.2741499,-1.3007273,-1.3146331,-0.9841617,-1.3528456,0.613458049554744
"Q6KB66",-1.2074652,-1.1995078,-1.2766459,-1.003339,-0.8591175,-0.6597771,0.0761469531289228
"Q6NZI2",-0.03790814,-0.02882837,-0.1988293,-0.14689975,0.29817395,-0.15190246,0.537429611648574
"Q6P1Q0",-0.0379,-0.0515,-0.562,1.02e-07,-0.0918,-0.327,0.983214195892144
"Q6PCB0",-0.3128944,-0.4911344,-0.5453826,0.3495392,-0.5728283,-0.8668468,0.234486450864041
"Q6PGP7",-0.7405346,-0.4381721,-0.6853662,-0.4617093,-0.5124173,-0.574263,0.873089323562667
"Q6PIU2",-0.9553563,-1.0091756,-1.2851082,-1.1678581,-0.8818015,-0.9100361,0.0798994856106478
"Q6UWR7",-0.4600793,0.2525415,-0.3203424,-0.7612104,-0.5034772,-0.7902494,0.345617891385678
"Q6ZV73",-0.4209769,-0.59831,-0.4900955,-0.6102503,-0.8032025,-0.8641438,0.0124343657918009
"Q71DI3",0.6512458,0.8089567,0.6809263,0.7104398,0.6065817,0.5929325,0.070514802352954
"Q71U36",0.751885,0.8109013,0.7841383,0.7152844,0.8374149,0.7068474,0.980861084059703
"Q7L099",-0.17209566,0.15495607,-0.13160394,-0.26776336,-0.05333121,-0.07781446,0.910362071801063
"Q7L0J3",-0.07200936,-0.01669103,-0.14833097,0.05601981,0.24816967,0.15995245,0.0481421150118021
"Q7L1I2",-0.36122425,-0.48864322,-0.50133914,-0.15904639,-0.53884531,0.01575987,0.740146743095337
"Q7L266",-0.02486125,-0.37991021,-0.14010638,-0.37279592,-0.04419006,-0.17612732,0.16817808914306
"Q7Z3B1",0.17343408,-0.02984793,0.10452964,0.04906985,0.16225575,0.07693514,0.284778332950561
"Q7Z406",-0.78887855,0.00767471,-0.08628226,-0.23926963,-0.15390195,-0.23750476,0.361948692375919
"Q7Z4S6",0.582815,0.499277,0.1373649,0.4438167,0.5856569,0.5526544,0.202347117582599
"Q7Z6L0",0.18431879,-0.37015333,0.0722262,-0.07201305,0.02704866,-0.10159206,0.598567156126961
"Q7Z794",0.17714966,-0.50659543,0.1313115,0.09448278,0.1530943,-0.15714525,0.746644606093986
"Q86SE8",-0.9358736,-1.0780099,-0.9869669,-0.8077194,-1.035635,-1.0530199,0.388600165850979
"Q86SK9",-0.4425832,-0.3761467,-0.4562438,-0.6558239,-0.383664,-0.6322574,0.94419141426086
"Q86VP6",-0.52896755,-0.27017302,-0.39141466,-0.21218989,-0.09297227,-0.25933157,0.373027471940182
"Q86X76",-0.3465908,-0.1597485,-0.2422874,0.1001885,-0.2580507,-0.5293716,0.219709094876566
"Q86Y46",0.5078758,0.6195615,0.7205501,0.8104698,0.6444367,1.0777993,0.624773660287892
"Q86YZ3",0.2377166,0.3378539,0.8257377,0.2493536,0.1843557,0.5224487,0.6683337534968
"Q8IVP5",-1.0645367,-0.7870755,-0.8491646,-0.8505543,-0.7551973,-0.7801058,0.0884383440396103
"Q8IW45",0.241921956,0.008151586,-0.107040015,-0.109843966,0.031583899,-0.020084732,0.205253909091202
"Q8IXJ6",1.260662,1.3323899,1.302696,1.1931905,0.7766388,0.8925064,0.0236692181373807
"Q8IZP2",-0.13780007,-0.1180058,-0.05741242,-0.12240874,-0.07040473,-0.22860702,0.638843029029005
"Q8N111",-0.752391,-0.7132181,-0.8484094,-0.7127498,-0.5948756,-0.751716,0.463146697638536
"Q8N126",-0.4336021,-0.231041,-0.5619447,-0.4169081,-0.1961023,-0.3745779,0.438585937465877
"Q8N1N4",-0.12743966,-0.96396795,-0.11034292,-0.02484852,-0.09763393,0.15999108,0.321103131959354
"Q8N257",1.496919,1.622697,1.494277,1.544434,1.614754,1.442318,0.822518748635864
"Q8N3J6",-0.129425,-0.9310893,-0.4755987,-0.4305477,-0.0948368,-0.2199805,0.0917225061702197
"Q8N573",-0.6317233,-0.80322,-0.7809921,-1.06664,-0.5079369,-0.6713817,0.101135155088004
"Q8N5J2",-1.1673391,-0.3328647,-0.1944614,-0.5338848,-1.5096837,-0.5658415,0.376829281881226
"Q8N608",-0.668737,-0.4447048,-1.3469427,-0.3985554,-0.583697,-0.7063595,0.810731563827623
"Q8N987",-1.1671621,-1.2385572,-0.9739492,-1.2599393,-1.0453981,-1.1447815,0.594662402963473
"Q8NBH2",0.7203045,0.6152273,0.6908086,0.7914172,0.6636217,0.5084457,0.354245276652808
"Q8NCB2",0.17205343,0.18670579,-0.06924849,0.09465716,0.26204093,0.35864569,0.0749715070636992
"Q8NCW5",-0.4729103,-0.5740963,-0.564716,-0.4833359,-0.2750612,-0.5011636,0.396094959680812
"Q8NDH3",0.3949111,0.41250076,0.28103232,0.15086535,0.20027832,0.08523484,0.24058966811574
"Q8NFW8",-0.7559415,-0.9673545,-1.0823951,-0.830835,-0.737956,-0.6116421,0.0625153096608168
"Q8NFX7",1.0166395,1.1048564,1.2964093,1.1571332,0.4966722,0.8398865,0.175265198979853
"Q8NFZ8",-0.18278521,-0.05970739,-0.49752941,-0.39035568,-0.22405856,-0.31632336,0.769473939296984
"Q8NHM4",1.4717363,1.4136335,1.0456378,0.9749299,1.230218,1.1514889,0.771720199285403
"Q8NHP1",-0.8397247,-0.7737297,-0.7825707,-0.9767808,-0.7949687,-0.9272441,0.870731815407525
"Q8TAG6",-0.02117072,0.07679849,0.15285017,0.09806229,-0.34336056,-0.30042711,0.00125646450024283
"Q8TAM6",-1.25996845,-1.47864415,0.07478427,-0.33635078,-0.6190261,-1.55819414,0.5042285172605
"Q8TB36",0.6648817,0.6770195,0.5306178,0.7515801,0.9388364,0.8408459,0.062212871026044
"Q8TBH0",-0.8327325,-0.7805199,-0.7001567,-0.6893342,-1.1010777,-0.9708048,0.087702278608248
