"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","t_test_p_value"
"P05937",-1.1734833,-0.9768168,-1.0128102,-1.0509489,-0.9243542,-0.6112314,0.357334044844012
"P06239",-0.6534714,-0.5033129,-0.5240512,-0.7032237,-0.6865414,-0.7579374,0.143348006141025
"P06310",-0.02515887,-0.26767105,-0.36200944,-0.26312625,-0.31041425,-0.55818537,0.461627304441872
"P06396",1.1834462,1.1624964,1.2716288,1.0727299,0.8469041,0.9378847,0.033305895994969
"P06576",1.109967,1.097342,1.119862,1.09779,1.40438,1.324775,0.0876592223969971
"P06702",-0.4399585,-0.3745809,-0.1087184,0.618531,-1.1176558,-0.1139331,0.39066054621672
"P06727",0.8064558,0.8393237,0.926641,0.7445261,0.2938783,0.3945439,0.00872078782254419
"P06733",1.792184,1.818914,1.8817,1.606455,1.788509,1.728855,0.91579124707269
"P06744",1.116013,1.482349,1.260726,1.433039,1.377038,1.144661,0.447365992836213
"P06748",0.28931361,-0.01791157,0.14040764,0.12800203,-0.02152904,0.05268442,0.359582383365339
"P06753",0.04646423,0.45798879,0.18423736,0.11237945,0.20934153,0.25029319,0.857122078528527
"P07099",0.8904964,0.9417619,0.8465597,0.9191135,0.9548773,0.8250934,0.882237463718365
"P07195",1.520988,1.467866,1.637773,1.354462,1.511259,1.507787,0.807653768566508
"P07196",1.593528,2.116937,1.680497,1.490362,1.501432,1.207675,0.184163414520654
"P07197",1.93056,2.248915,1.8241,1.69537,1.578182,1.331774,0.109858333952482
"P07203",-0.56991518,-0.08031146,-0.50270016,-1.07588211,-0.18299898,-0.25245888,0.365029425935684
"P07237",-0.8482666,-0.9971768,-0.7591255,-0.7971128,-0.867409,-0.7215263,0.627071955565748
"P07305",1.403143,1.338779,1.327943,1.344209,1.332482,1.196919,0.478986481935126
"P07339",0.7386809,0.8042077,0.7700782,1.0065553,1.1124885,0.8507897,0.518872553575859
"P07355",0.04029671,0.08474118,-0.08093145,0.0640245,0.2638437,0.04681024,0.418062706100764
"P07437",0.6693736,0.5916413,0.6446734,0.5504271,0.6165447,0.532556,0.71807855002635
