"","Control","Control.1","Control.2","Control.3","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","Disease.22","Disease.23","Disease.24","Disease.25","Disease.26","Disease.27","Disease.28","Disease.29","Disease.30","Disease.31","Disease.32","Disease.33","Disease.34","Disease.35","Disease.36","Disease.37","Disease.38","t_test_p_value"
"P15884",-0.6823722,-1.8269628,-1.8963339,-0.4031215,-0.7120235,-1.955752,-1.5947092,-1.6940555,-0.6258144,-1.9505733,-1.8596628,-1.5195255,-0.6609424,-2.058443,-1.9581187,-0.1821852,-1.126586,-1.9139722,-1.7511076,-0.7815977,-0.7963454,-1.8227331,-1.9950318,-2.0010272,-0.714659,-0.9883775,-0.9299935,-0.7131827,-1.7490968,-0.4113147,-1.8436796,-1.6744783,-1.6774821,-1.6703631,-1.5486619,-1.8200916,-1.9456311,-1.9063076,-1.8242876,-1.9457805,-1.8605684,-1.936835,-0.7883242,0.537101721523035
"P15924",-0.38217353,0.40707193,0.3786105,0.55630875,0.95814399,0.54288244,0.84668455,0.44871218,0.83692406,-1.22080312,0.89815379,-0.78975516,0.45320727,0.66035897,1.21715371,1.01207117,0.44102754,0.3264026,0.61520022,-0.96539759,0.75120066,0.66904858,0.64304011,0.70420824,0.19066838,0.44036292,-0.20022306,-1.0138808,1.09059472,0.39640043,0.90624491,0.92956214,0.93737744,-0.94059279,1.42208981,0.46845122,0.76547986,-0.04293006,1.12406316,0.56854993,0.7344843,1.0246477,0.8120586,0.541448672642037
"P15927",-0.15389268,-1.07040343,-1.1397746,0.18603133,-1.0374674,-1.1991928,-0.83814974,-0.93749607,-1.00018478,-0.09407883,-0.06134973,-0.76296608,-0.09387692,-0.30263548,0.15437511,-1.15382053,-0.32740267,-0.1422646,-0.99454821,-0.93860851,-0.09927637,-1.06617379,-0.24638794,-0.09792275,-0.30933602,-0.23181801,-0.17343398,-0.28812172,-0.15014927,0.12032469,-1.08712024,-0.91791888,-0.9209227,-0.91380371,-0.79210243,-0.07481329,-1.18907186,-0.08546826,-1.06772829,-1.18922132,-1.10400905,-1.18027581,-0.27039857,0.605477070922718
"P16070",2.0489401,0.7037422,0.5326643,0.6996955,1.3239801,1.2459439,1.2326268,0.9205238,1.8264445,1.6875822,1.1974815,0.9667812,1.5238343,1.117995,1.8408914,2.1598068,1.4674772,0.8257399,1.6880127,1.3757756,1.8781007,1.8106858,1.7104571,0.9084192,1.1157698,1.5623119,1.1239303,1.2138501,1.5898986,0.6917827,1.030814,1.8554682,1.9517834,1.2751934,2.0375298,1.2032171,1.3795037,1.2463162,2.2961998,1.6230002,1.7216721,2.20579,1.5110471,0.0249607802884641
"P16083",-0.013739,0.07233338,-0.52433245,-1.39428735,-1.34081387,-1.50253926,-1.14149622,-1.24084254,-1.30353126,-1.4973605,-1.40644997,-1.06631256,-1.30171463,-1.6052304,-1.50490599,-0.75819702,-1.37234295,-1.46075939,-1.29789469,-1.24195498,-1.52775211,-1.36952026,-1.54181915,-1.54781453,-1.31525319,0.2001691,-0.47678046,-1.2904382,-1.29588391,-1.58929094,-1.39046671,-1.22126536,-1.22426918,-1.21715019,-1.09544891,-1.36687874,-1.49241832,-1.45309482,0.79249657,-1.49256778,-1.40735552,0.56014357,-1.46364402,0.357434784811303
"P16104",0.64802609,-0.1466765,-0.04730922,-0.16323225,0.52038666,0.28004876,0.08611387,-0.01411351,-0.25519053,-0.62399037,0.71208046,0.14639142,-0.06801388,-0.1551326,-1.55695948,0.15563496,0.03007063,-0.22864819,-0.16102598,-0.27340062,-0.59176488,-1.42157375,-0.42495375,-0.2545356,-0.1167555,-0.58721799,-0.52883396,-0.6435217,0.13595616,0.12375609,0.30745681,-0.24497685,0.32285402,0.31180609,-0.31572497,0.0891519,0.55145252,0.1408948,0.56076119,-0.13126837,-0.33758758,0.27280801,0.08982459,0.410656693462857
"P16144",-0.31972651,-2.89778506,-2.96714795,-2.91832034,-0.42166137,-3.02655662,-2.66554583,-2.76488778,-2.8275725,-0.47011715,-2.93048156,-2.59036439,-2.82575601,-0.47923329,-0.18203245,-2.98119186,0.01392577,-0.6774822,-2.82193634,-2.76600016,-0.16137765,-0.11011123,-3.06582861,-0.86358545,-0.75835624,-0.52041336,-1.30186761,-2.81448038,-0.03823589,-3.11328875,-0.57297511,-0.21978139,-0.15376013,-0.43400689,-2.61949997,-2.89091459,-0.37759862,-2.97712028,-0.11361929,-0.36277289,-2.931387,-0.23987476,-0.03975181,0.292364579897041
"P16152",1.9165997,1.8562465,1.8404564,1.5889969,1.5255989,1.7754594,2.08654,1.816404,2.6480916,1.8397232,0.3662554,2.4045781,1.7527441,1.722792,1.6356081,2.0159173,1.6279357,2.0523122,2.6610783,1.8736753,1.7647991,1.6010023,2.488814,1.9595176,1.6230828,1.8996728,1.9633159,1.7742364,1.5804607,1.509103,0.2834774,1.8792069,1.9522554,1.6705166,1.841882,1.4862702,1.6743368,1.7606043,2.181321,1.7321239,2.4022686,2.2842544,1.8314812,0.303791241174735
"P16157",-1.05338773,-0.81385442,-0.8832256,-0.83439188,-0.7809184,-0.9426438,0.11736927,-0.68094706,-0.74363578,-0.93746504,-0.8465545,-0.50641708,-0.74181915,-1.04533496,-0.94501053,-0.89727153,-0.81244747,-0.90086393,-0.73799921,-0.6820595,-0.96785666,0.63023577,-0.98192369,-0.98791908,-0.75535771,0.024731,0.08311503,-0.73054272,-0.73598843,-1.02939549,-0.83057124,0.79448369,-0.6643737,-0.6572547,-0.53555342,-0.80698327,-0.93252286,-0.89319935,-0.81117929,-0.93267232,-0.84746005,-0.92372681,-0.90374855,0.0449605216055968
"P16219",-2.636583545,-2.397054653,-2.466425002,-0.662212886,-2.364118933,-0.534272184,-2.164802401,-2.264148294,-2.326836614,-0.643951029,-0.36909425,-2.089618964,-2.325020001,-1.237838045,-2.528208944,-2.480470732,-0.298186372,-0.066401785,-0.477776811,-0.834058848,-2.551054621,-2.392825057,-0.535100813,-0.61053728,-2.338558455,-1.558471375,-0.801117386,-2.313743647,-2.319189324,-2.612591998,0.113712445,-2.244571208,-2.247575019,-2.240456058,0.004368627,-2.390183566,-2.51572149,-2.476398615,-2.394379543,-0.253549955,-2.430659908,-0.782636258,-0.782549937,0.427564284650713
