"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"Q6P995",-1.13115192,-0.36520238,-0.9819114,-0.05488374,-0.30893284,-0.24168565,-0.01726434,-0.24431614,-0.3785875,-0.38508921,-0.22604811,-0.37657246,0.0721216,-0.34851661,-0.29268243,-0.12550699,NA,0.595912772373901
"Q6P9B6",-0.9146318,-0.548621,-0.804099,-0.5632853,-1.0390324,-0.3700243,-0.4288345,-0.5945392,-0.1745843,-0.3755585,-0.3027081,-0.2088729,-0.1463994,-0.2649661,-0.3115231,-0.2114245,NA,0.0146663057666506
"Q6PCB0",-0.9644083,-1.2808283,-1.1473165,-1.1777672,-1.195515,-1.0974651,-0.8251138,-1.039613,-0.4145905,-0.7492961,-0.8406735,-0.3284894,-1.0547985,-0.6315493,-0.7290993,-0.7718073,NA,0.0182416921751021
"Q6PCB7",-0.23708477,-0.76408923,-0.26641749,-0.26180909,-0.39897223,-0.27364618,-0.77924605,-0.4765178,-0.31539212,-0.14563913,-0.44311833,-0.23133845,-0.56056206,-0.09878295,-0.1693733,-0.36697351,NA,0.0839505829569659
"Q6PCE3",0.7749536,0.698879,1.0645694,0.8210452,1.0324738,1.0130313,0.9292501,1.034279,0.9230706,0.7970533,0.9170476,0.8158324,0.7825253,0.7780814,0.642215,0.8142228,NA,0.0352147706076401
"Q6PGP7",-1.0214177,-0.687506,-0.1235277,-0.2304988,-0.3923826,-0.2868652,-0.3808844,-0.4494384,-0.3635507,-0.2903951,-0.2367002,-0.2362366,-0.4474692,-0.2236677,-0.3296621,-0.2388025,NA,0.172205808382254
"Q6PI48",-0.5496302,-0.7991525,-0.827706,-0.8800168,-0.6710858,-0.8430161,-0.6503387,-0.7440294,-0.8596558,-0.8451133,-0.8726474,-0.6679247,-0.4860255,-0.5542124,-0.5044256,-0.5976712,NA,0.000697622309145708
"Q6PI78",0.8342759,0.5767473,0.5242601,0.5588263,0.7344178,0.5118379,0.6351972,0.5962877,0.419945,0.2320786,0.5173567,0.2815626,0.8047947,0.4822624,0.4318071,0.4479669,NA,0.0107935156441746
"Q6PIL6",-0.6388256,-2.3735547,-1.1886787,-0.7362578,-0.9332806,-1.0715616,-1.1148607,-1.2468497,-1.6720731,-1.4230143,-1.4098159,-1.301956,-1.5281334,-1.7164558,-1.6716971,-1.6040067,NA,0.0811451470087677
"Q6PIU2",0.8806949,0.6840063,0.6315916,0.9539158,0.8732662,0.8025556,0.7559285,0.819743,0.832299,0.812626,0.9804243,0.6739143,0.8345649,0.7289719,0.8307894,0.7801209,NA,0.769333360035773
"Q6PJI9",1.6149453,1.3272505,1.9555349,1.4968818,0.9560775,1.4549881,1.0298068,1.0580833,0.8734686,0.9192041,0.8535848,0.2903262,0.8519459,1.3348417,0.6516292,1.1042442,NA,0.375590385549353
"Q6PKG0",-0.21800357,-0.01840037,-0.28489066,-0.30032196,0.0520147,-0.10869206,-0.03507749,0.04777849,0.01436762,-0.22203805,0.1888798,-0.02646138,0.13210906,0.10084902,-0.22178265,0.18419355,NA,0.513067235805322
"Q6PL24",-0.3856889,-0.4220405,-0.4695307,-0.3329604,-1.1014231,-0.2415399,-0.3398826,-0.5019356,-0.6241858,-0.6538353,-0.464295,-0.5057304,-0.5120015,-0.485931,-0.9275899,-0.4708047,NA,0.52553111430707
"Q6PML9",-0.3104069,-0.4479979,-0.7533149,-0.2587031,-0.9571711,-0.3898295,-0.5772062,-0.2661418,0.2133162,-0.4661817,-0.207756,-0.2837103,-0.1886864,-0.3367787,-0.4184289,-0.2550917,NA,0.505710430150733
"Q6PUV4",1.018182,0.9186454,0.8694851,1.2772218,1.2789723,1.2448406,1.1601986,1.260376,0.8644711,0.9717368,0.5931646,0.9401498,0.9173004,0.3525261,0.2772835,0.65097,NA,0.00949481879899049
"Q6Q759",-0.058279754,-0.10651964,-0.085990478,-0.112724691,-0.265267206,-0.361985678,-0.004892292,-0.309686389,0.004847163,-0.173706542,-0.244080088,-0.365952614,-0.825514323,-0.143496678,-0.196568589,0.183821801,NA,0.486818206786859
"Q6U841",0.5493899,0.4662291,0.3054197,0.5006272,0.5688328,0.6302274,0.5545445,0.7418571,0.5327957,0.4696321,0.6275446,0.6063533,0.6318977,0.3216082,0.3060959,0.5067276,NA,0.109919534649022
"Q6ULP2",-1.039486,-1.882129,-1.662322,-1.812105,-1.424471,-1.487737,-1.591851,-1.661776,-1.404752,-1.456546,-2.171212,-1.873985,-2.887748,-1.355729,-1.98417,-1.77122,NA,0.688406680022917
"Q6UUV9",-0.83738314,0.02232683,-0.24065688,0.08425604,-0.10236898,-0.10098964,0.04496852,-0.0396799,-0.08481901,-0.04021938,-0.08772833,-0.07906195,0.22967662,-0.52186491,-0.41243575,-0.02903044,NA,0.208582319197456
"Q6UVY6",-0.8844766,-1.0560037,-0.4675804,-0.7384223,-0.7077387,-0.6784526,-0.7361138,-0.6945373,-0.8918873,-0.5604629,-0.5898521,-0.5992592,-0.7475053,-0.2802675,-0.4084952,-0.6178335,NA,0.0602526725834735
"Q6UW68",0.11895873,0.17598928,0.07872195,-0.53592828,-0.93888743,-0.28158399,-0.36229321,-0.27049036,-0.24108222,-0.16487072,-0.09350591,-0.54606585,-0.56788904,-0.11430762,-0.08630144,-0.1632618,NA,0.199256864640993
"Q6UWE0",-0.163933,-0.4122879,-0.3016744,-0.3758867,-0.5221208,-0.3716219,-0.3068023,-0.5838202,-1.0891129,-0.4099574,-0.1697102,-0.4648474,-0.5200495,-0.4989484,-0.8109171,-0.8554908,NA,0.179639771691849
"Q6UWP2",-0.356767,-0.326667,-0.7986831,-0.9505771,-0.7283963,-0.7188589,-0.8310244,-0.8778228,-0.651984,-0.7488427,-0.6512748,-0.6013735,-1.5101516,-0.5591467,-0.7776117,-0.7304358,NA,0.639954797871684
"Q6UWR7",1.100548,1.5459949,1.0935909,0.7447826,0.8169731,0.5707149,0.5369179,0.5069982,0.5922617,0.7437305,0.4258411,0.6023736,0.6749749,1.2015082,1.0834496,0.8400506,NA,0.186536928002566
"Q6UWY5",-0.32784791,-0.37902474,-0.2425251,-0.40829044,-1.33235764,-1.24947872,0.07603531,-0.4949642,0.09462533,-0.25402951,-0.96773202,0.52814348,0.03208626,0.05965426,0.51491777,0.07706487,NA,0.0192098327576092
"Q6UXD5",-0.3300378,-1.1973906,-0.9440097,-0.7517667,-0.776969,-0.5004154,-0.6154462,-0.3654654,-0.9939956,-0.4380456,-0.7398509,-1.2906835,-1.1314571,-1.1526794,-0.9318794,-0.9218494,NA,0.0932120899248814
"Q6UXN9",-0.5938739,-0.5594011,-0.4950709,-0.4880673,-0.5578124,-0.4979762,-0.6139411,-0.4867623,-0.3848458,-0.2399535,-0.3107239,-0.2349274,-0.6162005,-1.9255627,-0.3811531,-1.586582,NA,0.234748722242087
"Q6UXV4",-0.06066419,0.0308195,-0.11468739,-0.12988325,-0.10217969,-0.28670352,-0.17709997,-0.17354629,-0.33062321,-0.34190629,-0.0746715,-0.67613135,-0.14969506,-0.1061055,-0.3820816,-0.34812491,NA,0.30682000072797
"Q6VY07",0.4301498,0.4458343,0.2858948,0.5496706,0.5396762,0.309831,0.5206952,0.4036216,0.5473868,0.4709262,0.8208996,0.6794273,0.7286751,0.543847,0.5148504,0.4751504,NA,0.189729285641564
"Q6WCQ1",-0.7056609,-0.50003387,-0.35930165,-0.48458598,-0.04535524,-0.21351381,-0.32241491,-0.25276992,-0.65597233,-0.91151766,-0.54728685,-0.51483538,-0.80564589,-0.42723799,-1.20263919,-0.54800306,NA,0.258812055544393
"Q6XQN6",-0.7706417,-1.2465158,-0.8387975,-0.2134577,-0.4399929,-0.7682721,-1.7784452,-0.7496293,-0.6132663,-0.4780132,-0.4878897,-0.4323384,-0.1106802,-0.2717203,-0.4045901,-0.4631961,NA,0.0367794854264289
"Q6Y288",-0.5694773,-0.9742311,-0.641218,-0.6236573,-0.6535497,-0.9709274,-0.9168756,-0.8054289,-0.7836612,-0.6146401,-0.7103307,-0.6697419,-0.3810572,-0.5543452,-0.5546289,-0.7353984,NA,0.0691666355360696
"Q6Y7W6",-1.6618003,-1.1561898,-1.2414339,-1.4957401,-1.5114786,-1.2299368,-1.1665218,-1.2238404,-1.2547451,-1.8668919,-0.8168993,-1.1946986,-0.8624449,-1.4157141,-1.2190005,-1.2982913,NA,0.743611415451772
"Q6YHK3",-1.2693319,-1.5463151,-0.8106621,-1.248837,-1.4344657,-1.2914999,-1.3647334,-1.1221066,-1.3238892,-0.8304287,-1.2392964,-1.1303407,-1.1784338,-0.8974809,-0.4279748,-1.3128144,NA,0.263879287225449
"Q6YN16",0.3336127,0.4674764,0.6041145,0.5974958,0.3861772,0.547768,0.5670093,0.4611775,0.4796449,0.4178264,0.3191727,0.3446274,0.1991756,0.3426335,0.4752553,0.384659,NA,0.0747539979690398
"Q6YP21",0.65323539,0.28448882,-0.04620615,0.25461006,0.19084182,0.19599348,0.43739637,0.42724814,0.29897478,0.43196269,0.04665778,0.24258233,0.19995607,-0.02690025,0.19779842,0.49572762,NA,0.851790491077352
"Q6ZMI0",0.006673497,-0.216837036,-0.100604467,0.149252988,0.182036982,0.06407573,0.031105248,0.085978251,0.028253981,0.000218328,0.161575315,0.104394343,0.031003132,0.01455943,-0.073927013,0.002323272,NA,0.406579402743961
"Q6ZS30",-0.01220877,0.07644142,0.49336705,-0.23480365,-0.17488031,-0.26841164,-0.47312434,0.1055465,-0.35700843,-0.81778641,-0.24287856,-1.36507367,-0.32448504,-0.12789174,-1.02166259,-0.76496744,NA,0.169556463195618
"Q6ZSS7",-0.66847971,-1.05248138,-1.32913753,-0.66585227,-0.7557715,-0.58459493,-0.26240427,-0.19862278,-0.1246059,-0.38532779,-0.01078807,-0.54996728,-0.2900275,-0.35690044,-0.24296368,-0.25454991,NA,0.0618509874270725
"Q6ZSY5",-1.0747031,-1.237966,-0.870763,-0.939318,-0.7704274,-0.9228102,-0.6562516,-0.7860525,-0.7333248,-0.9195357,-0.6126224,-0.5766645,-0.6544963,-0.8946401,-0.9397607,-0.8181789,NA,0.793304219153829
"Q6ZT12",-0.8063501,-1.1455873,-0.9653285,-1.1255688,-0.8599399,-1.1642599,-0.7400753,-0.8155044,-1.2341246,-1.3783564,-1.2167528,-1.2768463,-1.1358432,-1.4400757,-1.2840995,-1.1652916,NA,0.0374922976832377
"Q6ZT21",-2.249027,-2.002614,-1.507451,-1.603003,-1.655224,-1.237088,-1.795044,-1.278722,-1.487721,-1.413196,-1.44241,-1.333279,-1.24033,-1.689035,-1.443998,-1.634761,NA,0.878745003250616
"Q6ZTR5",0.9522261,0.9346317,1.2255879,0.8791016,0.9879429,0.953747,0.4429174,1.0307099,0.8519375,0.8556721,0.8624762,0.8104554,0.9516949,1.0411788,0.7303024,0.8512938,NA,0.756854420323601
"Q6ZVF9",-0.9588872,-1.996711,-1.674101,-2.124405,-2.3393485,-1.7829337,-1.5153354,-2.1366285,-1.8138724,-2.0925574,-1.6336523,-1.8289017,-1.5397161,-1.6953803,-1.5129904,-2.1370665,NA,0.545574083969671
"Q6ZVL6",-0.09721649,-1.4805614,-0.52949803,-0.33944888,-0.04220008,-0.02482042,-0.17671401,-0.09451894,-0.4821477,-0.59503714,-0.36426022,-0.46163777,-0.52400942,-0.66778188,-0.93950184,-0.35691939,NA,0.318889125210776
"Q6ZVM7",0.6383867,0.4935759,0.6434602,0.5900055,0.721871,0.7504996,0.7650332,0.7717357,0.7234638,0.705451,0.7797381,0.6594189,0.7915935,0.5998228,0.4392836,0.7430275,NA,0.425982153287289
"Q6ZWB6",-0.4561451,-1.2486212,-0.7920128,-0.5300855,-0.4282074,-0.6420474,-0.8738627,-0.610675,-0.5326283,-0.6017151,-0.3913625,-0.3188976,-0.3085302,-0.5748456,-0.5219506,-0.5551428,NA,0.137399207505388
"Q709C8",0.274116493,0.113567313,0.159094728,-0.08042702,-0.231889371,-0.096435895,-0.231855824,-0.012096887,-0.024922997,-0.174652327,0.049684337,-0.002185911,-0.104692093,0.128209058,0.04187418,0.017791347,NA,0.0952154156063501
"Q71U36",1.5195259,0.6210519,1.6859685,1.4489082,1.6462226,1.6764432,1.3947427,1.8114882,1.2148667,1.6491682,1.0494282,1.2473451,0.9233411,1.0483581,0.8582393,1.1254426,NA,0.0235539881151713
"Q71UI9",0.5106596,0.7291267,0.7644397,-0.5216339,-0.5010941,0.4099788,0.3749542,0.1950246,0.3832673,0.5965824,0.4604946,0.3352142,0.1246794,0.7966655,0.5904594,0.4891642,NA,0.0750801104634066
"Q765P7",-0.512642395,-0.20284362,-0.170478796,-0.462223494,-0.22936371,-0.13378983,-0.002193472,-0.067945906,-0.415371577,-0.168235502,-0.708354032,-0.265592764,-0.338532627,-0.303583055,-0.480761173,-0.470976114,NA,0.0410409384151518
"Q76N89",-0.810482,-1.145969,-0.6379981,-0.6518427,-0.7663907,-0.5143877,-0.6968023,-0.5629962,-0.5784074,-1.7662813,-0.4126539,-0.6966722,-0.5693778,-0.9670012,-0.8878885,-0.661066,NA,0.271650589559805
"Q76NI1",-1.21501,-1.2407205,0.7139021,-1.192314,-1.1856234,1.3386783,-1.2832669,-1.4751807,-1.279013,-1.5073123,0.9693378,-1.1988081,-1.395044,-2.2236527,-1.9959388,1.1329567,NA,0.796765561273315
"Q7KZF4",0.02577346,0.39711408,0.25926864,0.36152925,0.34162161,0.25894519,0.18935508,0.26516958,0.35015413,0.25653727,0.25422025,0.2980267,0.43517236,0.47115692,0.43840123,0.37249792,NA,0.0212026005511861
"Q7KZI7",0.32581312,0.12388328,0.15491981,0.20167236,0.20842956,0.21961255,0.20064019,0.28864604,0.06910124,0.16521923,-0.11735425,0.05061966,-0.10067973,-0.34622216,-0.42871336,-0.10799366,NA,0.0319659708488443
"Q7L099",1.2862619,1.4189738,1.3072462,1.1848468,1.2009271,1.2047356,1.1267131,1.1316858,1.1060231,1.0802464,1.2663782,1.1059605,0.9824121,1.1400742,0.9445363,1.193979,NA,0.258085219515657
"Q7L0J3",1.3607631,1.2156282,0.9345828,1.3143781,1.2067536,1.2760579,1.3060631,1.2441393,1.3583201,1.3443204,1.4887673,1.2572519,1.2594825,1.1745742,1.2854793,1.3745086,NA,0.561033512655738
"Q7L0Y3",-0.5356078,-0.6273814,-0.1640316,-0.4597958,-0.1510167,-0.7957189,-0.2272475,-0.4148323,-0.7534047,-0.7222624,-0.7942103,-0.8575489,-0.8696022,-0.5885644,-0.6451071,-0.9439725,NA,0.110882354351266
"Q7L1I2",1.153077,1.1960819,0.8759296,1.285331,1.3093946,1.3456421,1.3291458,1.239814,1.2070859,1.1365581,1.2376152,0.9981447,1.2138917,0.9957907,0.9797824,1.2334579,NA,0.193580388733407
"Q7L1Q6",-0.30112543,0.01822358,-0.04999528,-0.56297817,-0.79592938,-0.70497226,-0.47183433,-0.50627693,-0.35954477,-0.0354542,-0.39116613,-0.17140609,-0.54386709,0.01056823,-0.02355455,-0.12177859,NA,0.0071816628958616
"Q7L1V2",-1.3335305,-1.6388236,-1.1893684,-1.1404012,-1.1574807,-1.1175733,-1.1189391,-1.0740501,-1.18582,-1.0235357,-0.9842888,-0.8219862,-0.9421376,-1.0625172,-0.9798606,-1.2686892,NA,0.401733913944393
"Q7L266",0.5595333,0.4318752,0.4755223,0.6469505,0.7850164,0.6474145,0.5141535,0.6098301,0.6734421,0.5565317,0.2794138,0.6704882,0.2827241,0.4449093,0.5094979,0.4919359,NA,0.0316636251137476
"Q7L2E3",-0.3496536,-0.8203433,-0.8526159,-0.3305098,-0.7962701,-0.7623078,-0.6198694,-0.6612068,-0.9449073,-1.3967505,-0.1502308,-0.3865659,-1.6311012,-0.3601004,-0.6493565,-0.3761622,NA,0.0820227241460936
"Q7L2H7",-0.278401164,-0.602197238,-0.192734321,-0.434627685,0.084070054,-0.275600187,-0.102379596,-0.004555265,-0.186281453,-0.018560319,-0.277936086,-0.394543835,-0.564931925,-0.27214218,-0.269083033,-0.389680375,NA,0.305827875273055
"Q7L576",0.28784382,0.35146997,0.42582207,0.36995187,0.31115175,0.32861545,0.17638914,0.18975267,-0.30260253,-0.01508713,0.11854343,0.10060916,0.02856282,0.11839689,0.19170528,0.01312754,NA,0.235557722338885
"Q7L5D6",-0.447840602,0.003663774,-0.091914786,-0.112537608,-0.112452287,-0.118629949,-0.479185672,-0.419180045,-0.401522218,0.020745032,-0.31189983,0.050912474,-0.441186706,-0.291753042,-0.388529187,0.011595598,NA,0.965342723848195
"Q7L5N1",0.5359152,0.5956297,0.5879534,0.6907035,0.6689946,0.616219,0.566125,0.5571108,0.5313486,0.4638242,0.4325266,0.2760854,0.6710847,0.5084543,0.3606309,0.4962085,NA,0.0726589435292575
"Q7L775",-0.01030168,-0.32279016,-0.01491083,-0.06569324,0.0263635,0.17199657,0.15816517,0.06579191,-0.11793317,0.17423104,0.17280896,0.04544472,0.15844416,-0.02559951,0.20923078,-0.03112953,NA,0.550052682353256
"Q7L7X3",-0.3575214,-0.4174891,-0.2631798,-0.3887667,-0.5310646,-0.5562488,-0.6189647,-1.0176208,-0.4342256,-0.3617641,-0.2572902,-0.3889268,-0.3272222,-0.3034858,-0.5415907,-0.5699564,NA,0.643560623914114
"Q7L804",-1.078824,-0.3006465,-1.4166473,-0.9182695,-0.8892629,-1.0688402,-0.8398286,-0.9047943,-0.8655893,-0.7655347,-0.7710822,-0.6315445,-0.8872837,-0.8775859,-0.8021386,-1.2159928,NA,0.71403997848285
"Q7LG56",-0.6266871,-0.518838,-0.6866624,-0.5758261,-0.5639617,-0.7160446,-0.6565651,-0.6096823,-0.8019779,-0.8926596,-0.6914743,-0.7706746,-0.5874288,-0.4192965,-0.6635617,-0.9034447,NA,0.896351722759933
"Q7RTN6",-1.1547273,-1.7510738,-1.3954723,-0.6375926,-0.8926875,-0.7571469,-0.7236097,-0.8046321,-0.6028312,-0.5571734,-0.6107698,-0.5517663,-0.587653,-0.6431524,-0.6336015,-0.5003301,NA,0.0475942041981985
"Q7RTP0",-0.2525099,-0.4811983,-0.3064512,-0.4884882,-0.6180714,-0.6058746,-0.7031107,-0.5242934,-0.8353628,-0.8699647,-0.646784,-0.6723945,-0.7210853,-0.7420131,-1.1515043,-0.7950517,NA,0.108814128278812
"Q7RTP6",-0.8718961,-0.7501287,-0.9063781,-1.0419598,-0.4735038,-0.4935199,-1.2773714,-0.5827316,-1.0263889,-0.7003808,-0.995667,-0.752876,-0.396529,-1.0006609,-0.9490273,-0.691963,NA,0.675130258774048
"Q7Z2K6",-0.3406694,0.218837,0.4534075,-0.3993661,-0.490025,-0.4082225,-0.4017498,-0.6248588,-0.4279032,-0.518288,-0.4369454,-0.6772843,-0.659383,-0.5066244,-0.598127,-0.5129828,NA,0.0789182266156996
"Q7Z2K8",-0.75190659,-0.90189268,0.07064802,0.31708007,0.50672701,0.35388243,0.46040817,0.54210998,0.29089362,0.25306368,0.36072733,0.23923954,0.3733681,-0.05164016,0.12357595,0.37093197,NA,0.788430167948631
"Q7Z392",-1.06836,-0.7386603,-1.0716883,-1.1274477,-1.1167084,-1.2048016,-0.8669584,-0.7872136,-1.0312893,-1.3266714,-1.0421796,-0.8711591,-0.9945905,-1.0694878,-0.8881268,-0.9272441,NA,0.713406872265608
"Q7Z3B1",1.2276905,0.9886837,0.571373,0.8625478,1.0609918,1.0425882,0.9889201,1.0741625,1.1037815,1.0896741,1.1053547,1.1388353,1.1981237,0.9668153,0.8774455,1.0531965,NA,0.959530334652305
"Q7Z3C6",-1.684145,-1.3223724,-1.3072777,-0.904836,-0.7664281,-1.2330075,-1.2127884,-0.9475373,-0.8678992,-1.4303824,-0.8966648,-0.8114922,-0.8295246,-0.867198,-1.0369129,-0.994049,NA,0.29393033834737
"Q7Z3D6",0.24440701,0.53775163,0.2496447,0.6445476,0.70466975,0.31251827,0.37190237,0.22671215,0.37993577,0.6609205,0.06919913,0.528369,0.16684376,0.23210238,0.50898632,0.30540036,NA,0.483023027375016
"Q7Z3G6",-2.14242322,-0.6122805,-0.03454963,-0.09815513,-0.40509276,-0.18502559,-0.5782966,-0.45524744,-0.38368139,-0.80590255,-1.20562477,-1.18909889,-1.06631024,-0.18435387,-1.37924853,-1.37286713,NA,0.248623280825384
"Q7Z3J2",-0.3700796,-0.4396813,-1.1242229,-0.6177291,-0.5824757,-0.7389627,-0.8248827,-0.8535639,-0.5243809,-0.3937402,-0.4002911,-0.3114598,-0.4919373,-0.4160929,-0.353537,-0.5730675,NA,0.0328291792511738
"Q7Z3U7",-2.2219293,-1.9790598,-0.5200212,-0.7256919,-0.4924753,-0.6837035,-0.6327795,-0.6498752,-0.5577785,-0.8775414,-0.7399736,-0.5686446,-0.5085744,-0.7140929,-0.515765,-0.4824033,NA,0.295270587227592
"Q7Z406",0.8834098,1.1593324,0.8313489,0.4074614,0.5207689,0.8061322,0.3008472,0.4154396,0.5119914,0.5588115,0.4827577,0.4542233,0.4401242,0.5558117,0.7091079,0.4938359,NA,0.790622568379001
"Q7Z434",-1.1659345,-1.1084255,-1.3911827,-1.0851459,-1.3226601,-1.3601874,-0.7345511,-0.9427342,-1.4633966,-0.8644636,-1.2982152,-1.079358,-1.1604943,-1.2970521,-0.7305957,-1.125253,NA,0.554353399007884
"Q7Z460",0.101129386,-0.05668167,0.126863121,0.255266673,0.097446021,-0.200974864,0.090813286,0.208769814,0.027789262,-0.122362216,0.103372835,0.18432976,0.079185982,-0.045460428,0.007308788,0.032458608,NA,0.243802911410507
"Q7Z4H3",-0.58107425,0.01950606,-0.4903593,-0.30991212,-0.69157058,-0.45897809,-0.62906359,-1.122017,-0.54630364,-0.83412437,-0.69111387,-0.84160487,-0.59567975,-0.67364678,-0.60239723,-0.47338237,NA,0.682960497238747
"Q7Z4S6",0.9696693,0.974398,0.9022795,0.9235031,0.9644367,0.9559847,0.9699373,0.9026457,0.9233932,0.894611,0.9443601,0.85815,0.9615052,0.8653293,0.8262765,0.9422745,NA,0.205105109449476
"Q7Z4V5",-0.952131,-0.7501354,-0.7315797,-0.7742245,-0.6228426,-0.8772956,-0.720604,-0.7314377,-0.8922505,-0.9519033,-1.0429889,-1.4363132,-0.8581101,-0.9266197,-0.9196157,-1.0608605,NA,0.0204650807924134
"Q7Z4W1",0.7318881,0.8268751,0.7919334,0.848939,0.6325464,0.8230666,0.7390213,0.7478835,0.655854,0.5761212,0.5256612,0.2782586,0.6209193,0.7460434,0.6094175,0.5610004,NA,0.147110518636626
"Q7Z5G4",-0.11051056,0.08318376,0.24935754,-0.27253895,-0.45896917,-0.72619786,-0.35805991,-1.04274847,-0.33026959,-0.50577148,-0.72545844,-1.22314618,-0.25347091,-0.0426431,-0.56393368,-0.94924029,NA,0.624499116229462
"Q7Z699",-1.2242829,-1.4858911,-0.8281,-1.2735316,-1.3235549,-1.34697,-1.3755504,-1.1784927,-1.0887995,-1.2938175,-0.9277107,-1.0043204,-1.1226459,-1.1225392,-1.1082276,-1.1162602,NA,0.136909799974134
"Q7Z6G3",-0.14342935,-0.14114793,0.36317493,0.23561907,0.59729019,0.4622525,0.637502,0.57632055,0.24856585,0.09298329,0.30873725,-0.04997648,0.37282063,-0.14008665,0.12742977,0.0375799,NA,0.0185305561494702
"Q7Z6G8",0.347889515,0.085322108,-0.1921385,0.252590213,0.399975876,0.365301323,0.241922537,0.401331668,0.067175264,-0.156148516,0.17912724,0.111167041,-0.008440547,-0.245878865,-0.290892054,0.068062917,NA,0.0584556960530111
"Q7Z6K5",-0.7854784,-0.6208462,-0.8659509,-0.5243553,-1.0382617,-0.5571518,-0.5631813,-0.7394234,-0.5524183,-0.8890926,-0.7463208,-1.2712404,-1.5123781,-0.8418075,-0.9615911,-0.7752905,NA,0.0737562505080233
"Q7Z6L0",1.457371,1.435257,1.39476,1.566442,1.609801,1.659762,1.606346,1.551076,1.602698,1.414316,1.48528,1.450033,1.694379,1.429521,1.227429,1.51353,NA,0.184124845526268
"Q7Z6L1",-0.7317256,-0.5884978,-1.3371281,-1.1449353,-1.0704131,-0.8996416,-1.3920914,-0.6093519,-0.7625849,-0.8371757,-0.9640162,-0.299695,-0.9641046,-0.6876633,-0.7343803,-0.3650353,NA,0.0561614987398885
"Q7Z6Z7",0.6854472,0.7889812,0.7640666,0.6049569,0.7186155,0.6294998,0.5994941,0.6737041,0.5039796,0.5209483,0.6565617,0.7121189,0.4895524,0.5879202,0.5754355,0.6325136,NA,0.136246313643111
"Q7Z7A4",-2.2919019,-1.8658377,-0.1428468,-0.7581107,-0.7906128,-1.214021,-1.1063234,-1.0805034,-0.4252158,-0.2495064,-0.4486267,-0.1978991,-0.4910432,-0.3031943,-1.1131605,-0.8136882,NA,0.577868539409928
"Q7Z7E8",-1.311743,-1.211309,-1.180023,-1.265832,-1.243075,-1.099591,-1.142755,-1.111054,-0.891115,-1.363021,-1.220951,-1.070554,-1.221761,-1.270182,-1.306629,-1.264492,NA,0.0134500513122581
"Q7Z7G0",-0.3992569,-0.4423584,-0.5318107,-0.6710494,-0.6474136,-0.7428285,-0.6942445,-0.7104371,-0.5684846,-1.2200758,-0.9665342,-0.6813539,-0.5049565,-0.6464234,-0.4331113,-0.4175632,NA,0.219266785717093
"Q7Z7H5",-0.3828904,-0.106879,-0.9383194,-0.9482645,-0.6059047,-0.4479851,-0.7335487,-0.561559,-0.4620813,-0.3231604,-0.3592704,-0.4626752,-0.9887343,-0.1892584,-0.3768551,-0.3991354,NA,0.044650590953528
"Q7Z7K0",-0.4108304,-0.1761657,-0.4152266,-0.1405244,-1.0126286,-0.1130516,-0.1772782,-1.0297964,-0.4076998,-0.5727801,-0.6494493,-0.7272278,-0.1484738,-0.4358515,-0.3092267,-0.4694704,NA,0.843081917626224
"Q7Z7K6",-0.6719299,-1.22384,-0.7022467,-0.6020862,-0.5592506,-0.6745487,-0.6882621,-0.7686639,-1.0265325,-0.8391315,-0.7612407,-1.5271214,-1.1290223,-0.7614185,-0.9788612,-0.8114429,NA,0.52148551628349
"Q7Z7L7",-1.0385621,-1.6451029,-0.9775533,-0.9477174,-0.8215043,-1.0155566,-1.1914118,-0.8861288,-1.2760248,-0.8594261,-0.6068815,-0.8258397,-0.5112719,-0.6377457,-0.726785,-0.7912243,NA,0.00592911306704373
"Q86SK9",-0.44110419,-0.01547744,-0.06384864,-0.52770823,-0.60442758,-0.48739155,-0.44312002,-0.6486352,-0.4230619,-0.40689803,-0.52401272,-0.21449923,-0.35703892,-0.57690856,-0.61643498,-0.49215513,NA,0.113821326352922
"Q86SX6",0.126342746,-0.173494606,-0.941628749,-0.496523033,-0.503267253,-0.464298443,-0.354205407,-0.372897989,-0.30769766,-0.125120756,-0.061536068,0.001006764,0.236255711,0.042919104,-0.139020796,-0.041308088,NA,0.00235815877926709
"Q86SZ2",-0.2767073,-0.7738517,-0.4212656,-0.3780436,-0.6697353,-0.7128046,-1.2543455,-0.547865,-0.9103559,-0.5931931,-0.7303689,-0.7418163,-1.157422,-1.2738333,-0.8720364,-1.0089694,NA,0.0757343900088665
"Q86T65",0.407403868,0.160956403,0.601473029,-0.262985621,-0.009046778,0.069570288,-0.109171985,-0.16820657,0.011846242,0.073421639,-0.359306865,-0.417552644,0.183105536,0.194430535,-0.180231431,-0.109407795,NA,0.663573732394735
"Q86TP1",-0.2762896,-0.3077205,-0.5897611,-0.306364,-0.2744956,-0.4042691,-0.2732755,-0.1915457,-0.2320697,-0.1991649,-0.3265362,-0.2461294,-0.3310105,-0.5500362,-0.3654355,-0.4670177,NA,0.102092953829397
