"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"O00165",-0.8092085,-0.6095438,-0.9396379,-1.0204732,-0.9189423,-0.9397301,-0.8609646,-1.0867166,-1.11014,-0.8561835,-0.8487839,-1.0268111,-1.0288252,-1.6329628,-1.0452202,-0.9628773,NA,0.316943597225694
"O00168",-0.03435631,-0.14250034,-0.11250101,0.06633899,-0.27463632,-0.09607841,-0.06575649,-0.07307919,0.05149203,-0.23662698,-0.67093576,-0.27502182,-0.03574092,-0.91237836,-0.38447823,-0.14124625,NA,0.219562185391053
"O00170",0.240100058,-0.146119765,0.131692031,-0.004948938,0.019522963,-0.042209734,-0.077238671,-0.096174842,-0.094531951,-0.088250752,-0.237168094,-0.170065107,-0.072677874,-0.059439764,-0.242174039,-0.192820129,NA,0.127465815561028
"O00178",-0.3975183,-0.8830466,-0.4097147,-0.4372055,-0.3919082,-0.4228552,-0.479871,-0.3998726,-0.6234025,-0.4292847,-0.6054387,-0.7910829,-0.4138598,-0.6648528,-1.2310416,-0.7868251,NA,0.140550607796116
"O00186",0.187052992,0.272091389,0.0360701,-0.049144542,-0.057380335,-0.14929609,-0.273349601,-0.106997502,-0.115692306,-0.014996694,-0.008358422,0.122111464,-0.037611045,0.287846242,0.089292275,0.083834536,NA,0.061790412976113
"O00192",-1.1794164,-1.4286354,-0.9279777,-1.0707291,-1.2682286,-1.2231212,-0.9928239,-1.1105958,-0.9054847,-0.7725661,-0.8438906,-0.6826001,-0.9994675,-1.1702736,-0.7183054,-0.9791159,NA,0.352011035073466
"O00194",-1.33111237,-1.39655226,-0.96494017,-0.41614279,-0.6148383,-0.52813952,-0.44017064,-0.53595418,-0.6492828,-0.15433765,0.04109242,-0.27727507,-0.56157535,-0.73924676,-0.22762335,-0.51510265,NA,0.341962330998017
"O00203",-0.4028952,-0.1150775,-0.5769323,-0.813775,-0.6481226,-0.6348788,-0.7481526,-0.8269828,-0.6092527,-0.6062953,-0.8711509,-0.616818,-0.4561522,-1.6762655,-0.6258053,-0.8811182,NA,0.297122331301853
"O00213",-0.55553874,-1.18772976,-0.46642179,-0.37682319,-0.31324094,-0.28746627,-0.22658123,-0.11808345,-0.11824861,-0.1655416,-0.03885277,-0.04694073,-0.02177916,-0.05969848,-0.14194402,-0.19334439,NA,0.0805352468614844
"O00217",0.8977028,0.7613752,0.7005674,0.8716184,0.7391187,0.7505844,0.7175662,0.7697226,0.1914894,0.1831456,0.4830201,0.2000668,0.4894052,0.5216574,0.1110548,0.5481367,NA,0.157617345597604
"O00231",0.7826597,0.6924474,0.6712697,0.9947058,0.9710079,0.6133216,0.6298331,0.5784957,0.6238122,0.5636158,0.6691799,0.6327029,0.5869131,0.8352938,0.8094529,0.7197325,NA,0.355387357589961
"O00232",0.3570531,0.4913732,0.285591,0.3709696,0.4525157,0.4232212,0.3532409,0.3362833,0.5177565,0.4516382,0.5204859,0.5019266,0.5361878,0.5626088,0.5089863,0.4186406,NA,0.140934484521691
"O00233",-0.46079277,-0.56255725,-0.25862244,-0.46696617,-0.4195034,-0.1077122,-0.13929037,-0.22583348,-0.1246059,-0.15015172,-0.3616114,-0.02578417,-0.16843919,0.0817621,-0.17712261,-0.27911998,NA,0.268290292629237
"O00244",-0.024935567,-1.100371299,-0.110144783,-0.098928964,0.087594793,-0.403059891,-0.026698897,0.048042067,-0.193866965,0.001895773,-0.163190697,-0.077239668,-0.314408155,-0.308505122,-0.478633252,-0.276680548,NA,0.409121972437111
"O00264",0.7455634,0.8358234,0.6864938,0.6664177,0.7080729,0.8057218,0.7789917,0.7879932,0.9387784,0.9360998,0.9070477,0.7794589,0.8234255,0.9447887,1.0585095,0.8657248,NA,0.0588665921798451
