proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
Q5T5Y3,-0.5668964,-0.4041957,-0.5500766,-0.4215181,-0.4620473,-0.1298702,-0.3736318,-0.3783048,-0.7106937,-0.5347538,-0.8298167,-0.5928595,-0.6933319,-0.6544501,-0.2109796,-0.6838351,-0.6767522,-0.713009
Q5T653,0.6488891,0.7694566,-0.3641332,0.9253274,0.8255728,0.550472,0.47612,0.5645869,0.3607738,0.4846284,0.5193128,0.329755,0.4763736,0.4612242,0.6745053,0.549207,0.4363845,0.4349003
Q5T6J7,-1.1302709,-0.7053663,-0.6534105,-1.5043299,-0.7443141,-0.810943,-0.9531236,-1.1495345,-1.6950617,-1.3935433,-0.8785852,-0.6679317,-0.8535181,-1.4572122,-0.740035,-1.6208567,-1.4459798,-0.8285589
Q5TBA9,-1.034211,-1.038275,-1.191561,-1.05612,-1.181305,-1.299916,-1.180251,-1.370214,-1.224194,-1.345684,-1.296433,-1.085333,-1.237221,-1.403867,-1.129152,-1.414055,-1.151344,-1.118385
Q5TC12,0.7622688,0.842887,0.6947719,0.6836095,0.5703519,0.7377737,0.890917,0.7329746,0.4419547,0.5269656,0.6707548,0.7622924,0.4560013,0.6030437,0.7731686,0.6902524,0.6948363,0.4969726
Q5TCZ1,-0.7075798,-0.5214026,-0.6532867,-0.8026605,-0.6520781,-0.6796451,-0.7159582,-0.4650413,-0.5611157,-0.6350297,-0.8187936,-0.5138681,-0.8208921,-1.0164675,-0.4708971,-1.4305801,-0.9049665,-0.873494
Q5TF21,0.23677672,-0.555738,-0.02445229,0.36688112,-0.47749175,-0.95833554,-0.95531456,-0.71078046,-0.46086209,-0.55816775,-0.08945962,-0.72805172,0.19873136,-0.81647499,-1.17944222,-0.7797091,-0.80354544,-0.64348801
Q5TH69,0.42400452,0.31105435,0.39196551,0.62471238,0.30321044,0.09041488,-0.04320382,0.30827959,0.32913524,0.28194787,0.21240698,-0.17088726,0.22620467,0.18325605,0.08152058,0.14199114,-0.12294183,0.25029666
Q5U5X0,-0.53307889,-0.81775455,-0.82877578,-0.64935286,-1.15426728,-1.20940447,-1.29909202,-0.35428166,-0.01972289,-0.10465462,-0.49515345,-1.46700436,-0.0803147,-0.14179876,-0.83426638,-0.3738992,-0.26984449,-0.02972465
Q5VIR6,-0.9660013,-0.9532294,-0.7742212,-0.8479303,-0.9134672,-1.095945,-0.999759,-1.4126823,-1.0914584,-1.064334,-1.4970946,-0.9686612,-0.7157558,-1.0639554,-0.9944159,-1.0860986,-1.1227114,-1.0518595
Q5VSL9,-0.555111,-0.535865,-0.3378187,-0.7960599,-1.0089445,-0.5272361,-0.879168,-0.7121632,-0.7069838,-0.7575043,-0.8547777,-0.358092,-0.7794231,-0.825141,-0.4125114,-0.6911138,-0.8155005,-0.8762695
Q5VST6,-0.4704818,-0.6737145,-0.6650553,-0.3919402,-1.0796681,-0.8882383,-0.9776652,-0.751978,-0.7162317,-0.9401472,-0.7526237,-1.3052964,-0.730628,-0.7793798,-1.1585134,-0.839273,-0.7236834,-0.8073473
Q5VT25,-0.123883133,-0.299136177,-0.021097271,-0.045968609,-0.250775768,-0.469468435,-0.564370196,-0.591489119,-0.987203593,-0.677198549,-0.645775762,-0.343794625,-0.522913207,-0.486981365,0.008346951,-0.139259114,-0.021839627,-0.665369339
Q5VUB5,0.4384403,0.5795574,0.491433,0.5980136,0.2791149,0.8059729,0.4434455,0.6346608,0.1809082,0.390879,0.2079175,0.6972154,-0.2392958,-0.2361622,0.8110582,0.1487138,0.3138785,-0.3682499
Q5VW32,-0.47377962,-0.33995285,-1.39661967,-0.18698724,-0.20415946,-0.58444954,-0.248661,-0.66755027,-0.20609317,-0.62119337,-0.6970499,-0.43659638,0.02033149,-0.22362917,-0.49857057,-0.35587935,-1.6855712,-0.06239603
Q5VWJ9,-0.67914652,-0.46775235,0.03049669,0.08188322,-0.02608508,0.01785424,0.07585587,-0.54662852,-0.20355313,-0.52638643,0.48418181,0.30770272,-0.63080844,-0.43860403,0.04931737,-0.91458119,0.10614152,-0.15599204
Q5VWQ8,-0.8410504,-0.685229,-0.3084652,-0.6504008,-0.7719924,-0.82254,-0.798147,-1.0339671,-1.1622107,-0.9459069,-0.8204009,-0.27654,-0.7935164,-0.6435622,-0.3770097,-0.9569844,-0.9220847,-0.9325102
Q5VWZ2,0.6115635,0.7374646,0.4871822,0.7548137,0.9259896,0.3887244,0.7414031,0.8087886,0.7257814,0.994028,0.82275,0.4200456,0.6828616,0.733041,0.5065506,0.6782742,0.8485367,0.7367971
Q5W111,-1.1464979,-1.2380524,-1.0666378,-0.9582675,-1.63338,-1.092602,-1.0696683,-1.2484474,-0.7569264,-1.1332014,-1.2083588,-1.1840939,-0.9513147,-0.9144344,-1.6947407,-1.1213343,-1.002439,-0.7970523
Q5XPI4,-0.36175991,-0.65659576,-0.43618156,-0.28651748,0.05254914,-0.56665328,-0.88548334,-0.85538182,-0.47679939,-0.63202113,-1.13782314,-1.02617959,-0.4613549,-0.71057322,-0.65568247,-0.95349434,-1.01406709,-0.87363095
Q643R3,-0.8521795,-0.7215865,-0.7777954,-2.0552586,-1.7570993,-0.8789701,-1.0675217,-1.0390218,-0.5179565,-1.9936119,-1.0654054,-0.4327596,-0.8049464,-0.7757027,-0.9225629,-0.6159143,-0.6531041,-1.129567
Q66K14,0.546373869,0.503334466,0.544238752,0.631084968,0.575994566,0.496038244,0.143204174,0.431023992,0.295715418,0.289927102,0.199093079,0.550498552,-0.004586764,-0.029258638,0.68234001,0.001984056,0.114056441,0.107815737
