proteinId,S1,S2,S3,S4,S5,S6
,Control,Control,Control,Disease,Disease,Disease
P40925,1.448103,1.459423,1.47019,1.311458,1.253782,1.363845
P40926,1.588629,1.465269,1.486477,1.51784,1.681831,1.531703
P40939,0.8838031,1.1128933,0.6246133,0.8210498,1.0263683,0.7755963
P41222,1.1686859,1.2631081,0.8273272,0.8839493,0.8344317,0.6227684
P42262,-1.0645926,-0.8910691,-0.8348637,-0.8862597,-0.8824849,-0.9334877
P42658,0.9433592,1.0424776,0.6834922,0.9958922,0.95479,0.9217378
P42677,-0.6715164,-0.6389113,-0.2586028,-0.6273662,-1.0258694,-0.4698245
P42765,0.7739432,0.7858019,-0.2992751,0.6082337,0.5709562,0.6526775
P42766,0.9212488,0.8060018,0.7470423,0.8859676,0.8679229,0.7870033
P43003,0.08716849,-0.01560686,0.02697434,-0.08619865,0.22286674,0.34365009
P43004,0.311969207,0.142728395,0.430797481,0.009686454,0.290346457,0.537555117
P43007,-0.8013642,-1.0295518,-1.0798365,-0.7025206,-0.3065296,-0.4142665
P43034,0.4318392,0.3655326,0.4748523,0.3725992,0.1991165,0.3322159
P43243,-0.01898479,-0.32607525,-0.78191367,-0.4733887,-0.48483198,-0.54035096
P43304,0.5354743,0.498638,0.4017202,0.4883044,0.4800967,0.4271367
P43487,-0.808397,-0.8194616,-0.7707175,-0.8520058,-0.6819803,-0.8608217
P45381,0.23476706,0.11818838,0.4851021,0.12526002,-0.36535503,0.05219958
P45880,0.6472672,0.6192973,0.533091,0.5309644,0.5944684,0.7075047
P45974,0.039593781,-0.078353544,-0.051160575,0.001923898,0.01332712,-0.135192447
P46459,0.9302587,0.9561787,0.8579653,0.8202658,0.8996597,0.8743797
P46776,1.0575944,0.9910944,0.9364608,1.0035397,0.991439,0.9662494
P46777,-0.24166718,0.01549024,0.57953843,0.48855586,0.75126477,0.64066374
P46778,0.8129381,0.8423114,0.7471762,0.8711384,1.0137386,1.0191381
