SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P32238,CCKAR,0.413197682,0.160297932,0.464918626,,0.474928286,0.89740965,,0.46808868,,,,0,0,0
P32239,CCKBR,0.470382554,0.129542265,0.466684361,0.812342153,0.398227939,0.965742817,0.952855849,0.398272964,0.458339578,0.948417165,0,0,0,0
P51671,CCL11,,,0.255402719,0.533945651,,,,,,0.645152423,0,0,0,0
Q99616,CCL13,,,0.457022323,0.272178745,,,,,,0.685357589,0,0,0,0
P13500,CCL2,0.648017588,,0.174109567,0.495579006,,0.503458046,0.977542721,,,0.49541305,0,0,0,0
P78556,CCL20,,,0.302641956,0.121710033,,,,,,0.410685268,0,0,0,0
O00175,CCL24,,,0.457645722,0.204417598,,,,,,0.560575167,0,0,1,0
Q9Y258,CCL26,,,0.413853337,0.218600704,,,,,,0.597927425,0,0,0,0
P13501,CCL5,,,0.196050029,0.427944479,,,,,,0.549215874,0,0,0,0
P80098,CCL7,,,0.359724027,0.133846448,,,,,,0.423184909,0,0,0,0
P80075,CCL8,,,0.418582984,0.191226733,,,,,,0.541273201,0,0,0,0
P29279,CCN2,0.585249558,,,0.467376375,,,0.947131061,,,,0,0,1,0
P20248,CCNA2,,,0.379609908,0.433811112,,,,,,0.85959341,0,0,0,0
P14635,CCNB1,0.528064686,,0.333900501,0.611379135,,0.771701437,1.018019307,,,0.765074758,0,0,1,0
P24385,CCND1,0.638796252,0.159082843,0.405058034,0.515887554,0.473801696,0.863592899,1.002074914,0.473759638,0.463692464,0.875377315,0,0,1,0
P30279,CCND2,0.571439585,,0.408500459,0.484673159,,0.872396134,0.969963021,,,0.886282483,0,0,0,0
P30281,CCND3,,,0.311785388,0.123465586,,,,,,0.41168198,0,0,0,0
P32246,CCR1,,,0.337180994,0.382511962,,,,,,0.81530827,0,0,0,0
P51677,CCR3,,,0.327813944,0.205857817,,,,,,0.60524591,0,0,0,0
P51679,CCR4,,,0.30981394,0.211569456,,,,,,0.627451281,0,0,0,0
P51684,CCR6,0.566353688,,0.339330138,0.195670219,,0.775594746,0.537042699,,,0.57762572,0,0,1,0
P32248,CCR7,,,0.245222635,0.161928476,,,,,,0.558917067,0,0,0,0
P51686,CCR9,,,0.451366907,0.244287655,,,,,,0.637338985,0,0,0,0
P08571,CD14,,,0.248796405,0.481716103,,,,,,0.639799337,0,0,1,0
Q86VB7,CD163,0.585249558,0.097492798,0.513683967,0.60314431,0.336208273,1.003418013,1.08354937,0.324072045,0.339997864,1.001773367,0,0,1,0
P06729,CD2,,,0.242323668,0.228249405,,,,,,0.71413784,0,0,0,0
Q9NNX6,CD209,,,0.363170462,0.305174506,,,,,,0.772812953,0,0,0,0
P26842,CD27,,,0.247516385,0.217203908,,,,,,0.68623744,0,0,0,0
Q9NZQ7,CD274,0.648968046,,0.359484414,0.153863561,,0.801246073,0.465344608,,,0.473443301,0,0,1,0
P20138,CD33,0.546960557,,0.291190336,,,0.703294662,,,,,,0,0,0
P16671,CD36,,,0.144447246,0.463519334,,,,,,0.432880593,0,0,1,0
P28907,CD38,,,0.263627804,0.160327925,,,,,,0.539686184,0,0,0,0
P01730,CD4,,,0.094499922,0.8199927,,,,,,0.396278567,0,0,1,0
P16070,CD44,0.557742911,0.234896598,0.432804181,,0.608311379,0.906085436,,0.624262804,,,,0,1,0
P06127,CD5,,,0.283363814,0.222763232,,,,,,0.668398846,0,0,0,0
P31358,CD52,,,0.354895928,0.192713163,,,,,,0.564384113,0,0,0,0
P19397,CD53,,,0.378135001,0.189734985,,,,,,0.549340928,0,0,0,0
P08174,CD55,0.566353688,,0.422521714,0.539149377,,0.891588987,1.03535099,,,0.895080435,0,0,0,0
P13987,CD59,,,0.105210212,0.791344295,,,,,,0.40712771,0,0,0,0
P30203,CD6,,,0.375739659,0.229609742,,,,,,0.631980792,0,0,0,0
P08962,CD63,0.528064686,,0.273980715,,,0.677014809,,,,,,0,1,0
P34810,CD68,0.571439585,0.308425297,0.587366113,0.12695467,0.728560001,1.069684433,0.399167226,0.727709464,0.422960963,0.401398692,0,0,1,0
Q07108,CD69,0.62353856,,0.205249216,0.171404864,,0.557516965,0.49529617,,,0.624789773,0,0,1,0
P32970,CD70,0.508671556,,0.413462239,,,0.888058887,,,,,,0,0,0
P11912,CD79A,,0.081702615,0.483898624,,,,,0.279980777,,,,0,0,0
P60033,CD81,0.585249558,,0.341872128,0.578594367,,0.777939221,1.077878525,,,0.778382087,0,0,1,0
P01732,CD8A,0.546960557,,0.147264428,0.189734985,,0.439999741,0.525469866,,,0.579386141,0,0,0,0
P21926,CD9,0.546960557,,0.30801712,0.542369031,,0.729871369,1.041684338,,,0.730326513,0,0,1,0
Q9NPY3,CD93,,,0.489830942,0.194194312,,,,,,0.536400131,0,0,0,0
P14209,CD99,0.528064686,,0.653628525,0.222763232,,1.015711163,0.587890382,,,0.590557088,0,0,0,0
P30304,CDC25A,0.470382554,,0.3693971,,,0.834858594,,,,,,0,0,0
P30307,CDC25C,,,0.296250757,0.32074219,,,,,,0.780427987,0,0,0,0
P12830,CDH1,0.576525482,0.322956117,0.481605626,0.046746535,0.750403072,0.965634403,0.210597816,0.762848262,0.156562801,0.18219339,0,0,0,0
P19022,CDH2,,0.07305714,0.39191786,0.100045778,,,,0.247582769,0.476305779,0.326469659,0,0,1,0
P06493,CDK1,0.566353688,,0.260336408,0.055085675,,0.651594127,0.228971726,,,0.197584142,0,0,0,0
P24941,CDK2,0.508671556,,0.264591134,0.067289759,,0.66343304,0.246096935,,,0.245569334,0,0,0,0
P11802,CDK4,0.566353688,0.065381137,0.405806672,0.442051363,0.255124084,0.869305326,0.917040113,0.224720745,0.228826592,0.893701236,0,0,0,0
Q15078,CDK5R1,,0.036445643,0.391532199,,,,,0.127313428,,,,0,0,0
Q00534,CDK6,0.528064686,,0.326979163,0.109209732,,0.761227603,0.353884239,,,0.365067941,0,0,0,0
P50613,CDK7,,,0.398162662,0.188237881,,,,,,0.540064018,0,0,0,0
P38936,CDKN1A,0.546960557,,0.29575026,0.642782412,,0.710568385,1.03792113,,,0.707806298,0,0,1,0
P46527,CDKN1B,,,0.390069085,0.442051363,,,,,,0.871887507,0,0,0,0
P49918,CDKN1C,0.585249558,,0.31909883,0.138941539,,0.744071889,0.426316336,,,0.450899629,0,0,0,0
P42771,CDKN2A,0.60300503,0.260395196,0.498903377,0.26475523,0.651109802,0.984151024,0.658252473,0.657535406,0.756704495,0.665020718,0,0,1,0
P42772,CDKN2B,0.552046454,0.161650061,0.584679968,0.145639565,0.47005649,1.048063359,0.436948461,0.472367373,0.616802922,0.440073989,0,0,1,0
P42773,CDKN2C,0.499947479,0.184258518,0.587466137,0.555004638,0.515847739,0.986796507,0.990572687,0.516415998,0.515012126,1.051144067,0,0,0,0
Q99626,CDX2,,,0.36066765,0.2143962,,,,,,0.607674446,0,0,0,0
P49715,CEBPA,,,0.206544596,0.469673588,,,,,,0.562960776,0,0,0,0
P49716,CEBPD,,,0.40387499,0.502694248,,,,,,0.876207475,0,0,0,0
Q03701,CEBPZ,,,0.398466018,0.642277944,,,,,,0.854720223,0,0,0,0
P49454,CENPF,0.489775685,0.095695113,0.548588375,0.14062616,0.31678161,0.979131672,0.423568191,0.325087416,0.483720568,0.426054214,0,0,0,0
Q96G23,CERS2,,0.063294613,0.527574674,,,,,0.239820083,,,,0,0,0
Q9HA82,CERS4,,0.073680146,0.548386035,,,,,0.271431736,,,,0,0,0
P41208,CETN2,0.35601281,0.056864269,0.505489699,0.211569456,0.19410697,0.808063135,0.603840347,0.217073054,0.22669323,0.56868878,0,0,0,0
O15182,CETN3,0.241145805,0.169930095,0.557690346,0.207293079,0.583037188,0.619221954,0.670839833,0.486982019,0.618574483,0.558604585,0,0,0,0
P00751,CFB,,,0.405527046,0.536555632,,,,,,0.87269413,0,0,0,0
P08603,CFH,,0.124278168,0.308336056,,,,,0.41546499,,,,0,0,0
P23528,CFL1,0.552046454,,,0.535904667,,,1.033484311,,,,0,0,0,0
O15519,CFLAR,0.585249558,,0.380154691,0.524010079,,0.832481145,1.015592204,,,0.839579527,0,0,0,0
O14757,CHEK1,,,0.319272159,0.177604876,,,,,,0.5468315,0,0,1,0
O96017,CHEK2,0.61721266,,0.448696004,0.72072829,,0.921163074,1.114262079,,,0.920224479,0,0,1,0
P10645,CHGA,,0.159353058,0.456237251,0.248202643,,,,0.466774799,0.549624336,0.643397756,0,0,0,0
O00533,CHL1,,0.010800869,,0.632058238,,,,,0.138083401,,0,0,0,0
O43633,CHMP2A,,0.071440067,0.443941844,,,,,0.246616494,,,,0,0,0
Q07065,CKAP4,,,0.538658099,0.182195121,,,,,,0.510761267,0,0,1,0
