SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P25054,APC,0.949968533,,0.674091078,0.545241219,,1.191914252,1.056203349,,,1.034944426,1,1,1,0
O95996,APC2,,0.21834532,0.533698761,0.217149893,,,,0.579512085,0.715806611,0.577316513,0,0,0,0
P27695,APEX1,0.597814194,,0.455894507,0.798894672,,0.931617049,1.096554141,,,0.934104954,0,0,0,0
P05090,APOD,,0.024192363,0.460207269,0.663379415,,,,0.10572308,0.18643852,0.93393102,0,0,0,0
P02649,APOE,0.643063398,,0.000651255,0.543793317,,0.116181325,1.034285121,,,0.066807162,0,0,0,0
P05067,APP,,,0.031130763,0.385436598,,,,,,0.106863402,0,0,0,0
Q92624,APPBP2,,0.14438568,0.604017989,,,,,0.43993202,,,,0,0,0
P55087,AQP4,,,0.295861475,0.460088414,,,,,,0.724358966,0,0,0,0
Q13520,AQP6,0.478120421,,,0.14646572,,,0.436819981,,,,0,0,0,0
P10275,AR,0.593366293,,0.265735067,0.780442516,,0.659884872,1.090615267,,,0.675200313,0,0,0,0
P15514,AREG,,,0.422409171,0.589014384,,,,,,0.889234684,0,0,0,0
Q07960,ARHGAP1,,,0.516298648,0.638724357,,,,,,1.002562304,0,0,0,0
Q8N264,ARHGAP24,0.585982008,,,0.761645248,,,1.081642245,,,,0,0,0,0
Q9NRY4,ARHGAP35,,,0.536925782,0.088568636,,,,,,0.305889963,0,0,0,0
Q6ZRI8,ARHGAP36,0.251648154,0.318579637,0.766806232,0.441961725,0.702116002,0.651556025,0.652788071,0.75068244,0.765557247,0.914355982,0,0,0,0
Q92974,ARHGEF2,,,0.435851654,0.480071341,,,,,,0.923823212,0,0,0,0
Q15052,ARHGEF6,,,0.596638214,0.712089385,,,,,,1.091985421,0,0,0,0
O14497,ARID1A,,0.153459006,0.564073996,0.485396254,,,,0.454118015,0.452028169,0.971724032,0,0,0,0
Q99856,ARID3A,,,0.591331819,0.080655107,,,,,,0.298627404,0,0,0,0
Q8IVW6,ARID3B,,,0.61918852,0.398835263,,,,,,0.855957233,0,0,0,0
Q14865,ARID5B,,,0.590716903,0.803984509,,,,,,1.089225075,0,0,0,0
Q3SXY8,ARL13B,0.461411912,,0.608961689,0.128747706,,0.937712939,0.396494226,,,0.408561572,0,0,0,0
Q8IUR7,ARMC8,,,0.661056066,0.550964685,,,,,,1.041781804,0,0,0,0
P27540,ARNT,,,0.394737785,0.676215829,,,,,,0.84962839,0,0,0,0
P49407,ARRB1,,,0.379176955,0.469874255,,,,,,0.848991084,0,0,0,0
Q13510,ASAH1,,,0.525364583,0.571249361,,,,,,1.018720044,0,0,0,0
Q8N3C0,ASCC3,,,0.645233517,0.364683344,,,,,,0.808527479,0,0,0,0
P50553,ASCL1,0.527389103,0.147821561,0.558718018,0.508101912,0.440107489,1.022656964,1.004574844,0.44204347,0.439567831,0.99986073,0,0,0,0
