SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
Q13283,G3BP1,,,0.477961871,0.220917108,,,,,,0.589368576,0,0,0,0
P47870,GABRB2,0.355327705,,,0.204431186,,,0.589261746,,,,0,0,0,0
P17677,GAP43,0.487550997,,0.375000872,0.190262712,,0.83900907,0.528770663,,,0.551536761,0,0,1,0
P14136,GFAP,0.577443811,,0.366461161,0.274660234,,0.813899221,0.67479125,,,0.719311451,0,0,1,0
Q9UBU3,GHRL,,,0.375219478,0.334039285,,,,,,0.813574135,0,0,0,0
Q6Y7W6,GIGYF2,,0.02928732,0.552417543,,,,,0.154947609,,,,0,0,0
O94923,GLCE,0.228336271,,,0.256125923,,,0.701670137,,,,0,0,0,0
P23378,GLDC,0.397658184,,0.519727825,,,0.864603635,,,,,,0,0,0
O95467,GNAS,,,0.310766784,0.184480324,,,,,,0.567313541,0,0,0,0
Q9Y223,GNE,0.460879028,0.045783541,0.591272673,,0.174017058,0.938443781,,0.213057104,,,,0,1,0
P06744,GPI,,,0.35823455,0.224954585,,,,,,0.629994905,0,0,0,0
P42263,GRIA3,0.476574599,,0.446836026,0.667845537,,0.938932836,0.954028839,,,0.917141706,0,0,0,0
O43424,GRID2,,0.051051049,0.579042359,,,,,0.222521483,,,,0,0,0
Q13224,GRIN2B,,,0.316423476,0.175678682,,,,,,0.5438134,0,0,0,0
P07492,GRP,,,0.354588256,0.249791063,,,,,,0.679579895,0,0,0,0
P49840,GSK3A,,,0.429126153,0.34888456,,,,,,0.816076574,0,0,0,0
P49841,GSK3B,0.545539985,0.067548264,0.446639939,0.550514162,0.255251242,0.925605878,1.04481804,0.235770794,0.256484338,0.924917255,0,0,0,0
P09211,GSTP1,,,0.248611136,0.08855323,,,,,,0.33290605,0,0,0,0
P51124,GZMM,,0.025350195,0.536647886,,,,,0.137683562,,,,0,0,0
O43612,HCRT,0.524649619,0.011969471,0.472205875,,0.092747277,0.961227443,,0.069942168,,,,0,0,0
Q9UBN7,HDAC6,,0.170321519,0.565297982,0.215482302,,,,0.488142634,0.610130579,0.573582656,0,0,0,0
P09651,HNRNPA1,0.640226093,0.379250664,0.680534585,,0.828726408,1.138800042,,0.828870857,,,,0,0,0
P22626,HNRNPA2B1,0.582200044,0.200403291,0.673268988,,0.546336267,1.076442556,,0.554122222,,,,0,0,0
P51991,HNRNPA3,,0.159952552,0.583416887,,,,,0.468877599,,,,0,0,0
P07910,HNRNPC,0.376218071,0.311674228,0.42183954,,0.777599442,0.858606599,,0.760557597,,,,0,0,0
Q14103,HNRNPD,,,0.459349287,0.21136686,,,,,,0.573921016,0,0,0,0
O14979,HNRNPDL,0.439988662,0.32115329,0.499564832,,0.770171994,0.924939796,,0.756644884,,,,0,0,0
P31943,HNRNPH1,0.381449928,,0.588021403,,,0.834067888,,,,,,0,0,0
P55795,HNRNPH2,0.339669196,,0.583055494,,,0.774849398,,,,,,0,0,0
O43390,HNRNPR,0.249776383,,,0.239484377,,,0.729755802,,,,0,0,0,0
O14756,HSD17B6,,,0.443273803,0.220917108,,,,,,0.59537146,0,0,0,0
P07900,HSP90AA1,,,0.297304597,0.149859887,,,,,,0.490426081,0,0,0,0
P08238,HSP90AB1,,,0.49070646,0.168223073,,,,,,0.483403195,0,0,0,0
P14625,HSP90B1,,,0.477706537,0.165209247,,,,,,0.477759762,0,0,0,0
P34932,HSPA4,0.587870463,,0.334625908,0.195978635,,0.76713258,0.538400675,,,0.580534861,0,0,0,0
O95757,HSPA4L,,,0.582280163,0.205826081,,,,,,0.556289989,0,0,0,0
P11021,HSPA5,,,0.359215339,0.092067589,,,,,,0.307052651,0,0,0,0
P11142,HSPA8,,,0.51661139,0.14358498,,,,,,0.430566294,0,0,0,0
P38646,HSPA9,,,0.494638975,0.165209247,,,,,,0.476900512,0,0,0,0
P04792,HSPB1,,,0.250269213,0.13722988,,,,,,0.487475828,0,0,0,0
P10809,HSPD1,,,0.328187675,0.146732331,,,,,,0.467291758,0,0,0,0
P08908,HTR1A,,,0.43242952,0.32095222,,,,,,0.772060839,0,0,0,0
P28223,HTR2A,,,0.254000777,0.879998051,,,,,,0.676657813,0,0,0,0
P28335,HTR2C,,,0.388238776,0.917004301,,,,,,0.866166321,0,0,0,0
O43464,HTRA2,,0,0.462801951,0.231611709,,,,0.024294195,-0.091300926,0.611790684,0,0,0,0
P42858,HTT,0.439988662,0.100993446,0.508299196,,0.327397256,0.923207031,,0.331952842,,,,0,0,0
P05362,ICAM1,,,0.061501088,0.076053619,,,,,,0.493969349,0,0,0,0
Q9P0W0,IFNK,,0.181599284,0.681066493,,,,,0.521931402,,,,0,0,0
Q96LB3,IFT74,,0.36392176,0.667911677,,,,,0.807594984,,,,0,0,0
P05019,IGF1,0.566980097,,0.083060572,,,0.298618227,,,,,,0,1,0
P40933,IL15,,,0.3081219,0.205826081,,,,,,0.616231989,0,0,0,0
Q14116,IL18,,,0.189315244,0.122626814,,,,,,0.50480244,0,0,0,0
P01583,IL1A,,,0.126547211,0.097292994,,,,,,0.51950661,0,0,0,0
P01584,IL1B,,,0.039511742,0.350969594,,,,,,0.131234304,0,0,0,0
P05231,IL6,,,0.099223972,0.343633405,,,,,,0.331182131,0,0,0,0
Q16352,INA,0.355327705,0.262746688,0.476997737,0.231611709,0.703120067,0.812797259,0.644424648,0.665073954,0.702645204,0.609439057,0,0,0,0
P01308,INS,,,0,0.567628026,,,,,,0.076707232,0,0,0,0
P46940,IQGAP1,,,0.422429966,0.21820713,,,,,,0.594906449,0,0,0,0
Q9Y287,ITM2B,0.439988662,,0.555169078,,,0.915737721,,,,,,0,0,0
P05412,JUN,,,0.200729105,0.061372706,,,,,,0.255090687,0,0,0,0
Q7Z3B3,KANSL1,,0.229191469,0.560940153,,,,,0.598176359,,,,0,0,0
O60341,KDM1A,0.524649619,,0.457462337,,,0.942682081,,,,,,0,0,0
Q5T7B8,KIF24,,0.196352483,0.599050003,,,,,0.5397062,,,,0,0,0
O60870,KIN,,0.028009967,0.478058951,,,,,0.12420175,,,,0,0,0
P21583,KITLG,,,0.270165345,0.191697864,,,,,,0.610798875,0,0,0,0
Q96PQ7,KLHL5,,,0.636273941,0.242081144,,,,,,0.621838457,0,0,0,0
P07288,KLK3,,,0.030074775,0.190262712,,,,,,0.096093823,0,0,0,0
Q92876,KLK6,,0.002176539,0.464878169,,,,,0.033011001,,,,0,0,0
