SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
Q16570,ACKR1,0.605720695,,,0.557894637,,,1.052744685,,,,0,0,0,0
O00590,ACKR2,0.595288596,,0.499728517,0.382118248,,0.985800681,0.834484941,,,0.846617861,0,0,0,0
P25106,ACKR3,0.67807321,,0.306647716,0.554953674,,0.725647856,1.045907797,,,0.727018728,0,0,0,0
Q9NPB9,ACKR4,,,0.514331896,0.310491063,,,,,,0.737662179,0,0,0,0
P53396,ACLY,,,0.418784748,0.60315617,,,,,,0.883399206,0,0,0,0
Q8TDX5,ACMSD,0.48449784,,0.579684666,0.415587645,,0.968843408,0.895906922,,,0.88105086,0,0,0,0
P21399,ACO1,0.552936659,,0.571977248,0.659459091,,1.050488278,1.044070691,,,1.065484956,0,0,0,0
Q99798,ACO2,0.575414982,0.032298064,0.51232725,0.682372213,0.171910808,1.00285978,1.068764043,0.149073371,0.214140853,0.996705218,0,0,0,0
A6NK06,ACOD1,,,0.454193604,0.434043955,,,,,,0.928078079,0,0,0,0
Q86TX2,ACOT1,,,0.450560533,0.528949073,,,,,,0.933166213,0,0,0,0
Q8WXI4,ACOT11,,,0.5095429,0.431276921,,,,,,0.911586315,0,0,0,0
P49753,ACOT2,,,0.536998364,0.534598383,,,,,,1.034214715,0,0,0,0
Q8N9L9,ACOT4,,,0.583412865,0.323566444,,,,,,0.750906018,0,0,0,0
O00154,ACOT7,0.655900023,,0.342080722,0.571480083,,0.776637629,1.065054825,,,0.779222605,0,0,0,0
O14734,ACOT8,0.51871725,,,0.431130244,,,0.909720264,,,,0,0,0,0
P15309,ACP3,0.609634391,,0.29507664,0.286052625,,0.706502517,0.692389475,,,0.779584387,0,0,0,0
P10323,ACR,,,0.21948174,0.477647006,,,,,,0.586703976,0,0,0,0
P26436,ACRV1,,0.029528488,0.468956421,0.111072372,,,,0.125908697,0.160201705,0.353721852,0,0,0,0
Q96GR2,ACSBG1,,,0.41426287,0.028197995,,,,,,0.104251366,0,0,0,0
P33121,ACSL1,,,0.369231941,0.646680345,,,,,,0.814843361,0,0,0,0
O95573,ACSL3,,,0.475073349,0.444889275,,,,,,0.936781061,0,0,0,0
O60488,ACSL4,,,0.437580372,0.602776375,,,,,,0.907898413,0,0,0,0
Q9ULC5,ACSL5,,,0.449060736,0.589897457,,,,,,0.92362673,0,0,0,0
Q9UKU0,ACSL6,0.550026815,,,0.459319919,,,0.941127849,,,,0,0,0,0
Q9NR19,ACSS2,0.636026409,,,0.631403382,,,1.131135681,,,,0,0,0,0
Q9H6R3,ACSS3,,,0.600299121,0.354612074,,,,,,0.795525615,0,0,0,0
P68133,ACTA1,,0.085032113,0.255237058,0.641136959,,,,0.316434984,0.321577713,0.643768951,0,0,0,0
P62736,ACTA2,,,0.337580632,0.753043016,,,,,,0.77594643,0,0,0,0
P60709,ACTB,0.716511451,0.21738719,0.449496281,0.682586709,0.589034488,0.921076777,1.182403453,0.587332904,0.58448109,0.920451618,0,0,0,0
Q562R1,ACTBL2,0.655900023,,,0.319300252,,,0.743535419,,,,0,0,0,0
P63261,ACTG1,0.686205737,0.210848507,0.354198017,0.564800212,0.573824786,0.794553989,1.056880863,0.603133767,0.565150391,0.797455016,0,0,0,0
P63267,ACTG2,0.671249671,,,0.558682281,,,1.050249253,,,,0,0,0,0
O94805,ACTL6B,,,0.525895811,0.238193339,,,,,,0.615797674,0,0,0,0
Q9Y615,ACTL7A,,,0.580726485,0.374905849,,,,,,0.825522065,0,0,0,0
