proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
O14617,0.35473687,0.47331494,0.08844357,0.14541753,0.41574001,0.45145899,-0.31219309,0.15284767,0.25150498,0.43790462
O14734,-0.3674317,-0.05037706,-0.12323963,-0.29539249,-0.30154278,-0.23356443,-0.33108063,-0.34698028,-0.4652168,-0.38925016
O14735,-0.3955566,-0.3102259,-0.464142,-0.573325,-0.9280778,-0.5159779,-0.5260008,-0.4872101,-0.4611564,-0.6578409
O14744,-0.1866544,-0.2028985,-0.4107523,-0.5400595,-1.4645562,-0.4492814,-0.5833219,-0.5019589,-0.4200547,-0.1615958
O14773,0.8378237,-0.8185121,1.0683208,1.520786,1.1825835,0.9754789,1.1242655,1.1350133,0.8765485,0.8738748
O14775,0.08034248,-0.24485946,-0.40229976,-0.2095865,-0.084552,0.10515889,-0.11475777,0.08250554,-0.05012916,0.15055108
O14807,-0.38801003,-0.44591834,0.074279,-0.23076558,0.44110387,-0.18570622,-0.19212546,0.22356313,-0.09254264,-0.12149469
O14818,0.04509205,-0.97101364,-0.24718558,-0.83636424,-0.90725331,-0.59283402,-0.29660553,-0.84427224,-0.1789248,-0.49051918
O14828,-0.10587463,-0.01925285,-0.15023134,-0.29180484,-0.06019442,0.01849079,-0.01446552,-0.16580745,-0.20702679,0.0533281
O14841,-0.7785193,-0.5394548,-0.1153992,-0.7454961,-0.7283911,-0.7073747,-0.7597186,-0.9178207,-1.4946923,-0.6170167
O14874,-0.05089986,0.1361062,0.35500078,0.51649259,0.33930172,0.35559519,0.52576614,0.32217118,0.4502108,0.27380427
O14880,1.2008884,-0.3042207,1.486369,1.6239599,0.7969541,1.4129628,1.3256324,1.648824,1.6693768,1.371091
O14907,-0.3840589,-0.17126623,0.05806686,-1.01051085,-0.18676662,-0.58774961,-0.29134244,-0.85815852,-0.59433429,-0.51596957
O14925,-0.52557085,-0.1933733,-0.23291558,-0.17346978,-0.28945483,0.11083815,-0.45091089,-0.16627428,-0.08158419,-0.31649173
O14936,0.44825681,0.38552628,0.33656545,0.29991107,0.0375459,0.4232574,0.27689586,0.22985802,0.08492765,0.47268342
