proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
O95670,42060000,148850,21623000,11749000,9855700,19709000,11953000,17449000,17659000,12001000
O95671,1525100,73121,1556900,523090,275460,341590,630100,207360,660350,919620
O95674,9768300,83572,13569000,2723600,3854700,5888500,5753400,11836000,8599300,8477700
O95714,0,48117,0,0,0,5915700,0,0,0,0
O95716,29899000,298880,23309000,10356000,2212400,23785000,10653000,15412000,23521000,19356000
O95741,27883000,546430,26344000,5481000,1707600,17999000,4986700,7057900,13286000,11979000
O95747,2171100,0,3546500,793100,123750,1712600,956020,2464100,1766500,948100
O95757,19914000,3900300,28083000,6023000,4624000,7422900,10950000,12454000,12956000,17920000
O95782,74658000,9958200,35793000,24387000,13313000,53248000,22549000,48888000,44452000,64125000
O95807,0,0,0,0,0,650320,347950,0,0,198810
O95819,324780,449840,5369600,820760,570670,1474000,1156200,1938800,972630,479630
O95822,5415700,537260,11340000,7472900,3969500,8107500,6871500,13157000,11143000,10476000
O95831,46536000,9757800,125860000,61297000,51844000,65373000,89231000,203810000,90812000,85892000
O95847,4272100,0,2216800,1687700,167820,6446600,460090,4145500,3049300,3153500
O95861,5141300,619470,2482300,884370,2451000,5138700,4204100,4212000,4301000,4728700
O95865,3071300,223780,3287600,946660,614880,1318500,3547900,1929900,1684100,2240100
O95870,5823800,87612,11173000,4430400,515680,8379100,6838300,9291700,9744400,7041000
O95886,0,0,0,0,0,669750,0,396870,537910,973200
O95970,9297700,172440,2317000,1549700,1119700,3266800,899210,1537400,4097800,4055600
O95989,0,0,1895800,0,0,1291600,0,0,0,0
O96000,79073000,23857,189910000,75781000,50217000,128430000,108440000,173290000,113440000,76355000
O96005,1090100,0,1155100,591570,682000,796920,1872400,1496100,964650,0
O96008,13205000,216960,39362000,12248000,3105900,15548000,14597000,41955000,21359000,19543000
P00156,10138000,0,1225900,1158100,0,1509500,7397300,2551100,19613000,16770000
P00167,0,0,2395800,881100,845540,859990,1615600,2564500,1004900,1308000
P00338,78982000,569570,44334000,28672000,14250000,37007000,46502000,63875000,60621000,50173000
P00352,17443000,181580,1838700,7361000,2838300,9785000,7511700,17525000,15376000,16568000
P00367,2510300000,74721000,7274500000,4003300000,1356700000,2495300000,2713400000,7422700000,3694100000,4677900000
P00387,80428000,934400,177050000,102510000,50677000,86251000,100160000,259930000,139530000,99884000
