proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25
Q00169,,7427600,12436000,14452000,59386000,7974600,67555000,31279000,47845000,5121600,8463800,7522900,185210,4127600,,5572100,2042400,32605000,31435000,25152000,19744000,19797000,34250000,5928200,86288000
Q00325,1765400,110650000,42439000,47029000,441830000,59186000,129300000,520140000,1180300000,6089900,,3707900,4273300,217080,22202000,4209600,9686800,44005000,18535000,198410000,81535000,320910000,93530000,210630000,705950000
Q00341,70777000,248730000,395940000,211180000,213100000,38627000,109260000,157550000,66315000,31061000,10421000,25549000,3540300,34803000,5589200,14545000,17895000,132490000,146740000,355800000,293420000,283160000,337750,2459600,1025600
Q00534,,,,,,,,569150,,,,,,,,,,,,,720420,,,,
Q00535,,,,,,32639000,,9852900,86022000,,,200160,,,1580900,1175500,,7394500,837050,6881900,6000100,679960,,,34770000
Q00577,70662000,119090000,118360000,144710000,91360000,7908500,122100000,250440000,276520000,37278000,58304000,43498000,10803000,95668000,48805000,129240000,33824000,79733000,129160000,149010000,223850000,63548000,70247000,163540000,255700000
Q00610,905240000,3409000000,2710900000,2845800000,3797400000,645970000,2385300000,10361000000,4448800000,985100000,394000000,862230000,1566800000,1683400000,2880600000,685000000,861910000,1265800000,3132000000,5680100000,2737700000,5584800000,1462500000,1054800000,5785000000
Q00613,3257300,6019300,,,2480000,,,,387520,,,,5680400,,3660700,,2289200,,,4966800,5512200,,,1759300,
Q00688,5036200,21920000,76144000,11929000,61897000,43051000,114940000,152780000,59433000,13105000,26399000,1901900,17254000,80502000,33570000,34352000,6392500,27588000,67092000,37317000,27366000,184710000,14732000,24989000,4544100
Q00765,,21899000,65993000,53927000,67073000,39331000,70980000,33448000,126130000,3733900,,8047900,6321300,13793000,12237000,14597000,,27557000,44048000,118200000,95733000,71090000,67510000,81968000,38918000
Q00796,235000,19355000,7664900,23180000,3678000,,11130000,108900000,,,,1608000,12869000,78977000,4242500,,6786900,3968900,16815000,19653000,37644000,1683500,30586000,16187000,9423100
Q00839,562290000,3103700000,994510000,1254600000,1656500000,298820000,851290000,1928800000,774530000,196290000,288780000,282590000,504970000,722050000,812120000,501800000,164610000,411900000,628630000,1477200000,1489500000,1203900000,19021000,63520000,33722000
Q01081,,24025000,7089100,11487000,89456000,7990200,14645000,81420000,68560000,,,6008200,,19666000,2638800,1086000,198890,36579000,11420000,2254900,23578000,14706000,,,
Q01082,1989400000,4117300000,2279200000,4441800000,6242500000,1682800000,12775000000,9087300000,7348200000,1267500000,107050000,340070000,13015000000,1856200000,861960000,3713500000,728160000,4414700000,7292900000,17667000000,9560600000,6633300000,2592500000,1210500000,8688800000
Q01085,,14139000,584730,,36854000,1219600,2578100,24538000,21184000,,,,,,6958400,,,3271600,7207100,,17511000,6290800,1051800,1266900,968800
Q01105,181500000,1732400000,262870000,632190000,993640000,56347000,200560000,542920000,826400000,54611000,146490000,247850000,12627000,729030000,173300000,229440000,138310000,145800000,182650000,243860000,982660000,776430000,3418800,61796000,8941000
Q01130,,138470000,31120000,56682000,145810000,13296000,61611000,55257000,131380000,13159000,1824200,12354000,11776000,176940000,36525000,29362000,299250,124060000,93997000,524600,34608000,82909000,372170,5008900,
