Uniprot,Control,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9,Control.10,Control.11,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Disease.5,Disease.6,Disease.7,Disease.8,Disease.9,Disease.10,Disease.11,Disease.12,Disease.13,Disease.14,Disease.15,Disease.16,Disease.17,Disease.18,Disease.19,Disease.20,Disease.21,Disease.22,Fold Change,t_test_p_value
P24534,0.71246369,0.80915773,0.92243363,0.55665346,1.16526114,0.63686195,0.07715565,0.5186189,0.09447889,-0.05311746,0.21271191,-0.2927782,1.12987552,0.82311829,1.07679507,0.77778109,0.60928579,0.57987533,0.66559252,0.60521539,0.95006619,0.84909841,0.97776236,0.87541358,0.54191575,0.45676695,0.30202338,0.20071109,-0.1505455,0.26818606,0.27895061,0.34825929,0.06044306,0.41288823,-0.11178058,1.219460927,0.816967765
P24539,1.3476401,1.2407065,0.9172882,1.1253427,1.0969327,0.8472631,1.2772483,0.9565003,1.2564525,1.2967688,1.0646702,1.1745959,0.8144757,0.952373,1.2592889,0.5472412,0.7685388,1.0330092,1.2185546,1.0544222,0.8181376,1.0873523,0.9772606,1.1725307,1.1742339,0.9954525,1.0263604,1.0024761,1.0838543,0.9998929,1.2351116,1.1025691,1.0644058,0.8681098,1.2149861,0.900314785,0.342549427
P24752,-0.084991911,-0.507855779,-0.627246273,-0.54254536,0.429866846,0.000106322,0.275200894,-0.099402599,0.371766887,-0.270271989,-0.111349891,0.16675186,-0.6322679,-0.125167612,-0.056671719,-0.31660791,0.353848842,-0.571847315,-0.125227568,-0.403809918,0.287369898,0.01226417,0.125496041,0.462242184,0.043982358,0.296459418,-0.032560404,0.219031527,0.085970512,0.21789141,0.135727835,-0.134285331,0.180052385,0.000912367,0.110433069,-0.069516628,0.206526786
P25311,0.7726104,0.6982189,0.9812906,0.3671682,0.9378591,0.858237,-0.3895297,-0.518171,-0.8619678,-0.8802448,-0.3718039,-0.7294244,1.0725462,1.2908255,0.7138782,1.0837868,0.9481848,0.1299568,0.5923446,0.7398448,0.4109651,0.7235545,0.9688503,-0.4550081,-0.8347397,-0.6681872,-0.1672095,-0.8846926,-0.6450923,-0.488801,-0.4984843,-0.1810109,-0.4757402,-0.5862178,-0.7390116,1.237902655,0.850238098
P25685,-0.11138751,-0.29622487,-0.06857287,-0.91937789,-0.16517558,-0.32803171,-0.54954356,-0.59506682,-0.71555932,-0.58024761,-0.65354884,-0.8937656,-0.17006906,-0.18753363,-0.34540516,-0.25547902,-0.46152673,-0.3417048,-0.59488247,-0.35940688,-0.61004702,-0.50139787,-0.43412051,-0.5281924,-0.84375451,-0.60862401,-0.44687906,-0.94861738,-0.99485322,-0.57693986,-0.93851037,-0.55915596,-0.87832301,0.63316268,-0.84600951,1.047497102,0.762225962
P25686,-0.173761652,-0.132078165,0.296200144,-0.288883408,-0.034437203,-0.030753664,-0.065663124,-0.058030499,-0.013555257,0.145263877,-0.067987814,-0.031047372,0.19313914,0.115842773,0.404016571,0.425049831,-0.140647922,0.196276228,0.177108586,-0.009820916,-0.083396973,-0.01152273,0.013559503,0.189520604,-0.010035152,0.137905809,0.076712118,0.171029719,0.069387135,-0.015806135,0.170167757,0.255075683,0.192181204,0.060160596,0.222219275,-3.210425582,0.029596912
P25705,2.472347,2.488748,1.99934,2.290579,2.334231,2.31121,2.303834,2.131494,2.249193,2.388742,2.184617,2.209306,1.949091,1.93723,2.44618,1.867034,2.153053,2.121979,2.376122,2.233729,2.274387,2.318392,2.364392,2.322473,2.214375,2.201788,2.217888,2.325458,2.246115,2.237306,2.399733,2.163853,2.321045,2.125098,2.356777,0.975718705,0.988654274
P26196,-1.50785465,-0.39734812,0.00371534,-0.64048329,-0.42027222,-0.0151213,-0.32318058,-0.70383045,-0.27195381,-0.45727339,-0.37621881,-0.67716176,0.37810103,0.04337982,-0.41987817,0.13414155,-0.25531925,-0.72233261,-0.3489676,-0.19771271,-0.27586453,-0.48914604,-0.28409153,-0.23033672,-0.26248415,-0.37299363,-0.27071333,-0.61639207,-0.4909796,-1.34218098,-0.13309453,-0.25742794,-0.75679127,-0.72380925,-0.5361119,0.760117215,0.511745741
P26232,-0.179161898,-0.597323847,-0.133435183,-0.439435825,-0.081263696,-0.791873944,0.182569329,0.011033569,0.407080888,-0.4330341,0.088843893,-0.143453471,0.068487458,-0.266725881,0.106314372,-0.567331909,-0.374986488,-0.151107864,-0.281200663,-0.279578211,-0.089222875,-0.186769,-0.135737177,-0.342645309,-0.096896212,0.340406173,0.183420493,-0.167932543,-0.492358167,-0.300673216,-0.287113943,-0.003193225,0.111572863,-0.090827693,-0.700128474,0.990380396,0.79444592
P26373,-0.051278595,0.274126794,0.48846265,0.372765275,0.122265023,-0.178149564,0.027304349,-0.26904881,0.346948934,-0.585770339,-0.354859474,-0.445370181,0.272613471,0.055903038,-0.361860329,-0.032040573,-0.442402343,0.211884336,0.091656493,0.16770323,0.333930943,-0.42461507,0.063361865,-0.250055441,0.012566186,-0.359367424,-0.146352936,0.113629952,-0.893902923,0.139388055,-0.154375025,-0.008836097,-0.296859311,-0.060521338,-0.92847425,5.98364211,0.245826989
