Uniprot,Control,Control.1,Control.2,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Disease.5,Disease.6,Disease.7,Disease.8,Disease.9,Disease.10,Disease.11,Disease.12,Disease.13,Disease.14,Disease.15,Disease.16,Disease.17,Disease.18,Disease.19,Disease.20,Fold Change,t_test_p_value
O00487,-0.17946123,0.20907204,-0.06715281,0.12106138,0.0230895,0.06226945,0.04170904,0.11647543,-0.20418269,-0.23441595,-0.07468034,-0.1358376,-0.17498735,-0.10655854,-0.0541195,0.04412091,-0.17170603,-0.02245033,-0.04812062,0.0163592,-0.3762065,0.06667729,0.12952313,-0.04456566,3.906275562,0.208536935
O00499,1.0052091,0.887714,1.2591356,1.1105975,0.7328624,1.0122195,0.8256376,0.6361566,0.8508828,0.9990187,0.6743444,0.7301011,0.8448965,0.8711653,0.81669,0.8886094,0.7929571,0.6746164,1.0151265,0.6517402,1.0784726,1.1467698,0.900338,0.7440795,0.815670175,0.144730598
O00505,-0.034840017,-0.436024316,0.008628563,-0.157638016,-0.007237258,-0.082104577,-0.101701994,-0.156339916,-0.728852359,-0.593731263,-0.402769002,-0.17855359,-0.269721557,-0.152660195,-0.539993981,-0.268687603,-0.066974168,-0.732321998,0.060342298,-0.255628394,-0.389342181,-0.00529381,-0.311998594,-0.055506934,1.667891905,0.668636731
O00519,-0.5814032,-0.8319424,-0.666067,-0.6967084,-0.7440478,-1.0358662,-1.0123828,-0.6066292,-1.0692249,-0.3915726,-0.7146429,-0.9990169,-0.7639994,-0.7623742,-0.9356327,-1.0658872,-0.6297465,-0.6615937,-0.8048629,-1.2971568,-0.5062347,-0.9782627,-0.9556207,-0.7903964,1.196894299,0.184625427
O00533,-0.211616031,0.244673445,0.13082393,0.056712406,-0.571968978,0.15701243,-0.006006092,0.230734065,0.086944619,-0.012508206,-0.277108783,0.11484744,0.064157597,-0.047061118,-0.12159751,-0.148687596,0.31739455,0.055308373,-0.008338671,0.074924608,0.36397911,0.057830175,-0.939923654,-0.39398721,-0.825808672,0.049694307
O00534,0.247821685,0.19706041,0.228151774,0.026782921,-0.533839155,0.213185304,-0.227177584,-0.159479473,-1.020378251,-0.147108638,-0.310283825,-0.353648747,-0.171111663,-0.275902408,-0.226309561,-0.581346784,-0.337669186,-0.631265505,0.084981068,-0.379407749,0.006846308,-0.004732815,-0.71437446,-0.408542925,-1.305555849,0.001047733
O00560,0.042122957,-0.0841482,0.103555361,-0.367002218,-0.1185662,-0.083641495,-0.047831232,0.083701413,-0.062100222,0.199451966,-0.442880279,-0.40273744,0.012818745,-0.498984299,0.034371625,0.092624594,-0.133419632,-0.160156311,-0.060174575,-0.153662161,0.001241868,-0.287201533,-0.556598946,-0.350024391,-7.663542506,0.847434303
O00571,0.33138396,0.1641746,0.22568073,-0.03705255,0.41260914,0.57108153,0.36622606,0.35270622,0.40348311,0.35456246,0.63033547,0.60614287,0.61506696,0.48070648,0.22382384,0.50221837,0.4712906,0.35858472,0.33117011,0.40573949,0.33257588,0.40378279,0.33453326,0.45624989,1.698631156,0.047627743
O00625,0.20750606,-0.45471089,0.23416559,0.06730066,0.14778951,0.40824313,0.0337102,-0.62344473,-0.33718349,-0.1171007,0.03299185,0.28182231,-0.24622458,-0.12448415,-0.1431432,-0.05047789,-0.47171249,-0.17515218,0.06262748,-0.0222362,0.180475,-0.71333503,-0.05020241,0.04121259,19.92364498,0.857795704
O00629,0.344836744,0.165375242,0.23243221,0.077117231,0.303601001,0.266248223,0.147909524,0.178107783,0.193774813,0.096927212,0.270435049,0.294827808,0.235836632,0.003743007,0.24622187,0.156409717,-0.228651867,0.243515901,0.272263199,0.176533894,-0.128944867,-0.158391971,0.024364841,0.135335471,0.539997963,0.718155059
O00743,-0.27273549,-0.24649362,-0.36797676,-0.75651338,-0.63194983,-0.51013507,-0.55185532,-0.55722768,-1.10145418,-0.42660313,-0.04005662,-0.39109825,-0.16180134,-0.56694882,-0.24376043,-0.12443693,-0.21313958,-0.57229201,-0.61481018,-0.8115492,-0.33954652,-1.13384048,-0.02559823,-0.61779042,1.67337673,0.892713365
