Uniprot,Fold Change_PXD007073,t_test_p_value_PXD007073,Fold Change_PXD005321,t_test_p_value_PXD005321,Fold Change_PXD005319,t_test_p_value_PXD005319,Fold Change_PXD008036,t_test_p_value_PXD008036,Fold Change_PXD014852,t_test_p_value_PXD014852,Fold Change_PXD014950,t_test_p_value_PXD014950,Fold Change_PXD021630,t_test_p_value_PXD021630,Fold Change_PXD023199,t_test_p_value_PXD023199,Fold Change_PXD027173,t_test_p_value_PXD027173,Fold Change_PXD028931,t_test_p_value_PXD028931,Fold Change_PXD037133,t_test_p_value_PXD037133,Fold Change_PXD009199,t_test_p_value_PXD009199,Fold Change_PXD014376,t_test_p_value_PXD014376,Fold Change_PXD014606,t_test_p_value_PXD014606,Fold Change_PXD022092,t_test_p_value_PXD022092,Fold Change_PXD024998,t_test_p_value_PXD024998
O00429,0.514371755,0.183328931,0.887584912,0.513794178,0.444857861,0.566157362,0.83765776,0.321215088,0.837052803,0.639837404,0.176606635,0.943122056,0.276370958,0.792685294,0.226321725,0.940458996,0.798888237,0.95071942,0.715875543,0.164492223,0.291413072,0.077965532,0.483762289,0.140310546,0.169987537,0.662519862,0.351889557,0.00994883,0.416966585,0.951318422,0.394773355,0.113792057
O00461,0.514829668,0.455509669,,,,,,,0.838938681,0.01658906,,,,,,,0.798913821,0.495954172,0.716029568,0.597141584,,,,,,,0.351711847,0.000372753,,,,
O00468,0.514231868,0.882515563,0.887529093,0.462055228,0.444429327,0.067257775,0.834547093,0.015233083,0.837299087,0.731740933,0.177391884,0.273082952,0.273976561,0.204763453,,,0.798861695,0.042396966,0.716317492,0.983020074,0.292719158,0.575610176,0.498680666,0.113933989,,,0.35250089,0.20606546,,,,
O00469,0.514610889,0.408206708,,,,,,,0.835872542,0.029048682,,,,,,,,,,,,,,,,,,,,,,
O00483,0.514440599,0.231286943,0.887472812,0.253217446,0.445077429,0.965121016,0.837679968,0.203734027,0.837881364,0.064350915,0.176446584,0.873343509,0.280381101,0.174188258,0.226400213,0.745943342,0.798862235,0.324700513,0.715884411,0.860873172,0.291353038,0.001542783,0.483694285,0.083113488,,,0.351851083,0.032785026,0.415562463,0.263087836,0.391613302,0.202606493
O00487,0.514502993,0.737527896,,,0.44528656,0.258908752,0.840764907,0.208536935,0.837045759,0.550934701,0.175810974,0.514778294,0.276236695,0.998443365,,,,,,,0.29124032,0.294341201,0.484945176,0.371696882,,,0.35226739,0.264761084,0.416508682,0.637174466,,
O00499,0.51467432,0.816433188,0.887686263,0.963918253,0.444903922,0.313100066,0.837536174,0.144730598,0.837035034,0.96237919,0.176132222,0.893525656,0.276379547,0.879207959,0.195384373,0.291852154,0.798865208,0.203046384,0.715591498,0.161805721,0.29138267,0.559826167,0.483914627,0.833519068,0.169589628,0.931898862,0.351850035,0.003218574,0.413156639,0.099707478,0.393230461,0.280986599
O00533,0.51254585,0.108818802,,,0.445000472,0.454134892,0.835821334,0.049694307,,,0.176317366,0.536361327,0.276003602,0.838848138,,,0.798830768,0.010317246,0.715891209,0.662393844,0.291304586,0.062466095,0.483641326,0.291374792,0.170065256,0.763904812,0.351796031,0.094369491,0.414244957,0.396147685,0.395488402,0.565877925
O00560,0.514608362,0.585123049,0.887577045,0.022455476,0.444782839,0.734797836,0.828678004,0.847434303,0.836515573,0.165686365,0.180038481,0.335658549,0.274674473,0.141980632,0.225202169,0.002424404,0.79888378,0.754320348,0.715874999,2.44E-06,0.290676006,0.062746221,0.483488885,0.530724964,,,0.351976174,0.25048479,0.415090867,0.537984766,0.395607032,0.453317976
O00567,0.514604604,0.091936587,,,,,,,0.837011766,0.626398511,0.176897078,0.459572934,,,0.227521539,0.261182428,0.798900627,0.890375987,0.715705342,0.557990108,0.291086244,0.025170557,0.483208509,0.540955122,,,0.350636425,0.003190042,,,0.397214639,0.397731561
O00571,0.514169771,0.163510245,0.887602558,2.14E-05,0.444690754,0.517628653,0.838458597,0.047627743,0.836487309,0.016635945,0.176707646,0.587872654,0.276447219,0.910350543,0.226491147,0.991612081,0.798899394,0.979502821,0.715979288,0.508766174,0.291454122,0.141615541,0.484169573,0.111468547,,,0.35208772,0.001630056,0.414811363,0.727758846,,
O00584,0.515964543,0.011424261,,,,,,,0.8372686,0.684077725,0.17696871,0.332469538,0.276719277,0.739085278,,,,,,,0.291340496,0.181512686,0.483500011,0.722935333,,,0.351606386,0.018572455,,,,
O00592,0.51525202,0.949930958,,,,,,,0.847259801,0.005515721,,,,,,,,,,,0.291436268,0.107972509,,,,,0.351743066,0.005944737,,,,
O00629,0.515032942,0.435789558,0.887381138,0.370487775,0.444691062,0.89501074,0.837248182,0.718155059,0.836811671,0.112109358,0.176449734,0.11143758,0.276655915,0.770773598,,,0.798843478,0.327477092,0.715818258,0.698982183,0.290674447,0.027026701,0.483893575,0.82750464,,,0.3290548,0.06161537,,,,
O00764,0.516171144,0.475382306,0.887704621,0.346498982,0.444808223,0.150783183,0.837809173,0.039780996,0.837625505,0.052538062,0.176897814,0.647818433,0.276325645,0.520937169,0.230320593,0.056402021,0.798873459,0.169325627,0.715755783,0.222384207,0.291458235,0.694822816,0.483872281,0.648809358,0.171117689,0.831270681,0.351898216,0.083182733,0.414897481,0.467756302,,
O14498,0.51351238,0.015947011,,,,,,,0.836457524,0.059021673,,,,,,,,,,,,,,,,,,,,,,
O14531,0.514403717,0.795971245,0.887622257,0.000588455,0.444858309,0.217728765,0.837665618,0.058096688,,,0.176704176,0.312312055,0.276436381,0.813389016,0.22508802,0.226808379,0.798874231,0.517440398,0.715931395,0.887688893,0.291328657,0.18161545,0.483800453,0.415282727,0.169268527,0.024836628,0.35188483,0.014193221,0.422504674,0.439363684,0.394160482,0.108190242
O14548,0.51532749,0.088627184,0.882857597,0.056599522,0.445120092,0.390955028,0.841084409,0.940330076,,,0.173367743,0.971532078,0.274693316,0.420945436,0.225817588,0.981061414,,,,,0.291317998,0.006423563,0.483254437,0.04225573,0.16929463,0.846782769,0.351696447,0.005179705,0.415436039,0.122979443,,
O14558,0.515352612,0.026498487,0.88746024,0.028525909,0.445289406,0.541207597,0.837284992,0.503371314,0.838514445,0.00878717,0.176599001,0.917278842,0.276515432,0.977666122,,,0.798765449,0.503394275,0.715201945,0.120591886,0.299043507,0.005518552,0.481712223,0.070557054,,,0.351783486,0.914048921,0.414965142,0.04875544,,
O14579,0.514199839,0.127359835,0.886609829,0.397166041,0.444903398,0.789591232,0.837157801,0.000439921,0.836859832,0.847803282,0.176390706,0.961191525,0.275593186,0.620826294,,,0.798849958,0.236734764,0.715910829,0.213011062,0.291125457,0.116755013,0.48346472,0.345607036,,,0.353653465,0.00146547,,,,
O14617,0.514865346,0.066437587,0.887667968,0.769458373,0.444909566,0.368579529,0.836454563,0.136980078,0.836824387,0.942238877,0.176636658,0.596738767,0.275046011,0.164625371,0.223770074,0.144490014,0.798864567,0.250706394,0.71581689,0.239094325,0.291352839,0.211103835,0.483574051,0.086247445,,,0.351857278,0.014077959,0.418214005,0.796231838,0.39805424,0.43282219
O14618,0.519763636,0.351307863,0.887655288,0.852593633,0.444687206,0.091925509,0.837632575,0.405956185,0.837160702,0.839674102,0.176984201,0.661735698,0.272821416,0.076789701,,,0.798919551,0.79240881,,,0.291653004,0.261457928,0.483925981,0.632743901,,,0.344039665,0.230911122,,,,
O14639,0.513770753,0.651455145,0.887788153,0.19110854,0.445354332,0.257809316,0.828143448,0.61338301,0.83704671,0.788114533,0.17592627,0.752960327,0.27661759,0.734783657,,,0.798844134,0.026759621,0.715831707,0.010936292,0.291573172,0.544267355,0.484731571,0.158954071,,,0.351930518,0.746339722,,,,
O14683,0.513289439,0.247722961,,,,,,,0.836676592,0.605088067,0.176391426,0.619344701,0.276065587,0.487612307,,,,,,,0.291245291,0.356304458,0.484438027,0.315265224,,,0.352870021,0.026316942,,,,
O14737,0.515235326,0.010865501,,,0.445162973,0.21969546,0.83737383,0.289185748,0.836958133,0.239161493,0.175927324,0.022962747,0.277461884,0.909161207,,,0.798851987,0.932896422,0.717813574,0.519014287,0.283583365,0.003017294,0.484073837,0.731252161,,,0.351907139,0.127321502,,,,
O14744,0.514749022,0.43580094,0.88722473,0.512522806,0.444312148,0.274731706,0.837727181,0.486000587,0.837231644,0.322881961,0.17631716,0.261240628,0.277126601,0.021070247,,,0.799208006,0.494435155,0.715970866,0.204489591,0.290920446,0.982755203,0.482350579,0.621072136,,,0.352275452,0.004212555,0.417351669,0.391299926,,
