Uniprot,Fold Change_PXD007073,t_test_p_value_PXD007073,Fold Change_PXD005321,t_test_p_value_PXD005321,Fold Change_PXD005319,t_test_p_value_PXD005319,Fold Change_PXD008036,t_test_p_value_PXD008036,Fold Change_PXD014852,t_test_p_value_PXD014852,Fold Change_PXD014950,t_test_p_value_PXD014950,Fold Change_PXD021630,t_test_p_value_PXD021630,Fold Change_PXD023199,t_test_p_value_PXD023199,Fold Change_PXD027173,t_test_p_value_PXD027173,Fold Change_PXD028931,t_test_p_value_PXD028931,Fold Change_PXD037133,t_test_p_value_PXD037133,Fold Change_PXD009199,t_test_p_value_PXD009199,Fold Change_PXD014376,t_test_p_value_PXD014376,Fold Change_PXD014606,t_test_p_value_PXD014606,Fold Change_PXD022092,t_test_p_value_PXD022092,Fold Change_PXD024998,t_test_p_value_PXD024998
Q8TCT9,0.51488607,0.406795683,,,,,,,,,,,,,,,,,0.715858287,0.446664239,,,0.483859054,0.854067991,,,0.351739876,0.006214136,,,,
Q8TD08,0.514416155,0.434256012,,,,,0.837578854,0.187585396,0.837280167,0.998638864,0.176432745,0.83018394,0.276434467,0.679042073,,,,,,,0.29044104,0.099947985,,,,,,,,,,
Q8TD19,0.514689292,0.471474443,0.887714735,0.987720321,,,,,0.836809557,0.152201151,0.176368016,0.586078753,0.277725023,0.22866242,,,0.798880422,0.612452544,0.71627344,0.671263568,,,,,,,0.35156569,0.009314193,,,,
Q8TDJ6,0.515429049,0.926566913,0.887981312,0.110353568,0.444845105,0.683778806,0.837588357,0.385690729,,,0.17632603,0.496060277,0.275028853,0.14817254,0.22801263,0.493413085,0.798873609,0.152615127,0.716048611,0.670159089,0.291438179,0.579978019,0.483691688,0.218681415,0.170354047,0.722798642,0.351715914,0.00318866,0.416345344,0.589918728,,
Q8TDQ7,0.51493956,0.508392939,,,0.444588895,0.004086698,0.837525304,0.319965498,,,,,0.252177851,0.441390488,,,,,0.715862829,1.18E-06,0.291463986,0.592465657,0.48377308,0.380623102,,,0.351761937,0.95776881,,,,
Q8TE77,0.51281304,0.119183189,,,,,,,,,,,0.276561831,0.664773466,,,,,,,0.291276365,0.131038951,,,,,0.351922066,0.60655734,,,,
Q8TEA8,0.515522515,0.191171506,,,0.450468413,0.581569778,0.837163314,0.690055534,,,0.171816996,0.858378353,0.27517255,0.878727346,,,0.798871088,0.40660904,0.715060095,0.140022114,0.291234412,0.783767896,0.483775312,0.454798702,,,0.35188212,0.510808758,,,,
Q8TED1,0.517788327,0.012090096,,,,,,,0.837526171,0.61087547,,,,,,,,,,,,,,,,,,,,,,
Q8WUJ3,0.515316031,0.922771293,,,,,,,0.837365813,0.256160481,,,,,,,,,,,,,,,,,,,,,,
Q8WUM0,0.514934535,0.886186386,,,,,,,,,0.176768709,0.358957851,0.278388459,0.258416912,,,,,0.715943172,0.776302226,,,,,,,0.351683365,0.004207615,,,,
Q8WUM4,0.515266745,0.885707201,0.887036454,0.279321369,0.444929161,0.198772102,0.837678674,0.472461766,0.837259288,0.122315869,0.176642443,0.390875484,0.27653084,0.279273763,0.223780568,0.471314798,0.798886286,0.981464476,0.715955819,0.48767341,0.291385809,0.019285206,0.483834756,0.125026724,,,0.351949754,0.360552837,0.418144763,0.239821908,0.394623477,0.501215518
Q8WVJ2,0.514822991,0.255621893,0.887689849,0.73507657,,,0.842287081,0.526048585,,,0.176796228,0.540982492,0.279885499,0.275942169,,,0.798693766,0.061970973,0.715994111,0.859136706,0.291607391,0.079025577,0.483175032,0.432411257,,,0.352283169,0.141043927,,,,
Q8WVM8,0.514614717,0.399231063,0.887357587,0.458752894,0.444720134,0.880998129,0.839200289,0.544142323,0.836913065,0.078693642,0.176114887,0.13701188,0.276468169,0.807592674,,,0.798743541,0.610833295,0.715755964,0.246368207,0.291722766,0.398770077,0.482321516,0.497894942,,,0.35206891,0.4674806,0.414408546,0.618514298,,
Q8WW12,0.515226776,0.164726506,,,0.444558675,0.127594306,,,,,0.176190278,0.101953182,0.275693852,0.533747144,,,,,,,,,0.484062035,0.550850261,,,0.352572638,0.129128547,,,,
Q8WW59,0.515064991,0.81926697,0.88732998,0.007510388,0.44475068,0.664164208,0.838302106,0.001345496,0.837657851,0.108094881,,,0.273712565,0.33786808,,,0.798826096,0.536171355,,,0.291299088,0.612782973,0.483921854,0.966948202,,,0.352337057,0.135303729,0.440718223,0.828469536,,
Q8WX93,0.511350702,0.488820897,,,0.444716451,0.443851826,0.837710123,0.259155861,0.769256016,0.106367718,0.176700676,0.24848413,0.256312967,0.736976732,,,0.798820257,0.187625652,0.716184556,0.633948756,0.29140323,0.550178996,0.483979592,0.970994338,,,0.351032139,0.004633449,,,,
Q8WXF1,0.514728874,0.031403622,0.88736026,0.220908043,0.444038647,0.871946671,0.836819459,0.008601808,0.836920626,0.411660082,0.176709146,0.57148732,0.275974412,0.171870224,0.227679203,0.249711145,0.798726095,0.015178107,0.715040167,0.001178969,0.291317492,0.714631253,0.483997303,0.757952947,,,0.352055079,0.669225727,,,,
Q92499,0.516706945,0.703366072,0.887755299,0.590732752,0.444767086,0.013339262,0.83781591,0.260097305,0.838340784,0.038663711,0.176568386,0.33237696,0.276306137,0.619010718,0.226728991,0.623706506,0.798839539,0.161920338,0.715974033,0.763381491,0.291432711,0.324438116,0.483923376,0.922541372,,,0.35199948,0.444770104,0.412299714,0.033512384,,
Q92504,0.514945668,0.996348444,,,,,,,,,,,,,,,,,0.715682448,0.20048184,,,,,,,,,,,,
Q92506,0.494185683,0.227014455,0.887563374,0.069394223,0.444761595,0.829304457,0.837510832,0.678135673,0.837700206,0.127446569,0.178195903,0.77953226,0.276308714,0.910157201,,,0.798820435,0.823227954,,,0.291379812,0.888751256,0.483820861,0.947412748,,,0.351909427,0.765458422,0.415306499,0.74615386,,
Q92520,0.515231915,0.510004358,,,,,,,,,,,0.27609223,0.632601211,0.226853415,0.091608626,,,,,0.291313478,0.20227586,0.484250309,0.689810918,,,0.351837064,0.154169294,,,,
Q92522,0.514457634,0.403476299,,,,,,,0.837080811,0.92218848,0.176782063,0.55401423,,,,,,,0.716051428,0.567660642,0.290964944,0.0187787,0.483856573,0.960407848,,,,,,,0.39442764,0.342986358
Q92530,0.515388973,0.289583391,0.886920872,0.160793041,0.443122149,3.16E-05,0.838128223,0.0360041,0.836656248,0.102894254,0.176015525,0.846691023,0.276974938,0.209535841,,,0.798829899,0.160027236,0.715992153,0.61435089,0.291378731,0.177287456,0.48123819,0.356742862,,,0.351910889,0.847137302,,,,
Q92542,0.514889172,0.052286941,,,0.444591907,0.171522423,0.837616952,0.487992178,,,0.181574937,0.521039652,0.277331311,0.839914906,,,,,0.715933808,0.331355553,0.291292677,0.000738203,,,,,0.351905845,0.294658394,0.414302755,0.072273126,,
Q92544,0.515582822,0.8983783,,,,,,,0.837207353,0.340803984,0.176461155,0.369411285,,,0.226199457,0.854027021,0.798983254,0.703578379,,,,,,,,,0.351872061,0.111550863,,,,
Q92556,0.514916188,0.759839835,0.88757705,0.72272764,,,0.837531625,0.887138805,,,,,0.278545182,0.440946982,,,0.798850993,0.857193802,,,0.291039899,0.209499929,0.483427411,0.737846932,,,0.351652354,0.00890076,,,,
Q92572,0.514850354,0.064753829,0.887615992,0.268293896,,,,,0.837170647,0.920427006,0.17677432,0.280931588,0.28944027,0.072828375,,,,,,,0.291746442,0.353940347,0.48407905,0.946089504,,,0.350822744,0.006614051,0.415564622,0.652679224,,
Q92575,0.515208734,0.964763178,,,,,0.837845242,0.442883657,0.836113212,0.02894199,0.1764008,0.221892143,0.279052456,0.244963657,,,,,0.715860101,0.438347342,0.291387826,0.970866857,0.484041984,0.834107927,,,0.351717993,0.000488282,,,,
Q92597,0.51567869,0.593068853,0.887512573,0.534192483,0.444322438,0.969304711,0.837529689,0.493686099,0.837253339,0.472508948,0.176506254,0.585467459,0.277014856,0.406227038,,,0.798822019,0.014918611,0.715963763,0.925243206,0.291325041,0.593102188,0.484150383,0.125823891,0.170118988,0.753792836,0.351899374,0.152563948,0.411523948,0.391251618,,
Q92598,0.514590867,0.596947041,0.887681638,0.583630582,0.444896508,0.963956688,0.837529811,0.01740912,0.836974542,0.289699959,0.176618432,0.475456009,0.276276418,0.419429121,0.22652295,0.76791097,0.798866635,0.248652355,0.715782518,0.005866291,0.291409528,0.556921832,0.483852052,0.554098767,0.169819562,0.817374048,0.351899132,0.005594309,0.417758517,0.289963904,0.399194671,0.084152854
Q92599,0.514537733,0.568101327,0.887646659,0.522315548,0.44483667,0.674386537,0.83756459,0.431317702,0.83674489,0.26517621,0.176459583,0.889467216,0.276461635,0.79077209,0.226036646,0.348253304,0.798879148,0.083277655,0.715941058,0.590726935,0.291327957,0.234367959,0.483967795,0.319460767,0.169997946,0.55676748,0.351919021,0.007844378,0.416043325,0.225841066,0.394240147,0.28008589
Q92614,0.514872563,0.658429716,0.887623872,0.906815476,0.44380579,0.117383808,0.836845829,0.002136831,0.836264355,0.001613637,0.176808692,0.460986116,0.275469075,0.355885129,0.226453785,0.452149258,0.798870286,0.048116502,0.716017988,0.691959861,0.291340498,0.079447325,0.483849428,0.902991735,0.16979968,0.258794935,0.351912054,0.004179769,0.420209525,0.0725909,,
Q92616,0.511022282,0.11299698,0.887942273,0.409723271,,,0.837500626,0.353580006,0.836756973,0.00867804,0.176278965,0.338999472,0.288422962,0.033610255,,,0.79886754,0.340143965,0.715996009,0.793797402,0.291186652,0.000390006,0.4827806,0.141769004,,,0.350321966,0.001400359,,,,
Q92621,0.515096564,0.686930779,,,,,,,0.836996348,0.035384493,0.176418921,0.717342967,,,,,,,0.715881696,0.000588041,0.290868078,0.003052575,0.483470753,0.150718433,,,0.351630793,0.004095102,,,,
Q92688,0.515016495,0.490472238,,,,,0.83775775,0.495413531,0.83668774,0.251654718,0.176577039,0.314145465,0.276769381,0.761362901,,,,,,,,,,,,,0.351465502,0.034304842,,,,
Q92734,0.517493282,0.067243257,,,0.444482567,0.176760925,0.837842924,0.658428142,0.836845261,0.0334653,0.175438041,0.635472086,0.276457735,0.923554413,,,0.798878395,0.934048465,0.715017325,0.47076676,0.291268485,0.530279156,0.483617812,0.444681893,,,0.351976597,0.891066091,0.416158725,0.960384645,,
Q92769,0.51475236,0.47963057,,,,,,,0.837353554,0.67596031,0.176583505,0.368793743,0.270373706,0.749892332,0.226659308,0.776556482,,,0.715869223,0.554194129,,,,,,,0.35036998,0.031270201,,,,
Q92777,0.513997866,0.518577524,0.887677238,0.206452288,0.444906272,0.442408199,0.837545122,0.139435108,,,0.176186012,0.583700522,0.276234381,0.716582685,0.226779822,0.222428966,0.798887276,0.863236726,0.716191376,0.437586814,0.291444629,0.784706684,0.483851934,0.583366862,0.169106976,0.0301741,0.351797599,0.004874258,0.416693657,0.997326197,0.405680321,0.004161715
Q92783,0.514756645,0.192032598,0.887522632,0.310376738,0.444840811,0.717208314,0.838419271,0.329685516,0.837197383,0.843584168,0.175511538,0.154386116,0.275407497,0.411287261,,,,,0.724493296,4.87E-07,0.291446974,0.913680456,0.483948367,0.963148306,,,0.351864337,0.027270634,0.415528051,0.127392288,,
Q92797,0.518120835,0.07012543,,,,,,,,,0.175157274,0.042567028,,,,,,,,,,,0.483842453,0.626032831,,,0.351717829,0.017359162,,,,
Q92804,0.515045543,0.259401456,0.88777675,0.038486808,0.444864491,0.818473797,,,0.837410005,0.269706503,0.175394434,0.166671402,0.277420001,0.647047436,,,0.79886761,0.844933981,0.712849346,0.527337578,0.291349927,0.224986019,0.483572101,0.816636353,,,0.352165293,0.031966002,,,,
Q92841,0.520995267,0.37172662,0.88871052,0.37518556,0.444786125,0.782495657,0.838041473,0.078823512,0.837401834,0.201266271,0.176690478,0.998258344,0.276259521,0.702009406,0.224935376,0.840648344,0.798860473,0.036802952,0.715980717,0.432440525,0.291409634,0.362906577,0.484064944,0.378336197,,,0.352148927,0.002070543,0.416979417,0.855121238,0.397137636,0.500460341
Q92878,0.514528033,0.002059883,,,,,0.83754977,0.521741266,0.836780303,0.002149803,0.175802935,0.042011308,0.27689224,0.693821756,,,,,0.715925871,0.607678231,0.291310626,0.358694663,,,,,0.351281577,0.009668902,,,,
Q92879,0.515135985,0.683005852,,,,,,,,,0.177261472,0.154030629,0.277311223,0.772741257,0.227445925,0.670366134,,,,,0.291674371,0.116033557,0.483812669,0.681767517,,,0.351674864,0.039925613,,,,
Q92882,0.514876795,0.167563071,0.887608372,0.166436176,,,0.838139634,0.592552079,0.83739138,0.214906083,0.17634738,0.100727073,0.27580819,0.470816965,,,,,0.71588032,8.87E-05,0.291883268,0.92190477,0.483730998,0.742665464,,,0.351914957,0.347080339,,,,
Q92896,0.515403776,0.79212357,,,,,0.837908288,0.516334673,0.832365301,0.016861243,0.176129713,0.379686485,0.275916492,0.735136274,0.225989979,0.022262072,0.798940876,0.767553997,0.716293485,0.45785931,0.292316531,0.024942422,0.483448355,0.555050374,,,0.352010375,0.608449624,,,,
Q92900,0.514597006,0.032582871,0.887574521,0.002090801,0.444968416,0.186997695,0.883098152,0.128637514,0.83663429,0.038101629,0.17647773,0.112709749,0.276503955,0.779093049,0.225838899,0.534742846,0.798957802,0.45881716,0.715066186,0.414610671,0.289426683,0.150935111,0.484480718,0.259622375,,,0.352044255,0.080179964,0.41675927,0.660488047,,
Q92905,0.514697068,0.575879058,0.887758099,0.537971512,0.44472159,0.324717225,0.83747671,0.183034892,0.837649065,0.464495865,0.177320783,0.897891758,0.276594868,0.194998115,,,0.798908017,0.50558154,0.715735185,0.138243324,0.291539806,0.929801939,0.483958006,0.193811737,,,0.351928902,0.509698656,0.414512968,0.605122676,,
Q92930,0.514982878,0.949299074,0.88756251,0.513839638,0.444829874,0.855920536,0.837649642,0.599849161,0.836769827,0.295415832,0.175475731,0.697843527,0.325041158,0.623064465,0.226574629,0.491172825,0.798937102,0.458566001,0.716256353,0.076589601,0.29121327,0.054572118,0.48230634,0.877883904,,,0.351906194,0.932565587,0.414833898,0.196639004,,
Q92934,0.515099083,0.256763542,,,,,,,,,,,0.275563849,0.186370155,,,0.798919389,0.231596847,,,,,,,,,0.351946301,0.801524845,,,,
Q92945,0.489466502,0.328421813,,,0.444684399,0.003934303,0.838032452,0.155338186,0.837201923,0.683921052,0.176600149,0.111653418,0.276238516,0.572479271,,,0.79885268,0.170818735,0.715959878,0.724567845,0.291386886,0.697879133,0.48431015,0.437768251,,,0.352113874,0.000840039,,,,
Q92954,0.515232841,0.536544577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92973,0.513296177,0.434064678,0.887478077,0.397713701,0.444518007,0.738281503,0.837745007,0.410614169,0.836359677,0.011239018,0.176666627,0.772068896,0.276720337,0.535649635,0.226787573,0.455963242,0.798797029,0.488973202,0.716165018,0.36252372,0.289346721,0.872125044,0.48192106,0.151125158,,,0.352338277,0.01800494,0.414257468,0.424596015,,
Q92974,0.514951312,0.647759743,0.887573677,4.39E-06,0.444808641,0.275574515,0.838222822,0.176745003,0.837420957,0.517501694,0.176140109,0.245874091,0.277155795,0.97229058,,,0.798877237,0.41620568,0.718990543,0.038979628,0.291343704,0.517560104,0.483343761,0.072495053,,,0.351853442,0.009052896,,,,
Q93008,0.514568996,0.213899291,0.887441432,0.541650293,0.444293538,0.556506917,0.837658202,0.10004166,0.836860281,0.085925342,0.176143673,0.029465086,0.27179038,0.037661762,0.228805779,0.447339478,0.798894249,0.68523478,0.71654828,0.380223307,0.291398631,0.490403077,0.484061493,0.919853441,0.169963897,0.269290982,0.351956059,0.498287508,0.41244401,0.158008855,,
Q93009,0.514859567,0.609618669,0.887209142,0.109128105,0.443295625,0.494956,0.840367292,0.803323085,0.836903497,0.15004493,0.176606492,0.292280019,0.276228664,0.849875209,,,0.798727301,0.751008542,0.716958502,0.109103811,0.291291292,0.873169482,0.483079021,0.380984235,,,0.351947427,0.349686577,0.415482944,0.366287408,,
Q93045,0.515003148,0.183123824,0.887540254,0.356379546,0.444747601,0.434354072,0.838613756,0.021398755,,,0.176140768,0.647567504,0.276523319,0.620865846,,,,,0.715323063,0.940312781,0.29132636,0.497020466,0.483632638,0.178267422,,,0.351890804,0.052194439,,,,
Q93050,0.513686306,0.556675071,0.88773802,0.695202712,0.444777689,0.179493247,0.837669724,0.533836828,0.833680033,0.098457129,0.176433222,0.978499226,0.275975732,0.21749091,0.226451437,0.632383251,0.79888203,0.311882882,0.715899086,0.522437862,0.291427799,0.75973394,0.48381906,0.374870534,0.169871547,0.625760039,0.351796786,0.002162889,0.416009536,0.077054105,0.406026577,0.023139356
Q93052,0.514772328,0.685922984,,,0.445059816,0.774654724,0.837719643,0.580739938,0.837081487,0.378396069,0.176558022,0.94143448,0.277197159,0.982756118,,,0.798896807,0.733683993,0.715722146,0.762229224,0.290978516,0.666080524,0.483772352,0.922263587,,,0.3554545,0.004042826,,,,
Q93077,0.514078045,0.024526973,,,,,,,0.836872424,0.089214648,0.175036618,0.417069814,,,,,,,,,,,,,,,,,,,,
Q969G5,0.514870966,0.481564887,,,,,,,0.836688929,0.184689951,,,0.27524415,0.945037055,,,0.798911765,0.588569208,,,0.291374898,0.192199021,,,,,,,,,,
Q969H8,0.513843186,0.011483069,,,0.444791232,0.243116495,0.83453449,0.026205952,0.840688231,0.199284778,0.176585713,0.709256984,0.27349922,0.144337671,,,,,,,0.291468334,0.852539916,0.483799205,0.746399984,,,0.352163449,0.919468596,,,,
Q969Q0,0.512188471,0.074003533,,,,,,,,,,,,,,,,,,,,,0.484322467,0.413524547,,,0.351918343,0.311956933,,,0.396884637,0.309802693
Q969X5,0.51350997,0.896956398,,,,,,,0.836426052,0.048796672,0.176754843,0.285016366,,,0.228635322,0.813766336,,,0.71587536,0.146450556,0.291732712,0.026993758,0.483711335,0.225803568,,,0.351725436,0.059459552,,,,
Q96A26,0.513098624,0.146510766,0.88769727,0.922885236,0.444631025,0.354064533,0.837363223,0.683628811,0.837863086,0.547063798,0.176375832,0.629772446,0.282907241,0.714627433,0.228240345,0.231392241,,,0.715887288,0.819032767,0.291334014,0.111727694,0.483565841,0.171786468,0.170347458,0.546968476,0.351684562,0.037857595,0.414847641,0.37041945,,
Q96A33,0.514912919,0.327480936,,,,,0.837392844,0.188191115,0.837044188,0.341145675,0.176514763,0.027094322,0.276897836,0.66514897,0.230173027,0.001751489,0.798852732,0.201318503,0.715970728,0.528927062,0.291372097,0.98358215,0.48392792,0.130205738,,,0.350912374,0.026765825,,,,
Q96A65,0.51514759,0.251033191,0.887629197,0.610424448,0.444753697,0.238708488,0.838376317,0.278948258,0.837067513,0.303922614,0.179939351,0.628441703,0.275562656,0.925353152,0.227673076,0.030262127,0.79891553,0.401039743,0.716064103,0.518838397,0.291081836,0.4635356,0.481445579,0.756044157,,,0.351991134,0.551531776,0.41577849,0.727078773,0.394533495,0.304686003
Q96AB3,0.515347223,0.008843104,0.886978218,0.009704392,0.448074822,0.247793396,0.839079123,0.57946895,0.836768604,0.146149909,0.172423127,0.590845931,0.277261711,0.032241146,,,0.798988171,0.547704789,0.715852591,0.550700829,0.29168035,0.336245155,0.483833382,0.760597372,,,0.351968311,0.976366528,0.415544198,0.174179965,,
Q96AC1,0.514672832,0.323452184,,,0.443380576,0.036348285,0.837560876,0.85600626,0.838005502,0.167717567,0.177256155,0.714437919,0.276149042,0.687543123,,,,,0.716043679,0.359448671,0.291996495,0.185557297,0.484327139,0.55029486,,,0.352157766,0.003170525,0.415606532,0.099541297,,
Q96AE4,0.513882075,0.406524686,,,0.443789445,0.492371415,0.834907353,0.142532091,0.836896207,0.794428859,0.176625533,0.609593494,0.27591892,0.3402705,,,0.798823005,0.034412376,0.694289444,0.272185255,0.290576863,0.02495771,0.483621915,0.852302194,,,0.352487446,0.010431444,,,,
Q96AG4,0.514413975,0.513365227,,,,,0.83753675,0.899313129,0.815257068,0.071994584,0.176920661,0.842009312,0.278106232,0.266255715,0.226267887,0.857121233,,,0.71589652,0.499589203,0.290249597,0.006457583,0.467952069,0.967843609,,,0.352163512,0.002703639,0.415335364,0.141466384,,
Q96AQ6,0.515142846,0.168762061,,,0.444638375,0.296656914,0.837471256,0.863225777,0.859902219,0.651710007,0.182381732,0.878278235,0.276252791,0.789260596,,,0.798883974,0.944020326,0.716105029,0.085301838,0.291487443,0.30479935,0.488510165,0.090114027,0.170137151,0.702193424,0.351856219,0.264811599,0.416328687,0.209905598,,
Q96AT9,0.514890813,0.600228546,,,0.445176087,0.093925256,0.837983778,0.984316244,0.83718234,0.583457733,0.176518497,0.068003828,0.275741288,0.987964415,,,0.798958697,0.558811093,,,0.291587809,0.048930362,0.483329516,0.131113928,,,0.352002165,0.87078969,,,,
Q96AY3,0.51470135,0.918918901,,,,,,,0.837186852,0.913289641,0.176399452,0.526461367,,,,,,,0.715649024,0.505823369,,,,,,,0.351683198,0.002261289,,,,
Q96B97,0.514880116,0.629653704,,,,,,,0.83719278,0.757110885,,,0.273515552,0.097918851,,,,,,,0.291455844,0.70564134,0.483830376,0.701997418,,,0.351687065,0.01429437,,,,
Q96BJ3,0.515357948,0.0628959,0.887312355,0.045073536,0.444816203,0.51429789,0.837881214,0.321931653,0.837632079,0.005040717,0.17652502,0.62520295,0.272610644,0.482669489,,,0.798873268,0.55664422,0.71593358,0.735915133,0.291266293,0.011732564,0.483830509,0.848356379,,,0.351798255,0.000301617,0.416211541,0.719872741,,
Q96C19,0.514346853,0.652112367,0.887821731,0.063682637,0.444949762,0.465386438,0.837056088,0.020523022,,,,,0.275223351,0.27007362,,,0.798833888,0.073079727,0.715883508,0.221110001,0.291270655,0.372218905,0.483665883,0.234438768,,,0.351844397,0.002881567,,,,
Q96C23,0.515288008,0.386888576,,,0.445798458,0.432407013,0.837106162,0.492758604,0.836883593,0.272165295,0.179351669,0.098577732,0.276248442,0.541099255,,,,,,,,,,,,,0.351911374,0.116083138,,,,
Q96C86,0.51488853,0.753920387,,,,,,,0.837301775,0.77226,0.177156786,0.632217991,0.278780874,0.579906926,,,0.798890011,0.77351364,0.715983246,0.959134301,0.291255435,0.002597341,,,,,0.351716816,0.000327818,,,,
Q96C90,0.52089106,0.192907753,,,,,,,0.839458458,0.000517324,0.166149973,0.740782955,,,,,,,,,,,,,,,0.351753947,0.003421851,,,,
Q96CM8,0.51472826,0.605561055,0.887539722,0.233494834,0.445533847,0.222766362,0.837656516,0.952331387,0.83687204,0.013406615,,,0.278262138,0.062832281,,,0.798902017,0.494458481,0.715741666,0.124892463,0.291331452,0.0243942,0.483513697,0.361068861,,,0.351995469,0.999825494,0.416167003,0.42874929,,
Q96CN7,0.515111515,0.589183136,0.887518422,0.121510421,0.443973738,0.63201271,0.837470214,0.464948569,,,0.176244742,0.437492266,0.276659482,0.281427442,,,0.79892765,0.230711168,,,0.290155232,0.056397564,0.48621354,0.653097875,,,0.351828557,0.265480212,0.41604704,0.72610442,,
Q96CS3,0.514663567,0.11378597,0.887458307,0.000615418,0.444979322,0.232007374,0.83749123,0.168104934,0.83742923,0.259706866,0.17650607,0.412457224,0.276564349,0.851206247,,,0.798852188,0.477612606,0.716323905,0.143033222,0.288574787,0.386013682,0.480991037,0.923780199,,,0.351507888,0.553863589,0.417536712,0.848164894,,
Q96CV9,1,0.855522717,0.887543399,0.000672434,0.444495985,0.000123143,0.837499413,0.41611058,,,0.176494189,0.009311854,0.277086859,0.62409634,,,0.799144262,0.002745925,0.716015578,0.23827655,0.290881927,0.357899488,0.483667503,0.641033838,,,0.351762109,0.04122581,0.415823036,0.498843439,,
Q96CW1,0.514732673,0.21256775,0.887717709,0.0490997,0.444937621,0.7045876,0.837560594,0.154344266,0.837524893,0.373534907,0.176309241,0.716346607,0.275754826,0.530778572,0.226273171,0.6346454,0.798879788,0.221358439,0.715871496,0.308521985,0.291328206,0.000381765,0.483805229,0.234441589,0.16710316,0.302477337,0.351885201,0.001257609,0.416126151,0.030942064,0.39644632,0.625957904
Q96CX2,0.515953057,0.660921426,0.887698662,0.782252829,0.444690373,0.044658456,0.837995909,0.15437483,0.83710867,0.644949466,0.176768598,0.802984485,0.276585953,0.610474361,0.22623655,0.378462913,0.798894967,0.323037235,0.71600649,0.639827169,0.291597598,0.371423695,0.487412214,0.626702692,,,0.352029191,0.514747476,0.415500744,0.62614602,,
Q96DB5,0.51472394,0.661100068,,,0.445164171,0.995228184,0.837608659,0.138217757,,,,,0.267348002,0.308124672,,,,,,,0.29125838,0.360404738,,,,,0.351427831,0.173781588,0.415425385,0.644672036,,
Q96DG6,0.516109326,0.234260312,0.887406046,0.047692136,0.44474168,0.416979648,0.83819898,0.745430476,0.837437636,0.162880982,0.176620651,0.388577565,0.276355708,0.722280697,,,0.798804822,0.851075077,0.71591507,0.720683234,0.271103769,0.330943672,0.484345826,0.770048718,,,0.352758508,0.583708512,0.415246757,0.27256691,,
Q96DH6,0.514704765,0.994557313,0.887414884,0.052320993,0.44456083,0.728560496,0.837375578,0.205955823,,,0.176401367,0.33399217,0.276045545,0.547543316,,,,,0.715445932,0.315729914,0.291091439,0.076299928,0.483153737,0.106014405,,,0.350229694,0.00213946,0.415593987,0.504620639,,
Q96EP5,0.513315018,0.960877807,0.887762656,0.143667584,0.444778452,0.000847296,0.837400441,0.965136321,0.837076766,0.831827387,1,0.556313249,0.276203556,0.570729095,,,,,,,,,0.483476335,0.084672655,,,0.350331261,0.116337015,,,,
Q96F07,0.509567114,0.192776992,0.887521803,0.709871966,0.44501479,0.836773501,0.837487764,1.41E-05,,,0.176494927,0.542083396,0.27622344,0.717055139,0.226033449,0.235163401,0.798895087,0.708980777,0.715919677,0.231327751,0.291401734,0.116392884,0.483843458,0.328865535,0.169670667,0.675233555,0.351899607,0.02047161,0.417116084,0.612889702,0.391924899,0.226739801
Q96F85,0.514241592,0.413140642,0.888027647,0.038824399,0.444878371,0.416558336,0.837649859,0.053881381,0.83725784,0.514785028,0.176305806,0.824582959,0.276214506,0.368070079,0.225283249,0.008413865,0.798876334,0.493388352,0.715774939,0.123367229,0.291333554,0.006551156,0.483803087,0.062586234,,,0.351834251,0.16436875,0.41092397,0.884408306,0.379213324,0.462421154
Q96FJ2,0.514810595,0.308455898,0.888002562,0.493373245,0.444845139,0.793995849,0.837635009,0.51152677,,,0.176695304,0.700779721,0.276446294,0.731411645,,,,,0.715195338,0.258237729,0.291311727,0.10013956,0.483766467,0.651794593,,,0.351894401,0.220489874,0.414466896,0.230458643,0.393445609,0.027176329
Q96FL8,0.514896383,0.469366925,,,,,,,0.836976794,0.10754661,,,,,,,,,,,,,,,,,,,,,,
Q96FQ6,0.514802434,0.59097962,,,0.44438778,0.002187012,0.837396659,0.058851329,0.836994533,0.007004831,,,0.274865943,0.579852638,,,,,0.715964711,0.74699742,0.291886903,0.445427222,0.4731432,0.425348433,,,0.35187215,0.576638081,,,,
Q96FW1,0.5152695,0.687000637,0.887729996,0.099067902,0.444905122,0.110024319,0.837623329,0.113144945,0.837334163,0.290768974,0.176570201,0.271728505,0.276260916,0.282059495,0.226557065,0.532482845,0.798887068,0.787726358,0.715898371,0.355087931,0.291329762,0.04796336,0.483719491,0.025076107,0.16343972,0.214876532,0.351914459,0.050474172,0.415263764,0.249195035,0.398882304,0.127883059
Q96G03,0.515414048,0.992409066,,,0.444970391,0.802466145,0.84329904,0.083348426,0.837631952,0.811038609,0.176607646,0.801998395,0.276354386,0.922860099,,,0.79898775,0.147827996,0.721088124,0.361716523,0.290513897,0.742311923,0.480936829,0.140099474,,,0.352359538,0.006843037,,,,
Q96GA7,0.515682899,0.02136722,,,0.444478241,0.594781595,0.837463543,0.207245415,,,0.176306636,0.705607266,0.286557355,0.11105379,,,,,0.715911807,0.815991943,0.291513824,0.02059566,0.483766209,0.502835329,,,0.351485589,0.299043537,,,,
